"Year","Gender","Age group","Geography","GeoCode","Progress","Value"
"2016","Women+","35 to 39 years","Quebec",24,3,5
"2016","Women+","40 to 44 years","Quebec",24,3.3,5.3
"2016","Women+","45 to 49 years","Quebec",24,2.9,4.9
"2016","Women+","50 to 54 years","Quebec",24,2.8,4.8
"2016","Women+","55 to 59 years","Quebec",24,3.5,5.5
"2016","Women+","60 to 64 years","Quebec",24,4.7,6.7
"2016","Women+","65 years and over","Quebec",24,1.6,3.6
"2016","Women+","65 to 69 years","Quebec",24,3,5
"2016","Women+","70 years and over","Quebec",24,,
"2016","Total - Gender","15 years and over","Ontario",35,4.6,6.6
"2016","Total - Gender","15 to 24 years","Ontario",35,11.4,13.4
"2016","Total - Gender","25 years and over","Ontario",35,3.4,5.4
"2016","Total - Gender","25 to 44 years","Ontario",35,3.8,5.8
"2016","Total - Gender","45 to 64 years","Ontario",35,3.2,5.2
"2016","Total - Gender","45 years and over","Ontario",35,3,5
"2016","Total - Gender","25 to 54 years","Ontario",35,3.5,5.5
"2016","Total - Gender","55 years and over","Ontario",35,3.1,5.1
"2016","Total - Gender","15 to 64 years","Ontario",35,4.7,6.7
"2016","Total - Gender","15 to 19 years","Ontario",35,15.9,17.9
"2016","Total - Gender","20 to 24 years","Ontario",35,8.9,10.9
"2016","Total - Gender","25 to 29 years","Ontario",35,5.4,7.4
"2016","Total - Gender","30 to 34 years","Ontario",35,3.9,5.9
"2016","Total - Gender","35 to 39 years","Ontario",35,2.9,4.9
"2016","Total - Gender","40 to 44 years","Ontario",35,2.8,4.8
"2016","Total - Gender","45 to 49 years","Ontario",35,2.9,4.9
"2016","Total - Gender","50 to 54 years","Ontario",35,3,5
"2016","Total - Gender","55 to 59 years","Ontario",35,3.4,5.4
"2016","Total - Gender","60 to 64 years","Ontario",35,3.7,5.7
"2016","Total - Gender","65 years and over","Ontario",35,1.2,3.2
"2016","Total - Gender","65 to 69 years","Ontario",35,1.6,3.6
"2016","Total - Gender","70 years and over","Ontario",35,1.6,2.4
"2016","Men+","15 years and over","Ontario",35,4.8,6.8
"2016","Men+","15 to 24 years","Ontario",35,12.7,14.7
"2016","Men+","25 years and over","Ontario",35,3.5,5.5
"2016","Men+","25 to 44 years","Ontario",35,3.7,5.7
"2016","Men+","45 to 64 years","Ontario",35,3.5,5.5
"2016","Men+","45 years and over","Ontario",35,3.3,5.3
"2016","Men+","25 to 54 years","Ontario",35,3.6,5.6
"2016","Men+","55 years and over","Ontario",35,3.2,5.2
"2016","Men+","15 to 64 years","Ontario",35,5,7
"2016","Men+","15 to 19 years","Ontario",35,17.5,19.5
"2016","Men+","20 to 24 years","Ontario",35,10.2,12.2
"2016","Men+","25 to 29 years","Ontario",35,6.2,8.2
"2016","Men+","30 to 34 years","Ontario",35,4.1,6.1
"2016","Men+","35 to 39 years","Ontario",35,2.1,4.1
"2016","Men+","40 to 44 years","Ontario",35,2.1,4.1
"2016","Men+","45 to 49 years","Ontario",35,3.3,5.3
"2016","Men+","50 to 54 years","Ontario",35,3.4,5.4
"2016","Men+","55 to 59 years","Ontario",35,3.6,5.6
"2016","Men+","60 to 64 years","Ontario",35,4.1,6.1
"2016","Men+","65 years and over","Ontario",35,1,3
"2016","Men+","65 to 69 years","Ontario",35,1.4,3.4
"2016","Men+","70 years and over","Ontario",35,,
"2016","Women+","15 years and over","Ontario",35,4.3,6.3
"2016","Women+","15 to 24 years","Ontario",35,10,12
"2016","Women+","25 years and over","Ontario",35,3.3,5.3
"2016","Women+","25 to 44 years","Ontario",35,3.9,5.9
"2016","Women+","45 to 64 years","Ontario",35,2.8,4.8
"2016","Women+","45 years and over","Ontario",35,2.7,4.7
"2016","Women+","25 to 54 years","Ontario",35,3.4,5.4
"2016","Women+","55 years and over","Ontario",35,2.9,4.9
"2016","Women+","15 to 64 years","Ontario",35,4.4,6.4
"2016","Women+","15 to 19 years","Ontario",35,14.3,16.3
"2016","Women+","20 to 24 years","Ontario",35,7.4,9.4
"2016","Women+","25 to 29 years","Ontario",35,4.5,6.5
"2016","Women+","30 to 34 years","Ontario",35,3.7,5.7
"2016","Women+","35 to 39 years","Ontario",35,3.7,5.7
"2016","Women+","40 to 44 years","Ontario",35,3.5,5.5
"2016","Women+","45 to 49 years","Ontario",35,2.5,4.5
"2016","Women+","50 to 54 years","Ontario",35,2.6,4.6
"2016","Women+","55 to 59 years","Ontario",35,3.2,5.2
"2016","Women+","60 to 64 years","Ontario",35,3.3,5.3
"2016","Women+","65 years and over","Ontario",35,1.6,3.6
"2016","Women+","65 to 69 years","Ontario",35,1.9,3.9
"2016","Women+","70 years and over","Ontario",35,,
"2016","Total - Gender","15 years and over","Manitoba",46,4.1,6.1
"2016","Total - Gender","15 to 24 years","Manitoba",46,10.5,12.5
"2016","Total - Gender","25 years and over","Manitoba",46,2.8,4.8
"2016","Total - Gender","25 to 44 years","Manitoba",46,3.1,5.1
"2016","Total - Gender","45 to 64 years","Manitoba",46,2.6,4.6
"2016","Total - Gender","45 years and over","Manitoba",46,2.4,4.4
"2016","Total - Gender","25 to 54 years","Manitoba",46,3,5
"2016","Total - Gender","55 years and over","Manitoba",46,2.1,4.1
"2016","Total - Gender","15 to 64 years","Manitoba",46,4.2,6.2
"2016","Total - Gender","15 to 19 years","Manitoba",46,15.4,17.4
"2016","Total - Gender","20 to 24 years","Manitoba",46,7.5,9.5
"2016","Total - Gender","25 to 29 years","Manitoba",46,4.9,6.9
"2016","Total - Gender","30 to 34 years","Manitoba",46,3.2,5.2
"2016","Total - Gender","35 to 39 years","Manitoba",46,2,4
"2016","Total - Gender","40 to 44 years","Manitoba",46,2.4,4.4
"2016","Total - Gender","45 to 49 years","Manitoba",46,2.5,4.5
"2016","Total - Gender","50 to 54 years","Manitoba",46,2.7,4.7
"2016","Total - Gender","55 to 59 years","Manitoba",46,2.6,4.6
"2016","Total - Gender","60 to 64 years","Manitoba",46,2.5,4.5
"2016","Total - Gender","65 years and over","Manitoba",46,1.3,2.7
"2016","Total - Gender","65 to 69 years","Manitoba",46,1.4,3.4
"2016","Total - Gender","70 years and over","Manitoba",46,,
"2016","Men+","15 years and over","Manitoba",46,4.6,6.6
"2016","Men+","15 to 24 years","Manitoba",46,12.1,14.1
"2016","Men+","25 years and over","Manitoba",46,3.1,5.1
"2016","Men+","25 to 44 years","Manitoba",46,3.6,5.6
"2016","Men+","45 to 64 years","Manitoba",46,2.8,4.8
"2016","Men+","45 years and over","Manitoba",46,2.6,4.6
"2016","Men+","25 to 54 years","Manitoba",46,3.3,5.3
"2016","Men+","55 years and over","Manitoba",46,2.5,4.5
"2016","Men+","15 to 64 years","Manitoba",46,4.7,6.7
"2016","Men+","15 to 19 years","Manitoba",46,17.9,19.9
"2016","Men+","20 to 24 years","Manitoba",46,9,11
"2016","Men+","25 to 29 years","Manitoba",46,6.3,8.3
"2016","Men+","30 to 34 years","Manitoba",46,3.3,5.3
"2016","Men+","35 to 39 years","Manitoba",46,2.2,4.2
"2016","Men+","40 to 44 years","Manitoba",46,2.2,4.2
"2016","Men+","45 to 49 years","Manitoba",46,2.6,4.6
"2016","Men+","50 to 54 years","Manitoba",46,2.7,4.7
"2016","Men+","55 to 59 years","Manitoba",46,2.8,4.8
"2016","Men+","60 to 64 years","Manitoba",46,3.3,5.3
"2016","Men+","65 years and over","Manitoba",46,,
"2016","Men+","65 to 69 years","Manitoba",46,,
"2016","Men+","70 years and over","Manitoba",46,,
"2016","Women+","15 years and over","Manitoba",46,3.5,5.5
"2016","Women+","15 to 24 years","Manitoba",46,8.6,10.6
"2016","Women+","25 years and over","Manitoba",46,2.4,4.4
"2016","Women+","25 to 44 years","Manitoba",46,2.6,4.6
"2016","Women+","45 to 64 years","Manitoba",46,2.3,4.3
"2016","Women+","45 years and over","Manitoba",46,2.2,4.2
"2016","Women+","25 to 54 years","Manitoba",46,2.6,4.6
"2016","Women+","55 years and over","Manitoba",46,1.6,3.6
"2016","Women+","15 to 64 years","Manitoba",46,3.6,5.6
"2016","Women+","15 to 19 years","Manitoba",46,12.9,14.9
"2016","Women+","20 to 24 years","Manitoba",46,5.8,7.8
"2016","Women+","25 to 29 years","Manitoba",46,3.6,5.6
"2016","Women+","30 to 34 years","Manitoba",46,3,5
"2016","Women+","35 to 39 years","Manitoba",46,1.7,3.7
"2016","Women+","40 to 44 years","Manitoba",46,2.5,4.5
"2016","Women+","45 to 49 years","Manitoba",46,2.4,4.4
"2016","Women+","50 to 54 years","Manitoba",46,2.8,4.8
"2016","Women+","55 to 59 years","Manitoba",46,2.3,4.3
"2016","Women+","60 to 64 years","Manitoba",46,2,4
"2016","Women+","65 years and over","Manitoba",46,,
"2016","Women+","65 to 69 years","Manitoba",46,,
"2016","Women+","70 years and over","Manitoba",46,,
"2016","Total - Gender","15 years and over","Saskatchewan",47,4.5,6.5
"2016","Total - Gender","15 to 24 years","Saskatchewan",47,9.4,11.4
"2016","Total - Gender","25 years and over","Saskatchewan",47,3.6,5.6
"2016","Total - Gender","25 to 44 years","Saskatchewan",47,3.9,5.9
"2016","Total - Gender","45 to 64 years","Saskatchewan",47,3.3,5.3
"2016","Total - Gender","45 years and over","Saskatchewan",47,3.2,5.2
"2016","Total - Gender","25 to 54 years","Saskatchewan",47,3.7,5.7
"2016","Total - Gender","55 years and over","Saskatchewan",47,3.2,5.2
"2016","Total - Gender","15 to 64 years","Saskatchewan",47,4.6,6.6
"2016","Total - Gender","15 to 19 years","Saskatchewan",47,13.7,15.7
"2016","Total - Gender","20 to 24 years","Saskatchewan",47,6.6,8.6
"2016","Total - Gender","25 to 29 years","Saskatchewan",47,5.1,7.1
"2016","Total - Gender","30 to 34 years","Saskatchewan",47,4.2,6.2
"2016","Total - Gender","35 to 39 years","Saskatchewan",47,3.9,5.9
"2016","Total - Gender","40 to 44 years","Saskatchewan",47,2.3,4.3
"2016","Total - Gender","45 to 49 years","Saskatchewan",47,3.3,5.3
"2016","Total - Gender","50 to 54 years","Saskatchewan",47,2.9,4.9
"2016","Total - Gender","55 to 59 years","Saskatchewan",47,3.5,5.5
"2016","Total - Gender","60 to 64 years","Saskatchewan",47,3.4,5.4
"2016","Total - Gender","65 years and over","Saskatchewan",47,2.3,4.3
"2016","Total - Gender","65 to 69 years","Saskatchewan",47,2.3,4.3
"2016","Total - Gender","70 years and over","Saskatchewan",47,2.3,4.3
"2016","Men+","15 years and over","Saskatchewan",47,5.1,7.1
"2016","Men+","15 to 24 years","Saskatchewan",47,11.8,13.8
"2016","Men+","25 years and over","Saskatchewan",47,4,6
"2016","Men+","25 to 44 years","Saskatchewan",47,4.1,6.1
"2016","Men+","45 to 64 years","Saskatchewan",47,4,6
"2016","Men+","45 years and over","Saskatchewan",47,3.9,5.9
"2016","Men+","25 to 54 years","Saskatchewan",47,4,6
"2016","Men+","55 years and over","Saskatchewan",47,4,6
"2016","Men+","15 to 64 years","Saskatchewan",47,5.2,7.2
"2016","Men+","15 to 19 years","Saskatchewan",47,17.2,19.2
"2016","Men+","20 to 24 years","Saskatchewan",47,8.8,10.8
"2016","Men+","25 to 29 years","Saskatchewan",47,5.6,7.6
"2016","Men+","30 to 34 years","Saskatchewan",47,4.3,6.3
"2016","Men+","35 to 39 years","Saskatchewan",47,4,6
"2016","Men+","40 to 44 years","Saskatchewan",47,2.3,4.3
"2016","Men+","45 to 49 years","Saskatchewan",47,3.6,5.6
"2016","Men+","50 to 54 years","Saskatchewan",47,4,6
"2016","Men+","55 to 59 years","Saskatchewan",47,4.6,6.6
"2016","Men+","60 to 64 years","Saskatchewan",47,3.6,5.6
"2016","Men+","65 years and over","Saskatchewan",47,,
"2016","Men+","65 to 69 years","Saskatchewan",47,,
"2016","Men+","70 years and over","Saskatchewan",47,,
"2016","Women+","15 years and over","Saskatchewan",47,3.6,5.6
"2016","Women+","15 to 24 years","Saskatchewan",47,6.8,8.8
"2016","Women+","25 years and over","Saskatchewan",47,3.1,5.1
"2016","Women+","25 to 44 years","Saskatchewan",47,3.8,5.8
"2016","Women+","45 to 64 years","Saskatchewan",47,2.4,4.4
"2016","Women+","45 years and over","Saskatchewan",47,2.3,4.3
"2016","Women+","25 to 54 years","Saskatchewan",47,3.3,5.3
"2016","Women+","55 years and over","Saskatchewan",47,2.2,4.2
"2016","Women+","15 to 64 years","Saskatchewan",47,3.8,5.8
"2016","Women+","15 to 19 years","Saskatchewan",47,10.8,12.8
"2016","Women+","20 to 24 years","Saskatchewan",47,4.3,6.3
"2016","Women+","25 to 29 years","Saskatchewan",47,4.4,6.4
"2016","Women+","30 to 34 years","Saskatchewan",47,4.1,6.1
"2016","Women+","35 to 39 years","Saskatchewan",47,3.9,5.9
"2016","Women+","40 to 44 years","Saskatchewan",47,2.7,4.7
"2016","Women+","45 to 49 years","Saskatchewan",47,3,5
"2016","Women+","50 to 54 years","Saskatchewan",47,1.5,3.5
"2016","Women+","55 to 59 years","Saskatchewan",47,2.2,4.2
"2016","Women+","60 to 64 years","Saskatchewan",47,3.1,5.1
"2016","Women+","65 years and over","Saskatchewan",47,,
"2016","Women+","65 to 69 years","Saskatchewan",47,,
"2016","Women+","70 years and over","Saskatchewan",47,,
"2016","Total - Gender","15 years and over","Alberta",48,6.2,8.2
"2016","Total - Gender","15 to 24 years","Alberta",48,10.8,12.8
"2016","Total - Gender","25 years and over","Alberta",48,5.4,7.4
"2016","Total - Gender","25 to 44 years","Alberta",48,5.1,7.1
"2016","Total - Gender","45 to 64 years","Alberta",48,6.1,8.1
"2016","Total - Gender","45 years and over","Alberta",48,5.8,7.8
"2016","Total - Gender","25 to 54 years","Alberta",48,5.2,7.2
"2016","Total - Gender","55 years and over","Alberta",48,6.1,8.1
"2016","Total - Gender","15 to 64 years","Alberta",48,6.3,8.3
"2016","Total - Gender","15 to 19 years","Alberta",48,15.6,17.6
"2016","Total - Gender","20 to 24 years","Alberta",48,8.1,10.1
"2016","Total - Gender","25 to 29 years","Alberta",48,6.1,8.1
"2016","Total - Gender","30 to 34 years","Alberta",48,4.6,6.6
"2016","Total - Gender","35 to 39 years","Alberta",48,4.5,6.5
"2016","Total - Gender","40 to 44 years","Alberta",48,5.2,7.2
"2016","Total - Gender","45 to 49 years","Alberta",48,5.9,7.9
"2016","Total - Gender","50 to 54 years","Alberta",48,5.3,7.3
"2016","Total - Gender","55 to 59 years","Alberta",48,5.4,7.4
"2016","Total - Gender","60 to 64 years","Alberta",48,8.8,10.8
"2016","Total - Gender","65 years and over","Alberta",48,3.7,5.7
"2016","Total - Gender","65 to 69 years","Alberta",48,4.7,6.7
"2016","Total - Gender","70 years and over","Alberta",48,,
"2016","Men+","15 years and over","Alberta",48,6.8,8.8
"2016","Men+","15 to 24 years","Alberta",48,12.1,14.1
"2016","Men+","25 years and over","Alberta",48,5.9,7.9
"2016","Men+","25 to 44 years","Alberta",48,5.8,7.8
"2016","Men+","45 to 64 years","Alberta",48,6.2,8.2
"2016","Men+","45 years and over","Alberta",48,6.1,8.1
"2016","Men+","25 to 54 years","Alberta",48,5.8,7.8
"2016","Men+","55 years and over","Alberta",48,6.4,8.4
"2016","Men+","15 to 64 years","Alberta",48,6.9,8.9
"2016","Men+","15 to 19 years","Alberta",48,16,18
"2016","Men+","20 to 24 years","Alberta",48,9.9,11.9
"2016","Men+","25 to 29 years","Alberta",48,7.1,9.1
"2016","Men+","30 to 34 years","Alberta",48,5.2,7.2
"2016","Men+","35 to 39 years","Alberta",48,4.8,6.8
"2016","Men+","40 to 44 years","Alberta",48,6.1,8.1
"2016","Men+","45 to 49 years","Alberta",48,5.5,7.5
"2016","Men+","50 to 54 years","Alberta",48,6.2,8.2
"2016","Men+","55 to 59 years","Alberta",48,5.2,7.2
"2016","Men+","60 to 64 years","Alberta",48,8.9,10.9
"2016","Men+","65 years and over","Alberta",48,,
"2016","Men+","65 to 69 years","Alberta",48,,
"2016","Men+","70 years and over","Alberta",48,,
"2016","Women+","15 years and over","Alberta",48,5.5,7.5
"2016","Women+","15 to 24 years","Alberta",48,9.4,11.4
"2016","Women+","25 years and over","Alberta",48,4.8,6.8
"2016","Women+","25 to 44 years","Alberta",48,4.2,6.2
"2016","Women+","45 to 64 years","Alberta",48,5.9,7.9
"2016","Women+","45 years and over","Alberta",48,5.5,7.5
"2016","Women+","25 to 54 years","Alberta",48,4.6,6.6
"2016","Women+","55 years and over","Alberta",48,5.8,7.8
"2016","Women+","15 to 64 years","Alberta",48,5.6,7.6
"2016","Women+","15 to 19 years","Alberta",48,15.1,17.1
"2016","Women+","20 to 24 years","Alberta",48,5.9,7.9
"2016","Women+","25 to 29 years","Alberta",48,4.9,6.9
"2016","Women+","30 to 34 years","Alberta",48,3.8,5.8
"2016","Women+","35 to 39 years","Alberta",48,4.2,6.2
"2016","Women+","40 to 44 years","Alberta",48,4.1,6.1
"2016","Women+","45 to 49 years","Alberta",48,6.3,8.3
"2016","Women+","50 to 54 years","Alberta",48,4.1,6.1
"2016","Women+","55 to 59 years","Alberta",48,5.6,7.6
"2016","Women+","60 to 64 years","Alberta",48,8.6,10.6
"2016","Women+","65 years and over","Alberta",48,,
"2016","Women+","65 to 69 years","Alberta",48,,
"2016","Women+","70 years and over","Alberta",48,,
"2016","Total - Gender","15 years and over","British Columbia",59,4.1,6.1
"2016","Total - Gender","15 to 24 years","British Columbia",59,8.1,10.1
"2016","Total - Gender","25 years and over","British Columbia",59,3.4,5.4
"2016","Total - Gender","25 to 44 years","British Columbia",59,3.6,5.6
"2016","Total - Gender","45 to 64 years","British Columbia",59,3.2,5.2
"2016","Total - Gender","45 years and over","British Columbia",59,3.3,5.3
"2016","Total - Gender","25 to 54 years","British Columbia",59,3.4,5.4
"2016","Total - Gender","55 years and over","British Columbia",59,3.6,5.6
"2016","Total - Gender","15 to 64 years","British Columbia",59,4.1,6.1
"2016","Total - Gender","15 to 19 years","British Columbia",59,11.4,13.4
"2016","Total - Gender","20 to 24 years","British Columbia",59,6.3,8.3
"2016","Total - Gender","25 to 29 years","British Columbia",59,5,7
"2016","Total - Gender","30 to 34 years","British Columbia",59,3.3,5.3
"2016","Total - Gender","35 to 39 years","British Columbia",59,3.1,5.1
"2016","Total - Gender","40 to 44 years","British Columbia",59,3,5
"2016","Total - Gender","45 to 49 years","British Columbia",59,2.7,4.7
"2016","Total - Gender","50 to 54 years","British Columbia",59,3.1,5.1
"2016","Total - Gender","55 to 59 years","British Columbia",59,3.3,5.3
"2016","Total - Gender","60 to 64 years","British Columbia",59,4.2,6.2
"2016","Total - Gender","65 years and over","British Columbia",59,3.6,5.6
"2016","Total - Gender","65 to 69 years","British Columbia",59,3.2,5.2
"2016","Total - Gender","70 years and over","British Columbia",59,4,6
"2016","Men+","15 years and over","British Columbia",59,4.6,6.6
"2016","Men+","15 to 24 years","British Columbia",59,9.4,11.4
"2016","Men+","25 years and over","British Columbia",59,3.8,5.8
"2016","Men+","25 to 44 years","British Columbia",59,4.2,6.2
"2016","Men+","45 to 64 years","British Columbia",59,3.3,5.3
"2016","Men+","45 years and over","British Columbia",59,3.5,5.5
"2016","Men+","25 to 54 years","British Columbia",59,3.7,5.7
"2016","Men+","55 years and over","British Columbia",59,4.3,6.3
"2016","Men+","15 to 64 years","British Columbia",59,4.6,6.6
"2016","Men+","15 to 19 years","British Columbia",59,12.5,14.5
"2016","Men+","20 to 24 years","British Columbia",59,7.9,9.9
"2016","Men+","25 to 29 years","British Columbia",59,6.3,8.3
"2016","Men+","30 to 34 years","British Columbia",59,3.8,5.8
"2016","Men+","35 to 39 years","British Columbia",59,2.6,4.6
"2016","Men+","40 to 44 years","British Columbia",59,3.8,5.8
"2016","Men+","45 to 49 years","British Columbia",59,2.6,4.6
"2016","Men+","50 to 54 years","British Columbia",59,2.7,4.7
"2016","Men+","55 to 59 years","British Columbia",59,3.5,5.5
"2016","Men+","60 to 64 years","British Columbia",59,5,7
"2016","Men+","65 years and over","British Columbia",59,4.8,6.8
"2016","Men+","65 to 69 years","British Columbia",59,,
"2016","Men+","70 years and over","British Columbia",59,,
"2016","Women+","15 years and over","British Columbia",59,3.5,5.5
"2016","Women+","15 to 24 years","British Columbia",59,6.7,8.7
"2016","Women+","25 years and over","British Columbia",59,3,5
"2016","Women+","25 to 44 years","British Columbia",59,2.9,4.9
"2016","Women+","45 to 64 years","British Columbia",59,3.2,5.2
"2016","Women+","45 years and over","British Columbia",59,3,5
"2016","Women+","25 to 54 years","British Columbia",59,3,5
"2016","Women+","55 years and over","British Columbia",59,2.8,4.8
"2016","Women+","15 to 64 years","British Columbia",59,3.6,5.6
"2016","Women+","15 to 19 years","British Columbia",59,10.4,12.4
"2016","Women+","20 to 24 years","British Columbia",59,4.5,6.5
"2016","Women+","25 to 29 years","British Columbia",59,3.5,5.5
"2016","Women+","30 to 34 years","British Columbia",59,2.6,4.6
"2016","Women+","35 to 39 years","British Columbia",59,3.6,5.6
"2016","Women+","40 to 44 years","British Columbia",59,2,4
"2016","Women+","45 to 49 years","British Columbia",59,2.8,4.8
"2016","Women+","50 to 54 years","British Columbia",59,3.6,5.6
"2016","Women+","55 to 59 years","British Columbia",59,3.1,5.1
"2016","Women+","60 to 64 years","British Columbia",59,3,5
"2016","Women+","65 years and over","British Columbia",59,1.4,3.4
"2016","Women+","65 to 69 years","British Columbia",59,,
"2016","Women+","70 years and over","British Columbia",59,,
"2017","Total - Gender","15 to 24 years","Canada",,9.2,11.2
"2017","Total - Gender","25 years and over","Canada",,3.6,5.6
"2017","Total - Gender","25 to 44 years","Canada",,3.7,5.7
"2017","Total - Gender","45 to 64 years","Canada",,3.6,5.6
"2017","Total - Gender","45 years and over","Canada",,3.5,5.5
"2017","Total - Gender","25 to 54 years","Canada",,3.6,5.6
"2017","Total - Gender","55 years and over","Canada",,3.8,5.8
"2017","Total - Gender","15 to 64 years","Canada",,4.5,6.5
"2017","Total - Gender","15 to 19 years","Canada",,13.1,15.1
"2017","Total - Gender","20 to 24 years","Canada",,6.9,8.9
"2017","Total - Gender","25 to 29 years","Canada",,5.3,7.3
"2017","Total - Gender","30 to 34 years","Canada",,3.5,5.5
"2017","Total - Gender","35 to 39 years","Canada",,3,5
"2017","Total - Gender","40 to 44 years","Canada",,3.2,5.2
"2017","Total - Gender","45 to 49 years","Canada",,3.4,5.4
"2017","Total - Gender","50 to 54 years","Canada",,3.1,5.1
"2017","Total - Gender","55 to 59 years","Canada",,3.5,5.5
"2017","Total - Gender","60 to 64 years","Canada",,4.8,6.8
"2017","Total - Gender","65 years and over","Canada",,3.1,5.1
"2017","Total - Gender","65 to 69 years","Canada",,3.7,5.7
"2017","Total - Gender","70 years and over","Canada",,2.1,4.1
"2017","Men+","15 years and over","Canada",,4.9,6.9
"2017","Men+","15 to 24 years","Canada",,10.7,12.7
"2017","Men+","25 years and over","Canada",,3.9,5.9
"2017","Men+","25 to 44 years","Canada",,4,6
"2017","Men+","45 to 64 years","Canada",,3.8,5.8
"2017","Men+","45 years and over","Canada",,3.8,5.8
"2017","Men+","25 to 54 years","Canada",,3.8,5.8
"2017","Men+","55 years and over","Canada",,4.2,6.2
"2017","Men+","15 to 64 years","Canada",,5,7
"2017","Men+","15 to 19 years","Canada",,14.9,16.9
"2017","Men+","20 to 24 years","Canada",,8.5,10.5
"2017","Men+","25 to 29 years","Canada",,6.1,8.1
"2017","Men+","30 to 34 years","Canada",,3.6,5.6
"2017","Men+","35 to 39 years","Canada",,3.2,5.2
"2017","Men+","40 to 44 years","Canada",,3.1,5.1
"2017","Men+","45 to 49 years","Canada",,3.3,5.3
"2017","Men+","50 to 54 years","Canada",,3.3,5.3
"2017","Men+","55 to 59 years","Canada",,3.9,5.9
"2017","Men+","60 to 64 years","Canada",,5.3,7.3
"2017","Men+","65 years and over","Canada",,3.3,5.3
"2017","Men+","65 to 69 years","Canada",,4.1,6.1
"2017","Men+","70 years and over","Canada",,1.9,3.9
"2017","Women+","15 years and over","Canada",,4,6
"2017","Women+","15 to 24 years","Canada",,7.5,9.5
"2017","Women+","25 years and over","Canada",,3.3,5.3
"2017","Women+","25 to 44 years","Canada",,3.4,5.4
"2017","Women+","45 to 64 years","Canada",,3.3,5.3
"2017","Women+","45 years and over","Canada",,3.2,5.2
"2017","Women+","25 to 54 years","Canada",,3.3,5.3
"2017","Women+","55 years and over","Canada",,3.4,5.4
"2017","Women+","15 to 64 years","Canada",,4,6
"2017","Women+","15 to 19 years","Canada",,11.4,13.4
"2017","Women+","20 to 24 years","Canada",,5.2,7.2
"2017","Women+","25 to 29 years","Canada",,4.4,6.4
"2017","Women+","30 to 34 years","Canada",,3.3,5.3
"2017","Women+","35 to 39 years","Canada",,2.8,4.8
"2017","Women+","40 to 44 years","Canada",,3.3,5.3
"2017","Women+","45 to 49 years","Canada",,3.5,5.5
"2017","Women+","50 to 54 years","Canada",,2.8,4.8
"2017","Women+","55 to 59 years","Canada",,3,5
"2017","Women+","60 to 64 years","Canada",,4.2,6.2
"2017","Women+","65 years and over","Canada",,2.8,4.8
"2017","Women+","65 to 69 years","Canada",,3,5
"2017","Women+","70 years and over","Canada",,2.3,4.3
"2017","Total - Gender","15 years and over","Newfoundland and Labrador",10,13.2,15.2
"2017","Total - Gender","15 to 24 years","Newfoundland and Labrador",10,15.4,17.4
"2017","Total - Gender","25 years and over","Newfoundland and Labrador",10,12.8,14.8
"2017","Total - Gender","25 to 44 years","Newfoundland and Labrador",10,10.7,12.7
"2017","Total - Gender","45 to 64 years","Newfoundland and Labrador",10,14.5,16.5
"2017","Total - Gender","45 years and over","Newfoundland and Labrador",10,14.5,16.5
"2017","Total - Gender","25 to 54 years","Newfoundland and Labrador",10,11.3,13.3
"2017","Total - Gender","55 years and over","Newfoundland and Labrador",10,17.2,19.2
"2017","Total - Gender","15 to 64 years","Newfoundland and Labrador",10,13.1,15.1
"2017","Total - Gender","15 to 19 years","Newfoundland and Labrador",10,20.9,22.9
"2017","Total - Gender","20 to 24 years","Newfoundland and Labrador",10,11.8,13.8
"2017","Total - Gender","25 to 29 years","Newfoundland and Labrador",10,13.7,15.7
"2017","Total - Gender","30 to 34 years","Newfoundland and Labrador",10,11.1,13.1
"2017","Total - Gender","35 to 39 years","Newfoundland and Labrador",10,9,11
"2017","Total - Gender","40 to 44 years","Newfoundland and Labrador",10,9.5,11.5
"2017","Total - Gender","45 to 49 years","Newfoundland and Labrador",10,10.3,12.3
"2017","Total - Gender","50 to 54 years","Newfoundland and Labrador",10,13.7,15.7
"2017","Total - Gender","55 to 59 years","Newfoundland and Labrador",10,15.9,17.9
"2017","Total - Gender","60 to 64 years","Newfoundland and Labrador",10,20.2,22.2
"2017","Total - Gender","65 years and over","Newfoundland and Labrador",10,14.7,16.7
"2017","Total - Gender","65 to 69 years","Newfoundland and Labrador",10,15.5,17.5
"2017","Total - Gender","70 years and over","Newfoundland and Labrador",10,,
"2017","Men+","15 years and over","Newfoundland and Labrador",10,16.8,18.8
"2017","Men+","15 to 24 years","Newfoundland and Labrador",10,19.1,21.1
"2017","Men+","25 years and over","Newfoundland and Labrador",10,16.4,18.4
"2017","Men+","25 to 44 years","Newfoundland and Labrador",10,14.4,16.4
"2017","Men+","45 to 64 years","Newfoundland and Labrador",10,18.1,20.1
"2017","Men+","45 years and over","Newfoundland and Labrador",10,18,20
"2017","Men+","25 to 54 years","Newfoundland and Labrador",10,15,17
"2017","Men+","55 years and over","Newfoundland and Labrador",10,20.1,22.1
"2017","Men+","15 to 64 years","Newfoundland and Labrador",10,16.7,18.7
"2017","Men+","15 to 19 years","Newfoundland and Labrador",10,27.2,29.2
"2017","Men+","20 to 24 years","Newfoundland and Labrador",10,14.7,16.7
"2017","Men+","25 to 29 years","Newfoundland and Labrador",10,17.5,19.5
"2017","Men+","30 to 34 years","Newfoundland and Labrador",10,13.8,15.8
