"Year","Household food security status","Geography","Economic family type","Sex","Age group","Visible minority","Indigenous population","GeoCode","Value"
"2020","Food insecure, moderate or severe","Nova Scotia","Persons in other non-elderly families","Both sexes",,,,12,17.9
"2020","Food secure","Nova Scotia","Persons not in an economic family","Both sexes",,,,12,80.3
"2020","Food insecure","Nova Scotia","Persons not in an economic family","Both sexes",,,,12,19.7
"2020","Food insecure, marginal","Nova Scotia","Persons not in an economic family","Both sexes",,,,12,3.8
"2020","Food insecure, moderate or severe","Nova Scotia","Persons not in an economic family","Both sexes",,,,12,15.9
"2020","Food insecure, moderate","Nova Scotia","Persons not in an economic family","Both sexes",,,,12,9.1
"2020","Food insecure, severe","Nova Scotia","Persons not in an economic family","Both sexes",,,,12,6.7
"2020","Food secure","Nova Scotia","Elderly persons not in an economic family","Both sexes",,,,12,84.7
"2020","Food insecure","Nova Scotia","Elderly persons not in an economic family","Both sexes",,,,12,15.3
"2020","Food insecure, marginal","Nova Scotia","Elderly persons not in an economic family","Both sexes",,,,12,4.9
"2020","Food insecure, moderate or severe","Nova Scotia","Elderly persons not in an economic family","Both sexes",,,,12,10.4
"2020","Food insecure, moderate","Nova Scotia","Elderly persons not in an economic family","Both sexes",,,,12,7.4
"2020","Food insecure, severe","Nova Scotia","Elderly persons not in an economic family","Both sexes",,,,12,3
"2020","Food secure","Nova Scotia","Elderly persons not in an economic family","Male",,,,12,82.4
"2020","Food insecure","Nova Scotia","Elderly persons not in an economic family","Male",,,,12,17.6
"2020","Food insecure, moderate or severe","Nova Scotia","Elderly persons not in an economic family","Male",,,,12,13.3
"2020","Food insecure, moderate","Nova Scotia","Elderly persons not in an economic family","Male",,,,12,10.6
"2020","Food secure","Nova Scotia","Elderly persons not in an economic family","Female",,,,12,86
"2020","Food insecure","Nova Scotia","Elderly persons not in an economic family","Female",,,,12,14
"2020","Food insecure, marginal","Nova Scotia","Elderly persons not in an economic family","Female",,,,12,5.2
"2020","Food insecure, moderate or severe","Nova Scotia","Elderly persons not in an economic family","Female",,,,12,8.8
"2020","Food insecure, moderate","Nova Scotia","Elderly persons not in an economic family","Female",,,,12,5.6
"2020","Food secure","Nova Scotia","Non-elderly persons not in an economic family","Both sexes",,,,12,78
"2020","Food insecure","Nova Scotia","Non-elderly persons not in an economic family","Both sexes",,,,12,22
"2020","Food insecure, marginal","Nova Scotia","Non-elderly persons not in an economic family","Both sexes",,,,12,3.2
"2020","Food insecure, moderate or severe","Nova Scotia","Non-elderly persons not in an economic family","Both sexes",,,,12,18.7
"2020","Food insecure, moderate","Nova Scotia","Non-elderly persons not in an economic family","Both sexes",,,,12,10.1
"2020","Food insecure, severe","Nova Scotia","Non-elderly persons not in an economic family","Both sexes",,,,12,8.7
"2020","Food secure","Nova Scotia","Non-elderly persons not in an economic family","Male",,,,12,82.2
"2020","Food insecure","Nova Scotia","Non-elderly persons not in an economic family","Male",,,,12,17.8
"2020","Food insecure, marginal","Nova Scotia","Non-elderly persons not in an economic family","Male",,,,12,3.8
"2020","Food insecure, moderate or severe","Nova Scotia","Non-elderly persons not in an economic family","Male",,,,12,14
"2020","Food insecure, moderate","Nova Scotia","Non-elderly persons not in an economic family","Male",,,,12,8.7
"2020","Food insecure, severe","Nova Scotia","Non-elderly persons not in an economic family","Male",,,,12,5.3
"2020","Food secure","Nova Scotia","Non-elderly persons not in an economic family","Female",,,,12,74
"2020","Food insecure","Nova Scotia","Non-elderly persons not in an economic family","Female",,,,12,26
"2020","Food insecure, moderate or severe","Nova Scotia","Non-elderly persons not in an economic family","Female",,,,12,23.4
"2020","Food insecure, moderate","Nova Scotia","Non-elderly persons not in an economic family","Female",,,,12,11.4
"2020","Food insecure, severe","Nova Scotia","Non-elderly persons not in an economic family","Female",,,,12,12
"2020","Food secure","New Brunswick","All persons","Both sexes",,,,13,81.6
"2020","Food insecure","New Brunswick","All persons","Both sexes",,,,13,18.4
"2020","Food insecure, marginal","New Brunswick","All persons","Both sexes",,,,13,6
"2020","Food insecure, moderate or severe","New Brunswick","All persons","Both sexes",,,,13,12.4
"2020","Food insecure, moderate","New Brunswick","All persons","Both sexes",,,,13,7.1
"2020","Food insecure, severe","New Brunswick","All persons","Both sexes",,,,13,5.3
"2020","Food secure","New Brunswick","Persons in economic families","Both sexes",,,,13,82.6
"2020","Food insecure","New Brunswick","Persons in economic families","Both sexes",,,,13,17.4
"2020","Food insecure, marginal","New Brunswick","Persons in economic families","Both sexes",,,,13,6.3
"2020","Food insecure, moderate or severe","New Brunswick","Persons in economic families","Both sexes",,,,13,11.1
"2020","Food insecure, moderate","New Brunswick","Persons in economic families","Both sexes",,,,13,6.6
"2020","Food insecure, severe","New Brunswick","Persons in economic families","Both sexes",,,,13,4.5
"2020","Food secure","New Brunswick","Persons in elderly families","Both sexes",,,,13,90.9
"2020","Food insecure","New Brunswick","Persons in elderly families","Both sexes",,,,13,9.1
"2020","Food insecure, marginal","New Brunswick","Persons in elderly families","Both sexes",,,,13,3.3
"2020","Food insecure, moderate or severe","New Brunswick","Persons in elderly families","Both sexes",,,,13,5.8
"2020","Food insecure, moderate","New Brunswick","Persons in elderly families","Both sexes",,,,13,4.4
"2020","Food secure","New Brunswick","Persons in elderly couples","Both sexes",,,,13,91.2
"2020","Food insecure","New Brunswick","Persons in elderly couples","Both sexes",,,,13,8.8
"2020","Food insecure, marginal","New Brunswick","Persons in elderly couples","Both sexes",,,,13,3.6
"2020","Food insecure, moderate or severe","New Brunswick","Persons in elderly couples","Both sexes",,,,13,5.2
"2020","Food insecure, moderate","New Brunswick","Persons in elderly couples","Both sexes",,,,13,3.5
"2020","Food secure","New Brunswick","Persons in other elderly families","Both sexes",,,,13,90.1
"2020","Food secure","New Brunswick","Persons in non-elderly families","Both sexes",,,,13,80.7
"2020","Food insecure","New Brunswick","Persons in non-elderly families","Both sexes",,,,13,19.3
"2020","Food insecure, marginal","New Brunswick","Persons in non-elderly families","Both sexes",,,,13,7
"2020","Food insecure, moderate or severe","New Brunswick","Persons in non-elderly families","Both sexes",,,,13,12.3
"2020","Food insecure, moderate","New Brunswick","Persons in non-elderly families","Both sexes",,,,13,7.1
"2020","Food insecure, severe","New Brunswick","Persons in non-elderly families","Both sexes",,,,13,5.2
"2020","Food secure","New Brunswick","Persons in couples","Both sexes",,,,13,83.6
"2020","Food insecure","New Brunswick","Persons in couples","Both sexes",,,,13,16.4
"2020","Food insecure, marginal","New Brunswick","Persons in couples","Both sexes",,,,13,5
"2020","Food insecure, moderate or severe","New Brunswick","Persons in couples","Both sexes",,,,13,11.5
"2020","Food insecure, moderate","New Brunswick","Persons in couples","Both sexes",,,,13,7
"2020","Food insecure, severe","New Brunswick","Persons in couples","Both sexes",,,,13,4.5
"2020","Food secure","New Brunswick","Persons in couple families with children","Both sexes",,,,13,82.4
"2020","Food insecure","New Brunswick","Persons in couple families with children","Both sexes",,,,13,17.6
"2020","Food insecure, marginal","New Brunswick","Persons in couple families with children","Both sexes",,,,13,8.7
"2020","Food insecure, moderate or severe","New Brunswick","Persons in couple families with children","Both sexes",,,,13,8.9
"2020","Food insecure, moderate","New Brunswick","Persons in couple families with children","Both sexes",,,,13,5.4
"2020","Food insecure, severe","New Brunswick","Persons in couple families with children","Both sexes",,,,13,3.6
"2020","Food secure","New Brunswick","Persons in couple families with other relatives","Both sexes",,,,13,89.8
"2020","Food insecure","New Brunswick","Persons in couple families with other relatives","Both sexes",,,,13,10.2
"2020","Food insecure, moderate or severe","New Brunswick","Persons in couple families with other relatives","Both sexes",,,,13,7.3
"2020","Food secure","New Brunswick","Persons in lone-parent families","Both sexes",,,,13,53.9
"2020","Food insecure","New Brunswick","Persons in lone-parent families","Both sexes",,,,13,46.1
"2020","Food insecure, marginal","New Brunswick","Persons in lone-parent families","Both sexes",,,,13,12.4
"2020","Food insecure, moderate or severe","New Brunswick","Persons in lone-parent families","Both sexes",,,,13,33.7
"2020","Food insecure, moderate","New Brunswick","Persons in lone-parent families","Both sexes",,,,13,16.6
"2020","Food insecure, severe","New Brunswick","Persons in lone-parent families","Both sexes",,,,13,17.1
"2020","Food secure","New Brunswick","Persons in lone-parent families","Male",,,,13,44.1
"2020","Food insecure","New Brunswick","Persons in lone-parent families","Male",,,,13,55.9
"2020","Food secure","New Brunswick","Persons in lone-parent families","Female",,,,13,55.9
"2020","Food insecure","New Brunswick","Persons in lone-parent families","Female",,,,13,44.1
"2020","Food insecure, marginal","New Brunswick","Persons in lone-parent families","Female",,,,13,9.5
"2020","Food insecure, moderate or severe","New Brunswick","Persons in lone-parent families","Female",,,,13,34.6
"2020","Food insecure, moderate","New Brunswick","Persons in lone-parent families","Female",,,,13,17.1
"2020","Food secure","New Brunswick","Persons in other non-elderly families","Both sexes",,,,13,78.8
"2020","Food insecure","New Brunswick","Persons in other non-elderly families","Both sexes",,,,13,21.2
"2020","Food insecure, moderate or severe","New Brunswick","Persons in other non-elderly families","Both sexes",,,,13,16.8
"2020","Food insecure, moderate","New Brunswick","Persons in other non-elderly families","Both sexes",,,,13,10.4
"2020","Food secure","New Brunswick","Persons not in an economic family","Both sexes",,,,13,76.6
"2020","Food insecure","New Brunswick","Persons not in an economic family","Both sexes",,,,13,23.4
"2020","Food insecure, marginal","New Brunswick","Persons not in an economic family","Both sexes",,,,13,4.8
"2020","Food insecure, moderate or severe","New Brunswick","Persons not in an economic family","Both sexes",,,,13,18.6
"2020","Food insecure, moderate","New Brunswick","Persons not in an economic family","Both sexes",,,,13,9.4
"2020","Food insecure, severe","New Brunswick","Persons not in an economic family","Both sexes",,,,13,9.2
"2020","Food secure","New Brunswick","Elderly persons not in an economic family","Both sexes",,,,13,89.1
"2020","Food insecure","New Brunswick","Elderly persons not in an economic family","Both sexes",,,,13,10.9
"2020","Food insecure, marginal","New Brunswick","Elderly persons not in an economic family","Both sexes",,,,13,3.7
"2020","Food insecure, moderate or severe","New Brunswick","Elderly persons not in an economic family","Both sexes",,,,13,7.2
"2020","Food insecure, moderate","New Brunswick","Elderly persons not in an economic family","Both sexes",,,,13,5.8
"2020","Food secure","New Brunswick","Elderly persons not in an economic family","Male",,,,13,88.5
"2020","Food insecure","New Brunswick","Elderly persons not in an economic family","Male",,,,13,11.5
"2020","Food insecure, moderate or severe","New Brunswick","Elderly persons not in an economic family","Male",,,,13,8.4
"2020","Food secure","New Brunswick","Elderly persons not in an economic family","Female",,,,13,89.4
"2020","Food insecure","New Brunswick","Elderly persons not in an economic family","Female",,,,13,10.6
"2020","Food insecure, marginal","New Brunswick","Elderly persons not in an economic family","Female",,,,13,4.1
"2020","Food insecure, moderate or severe","New Brunswick","Elderly persons not in an economic family","Female",,,,13,6.5
"2020","Food insecure, moderate","New Brunswick","Elderly persons not in an economic family","Female",,,,13,5.3
"2020","Food secure","New Brunswick","Non-elderly persons not in an economic family","Both sexes",,,,13,69
"2020","Food insecure","New Brunswick","Non-elderly persons not in an economic family","Both sexes",,,,13,31
"2020","Food insecure, marginal","New Brunswick","Non-elderly persons not in an economic family","Both sexes",,,,13,5.4
"2020","Food insecure, moderate or severe","New Brunswick","Non-elderly persons not in an economic family","Both sexes",,,,13,25.6
"2020","Food insecure, moderate","New Brunswick","Non-elderly persons not in an economic family","Both sexes",,,,13,11.6
"2020","Food insecure, severe","New Brunswick","Non-elderly persons not in an economic family","Both sexes",,,,13,14
"2020","Food secure","New Brunswick","Non-elderly persons not in an economic family","Male",,,,13,68.8
"2020","Food insecure","New Brunswick","Non-elderly persons not in an economic family","Male",,,,13,31.2
"2020","Food insecure, marginal","New Brunswick","Non-elderly persons not in an economic family","Male",,,,13,5.5
"2020","Food insecure, moderate or severe","New Brunswick","Non-elderly persons not in an economic family","Male",,,,13,25.7
"2020","Food insecure, moderate","New Brunswick","Non-elderly persons not in an economic family","Male",,,,13,10.9
"2020","Food insecure, severe","New Brunswick","Non-elderly persons not in an economic family","Male",,,,13,14.7
"2020","Food secure","New Brunswick","Non-elderly persons not in an economic family","Female",,,,13,69.2
"2020","Food insecure","New Brunswick","Non-elderly persons not in an economic family","Female",,,,13,30.8
"2020","Food insecure, moderate or severe","New Brunswick","Non-elderly persons not in an economic family","Female",,,,13,25.5
"2020","Food insecure, moderate","New Brunswick","Non-elderly persons not in an economic family","Female",,,,13,12.3
"2020","Food insecure, severe","New Brunswick","Non-elderly persons not in an economic family","Female",,,,13,13.2
"2020","Food secure","Quebec","All persons","Both sexes",,,,24,87.3
"2020","Food insecure","Quebec","All persons","Both sexes",,,,24,12.7
"2020","Food insecure, marginal","Quebec","All persons","Both sexes",,,,24,4.1
"2020","Food insecure, moderate or severe","Quebec","All persons","Both sexes",,,,24,8.6
"2020","Food insecure, moderate","Quebec","All persons","Both sexes",,,,24,6.4
"2020","Food insecure, severe","Quebec","All persons","Both sexes",,,,24,2.2
"2020","Food secure","Quebec","Persons in economic families","Both sexes",,,,24,88.3
"2020","Food insecure","Quebec","Persons in economic families","Both sexes",,,,24,11.7
"2020","Food insecure, marginal","Quebec","Persons in economic families","Both sexes",,,,24,4.1
"2020","Food insecure, moderate or severe","Quebec","Persons in economic families","Both sexes",,,,24,7.6
"2020","Food insecure, moderate","Quebec","Persons in economic families","Both sexes",,,,24,5.9
"2020","Food insecure, severe","Quebec","Persons in economic families","Both sexes",,,,24,1.6
"2020","Food secure","Quebec","Persons in elderly families","Both sexes",,,,24,92.5
"2020","Food insecure","Quebec","Persons in elderly families","Both sexes",,,,24,7.5
"2020","Food insecure, marginal","Quebec","Persons in elderly families","Both sexes",,,,24,3
"2020","Food insecure, moderate or severe","Quebec","Persons in elderly families","Both sexes",,,,24,4.4
"2020","Food insecure, moderate","Quebec","Persons in elderly families","Both sexes",,,,24,3.8
"2020","Food secure","Quebec","Persons in elderly couples","Both sexes",,,,24,96
"2020","Food insecure","Quebec","Persons in elderly couples","Both sexes",,,,24,4
"2020","Food insecure, marginal","Quebec","Persons in elderly couples","Both sexes",,,,24,1.5
"2020","Food insecure, moderate or severe","Quebec","Persons in elderly couples","Both sexes",,,,24,2.4
"2020","Food insecure, moderate","Quebec","Persons in elderly couples","Both sexes",,,,24,2.1
"2020","Food secure","Quebec","Persons in other elderly families","Both sexes",,,,24,79.7
"2020","Food insecure","Quebec","Persons in other elderly families","Both sexes",,,,24,20.3
"2020","Food secure","Quebec","Persons in non-elderly families","Both sexes",,,,24,87.6
"2020","Food insecure","Quebec","Persons in non-elderly families","Both sexes",,,,24,12.4
"2020","Food insecure, marginal","Quebec","Persons in non-elderly families","Both sexes",,,,24,4.3
"2020","Food insecure, moderate or severe","Quebec","Persons in non-elderly families","Both sexes",,,,24,8.2
"2020","Food insecure, moderate","Quebec","Persons in non-elderly families","Both sexes",,,,24,6.3
"2020","Food insecure, severe","Quebec","Persons in non-elderly families","Both sexes",,,,24,1.8
"2020","Food secure","Quebec","Persons in couples","Both sexes",,,,24,93.2
"2020","Food insecure","Quebec","Persons in couples","Both sexes",,,,24,6.8
"2020","Food insecure, marginal","Quebec","Persons in couples","Both sexes",,,,24,2.1
"2020","Food insecure, moderate or severe","Quebec","Persons in couples","Both sexes",,,,24,4.7
"2020","Food insecure, moderate","Quebec","Persons in couples","Both sexes",,,,24,2.8
"2020","Food insecure, severe","Quebec","Persons in couples","Both sexes",,,,24,1.9
"2020","Food secure","Quebec","Persons in couple families with children","Both sexes",,,,24,86.8
"2020","Food insecure","Quebec","Persons in couple families with children","Both sexes",,,,24,13.2
"2020","Food insecure, marginal","Quebec","Persons in couple families with children","Both sexes",,,,24,5.4
"2020","Food insecure, moderate or severe","Quebec","Persons in couple families with children","Both sexes",,,,24,7.8
"2020","Food insecure, moderate","Quebec","Persons in couple families with children","Both sexes",,,,24,6.3
"2020","Food insecure, severe","Quebec","Persons in couple families with children","Both sexes",,,,24,1.5
"2020","Food secure","Quebec","Persons in couple families with other relatives","Both sexes",,,,24,91.9
"2020","Food insecure","Quebec","Persons in couple families with other relatives","Both sexes",,,,24,8.1
"2020","Food secure","Quebec","Persons in lone-parent families","Both sexes",,,,24,78.6
"2020","Food insecure","Quebec","Persons in lone-parent families","Both sexes",,,,24,21.4
"2020","Food insecure, marginal","Quebec","Persons in lone-parent families","Both sexes",,,,24,4.8
"2020","Food insecure, moderate or severe","Quebec","Persons in lone-parent families","Both sexes",,,,24,16.6
"2020","Food insecure, moderate","Quebec","Persons in lone-parent families","Both sexes",,,,24,11.6
"2020","Food insecure, severe","Quebec","Persons in lone-parent families","Both sexes",,,,24,5
"2020","Food secure","Quebec","Persons in lone-parent families","Male",,,,24,89.1
"2020","Food insecure","Quebec","Persons in lone-parent families","Male",,,,24,10.9
"2020","Food secure","Quebec","Persons in lone-parent families","Female",,,,24,75.6
"2020","Food insecure","Quebec","Persons in lone-parent families","Female",,,,24,24.4
"2020","Food insecure, marginal","Quebec","Persons in lone-parent families","Female",,,,24,5
"2020","Food insecure, moderate or severe","Quebec","Persons in lone-parent families","Female",,,,24,19.4
"2020","Food insecure, moderate","Quebec","Persons in lone-parent families","Female",,,,24,13
"2020","Food insecure, severe","Quebec","Persons in lone-parent families","Female",,,,24,6.4
"2020","Food secure","Quebec","Persons in other non-elderly families","Both sexes",,,,24,82.1
"2020","Food insecure","Quebec","Persons in other non-elderly families","Both sexes",,,,24,17.9
"2020","Food insecure, moderate or severe","Quebec","Persons in other non-elderly families","Both sexes",,,,24,13.2
"2020","Food insecure, moderate","Quebec","Persons in other non-elderly families","Both sexes",,,,24,10.4
"2020","Food secure","Quebec","Persons not in an economic family","Both sexes",,,,24,83.2
"2020","Food insecure","Quebec","Persons not in an economic family","Both sexes",,,,24,16.8
"2020","Food insecure, marginal","Quebec","Persons not in an economic family","Both sexes",,,,24,4.2
"2020","Food insecure, moderate or severe","Quebec","Persons not in an economic family","Both sexes",,,,24,12.6
"2020","Food insecure, moderate","Quebec","Persons not in an economic family","Both sexes",,,,24,8.2
"2020","Food insecure, severe","Quebec","Persons not in an economic family","Both sexes",,,,24,4.5
"2020","Food secure","Quebec","Elderly persons not in an economic family","Both sexes",,,,24,91.1
"2020","Food insecure","Quebec","Elderly persons not in an economic family","Both sexes",,,,24,8.9
"2020","Food insecure, marginal","Quebec","Elderly persons not in an economic family","Both sexes",,,,24,3.3
"2020","Food insecure, moderate or severe","Quebec","Elderly persons not in an economic family","Both sexes",,,,24,5.6
"2020","Food insecure, moderate","Quebec","Elderly persons not in an economic family","Both sexes",,,,24,3.7
"2020","Food insecure, severe","Quebec","Elderly persons not in an economic family","Both sexes",,,,24,1.9
"2020","Food secure","Quebec","Elderly persons not in an economic family","Male",,,,24,89.8
"2020","Food insecure","Quebec","Elderly persons not in an economic family","Male",,,,24,10.2
"2020","Food insecure, marginal","Quebec","Elderly persons not in an economic family","Male",,,,24,3.4
"2020","Food insecure, moderate or severe","Quebec","Elderly persons not in an economic family","Male",,,,24,6.8
"2020","Food insecure, moderate","Quebec","Elderly persons not in an economic family","Male",,,,24,4.8
"2020","Food secure","Quebec","Elderly persons not in an economic family","Female",,,,24,92
"2020","Food insecure","Quebec","Elderly persons not in an economic family","Female",,,,24,8
"2020","Food insecure, marginal","Quebec","Elderly persons not in an economic family","Female",,,,24,3.2
"2020","Food insecure, moderate or severe","Quebec","Elderly persons not in an economic family","Female",,,,24,4.9
"2020","Food insecure, moderate","Quebec","Elderly persons not in an economic family","Female",,,,24,3
"2020","Food secure","Quebec","Non-elderly persons not in an economic family","Both sexes",,,,24,78.8
"2020","Food insecure","Quebec","Non-elderly persons not in an economic family","Both sexes",,,,24,21.2
"2020","Food insecure, marginal","Quebec","Non-elderly persons not in an economic family","Both sexes",,,,24,4.7
"2020","Food insecure, moderate or severe","Quebec","Non-elderly persons not in an economic family","Both sexes",,,,24,16.5
"2020","Food insecure, moderate","Quebec","Non-elderly persons not in an economic family","Both sexes",,,,24,10.6
"2020","Food insecure, severe","Quebec","Non-elderly persons not in an economic family","Both sexes",,,,24,5.9
"2020","Food secure","Quebec","Non-elderly persons not in an economic family","Male",,,,24,78.1
"2020","Food insecure","Quebec","Non-elderly persons not in an economic family","Male",,,,24,21.9
"2020","Food insecure, marginal","Quebec","Non-elderly persons not in an economic family","Male",,,,24,5.3
"2020","Food insecure, moderate or severe","Quebec","Non-elderly persons not in an economic family","Male",,,,24,16.6
"2020","Food insecure, moderate","Quebec","Non-elderly persons not in an economic family","Male",,,,24,10.5
"2020","Food insecure, severe","Quebec","Non-elderly persons not in an economic family","Male",,,,24,6.1
"2020","Food secure","Quebec","Non-elderly persons not in an economic family","Female",,,,24,79.6
"2020","Food insecure","Quebec","Non-elderly persons not in an economic family","Female",,,,24,20.4
"2020","Food insecure, marginal","Quebec","Non-elderly persons not in an economic family","Female",,,,24,4
"2020","Food insecure, moderate or severe","Quebec","Non-elderly persons not in an economic family","Female",,,,24,16.4
"2020","Food insecure, moderate","Quebec","Non-elderly persons not in an economic family","Female",,,,24,10.8
"2020","Food insecure, severe","Quebec","Non-elderly persons not in an economic family","Female",,,,24,5.5
"2020","Food secure","Ontario","All persons","Both sexes",,,,35,83.9
"2020","Food insecure","Ontario","All persons","Both sexes",,,,35,16.1
"2020","Food insecure, marginal","Ontario","All persons","Both sexes",,,,35,4.6
"2020","Food insecure, moderate or severe","Ontario","All persons","Both sexes",,,,35,11.5
"2020","Food insecure, moderate","Ontario","All persons","Both sexes",,,,35,7.6
"2020","Food insecure, severe","Ontario","All persons","Both sexes",,,,35,3.9
"2020","Food secure","Ontario","Persons in economic families","Both sexes",,,,35,84.3
"2020","Food insecure","Ontario","Persons in economic families","Both sexes",,,,35,15.7
"2020","Food insecure, marginal","Ontario","Persons in economic families","Both sexes",,,,35,4.7
"2020","Food insecure, moderate or severe","Ontario","Persons in economic families","Both sexes",,,,35,11
"2020","Food insecure, moderate","Ontario","Persons in economic families","Both sexes",,,,35,7.4
"2020","Food insecure, severe","Ontario","Persons in economic families","Both sexes",,,,35,3.6
"2020","Food secure","Ontario","Persons in elderly families","Both sexes",,,,35,92.1
"2020","Food insecure","Ontario","Persons in elderly families","Both sexes",,,,35,7.9
"2020","Food insecure, marginal","Ontario","Persons in elderly families","Both sexes",,,,35,2.5
"2020","Food insecure, moderate or severe","Ontario","Persons in elderly families","Both sexes",,,,35,5.4
"2020","Food insecure, moderate","Ontario","Persons in elderly families","Both sexes",,,,35,4.5
"2020","Food insecure, severe","Ontario","Persons in elderly families","Both sexes",,,,35,0.9
"2020","Food secure","Ontario","Persons in elderly couples","Both sexes",,,,35,94.7
"2020","Food insecure","Ontario","Persons in elderly couples","Both sexes",,,,35,5.3
"2020","Food insecure, marginal","Ontario","Persons in elderly couples","Both sexes",,,,35,1.7
"2020","Food insecure, moderate or severe","Ontario","Persons in elderly couples","Both sexes",,,,35,3.6
"2020","Food insecure, moderate","Ontario","Persons in elderly couples","Both sexes",,,,35,2.8
"2020","Food secure","Ontario","Persons in other elderly families","Both sexes",,,,35,87.4
"2020","Food insecure","Ontario","Persons in other elderly families","Both sexes",,,,35,12.6
"2020","Food insecure, marginal","Ontario","Persons in other elderly families","Both sexes",,,,35,3.9
"2020","Food insecure, moderate or severe","Ontario","Persons in other elderly families","Both sexes",,,,35,8.7
"2020","Food secure","Ontario","Persons in non-elderly families","Both sexes",,,,35,82.9
"2020","Food insecure","Ontario","Persons in non-elderly families","Both sexes",,,,35,17.1
"2020","Food insecure, marginal","Ontario","Persons in non-elderly families","Both sexes",,,,35,5.1
"2020","Food insecure, moderate or severe","Ontario","Persons in non-elderly families","Both sexes",,,,35,12
"2020","Food insecure, moderate","Ontario","Persons in non-elderly families","Both sexes",,,,35,8
"2020","Food insecure, severe","Ontario","Persons in non-elderly families","Both sexes",,,,35,4
"2020","Food secure","Ontario","Persons in couples","Both sexes",,,,35,89.5
"2020","Food insecure","Ontario","Persons in couples","Both sexes",,,,35,10.5
"2020","Food insecure, marginal","Ontario","Persons in couples","Both sexes",,,,35,3.2
"2020","Food insecure, moderate or severe","Ontario","Persons in couples","Both sexes",,,,35,7.3
"2020","Food insecure, moderate","Ontario","Persons in couples","Both sexes",,,,35,4.1
"2020","Food insecure, severe","Ontario","Persons in couples","Both sexes",,,,35,3.3
"2020","Food secure","Ontario","Persons in couple families with children","Both sexes",,,,35,83.2
"2020","Food insecure","Ontario","Persons in couple families with children","Both sexes",,,,35,16.8
"2020","Food insecure, marginal","Ontario","Persons in couple families with children","Both sexes",,,,35,6.1
"2020","Food insecure, moderate or severe","Ontario","Persons in couple families with children","Both sexes",,,,35,10.7
"2020","Food insecure, moderate","Ontario","Persons in couple families with children","Both sexes",,,,35,8.1
"2020","Food insecure, severe","Ontario","Persons in couple families with children","Both sexes",,,,35,2.6
"2020","Food secure","Ontario","Persons in couple families with other relatives","Both sexes",,,,35,88.4
"2020","Food insecure","Ontario","Persons in couple families with other relatives","Both sexes",,,,35,11.6
"2020","Food insecure, marginal","Ontario","Persons in couple families with other relatives","Both sexes",,,,35,4.1
"2020","Food insecure, moderate or severe","Ontario","Persons in couple families with other relatives","Both sexes",,,,35,7.5
"2020","Food insecure, moderate","Ontario","Persons in couple families with other relatives","Both sexes",,,,35,4.2
"2020","Food insecure, severe","Ontario","Persons in couple families with other relatives","Both sexes",,,,35,3.3
"2020","Food secure","Ontario","Persons in lone-parent families","Both sexes",,,,35,63.9
"2020","Food insecure","Ontario","Persons in lone-parent families","Both sexes",,,,35,36.1
"2020","Food insecure, marginal","Ontario","Persons in lone-parent families","Both sexes",,,,35,5.7
"2020","Food insecure, moderate or severe","Ontario","Persons in lone-parent families","Both sexes",,,,35,30.4
"2020","Food insecure, moderate","Ontario","Persons in lone-parent families","Both sexes",,,,35,18.1
"2020","Food insecure, severe","Ontario","Persons in lone-parent families","Both sexes",,,,35,12.4
"2020","Food secure","Ontario","Persons in lone-parent families","Male",,,,35,83.5
"2020","Food insecure","Ontario","Persons in lone-parent families","Male",,,,35,16.5
"2020","Food secure","Ontario","Persons in lone-parent families","Female",,,,35,60.1
"2020","Food insecure","Ontario","Persons in lone-parent families","Female",,,,35,39.9
"2020","Food insecure, marginal","Ontario","Persons in lone-parent families","Female",,,,35,6.3
"2020","Food insecure, moderate or severe","Ontario","Persons in lone-parent families","Female",,,,35,33.6
"2020","Food insecure, moderate","Ontario","Persons in lone-parent families","Female",,,,35,19.4
"2020","Food insecure, severe","Ontario","Persons in lone-parent families","Female",,,,35,14.2
"2020","Food secure","Ontario","Persons in other non-elderly families","Both sexes",,,,35,77
"2020","Food insecure","Ontario","Persons in other non-elderly families","Both sexes",,,,35,23
"2020","Food insecure, marginal","Ontario","Persons in other non-elderly families","Both sexes",,,,35,4.8
"2020","Food insecure, moderate or severe","Ontario","Persons in other non-elderly families","Both sexes",,,,35,18.2
"2020","Food insecure, moderate","Ontario","Persons in other non-elderly families","Both sexes",,,,35,11.4
"2020","Food insecure, severe","Ontario","Persons in other non-elderly families","Both sexes",,,,35,6.8
"2020","Food secure","Ontario","Persons not in an economic family","Both sexes",,,,35,81.9
"2020","Food insecure","Ontario","Persons not in an economic family","Both sexes",,,,35,18.1
"2020","Food insecure, marginal","Ontario","Persons not in an economic family","Both sexes",,,,35,4
"2020","Food insecure, moderate or severe","Ontario","Persons not in an economic family","Both sexes",,,,35,14.1
"2020","Food insecure, moderate","Ontario","Persons not in an economic family","Both sexes",,,,35,8.3
"2020","Food insecure, severe","Ontario","Persons not in an economic family","Both sexes",,,,35,5.7
"2020","Food secure","Ontario","Elderly persons not in an economic family","Both sexes",,,,35,89.8
"2020","Food insecure","Ontario","Elderly persons not in an economic family","Both sexes",,,,35,10.2
"2020","Food insecure, marginal","Ontario","Elderly persons not in an economic family","Both sexes",,,,35,2.9
"2020","Food insecure, moderate or severe","Ontario","Elderly persons not in an economic family","Both sexes",,,,35,7.4
