Year,Series,Units,Basic services,Sources of waste for disposal,Proficiency level,Sex,"Geography",GeoCode,Value
2014,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"New Brunswick",,273581
2014,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Quebec",24,5414539
2014,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Quebec",,2831404
2014,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Quebec",,2583135
2014,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Ontario",35,9165299
2014,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Ontario",,3490792
2014,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Ontario",,5674507
2014,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Manitoba",46,990230
2014,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Manitoba",,333008
2014,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Manitoba",,657222
2014,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Saskatchewan",47,940595
2014,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Saskatchewan",,331430
2014,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Saskatchewan",,609166
2014,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Alberta",48,4097584
2014,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Alberta",,1230635
2014,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Alberta",,2866949
2014,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"British Columbia",59,2721309
2014,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"British Columbia",,941345
2014,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"British Columbia",,1779963
2014,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2014,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2014,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2016,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,,,10225943
2016,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,,,14714804
2016,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Newfoundland and Labrador",10,395324
2016,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Newfoundland and Labrador",,
2016,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Newfoundland and Labrador",,
2016,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Prince Edward Island",11,
2016,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Prince Edward Island",,
2016,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Prince Edward Island",,
2016,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Nova Scotia",12,375258
2016,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Nova Scotia",,169786
2016,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Nova Scotia",,205472
2016,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"New Brunswick",13,503123
2016,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"New Brunswick",,225893
2016,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"New Brunswick",,277230
2016,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Quebec",24,5356134
2016,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Quebec",,3010083
2016,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Quebec",,2346051
2016,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Ontario",35,9475472
2016,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Ontario",,3703850
2016,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Ontario",,5771622
2016,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Manitoba",46,969289
2016,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Manitoba",,308517
2016,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Manitoba",,660772
2016,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Saskatchewan",47,898404
2016,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Saskatchewan",,343497
2016,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Saskatchewan",,554908
2016,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Alberta",48,4206668
2016,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Alberta",,1299856
2016,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Alberta",,2906811
2016,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"British Columbia",59,2614087
2016,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"British Columbia",,929476
2016,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"British Columbia",,1684611
2016,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2016,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2016,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2018,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,,,10848238
2018,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,,,14884782
2018,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Newfoundland and Labrador",10,373668
2018,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Newfoundland and Labrador",,158588
2018,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Newfoundland and Labrador",,215080
2018,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Prince Edward Island",11,53972
2018,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Prince Edward Island",,20540
2018,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Prince Edward Island",,33432
2018,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Nova Scotia",12,392328
2018,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Nova Scotia",,157078
2018,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Nova Scotia",,235250
2018,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"New Brunswick",13,507848
2018,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"New Brunswick",,222110
2018,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"New Brunswick",,285738
2018,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Quebec",24,5563136
2018,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Quebec",,3231578
2018,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Quebec",,2331557
2018,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Ontario",35,10085613
2018,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Ontario",,3980665
2018,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Ontario",,6104948
2018,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Manitoba",46,963256
2018,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Manitoba",,333742
2018,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Manitoba",,629514
2018,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Saskatchewan",47,864753
2018,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Saskatchewan",,381180
2018,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Saskatchewan",,483573
2018,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Alberta",48,4118081
2018,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Alberta",,1336765
2018,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Alberta",,2781316
2018,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"British Columbia",59,2719877
2018,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"British Columbia",,993371
2018,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"British Columbia",,1726506
2018,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,90489
2018,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,32621
2018,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,57868
2020,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,,,10862118
2020,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,,,15245602
2020,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Newfoundland and Labrador",10,365210
2020,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Newfoundland and Labrador",,161147
2020,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Newfoundland and Labrador",,204063
2020,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Prince Edward Island",11,55803
2020,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Prince Edward Island",,20174
2020,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Prince Edward Island",,35629
2020,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Nova Scotia",12,399735
2020,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Nova Scotia",,157740
2020,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Nova Scotia",,241995
2020,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"New Brunswick",13,498839
2020,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"New Brunswick",,215093
2020,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"New Brunswick",,283746
2020,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Quebec",24,5756149
2020,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Quebec",,3417649
2020,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Quebec",,2338499
2020,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Ontario",35,10300560
2020,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Ontario",,3814211
2020,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Ontario",,6486350
2020,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Manitoba",46,934437
2020,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Manitoba",,325486
2020,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Manitoba",,608951
2020,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Saskatchewan",47,852445
2020,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Saskatchewan",,406635
2020,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Saskatchewan",,445810
2020,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Alberta",48,4044817
2020,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Alberta",,1238331
2020,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Alberta",,2806486
2020,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"British Columbia",59,2803431
2020,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"British Columbia",,1068244
2020,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"British Columbia",,1735187
2020,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,96294
2020,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,37409
2020,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,58886
2022,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,,,10698180
2022,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,,,15919008
2022,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Newfoundland and Labrador",10,364313
2022,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Newfoundland and Labrador",,159406
2022,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Newfoundland and Labrador",,204906
2022,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Prince Edward Island",11,
2022,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Prince Edward Island",,
2022,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Prince Edward Island",,
2022,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Nova Scotia",12,412942
2022,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Nova Scotia",,173909
2022,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Nova Scotia",,239033
2022,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"New Brunswick",13,504726
2022,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"New Brunswick",,244702
2022,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"New Brunswick",,260024
2022,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Quebec",24,5875625
2022,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Quebec",,3281863
2022,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Quebec",,2593763
2022,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Ontario",35,10738742
2022,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Ontario",,3722372
2022,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Ontario",,7016370
2022,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Manitoba",46,899282
2022,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Manitoba",,314970
2022,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Manitoba",,584312
2022,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Saskatchewan",47,859521
2022,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Saskatchewan",,408146
2022,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Saskatchewan",,451376
2022,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Alberta",48,3967775
2022,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Alberta",,1270939
2022,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Alberta",,2696837
2022,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"British Columbia",59,2845820
2022,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"British Columbia",,1063513
2022,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"British Columbia",,1782307
2022,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2022,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2022,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2015,Access to basic education,Percentage (%),,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,Total,,,92
2019,Access to basic education,Percentage (%),,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,Male,,,94
2019,Access to basic education,Percentage (%),,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,Female,,,91
2019,Access to basic education,Percentage (%),,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,Total,,,92
2023,Access to basic education,Percentage (%),,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,Male,,,
2023,Access to basic education,Percentage (%),,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,Female,,,
2023,Access to basic education,Percentage (%),,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,Total,,,90
2016,Access to basic education,Percentage (%),,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in reading,Male,,,95.3
2016,Access to basic education,Percentage (%),,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in reading,Female,,,96.3
2016,Access to basic education,Percentage (%),,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in reading,Total,,,95.6
2018,Access to basic education,Percentage (%),,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Female,,,90.4
2018,Access to basic education,Percentage (%),,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Male,,,82.1
2018,Access to basic education,Percentage (%),,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Total,,,86.3
2018,Access to basic education,Percentage (%),,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Female,,,83.9
2018,Access to basic education,Percentage (%),,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Male,,,83.6
2018,Access to basic education,Percentage (%),,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Total,,,83.7
2022,Access to basic education,Percentage (%),,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Female,,,85.6
2022,Access to basic education,Percentage (%),,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Male,,,78.2
2022,Access to basic education,Percentage (%),,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Total,,,81.9
2022,Access to basic education,Percentage (%),,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Female,,,78.0
2022,Access to basic education,Percentage (%),,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Male,,,78.7
2022,Access to basic education,Percentage (%),,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Total,,,78.4
2016,Access to basic information services,Percentage (%),Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),,,,,,99.47
2017,Access to basic information services,Percentage (%),Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),,,,,,99.49
2018,Access to basic information services,Percentage (%),Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),,,,,,99.48
2019,Access to basic information services,Percentage (%),Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),,,,,,99.53
2020,Access to basic information services,Percentage (%),Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),,,,,,99.45
2021,Access to basic information services,Percentage (%),Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),,,,,,99.5
2022,Access to basic information services,Percentage (%),Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),,,,,,99.6
2023,Access to basic information services,Percentage (%),Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),,,,,,99.5
2016,Access to basic information services,Percentage (%),Proportion of population covered by Long-Term Evolution - A (LTE-A),,,,,,83.35
2017,Access to basic information services,Percentage (%),Proportion of population covered by Long-Term Evolution - A (LTE-A),,,,,,92.43
2018,Access to basic information services,Percentage (%),Proportion of population covered by Long-Term Evolution - A (LTE-A),,,,,,94.9
2019,Access to basic information services,Percentage (%),Proportion of population covered by Long-Term Evolution - A (LTE-A),,,,,,95.86
2020,Access to basic information services,Percentage (%),Proportion of population covered by Long-Term Evolution - A (LTE-A),,,,,,97.45
2021,Access to basic information services,Percentage (%),Proportion of population covered by Long-Term Evolution - A (LTE-A),,,,,,97.82
2022,Access to basic information services,Percentage (%),Proportion of population covered by Long-Term Evolution - A (LTE-A),,,,,,97.8
2023,Access to basic information services,Percentage (%),Proportion of population covered by Long-Term Evolution - A (LTE-A),,,,,,97.9
2016,Access to basic information services,Percentage (%),Proportion of population covered by Long-Term Evolution (LTE),,,,,,98.55
2017,Access to basic information services,Percentage (%),Proportion of population covered by Long-Term Evolution (LTE),,,,,,99.14
2018,Access to basic information services,Percentage (%),Proportion of population covered by Long-Term Evolution (LTE),,,,,,99.3
2019,Access to basic information services,Percentage (%),Proportion of population covered by Long-Term Evolution (LTE),,,,,,99.48
2020,Access to basic information services,Percentage (%),Proportion of population covered by Long-Term Evolution (LTE),,,,,,99.53
2021,Access to basic information services,Percentage (%),Proportion of population covered by Long-Term Evolution (LTE),,,,,,99.42
2022,Access to basic information services,Percentage (%),Proportion of population covered by Long-Term Evolution (LTE),,,,,,99.47
2023,Access to basic information services,Percentage (%),Proportion of population covered by Long-Term Evolution (LTE),,,,,,99.5
2020,Access to basic information services,Percentage (%),Proportion of population covered by 5G,,,,,,53.27
2021,Access to basic information services,Percentage (%),Proportion of population covered by 5G,,,,,,87.78
2022,Access to basic information services,Percentage (%),Proportion of population covered by 5G,,,,,,91.4
2023,Access to basic information services,Percentage (%),Proportion of population covered by 5G,,,,,,93.3
