"Year","Geography","Educational attainment level","Age group","Sex","GeoCode","Value"
2015,"Saskatchewan","Tertiary education","30 to 34 years","Both sexes",47,50
2015,"Saskatchewan","Tertiary education","30 to 34 years","Male",47,41
2015,"Saskatchewan","Tertiary education","30 to 34 years","Female",47,58
2015,"Saskatchewan","Tertiary education","35 to 44 years","Both sexes",47,48
2015,"Saskatchewan","Tertiary education","35 to 44 years","Male",47,38
2015,"Saskatchewan","Tertiary education","35 to 44 years","Female",47,58
2015,"Saskatchewan","Tertiary education","45 to 54 years","Both sexes",47,40
2015,"Saskatchewan","Tertiary education","45 to 54 years","Male",47,31
2015,"Saskatchewan","Tertiary education","45 to 54 years","Female",47,50
2015,"Saskatchewan","Tertiary education","55 to 64 years","Both sexes",47,34
2015,"Saskatchewan","Tertiary education","55 to 64 years","Male",47,26
2015,"Saskatchewan","Tertiary education","55 to 64 years","Female",47,43
2015,"Alberta","Pre-primary and primary","Total, 25 to 64 years","Both sexes",48,2
2015,"Alberta","Pre-primary and primary","Total, 25 to 64 years","Male",48,2
2015,"Alberta","Pre-primary and primary","Total, 25 to 64 years","Female",48,2
2015,"Alberta","Pre-primary and primary","25 to 34 years","Both sexes",48,1
2015,"Alberta","Pre-primary and primary","25 to 34 years","Male",48,1
2015,"Alberta","Pre-primary and primary","25 to 34 years","Female",48,1
2015,"Alberta","Pre-primary and primary","30 to 34 years","Both sexes",48,1
2015,"Alberta","Pre-primary and primary","30 to 34 years","Male",48,1
2015,"Alberta","Pre-primary and primary","30 to 34 years","Female",48,1
2015,"Alberta","Pre-primary and primary","35 to 44 years","Both sexes",48,2
2015,"Alberta","Pre-primary and primary","35 to 44 years","Male",48,2
2015,"Alberta","Pre-primary and primary","35 to 44 years","Female",48,1
2015,"Alberta","Pre-primary and primary","45 to 54 years","Both sexes",48,3
2015,"Alberta","Pre-primary and primary","45 to 54 years","Male",48,3
2015,"Alberta","Pre-primary and primary","45 to 54 years","Female",48,2
2015,"Alberta","Pre-primary and primary","55 to 64 years","Both sexes",48,3
2015,"Alberta","Pre-primary and primary","55 to 64 years","Male",48,3
2015,"Alberta","Pre-primary and primary","55 to 64 years","Female",48,3
2015,"Alberta","Lower secondary","Total, 25 to 64 years","Both sexes",48,7
2015,"Alberta","Lower secondary","Total, 25 to 64 years","Male",48,8
2015,"Alberta","Lower secondary","Total, 25 to 64 years","Female",48,6
2015,"Alberta","Lower secondary","25 to 34 years","Both sexes",48,6
2015,"Alberta","Lower secondary","25 to 34 years","Male",48,7
2015,"Alberta","Lower secondary","25 to 34 years","Female",48,5
2015,"Alberta","Lower secondary","30 to 34 years","Both sexes",48,6
2015,"Alberta","Lower secondary","30 to 34 years","Male",48,6
2015,"Alberta","Lower secondary","30 to 34 years","Female",48,5
2015,"Alberta","Lower secondary","35 to 44 years","Both sexes",48,6
2015,"Alberta","Lower secondary","35 to 44 years","Male",48,7
2015,"Alberta","Lower secondary","35 to 44 years","Female",48,5
2015,"Alberta","Lower secondary","45 to 54 years","Both sexes",48,8
2015,"Alberta","Lower secondary","45 to 54 years","Male",48,9
2015,"Alberta","Lower secondary","45 to 54 years","Female",48,7
2015,"Alberta","Lower secondary","55 to 64 years","Both sexes",48,10
2015,"Alberta","Lower secondary","55 to 64 years","Male",48,11
2015,"Alberta","Lower secondary","55 to 64 years","Female",48,9
2015,"Alberta","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Both sexes",48,40
2015,"Alberta","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Male",48,47
2015,"Alberta","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Female",48,32
2015,"Alberta","Upper secondary and post-secondary non-tertiary","25 to 34 years","Both sexes",48,40
2015,"Alberta","Upper secondary and post-secondary non-tertiary","25 to 34 years","Male",48,50
2015,"Alberta","Upper secondary and post-secondary non-tertiary","25 to 34 years","Female",48,30
2015,"Alberta","Upper secondary and post-secondary non-tertiary","30 to 34 years","Both sexes",48,38
2015,"Alberta","Upper secondary and post-secondary non-tertiary","30 to 34 years","Male",48,49
2015,"Alberta","Upper secondary and post-secondary non-tertiary","30 to 34 years","Female",48,27
2015,"Alberta","Upper secondary and post-secondary non-tertiary","35 to 44 years","Both sexes",48,35
2015,"Alberta","Upper secondary and post-secondary non-tertiary","35 to 44 years","Male",48,42
2015,"Alberta","Upper secondary and post-secondary non-tertiary","35 to 44 years","Female",48,27
2015,"Alberta","Upper secondary and post-secondary non-tertiary","45 to 54 years","Both sexes",48,41
2015,"Alberta","Upper secondary and post-secondary non-tertiary","45 to 54 years","Male",48,49
2015,"Alberta","Upper secondary and post-secondary non-tertiary","45 to 54 years","Female",48,34
2015,"Alberta","Upper secondary and post-secondary non-tertiary","55 to 64 years","Both sexes",48,44
2015,"Alberta","Upper secondary and post-secondary non-tertiary","55 to 64 years","Male",48,49
2015,"Alberta","Upper secondary and post-secondary non-tertiary","55 to 64 years","Female",48,39
2015,"Alberta","Tertiary education","Total, 25 to 64 years","Both sexes",48,51
2015,"Alberta","Tertiary education","Total, 25 to 64 years","Male",48,42
2015,"Alberta","Tertiary education","Total, 25 to 64 years","Female",48,60
2015,"Alberta","Tertiary education","25 to 34 years","Both sexes",48,53
2015,"Alberta","Tertiary education","25 to 34 years","Male",48,42
2015,"Alberta","Tertiary education","25 to 34 years","Female",48,64
2015,"Alberta","Tertiary education","30 to 34 years","Both sexes",48,55
2015,"Alberta","Tertiary education","30 to 34 years","Male",48,44
2015,"Alberta","Tertiary education","30 to 34 years","Female",48,67
2015,"Alberta","Tertiary education","35 to 44 years","Both sexes",48,57
2015,"Alberta","Tertiary education","35 to 44 years","Male",48,49
2015,"Alberta","Tertiary education","35 to 44 years","Female",48,66
2015,"Alberta","Tertiary education","45 to 54 years","Both sexes",48,48
2015,"Alberta","Tertiary education","45 to 54 years","Male",48,39
2015,"Alberta","Tertiary education","45 to 54 years","Female",48,57
2015,"Alberta","Tertiary education","55 to 64 years","Both sexes",48,43
2015,"Alberta","Tertiary education","55 to 64 years","Male",48,38
2015,"Alberta","Tertiary education","55 to 64 years","Female",48,49
2015,"British Columbia","Pre-primary and primary","Total, 25 to 64 years","Both sexes",59,1
2015,"British Columbia","Pre-primary and primary","Total, 25 to 64 years","Male",59,1
2015,"British Columbia","Pre-primary and primary","Total, 25 to 64 years","Female",59,1
2015,"British Columbia","Pre-primary and primary","25 to 34 years","Both sexes",59,0
2015,"British Columbia","Pre-primary and primary","25 to 34 years","Male",59,1
2015,"British Columbia","Pre-primary and primary","25 to 34 years","Female",59,
2015,"British Columbia","Pre-primary and primary","30 to 34 years","Both sexes",59,0
2015,"British Columbia","Pre-primary and primary","30 to 34 years","Male",59,
2015,"British Columbia","Pre-primary and primary","30 to 34 years","Female",59,
2015,"British Columbia","Pre-primary and primary","35 to 44 years","Both sexes",59,1
2015,"British Columbia","Pre-primary and primary","35 to 44 years","Male",59,
2015,"British Columbia","Pre-primary and primary","35 to 44 years","Female",59,1
2015,"British Columbia","Pre-primary and primary","45 to 54 years","Both sexes",59,1
2015,"British Columbia","Pre-primary and primary","45 to 54 years","Male",59,1
2015,"British Columbia","Pre-primary and primary","45 to 54 years","Female",59,1
2015,"British Columbia","Pre-primary and primary","55 to 64 years","Both sexes",59,3
2015,"British Columbia","Pre-primary and primary","55 to 64 years","Male",59,3
2015,"British Columbia","Pre-primary and primary","55 to 64 years","Female",59,3
2015,"British Columbia","Lower secondary","Total, 25 to 64 years","Both sexes",59,6
2015,"British Columbia","Lower secondary","Total, 25 to 64 years","Male",59,6
2015,"British Columbia","Lower secondary","Total, 25 to 64 years","Female",59,5
2015,"British Columbia","Lower secondary","25 to 34 years","Both sexes",59,4
2015,"British Columbia","Lower secondary","25 to 34 years","Male",59,5
2015,"British Columbia","Lower secondary","25 to 34 years","Female",59,3
2015,"British Columbia","Lower secondary","30 to 34 years","Both sexes",59,4
2015,"British Columbia","Lower secondary","30 to 34 years","Male",59,5
2015,"British Columbia","Lower secondary","30 to 34 years","Female",59,3
2015,"British Columbia","Lower secondary","35 to 44 years","Both sexes",59,4
2015,"British Columbia","Lower secondary","35 to 44 years","Male",59,4
2015,"British Columbia","Lower secondary","35 to 44 years","Female",59,4
2015,"British Columbia","Lower secondary","45 to 54 years","Both sexes",59,6
2015,"British Columbia","Lower secondary","45 to 54 years","Male",59,7
2015,"British Columbia","Lower secondary","45 to 54 years","Female",59,4
2015,"British Columbia","Lower secondary","55 to 64 years","Both sexes",59,8
2015,"British Columbia","Lower secondary","55 to 64 years","Male",59,9
2015,"British Columbia","Lower secondary","55 to 64 years","Female",59,7
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Both sexes",59,39
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Male",59,45
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Female",59,33
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","25 to 34 years","Both sexes",59,40
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","25 to 34 years","Male",59,49
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","25 to 34 years","Female",59,31
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","30 to 34 years","Both sexes",59,38
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","30 to 34 years","Male",59,47
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","30 to 34 years","Female",59,30
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","35 to 44 years","Both sexes",59,35
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","35 to 44 years","Male",59,43
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","35 to 44 years","Female",59,28
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","45 to 54 years","Both sexes",59,39
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","45 to 54 years","Male",59,44
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","45 to 54 years","Female",59,34
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","55 to 64 years","Both sexes",59,43
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","55 to 64 years","Male",59,47
2015,"British Columbia","Upper secondary and post-secondary non-tertiary","55 to 64 years","Female",59,40
2015,"British Columbia","Tertiary education","Total, 25 to 64 years","Both sexes",59,54
2015,"British Columbia","Tertiary education","Total, 25 to 64 years","Male",59,47
2015,"British Columbia","Tertiary education","Total, 25 to 64 years","Female",59,61
2015,"British Columbia","Tertiary education","25 to 34 years","Both sexes",59,56
2015,"British Columbia","Tertiary education","25 to 34 years","Male",59,45
2015,"British Columbia","Tertiary education","25 to 34 years","Female",59,66
2015,"British Columbia","Tertiary education","30 to 34 years","Both sexes",59,57
2015,"British Columbia","Tertiary education","30 to 34 years","Male",59,47
2015,"British Columbia","Tertiary education","30 to 34 years","Female",59,67
2015,"British Columbia","Tertiary education","35 to 44 years","Both sexes",59,60
2015,"British Columbia","Tertiary education","35 to 44 years","Male",59,53
2015,"British Columbia","Tertiary education","35 to 44 years","Female",59,67
2015,"British Columbia","Tertiary education","45 to 54 years","Both sexes",59,54
2015,"British Columbia","Tertiary education","45 to 54 years","Male",59,48
2015,"British Columbia","Tertiary education","45 to 54 years","Female",59,61
2015,"British Columbia","Tertiary education","55 to 64 years","Both sexes",59,46
2015,"British Columbia","Tertiary education","55 to 64 years","Male",59,41
2015,"British Columbia","Tertiary education","55 to 64 years","Female",59,50
2015,"Yukon","Pre-primary and primary","Total, 25 to 64 years","Both sexes",60,1
2015,"Yukon","Pre-primary and primary","Total, 25 to 64 years","Male",60,
2015,"Yukon","Pre-primary and primary","Total, 25 to 64 years","Female",60,
2015,"Yukon","Pre-primary and primary","25 to 34 years","Both sexes",60,
2015,"Yukon","Pre-primary and primary","25 to 34 years","Male",60,
2015,"Yukon","Pre-primary and primary","25 to 34 years","Female",60,
2015,"Yukon","Pre-primary and primary","30 to 34 years","Both sexes",60,
2015,"Yukon","Pre-primary and primary","30 to 34 years","Male",60,
2015,"Yukon","Pre-primary and primary","30 to 34 years","Female",60,
2015,"Yukon","Pre-primary and primary","35 to 44 years","Both sexes",60,
2015,"Yukon","Pre-primary and primary","35 to 44 years","Male",60,
2015,"Yukon","Pre-primary and primary","35 to 44 years","Female",60,
2015,"Yukon","Pre-primary and primary","45 to 54 years","Both sexes",60,
2015,"Yukon","Pre-primary and primary","45 to 54 years","Male",60,
2015,"Yukon","Pre-primary and primary","45 to 54 years","Female",60,
2015,"Yukon","Pre-primary and primary","55 to 64 years","Both sexes",60,
2015,"Yukon","Pre-primary and primary","55 to 64 years","Male",60,
2015,"Yukon","Pre-primary and primary","55 to 64 years","Female",60,
2015,"Yukon","Lower secondary","Total, 25 to 64 years","Both sexes",60,9
2015,"Yukon","Lower secondary","Total, 25 to 64 years","Male",60,10
2015,"Yukon","Lower secondary","Total, 25 to 64 years","Female",60,7
2015,"Yukon","Lower secondary","25 to 34 years","Both sexes",60,7
2015,"Yukon","Lower secondary","25 to 34 years","Male",60,10
2015,"Yukon","Lower secondary","25 to 34 years","Female",60,
2015,"Yukon","Lower secondary","30 to 34 years","Both sexes",60,10
2015,"Yukon","Lower secondary","30 to 34 years","Male",60,
2015,"Yukon","Lower secondary","30 to 34 years","Female",60,
2015,"Yukon","Lower secondary","35 to 44 years","Both sexes",60,5
2015,"Yukon","Lower secondary","35 to 44 years","Male",60,
2015,"Yukon","Lower secondary","35 to 44 years","Female",60,
2015,"Yukon","Lower secondary","45 to 54 years","Both sexes",60,11
2015,"Yukon","Lower secondary","45 to 54 years","Male",60,13
2015,"Yukon","Lower secondary","45 to 54 years","Female",60,8
2015,"Yukon","Lower secondary","55 to 64 years","Both sexes",60,11
2015,"Yukon","Lower secondary","55 to 64 years","Male",60,12
2015,"Yukon","Lower secondary","55 to 64 years","Female",60,10
2015,"Yukon","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Both sexes",60,34
2015,"Yukon","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Male",60,42
2015,"Yukon","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Female",60,26
2015,"Yukon","Upper secondary and post-secondary non-tertiary","25 to 34 years","Both sexes",60,34
2015,"Yukon","Upper secondary and post-secondary non-tertiary","25 to 34 years","Male",60,42
2015,"Yukon","Upper secondary and post-secondary non-tertiary","25 to 34 years","Female",60,26
2015,"Yukon","Upper secondary and post-secondary non-tertiary","30 to 34 years","Both sexes",60,32
2015,"Yukon","Upper secondary and post-secondary non-tertiary","30 to 34 years","Male",60,44
2015,"Yukon","Upper secondary and post-secondary non-tertiary","30 to 34 years","Female",60,18
2015,"Yukon","Upper secondary and post-secondary non-tertiary","35 to 44 years","Both sexes",60,36
2015,"Yukon","Upper secondary and post-secondary non-tertiary","35 to 44 years","Male",60,44
2015,"Yukon","Upper secondary and post-secondary non-tertiary","35 to 44 years","Female",60,28
2015,"Yukon","Upper secondary and post-secondary non-tertiary","45 to 54 years","Both sexes",60,31
2015,"Yukon","Upper secondary and post-secondary non-tertiary","45 to 54 years","Male",60,40
2015,"Yukon","Upper secondary and post-secondary non-tertiary","45 to 54 years","Female",60,21
2015,"Yukon","Upper secondary and post-secondary non-tertiary","55 to 64 years","Both sexes",60,34
2015,"Yukon","Upper secondary and post-secondary non-tertiary","55 to 64 years","Male",60,40
2015,"Yukon","Upper secondary and post-secondary non-tertiary","55 to 64 years","Female",60,29
2015,"Yukon","Tertiary education","Total, 25 to 64 years","Both sexes",60,57
2015,"Yukon","Tertiary education","Total, 25 to 64 years","Male",60,47
2015,"Yukon","Tertiary education","Total, 25 to 64 years","Female",60,67
2015,"Yukon","Tertiary education","25 to 34 years","Both sexes",60,58
2015,"Yukon","Tertiary education","25 to 34 years","Male",60,48
2015,"Yukon","Tertiary education","25 to 34 years","Female",60,69
2015,"Yukon","Tertiary education","30 to 34 years","Both sexes",60,58
2015,"Yukon","Tertiary education","30 to 34 years","Male",60,44
2015,"Yukon","Tertiary education","30 to 34 years","Female",60,74
2015,"Yukon","Tertiary education","35 to 44 years","Both sexes",60,58
2015,"Yukon","Tertiary education","35 to 44 years","Male",60,49
2015,"Yukon","Tertiary education","35 to 44 years","Female",60,67
2015,"Yukon","Tertiary education","45 to 54 years","Both sexes",60,57
2015,"Yukon","Tertiary education","45 to 54 years","Male",60,44
2015,"Yukon","Tertiary education","45 to 54 years","Female",60,70
2015,"Yukon","Tertiary education","55 to 64 years","Both sexes",60,53
2015,"Yukon","Tertiary education","55 to 64 years","Male",60,46
2015,"Yukon","Tertiary education","55 to 64 years","Female",60,60
2015,"Northwest Territories","Pre-primary and primary","Total, 25 to 64 years","Both sexes",61,5
2015,"Northwest Territories","Pre-primary and primary","Total, 25 to 64 years","Male",61,6
2015,"Northwest Territories","Pre-primary and primary","Total, 25 to 64 years","Female",61,4
2015,"Northwest Territories","Pre-primary and primary","25 to 34 years","Both sexes",61,
2015,"Northwest Territories","Pre-primary and primary","25 to 34 years","Male",61,
2015,"Northwest Territories","Pre-primary and primary","25 to 34 years","Female",61,
2015,"Northwest Territories","Pre-primary and primary","30 to 34 years","Both sexes",61,
2015,"Northwest Territories","Pre-primary and primary","30 to 34 years","Male",61,
2015,"Northwest Territories","Pre-primary and primary","30 to 34 years","Female",61,
2015,"Northwest Territories","Pre-primary and primary","35 to 44 years","Both sexes",61,
2015,"Northwest Territories","Pre-primary and primary","35 to 44 years","Male",61,
2015,"Northwest Territories","Pre-primary and primary","35 to 44 years","Female",61,
2015,"Northwest Territories","Pre-primary and primary","45 to 54 years","Both sexes",61,7
2015,"Northwest Territories","Pre-primary and primary","45 to 54 years","Male",61,7
2015,"Northwest Territories","Pre-primary and primary","45 to 54 years","Female",61,
2015,"Northwest Territories","Pre-primary and primary","55 to 64 years","Both sexes",61,9
2015,"Northwest Territories","Pre-primary and primary","55 to 64 years","Male",61,11
2015,"Northwest Territories","Pre-primary and primary","55 to 64 years","Female",61,
2015,"Northwest Territories","Lower secondary","Total, 25 to 64 years","Both sexes",61,12
2015,"Northwest Territories","Lower secondary","Total, 25 to 64 years","Male",61,13
2015,"Northwest Territories","Lower secondary","Total, 25 to 64 years","Female",61,12
2015,"Northwest Territories","Lower secondary","25 to 34 years","Both sexes",61,15
2015,"Northwest Territories","Lower secondary","25 to 34 years","Male",61,15
2015,"Northwest Territories","Lower secondary","25 to 34 years","Female",61,14
2015,"Northwest Territories","Lower secondary","30 to 34 years","Both sexes",61,15
2015,"Northwest Territories","Lower secondary","30 to 34 years","Male",61,13
2015,"Northwest Territories","Lower secondary","30 to 34 years","Female",61,17
2015,"Northwest Territories","Lower secondary","35 to 44 years","Both sexes",61,12
2015,"Northwest Territories","Lower secondary","35 to 44 years","Male",61,13
2015,"Northwest Territories","Lower secondary","35 to 44 years","Female",61,11
2015,"Northwest Territories","Lower secondary","45 to 54 years","Both sexes",61,13
2015,"Northwest Territories","Lower secondary","45 to 54 years","Male",61,14
2015,"Northwest Territories","Lower secondary","45 to 54 years","Female",61,11
2015,"Northwest Territories","Lower secondary","55 to 64 years","Both sexes",61,9
2015,"Northwest Territories","Lower secondary","55 to 64 years","Male",61,
2015,"Northwest Territories","Lower secondary","55 to 64 years","Female",61,11
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Both sexes",61,36
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Male",61,43
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Female",61,29
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","25 to 34 years","Both sexes",61,36
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","25 to 34 years","Male",61,42
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","25 to 34 years","Female",61,32
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","30 to 34 years","Both sexes",61,29
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","30 to 34 years","Male",61,36
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","30 to 34 years","Female",61,23
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","35 to 44 years","Both sexes",61,35
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","35 to 44 years","Male",61,44
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","35 to 44 years","Female",61,26
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","45 to 54 years","Both sexes",61,33
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","45 to 54 years","Male",61,41
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","45 to 54 years","Female",61,25
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","55 to 64 years","Both sexes",61,41
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","55 to 64 years","Male",61,49
2015,"Northwest Territories","Upper secondary and post-secondary non-tertiary","55 to 64 years","Female",61,33
2015,"Northwest Territories","Tertiary education","Total, 25 to 64 years","Both sexes",61,47
2015,"Northwest Territories","Tertiary education","Total, 25 to 64 years","Male",61,39
2015,"Northwest Territories","Tertiary education","Total, 25 to 64 years","Female",61,55
2015,"Northwest Territories","Tertiary education","25 to 34 years","Both sexes",61,48
2015,"Northwest Territories","Tertiary education","25 to 34 years","Male",61,42
2015,"Northwest Territories","Tertiary education","25 to 34 years","Female",61,53
2015,"Northwest Territories","Tertiary education","30 to 34 years","Both sexes",61,54
2015,"Northwest Territories","Tertiary education","30 to 34 years","Male",61,49
2015,"Northwest Territories","Tertiary education","30 to 34 years","Female",61,58
2015,"Northwest Territories","Tertiary education","35 to 44 years","Both sexes",61,51
2015,"Northwest Territories","Tertiary education","35 to 44 years","Male",61,40
2015,"Northwest Territories","Tertiary education","35 to 44 years","Female",61,61
2015,"Northwest Territories","Tertiary education","45 to 54 years","Both sexes",61,47
2015,"Northwest Territories","Tertiary education","45 to 54 years","Male",61,38
2015,"Northwest Territories","Tertiary education","45 to 54 years","Female",61,58
2015,"Northwest Territories","Tertiary education","55 to 64 years","Both sexes",61,40
2015,"Northwest Territories","Tertiary education","55 to 64 years","Male",61,33
2015,"Northwest Territories","Tertiary education","55 to 64 years","Female",61,48
2015,"Nunavut","Pre-primary and primary","Total, 25 to 64 years","Both sexes",62,14
2015,"Nunavut","Pre-primary and primary","Total, 25 to 64 years","Male",62,14
2015,"Nunavut","Pre-primary and primary","Total, 25 to 64 years","Female",62,13
2015,"Nunavut","Pre-primary and primary","25 to 34 years","Both sexes",62,5
2015,"Nunavut","Pre-primary and primary","25 to 34 years","Male",62,
2015,"Nunavut","Pre-primary and primary","25 to 34 years","Female",62,
2015,"Nunavut","Pre-primary and primary","30 to 34 years","Both sexes",62,
2015,"Nunavut","Pre-primary and primary","30 to 34 years","Male",62,
2015,"Nunavut","Pre-primary and primary","30 to 34 years","Female",62,
2015,"Nunavut","Pre-primary and primary","35 to 44 years","Both sexes",62,14
2015,"Nunavut","Pre-primary and primary","35 to 44 years","Male",62,13
2015,"Nunavut","Pre-primary and primary","35 to 44 years","Female",62,15
2015,"Nunavut","Pre-primary and primary","45 to 54 years","Both sexes",62,20
2015,"Nunavut","Pre-primary and primary","45 to 54 years","Male",62,20
2015,"Nunavut","Pre-primary and primary","45 to 54 years","Female",62,19
2015,"Nunavut","Pre-primary and primary","55 to 64 years","Both sexes",62,23
2015,"Nunavut","Pre-primary and primary","55 to 64 years","Male",62,21
2015,"Nunavut","Pre-primary and primary","55 to 64 years","Female",62,26
2015,"Nunavut","Lower secondary","Total, 25 to 64 years","Both sexes",62,32
2015,"Nunavut","Lower secondary","Total, 25 to 64 years","Male",62,33
2015,"Nunavut","Lower secondary","Total, 25 to 64 years","Female",62,30
2015,"Nunavut","Lower secondary","25 to 34 years","Both sexes",62,40
2015,"Nunavut","Lower secondary","25 to 34 years","Male",62,43
2015,"Nunavut","Lower secondary","25 to 34 years","Female",62,37
2015,"Nunavut","Lower secondary","30 to 34 years","Both sexes",62,39
2015,"Nunavut","Lower secondary","30 to 34 years","Male",62,45
2015,"Nunavut","Lower secondary","30 to 34 years","Female",62,32
2015,"Nunavut","Lower secondary","35 to 44 years","Both sexes",62,35
2015,"Nunavut","Lower secondary","35 to 44 years","Male",62,39
2015,"Nunavut","Lower secondary","35 to 44 years","Female",62,32
2015,"Nunavut","Lower secondary","45 to 54 years","Both sexes",62,22
2015,"Nunavut","Lower secondary","45 to 54 years","Male",62,26
2015,"Nunavut","Lower secondary","45 to 54 years","Female",62,18
2015,"Nunavut","Lower secondary","55 to 64 years","Both sexes",62,21
2015,"Nunavut","Lower secondary","55 to 64 years","Male",62,
2015,"Nunavut","Lower secondary","55 to 64 years","Female",62,29
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Both sexes",62,23
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Male",62,26
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Female",62,19
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","25 to 34 years","Both sexes",62,27
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","25 to 34 years","Male",62,28
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","25 to 34 years","Female",62,26
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","30 to 34 years","Both sexes",62,25
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","30 to 34 years","Male",62,22
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","30 to 34 years","Female",62,27
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","35 to 44 years","Both sexes",62,19
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","35 to 44 years","Male",62,24
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","35 to 44 years","Female",62,15
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","45 to 54 years","Both sexes",62,24
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","45 to 54 years","Male",62,28
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","45 to 54 years","Female",62,19
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","55 to 64 years","Both sexes",62,16
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","55 to 64 years","Male",62,21
2015,"Nunavut","Upper secondary and post-secondary non-tertiary","55 to 64 years","Female",62,
2015,"Nunavut","Tertiary education","Total, 25 to 64 years","Both sexes",62,32
2015,"Nunavut","Tertiary education","Total, 25 to 64 years","Male",62,27
2015,"Nunavut","Tertiary education","Total, 25 to 64 years","Female",62,38
2015,"Nunavut","Tertiary education","25 to 34 years","Both sexes",62,27
2015,"Nunavut","Tertiary education","25 to 34 years","Male",62,22
2015,"Nunavut","Tertiary education","25 to 34 years","Female",62,34
2015,"Nunavut","Tertiary education","30 to 34 years","Both sexes",62,31
2015,"Nunavut","Tertiary education","30 to 34 years","Male",62,28
2015,"Nunavut","Tertiary education","30 to 34 years","Female",62,35
2015,"Nunavut","Tertiary education","35 to 44 years","Both sexes",62,32
2015,"Nunavut","Tertiary education","35 to 44 years","Male",62,24
2015,"Nunavut","Tertiary education","35 to 44 years","Female",62,38
2015,"Nunavut","Tertiary education","45 to 54 years","Both sexes",62,35
2015,"Nunavut","Tertiary education","45 to 54 years","Male",62,27
2015,"Nunavut","Tertiary education","45 to 54 years","Female",62,44
2015,"Nunavut","Tertiary education","55 to 64 years","Both sexes",62,40
2015,"Nunavut","Tertiary education","55 to 64 years","Male",62,44
2015,"Nunavut","Tertiary education","55 to 64 years","Female",62,35
2016,"Canada","Pre-primary and primary","Total, 25 to 64 years","Both sexes",,2
2016,"Canada","Pre-primary and primary","Total, 25 to 64 years","Male",,3
2016,"Canada","Pre-primary and primary","Total, 25 to 64 years","Female",,2
