"Year","Geography","Activity group","Age group","Gender","GeoCode","Value"
"2015","Ontario","Unpaid household work","15 to 24 years","Total, all persons","35",3.3
"2015","Ontario","Unpaid household work","15 to 24 years","Men+","35",2.9
"2015","Ontario","Unpaid household work","15 to 24 years","Women+","35",3.8
"2015","Ontario","Unpaid household work","25 to 54 years","Total, all persons","35",7.9
"2015","Ontario","Unpaid household work","25 to 54 years","Men+","35",6.3
"2015","Ontario","Unpaid household work","25 to 54 years","Women+","35",9.6
"2015","Ontario","Unpaid household work","25 to 34 years","Total, all persons","35",6.3
"2015","Ontario","Unpaid household work","25 to 34 years","Men+","35",4.2
"2015","Ontario","Unpaid household work","25 to 34 years","Women+","35",7.9
"2015","Ontario","Unpaid household work","35 to 44 years","Total, all persons","35",8.3
"2015","Ontario","Unpaid household work","35 to 44 years","Men+","35",6.7
"2015","Ontario","Unpaid household work","35 to 44 years","Women+","35",10.4
"2015","Ontario","Unpaid household work","45 to 54 years","Total, all persons","35",9.2
"2015","Ontario","Unpaid household work","45 to 54 years","Men+","35",7.5
"2015","Ontario","Unpaid household work","45 to 54 years","Women+","35",10.8
"2015","Ontario","Unpaid household work","55 to 64 years","Total, all persons","35",11.3
"2015","Ontario","Unpaid household work","55 to 64 years","Men+","35",9.6
"2015","Ontario","Unpaid household work","55 to 64 years","Women+","35",12.9
"2015","Ontario","Unpaid household work","65 years and over","Total, all persons","35",12.1
"2015","Ontario","Unpaid household work","65 years and over","Men+","35",10.4
"2015","Ontario","Unpaid household work","65 years and over","Women+","35",13.8
"2015","Ontario","Care of children under 18 years","Total, 15 years and over","Total, all persons","35",1.7
"2015","Ontario","Care of children under 18 years","Total, 15 years and over","Men+","35",1.3
"2015","Ontario","Care of children under 18 years","Total, 15 years and over","Women+","35",2.1
"2015","Ontario","Care of children under 18 years","15 to 24 years","Total, all persons","35",0.4
"2015","Ontario","Care of children under 18 years","15 to 24 years","Men+","35",
"2015","Ontario","Care of children under 18 years","15 to 24 years","Women+","35",
"2015","Ontario","Care of children under 18 years","25 to 54 years","Total, all persons","35",2.9
"2015","Ontario","Care of children under 18 years","25 to 54 years","Men+","35",2.1
"2015","Ontario","Care of children under 18 years","25 to 54 years","Women+","35",3.8
"2015","Ontario","Care of children under 18 years","25 to 34 years","Total, all persons","35",3.3
"2015","Ontario","Care of children under 18 years","25 to 34 years","Men+","35",1.7
"2015","Ontario","Care of children under 18 years","25 to 34 years","Women+","35",5
"2015","Ontario","Care of children under 18 years","35 to 44 years","Total, all persons","35",4.6
"2015","Ontario","Care of children under 18 years","35 to 44 years","Men+","35",3.3
"2015","Ontario","Care of children under 18 years","35 to 44 years","Women+","35",5.8
"2015","Ontario","Care of children under 18 years","45 to 54 years","Total, all persons","35",1.3
"2015","Ontario","Care of children under 18 years","45 to 54 years","Men+","35",1.3
"2015","Ontario","Care of children under 18 years","45 to 54 years","Women+","35",1.3
"2015","Ontario","Care of children under 18 years","55 to 64 years","Total, all persons","35",0.4
"2015","Ontario","Care of children under 18 years","55 to 64 years","Men+","35",
"2015","Ontario","Care of children under 18 years","55 to 64 years","Women+","35",0.4
"2015","Ontario","Care of children under 18 years","65 years and over","Total, all persons","35",
"2015","Ontario","Care of children under 18 years","65 years and over","Men+","35",
"2015","Ontario","Care of children under 18 years","65 years and over","Women+","35",
"2015","Ontario","Care of adults","Total, 15 years and over","Total, all persons","35",
"2015","Ontario","Care of adults","Total, 15 years and over","Men+","35",
"2015","Ontario","Care of adults","Total, 15 years and over","Women+","35",
"2015","Ontario","Care of adults","15 to 24 years","Total, all persons","35",
"2015","Ontario","Care of adults","15 to 24 years","Men+","35",
"2015","Ontario","Care of adults","15 to 24 years","Women+","35",0
"2015","Ontario","Care of adults","25 to 54 years","Total, all persons","35",
"2015","Ontario","Care of adults","25 to 54 years","Men+","35",
"2015","Ontario","Care of adults","25 to 54 years","Women+","35",
"2015","Ontario","Care of adults","25 to 34 years","Total, all persons","35",
"2015","Ontario","Care of adults","25 to 34 years","Men+","35",
"2015","Ontario","Care of adults","25 to 34 years","Women+","35",
"2015","Ontario","Care of adults","35 to 44 years","Total, all persons","35",
"2015","Ontario","Care of adults","35 to 44 years","Men+","35",
"2015","Ontario","Care of adults","35 to 44 years","Women+","35",
"2015","Ontario","Care of adults","45 to 54 years","Total, all persons","35",
"2015","Ontario","Care of adults","45 to 54 years","Men+","35",
"2015","Ontario","Care of adults","45 to 54 years","Women+","35",
"2015","Ontario","Care of adults","55 to 64 years","Total, all persons","35",
"2015","Ontario","Care of adults","55 to 64 years","Men+","35",
"2015","Ontario","Care of adults","55 to 64 years","Women+","35",
"2015","Ontario","Care of adults","65 years and over","Total, all persons","35",
"2015","Ontario","Care of adults","65 years and over","Men+","35",
"2015","Ontario","Care of adults","65 years and over","Women+","35",
"2015","Ontario","Shopping for goods or services","Total, 15 years and over","Total, all persons","35",2.1
"2015","Ontario","Shopping for goods or services","Total, 15 years and over","Men+","35",1.7
"2015","Ontario","Shopping for goods or services","Total, 15 years and over","Women+","35",2.5
"2015","Ontario","Shopping for goods or services","15 to 24 years","Total, all persons","35",1.3
"2015","Ontario","Shopping for goods or services","15 to 24 years","Men+","35",0.8
"2015","Ontario","Shopping for goods or services","15 to 24 years","Women+","35",1.7
"2015","Ontario","Shopping for goods or services","25 to 54 years","Total, all persons","35",1.7
"2015","Ontario","Shopping for goods or services","25 to 54 years","Men+","35",1.3
"2015","Ontario","Shopping for goods or services","25 to 54 years","Women+","35",2.1
"2015","Ontario","Shopping for goods or services","25 to 34 years","Total, all persons","35",1.7
"2015","Ontario","Shopping for goods or services","25 to 34 years","Men+","35",1.3
"2015","Ontario","Shopping for goods or services","25 to 34 years","Women+","35",2.5
"2015","Ontario","Shopping for goods or services","35 to 44 years","Total, all persons","35",1.7
"2015","Ontario","Shopping for goods or services","35 to 44 years","Men+","35",1.7
"2015","Ontario","Shopping for goods or services","35 to 44 years","Women+","35",2.1
"2015","Ontario","Shopping for goods or services","45 to 54 years","Total, all persons","35",2.1
"2015","Ontario","Shopping for goods or services","45 to 54 years","Men+","35",1.7
"2015","Ontario","Shopping for goods or services","45 to 54 years","Women+","35",2.5
"2015","Ontario","Shopping for goods or services","55 to 64 years","Total, all persons","35",2.5
"2015","Ontario","Shopping for goods or services","55 to 64 years","Men+","35",1.7
"2015","Ontario","Shopping for goods or services","55 to 64 years","Women+","35",2.9
"2015","Ontario","Shopping for goods or services","65 years and over","Total, all persons","35",2.9
"2015","Ontario","Shopping for goods or services","65 years and over","Men+","35",2.5
"2015","Ontario","Shopping for goods or services","65 years and over","Women+","35",2.9
"2015","Prairies","Total, unpaid work activities","Total, 15 years and over","Total, all persons","4",12.9
"2015","Prairies","Total, unpaid work activities","Total, 15 years and over","Men+","4",10.4
"2015","Prairies","Total, unpaid work activities","Total, 15 years and over","Women+","4",15.8
"2015","Prairies","Total, unpaid work activities","15 to 24 years","Total, all persons","4",6.7
"2015","Prairies","Total, unpaid work activities","15 to 24 years","Men+","4",5
"2015","Prairies","Total, unpaid work activities","15 to 24 years","Women+","4",8.3
"2015","Prairies","Total, unpaid work activities","25 to 54 years","Total, all persons","4",14.2
"2015","Prairies","Total, unpaid work activities","25 to 54 years","Men+","4",10.4
"2015","Prairies","Total, unpaid work activities","25 to 54 years","Women+","4",17.9
"2015","Prairies","Total, unpaid work activities","25 to 34 years","Total, all persons","4",12.5
"2015","Prairies","Total, unpaid work activities","25 to 34 years","Men+","4",7.9
"2015","Prairies","Total, unpaid work activities","25 to 34 years","Women+","4",17.5
"2015","Prairies","Total, unpaid work activities","35 to 44 years","Total, all persons","4",15.8
"2015","Prairies","Total, unpaid work activities","35 to 44 years","Men+","4",11.3
"2015","Prairies","Total, unpaid work activities","35 to 44 years","Women+","4",20
"2015","Prairies","Total, unpaid work activities","45 to 54 years","Total, all persons","4",14.2
"2015","Prairies","Total, unpaid work activities","45 to 54 years","Men+","4",12.1
"2015","Prairies","Total, unpaid work activities","45 to 54 years","Women+","4",16.3
"2015","Prairies","Total, unpaid work activities","55 to 64 years","Total, all persons","4",13.3
"2015","Prairies","Total, unpaid work activities","55 to 64 years","Men+","4",11.7
"2015","Prairies","Total, unpaid work activities","55 to 64 years","Women+","4",15.4
"2015","Prairies","Total, unpaid work activities","65 years and over","Total, all persons","4",16.3
"2015","Prairies","Total, unpaid work activities","65 years and over","Men+","4",15
"2015","Prairies","Total, unpaid work activities","65 years and over","Women+","4",17.1
"2015","Prairies","Unpaid household work","Total, 15 years and over","Total, all persons","4",8.8
"2015","Prairies","Unpaid household work","Total, 15 years and over","Men+","4",7.5
"2015","Prairies","Unpaid household work","Total, 15 years and over","Women+","4",10.4
"2015","Prairies","Unpaid household work","15 to 24 years","Total, all persons","4",4.6
"2015","Prairies","Unpaid household work","15 to 24 years","Men+","4",3.3
"2015","Prairies","Unpaid household work","15 to 24 years","Women+","4",6.3
"2015","Prairies","Unpaid household work","25 to 54 years","Total, all persons","4",8.8
"2015","Prairies","Unpaid household work","25 to 54 years","Men+","4",7.1
"2015","Prairies","Unpaid household work","25 to 54 years","Women+","4",10.4
"2015","Prairies","Unpaid household work","25 to 34 years","Total, all persons","4",7.1
"2015","Prairies","Unpaid household work","25 to 34 years","Men+","4",5.4
"2015","Prairies","Unpaid household work","25 to 34 years","Women+","4",9.2
"2015","Prairies","Unpaid household work","35 to 44 years","Total, all persons","4",8.3
"2015","Prairies","Unpaid household work","35 to 44 years","Men+","4",6.3
"2015","Prairies","Unpaid household work","35 to 44 years","Women+","4",10.8
"2015","Prairies","Unpaid household work","45 to 54 years","Total, all persons","4",10.4
"2015","Prairies","Unpaid household work","45 to 54 years","Men+","4",9.6
"2015","Prairies","Unpaid household work","45 to 54 years","Women+","4",11.7
"2015","Prairies","Unpaid household work","55 to 64 years","Total, all persons","4",10
"2015","Prairies","Unpaid household work","55 to 64 years","Men+","4",9.2
"2015","Prairies","Unpaid household work","55 to 64 years","Women+","4",11.3
"2015","Prairies","Unpaid household work","65 years and over","Total, all persons","4",12.5
"2015","Prairies","Unpaid household work","65 years and over","Men+","4",11.7
"2015","Prairies","Unpaid household work","65 years and over","Women+","4",13.3
"2015","Prairies","Care of children under 18 years","Total, 15 years and over","Total, all persons","4",1.7
"2015","Prairies","Care of children under 18 years","Total, 15 years and over","Men+","4",0.8
"2015","Prairies","Care of children under 18 years","Total, 15 years and over","Women+","4",2.9
"2015","Prairies","Care of children under 18 years","15 to 24 years","Total, all persons","4",0.4
"2015","Prairies","Care of children under 18 years","15 to 24 years","Men+","4",
"2015","Prairies","Care of children under 18 years","15 to 24 years","Women+","4",0.8
"2015","Prairies","Care of children under 18 years","25 to 54 years","Total, all persons","4",3.3
"2015","Prairies","Care of children under 18 years","25 to 54 years","Men+","4",1.7
"2015","Prairies","Care of children under 18 years","25 to 54 years","Women+","4",5
"2015","Prairies","Care of children under 18 years","25 to 34 years","Total, all persons","4",3.3
"2015","Prairies","Care of children under 18 years","25 to 34 years","Men+","4",1.3
"2015","Prairies","Care of children under 18 years","25 to 34 years","Women+","4",5.8
"2015","Prairies","Care of children under 18 years","35 to 44 years","Total, all persons","4",5
"2015","Prairies","Care of children under 18 years","35 to 44 years","Men+","4",2.9
"2015","Prairies","Care of children under 18 years","35 to 44 years","Women+","4",7.1
"2015","Prairies","Care of children under 18 years","45 to 54 years","Total, all persons","4",1.3
"2015","Prairies","Care of children under 18 years","45 to 54 years","Men+","4",0.8
"2015","Prairies","Care of children under 18 years","45 to 54 years","Women+","4",1.3
"2015","Prairies","Care of children under 18 years","55 to 64 years","Total, all persons","4",
"2015","Prairies","Care of children under 18 years","55 to 64 years","Men+","4",
"2015","Prairies","Care of children under 18 years","55 to 64 years","Women+","4",
"2015","Prairies","Care of children under 18 years","65 years and over","Total, all persons","4",
"2015","Prairies","Care of children under 18 years","65 years and over","Men+","4",
"2015","Prairies","Care of children under 18 years","65 years and over","Women+","4",
"2015","Prairies","Care of adults","Total, 15 years and over","Total, all persons","4",
"2015","Prairies","Care of adults","Total, 15 years and over","Men+","4",
"2015","Prairies","Care of adults","Total, 15 years and over","Women+","4",
"2015","Prairies","Care of adults","15 to 24 years","Total, all persons","4",
"2015","Prairies","Care of adults","15 to 24 years","Men+","4",
"2015","Prairies","Care of adults","15 to 24 years","Women+","4",0
"2015","Prairies","Care of adults","25 to 54 years","Total, all persons","4",
"2015","Prairies","Care of adults","25 to 54 years","Men+","4",
"2015","Prairies","Care of adults","25 to 54 years","Women+","4",
"2015","Prairies","Care of adults","25 to 34 years","Total, all persons","4",
"2015","Prairies","Care of adults","25 to 34 years","Men+","4",
"2015","Prairies","Care of adults","25 to 34 years","Women+","4",
"2015","Prairies","Care of adults","35 to 44 years","Total, all persons","4",
"2015","Prairies","Care of adults","35 to 44 years","Men+","4",
"2015","Prairies","Care of adults","35 to 44 years","Women+","4",
"2015","Prairies","Care of adults","45 to 54 years","Total, all persons","4",
"2015","Prairies","Care of adults","45 to 54 years","Men+","4",
"2015","Prairies","Care of adults","45 to 54 years","Women+","4",
"2015","Prairies","Care of adults","55 to 64 years","Total, all persons","4",
"2015","Prairies","Care of adults","55 to 64 years","Men+","4",
"2015","Prairies","Care of adults","55 to 64 years","Women+","4",
"2015","Prairies","Care of adults","65 years and over","Total, all persons","4",
"2015","Prairies","Care of adults","65 years and over","Men+","4",
"2015","Prairies","Care of adults","65 years and over","Women+","4",
"2015","Prairies","Shopping for goods or services","Total, 15 years and over","Total, all persons","4",2.1
"2015","Prairies","Shopping for goods or services","Total, 15 years and over","Men+","4",1.7
"2015","Prairies","Shopping for goods or services","Total, 15 years and over","Women+","4",2.1
"2015","Prairies","Shopping for goods or services","15 to 24 years","Total, all persons","4",1.3
"2015","Prairies","Shopping for goods or services","15 to 24 years","Men+","4",1.7
"2015","Prairies","Shopping for goods or services","15 to 24 years","Women+","4",0.8
"2015","Prairies","Shopping for goods or services","25 to 54 years","Total, all persons","4",1.7
"2015","Prairies","Shopping for goods or services","25 to 54 years","Men+","4",1.3
"2015","Prairies","Shopping for goods or services","25 to 54 years","Women+","4",2.1
"2015","Prairies","Shopping for goods or services","25 to 34 years","Total, all persons","4",1.7
"2015","Prairies","Shopping for goods or services","25 to 34 years","Men+","4",0.8
"2015","Prairies","Shopping for goods or services","25 to 34 years","Women+","4",2.1
"2015","Prairies","Shopping for goods or services","35 to 44 years","Total, all persons","4",2.1
"2015","Prairies","Shopping for goods or services","35 to 44 years","Men+","4",2.1
"2015","Prairies","Shopping for goods or services","35 to 44 years","Women+","4",2.1
"2015","Prairies","Shopping for goods or services","45 to 54 years","Total, all persons","4",2.1
"2015","Prairies","Shopping for goods or services","45 to 54 years","Men+","4",1.3
"2015","Prairies","Shopping for goods or services","45 to 54 years","Women+","4",2.5
"2015","Prairies","Shopping for goods or services","55 to 64 years","Total, all persons","4",2.5
"2015","Prairies","Shopping for goods or services","55 to 64 years","Men+","4",2.1
"2015","Prairies","Shopping for goods or services","55 to 64 years","Women+","4",2.5
"2015","Prairies","Shopping for goods or services","65 years and over","Total, all persons","4",2.9
"2015","Prairies","Shopping for goods or services","65 years and over","Men+","4",2.9
"2015","Prairies","Shopping for goods or services","65 years and over","Women+","4",2.9
"2015","British Columbia","Total, unpaid work activities","Total, 15 years and over","Total, all persons","59",12.5
"2015","British Columbia","Total, unpaid work activities","Total, 15 years and over","Men+","59",10.4
"2015","British Columbia","Total, unpaid work activities","Total, 15 years and over","Women+","59",14.2
"2015","British Columbia","Total, unpaid work activities","15 to 24 years","Total, all persons","59",5.4
"2015","British Columbia","Total, unpaid work activities","15 to 24 years","Men+","59",3.3
"2015","British Columbia","Total, unpaid work activities","15 to 24 years","Women+","59",7.9
"2015","British Columbia","Total, unpaid work activities","25 to 54 years","Total, all persons","59",13.3
"2015","British Columbia","Total, unpaid work activities","25 to 54 years","Men+","59",10.8
"2015","British Columbia","Total, unpaid work activities","25 to 54 years","Women+","59",15.4
"2015","British Columbia","Total, unpaid work activities","25 to 34 years","Total, all persons","59",11.3
"2015","British Columbia","Total, unpaid work activities","25 to 34 years","Men+","59",8.3
"2015","British Columbia","Total, unpaid work activities","25 to 34 years","Women+","59",14.2
"2015","British Columbia","Total, unpaid work activities","35 to 44 years","Total, all persons","59",13.3
"2015","British Columbia","Total, unpaid work activities","35 to 44 years","Men+","59",10.8
"2015","British Columbia","Total, unpaid work activities","35 to 44 years","Women+","59",16.3
"2015","British Columbia","Total, unpaid work activities","45 to 54 years","Total, all persons","59",14.6
"2015","British Columbia","Total, unpaid work activities","45 to 54 years","Men+","59",13.3
"2015","British Columbia","Total, unpaid work activities","45 to 54 years","Women+","59",16.3
"2015","British Columbia","Total, unpaid work activities","55 to 64 years","Total, all persons","59",13.3
"2015","British Columbia","Total, unpaid work activities","55 to 64 years","Men+","59",12.5
"2015","British Columbia","Total, unpaid work activities","55 to 64 years","Women+","59",14.6
"2015","British Columbia","Total, unpaid work activities","65 years and over","Total, all persons","59",15
"2015","British Columbia","Total, unpaid work activities","65 years and over","Men+","59",13.3
"2015","British Columbia","Total, unpaid work activities","65 years and over","Women+","59",15.8
"2015","British Columbia","Unpaid household work","Total, 15 years and over","Total, all persons","59",8.3
"2015","British Columbia","Unpaid household work","Total, 15 years and over","Men+","59",7.5
"2015","British Columbia","Unpaid household work","Total, 15 years and over","Women+","59",9.6
"2015","British Columbia","Unpaid household work","15 to 24 years","Total, all persons","59",2.9
"2015","British Columbia","Unpaid household work","15 to 24 years","Men+","59",2.1
"2015","British Columbia","Unpaid household work","15 to 24 years","Women+","59",3.8
"2015","British Columbia","Unpaid household work","25 to 54 years","Total, all persons","59",8.3
"2015","British Columbia","Unpaid household work","25 to 54 years","Men+","59",7.1
"2015","British Columbia","Unpaid household work","25 to 54 years","Women+","59",9.6
"2015","British Columbia","Unpaid household work","25 to 34 years","Total, all persons","59",6.7
"2015","British Columbia","Unpaid household work","25 to 34 years","Men+","59",5
"2015","British Columbia","Unpaid household work","25 to 34 years","Women+","59",8.3
"2015","British Columbia","Unpaid household work","35 to 44 years","Total, all persons","59",7.5
"2015","British Columbia","Unpaid household work","35 to 44 years","Men+","59",5.8
"2015","British Columbia","Unpaid household work","35 to 44 years","Women+","59",8.8
"2015","British Columbia","Unpaid household work","45 to 54 years","Total, all persons","59",11.3
"2015","British Columbia","Unpaid household work","45 to 54 years","Men+","59",10.4
"2015","British Columbia","Unpaid household work","45 to 54 years","Women+","59",12.1
"2015","British Columbia","Unpaid household work","55 to 64 years","Total, all persons","59",10.4
"2015","British Columbia","Unpaid household work","55 to 64 years","Men+","59",9.6
"2015","British Columbia","Unpaid household work","55 to 64 years","Women+","59",10.8
"2015","British Columbia","Unpaid household work","65 years and over","Total, all persons","59",11.3
"2015","British Columbia","Unpaid household work","65 years and over","Men+","59",10
"2015","British Columbia","Unpaid household work","65 years and over","Women+","59",12.5
"2015","British Columbia","Care of children under 18 years","Total, 15 years and over","Total, all persons","59",1.3
"2015","British Columbia","Care of children under 18 years","Total, 15 years and over","Men+","59",1.3
"2015","British Columbia","Care of children under 18 years","Total, 15 years and over","Women+","59",1.7
"2015","British Columbia","Care of children under 18 years","15 to 24 years","Total, all persons","59",
"2015","British Columbia","Care of children under 18 years","15 to 24 years","Men+","59",0
"2015","British Columbia","Care of children under 18 years","15 to 24 years","Women+","59",
"2015","British Columbia","Care of children under 18 years","25 to 54 years","Total, all persons","59",2.5
"2015","British Columbia","Care of children under 18 years","25 to 54 years","Men+","59",2.1
"2015","British Columbia","Care of children under 18 years","25 to 54 years","Women+","59",2.9
"2015","British Columbia","Care of children under 18 years","25 to 34 years","Total, all persons","59",2.5
"2015","British Columbia","Care of children under 18 years","25 to 34 years","Men+","59",1.7
"2015","British Columbia","Care of children under 18 years","25 to 34 years","Women+","59",3.3
"2015","British Columbia","Care of children under 18 years","35 to 44 years","Total, all persons","59",4.2
"2015","British Columbia","Care of children under 18 years","35 to 44 years","Men+","59",3.8
"2015","British Columbia","Care of children under 18 years","35 to 44 years","Women+","59",5
"2015","British Columbia","Care of children under 18 years","45 to 54 years","Total, all persons","59",1.3
"2015","British Columbia","Care of children under 18 years","45 to 54 years","Men+","59",0.8
"2015","British Columbia","Care of children under 18 years","45 to 54 years","Women+","59",1.3
"2015","British Columbia","Care of children under 18 years","55 to 64 years","Total, all persons","59",
"2015","British Columbia","Care of children under 18 years","55 to 64 years","Men+","59",
"2015","British Columbia","Care of children under 18 years","55 to 64 years","Women+","59",
"2015","British Columbia","Care of children under 18 years","65 years and over","Total, all persons","59",
"2015","British Columbia","Care of children under 18 years","65 years and over","Men+","59",
"2015","British Columbia","Care of children under 18 years","65 years and over","Women+","59",
"2015","British Columbia","Care of adults","Total, 15 years and over","Total, all persons","59",
"2015","British Columbia","Care of adults","Total, 15 years and over","Men+","59",
"2015","British Columbia","Care of adults","Total, 15 years and over","Women+","59",
"2015","British Columbia","Care of adults","15 to 24 years","Total, all persons","59",
"2015","British Columbia","Care of adults","15 to 24 years","Men+","59",
"2015","British Columbia","Care of adults","15 to 24 years","Women+","59",0
"2015","British Columbia","Care of adults","25 to 54 years","Total, all persons","59",
"2015","British Columbia","Care of adults","25 to 54 years","Men+","59",
"2015","British Columbia","Care of adults","25 to 54 years","Women+","59",
"2015","British Columbia","Care of adults","25 to 34 years","Total, all persons","59",
"2015","British Columbia","Care of adults","25 to 34 years","Men+","59",0
"2015","British Columbia","Care of adults","25 to 34 years","Women+","59",
"2015","British Columbia","Care of adults","35 to 44 years","Total, all persons","59",
"2015","British Columbia","Care of adults","35 to 44 years","Men+","59",
"2015","British Columbia","Care of adults","35 to 44 years","Women+","59",
"2015","British Columbia","Care of adults","45 to 54 years","Total, all persons","59",
"2015","British Columbia","Care of adults","45 to 54 years","Men+","59",
"2015","British Columbia","Care of adults","45 to 54 years","Women+","59",
"2015","British Columbia","Care of adults","55 to 64 years","Total, all persons","59",
"2015","British Columbia","Care of adults","55 to 64 years","Men+","59",
"2015","British Columbia","Care of adults","55 to 64 years","Women+","59",
"2015","British Columbia","Care of adults","65 years and over","Total, all persons","59",
"2015","British Columbia","Care of adults","65 years and over","Men+","59",
"2015","British Columbia","Care of adults","65 years and over","Women+","59",
"2015","British Columbia","Shopping for goods or services","Total, 15 years and over","Total, all persons","59",2.1
"2015","British Columbia","Shopping for goods or services","Total, 15 years and over","Men+","59",1.7
"2015","British Columbia","Shopping for goods or services","Total, 15 years and over","Women+","59",2.5
"2015","British Columbia","Shopping for goods or services","15 to 24 years","Total, all persons","59",2.5
"2015","British Columbia","Shopping for goods or services","15 to 24 years","Men+","59",
"2015","British Columbia","Shopping for goods or services","15 to 24 years","Women+","59",3.8
"2015","British Columbia","Shopping for goods or services","25 to 54 years","Total, all persons","59",1.7
"2015","British Columbia","Shopping for goods or services","25 to 54 years","Men+","59",1.3
"2015","British Columbia","Shopping for goods or services","25 to 54 years","Women+","59",2.1
"2015","British Columbia","Shopping for goods or services","25 to 34 years","Total, all persons","59",1.7
"2015","British Columbia","Shopping for goods or services","25 to 34 years","Men+","59",1.3
"2015","British Columbia","Shopping for goods or services","25 to 34 years","Women+","59",1.7
"2015","British Columbia","Shopping for goods or services","35 to 44 years","Total, all persons","59",1.7
"2015","British Columbia","Shopping for goods or services","35 to 44 years","Men+","59",0.8
"2015","British Columbia","Shopping for goods or services","35 to 44 years","Women+","59",2.1
"2015","British Columbia","Shopping for goods or services","45 to 54 years","Total, all persons","59",2.1
"2015","British Columbia","Shopping for goods or services","45 to 54 years","Men+","59",2.1
"2015","British Columbia","Shopping for goods or services","45 to 54 years","Women+","59",2.5
"2015","British Columbia","Shopping for goods or services","55 to 64 years","Total, all persons","59",2.5
"2015","British Columbia","Shopping for goods or services","55 to 64 years","Men+","59",2.5
"2015","British Columbia","Shopping for goods or services","55 to 64 years","Women+","59",2.5
"2015","British Columbia","Shopping for goods or services","65 years and over","Total, all persons","59",2.5
"2015","British Columbia","Shopping for goods or services","65 years and over","Men+","59",2.5
"2015","British Columbia","Shopping for goods or services","65 years and over","Women+","59",2.5
"2022",,,,,,13.3
"2022","Canada","Total, unpaid work activities","Total, 15 years and over","Men+",,10.8
"2022","Canada","Total, unpaid work activities","Total, 15 years and over","Women+",,15.4
"2022","Canada","Total, unpaid work activities","15 to 24 years","Total, all persons",,5
"2022","Canada","Total, unpaid work activities","15 to 24 years","Men+",,4.2
"2022","Canada","Total, unpaid work activities","15 to 24 years","Women+",,6.3
"2022","Canada","Total, unpaid work activities","25 to 54 years","Total, all persons",,14.6
"2022","Canada","Total, unpaid work activities","25 to 54 years","Men+",,10.8
"2022","Canada","Total, unpaid work activities","25 to 54 years","Women+",,17.9
"2022","Canada","Total, unpaid work activities","25 to 34 years","Total, all persons",,12.5
"2022","Canada","Total, unpaid work activities","25 to 34 years","Men+",,8.8
"2022","Canada","Total, unpaid work activities","25 to 34 years","Women+",,16.3
"2022","Canada","Total, unpaid work activities","35 to 44 years","Total, all persons",,16.3
"2022","Canada","Total, unpaid work activities","35 to 44 years","Men+",,12.5
"2022","Canada","Total, unpaid work activities","35 to 44 years","Women+",,20.4
"2022","Canada","Total, unpaid work activities","45 to 54 years","Total, all persons",,14.2
"2022","Canada","Total, unpaid work activities","45 to 54 years","Men+",,12.1
"2022","Canada","Total, unpaid work activities","45 to 54 years","Women+",,16.7
"2022","Canada","Total, unpaid work activities","55 to 64 years","Total, all persons",,14.6
"2022","Canada","Total, unpaid work activities","55 to 64 years","Men+",,12.9
"2022","Canada","Total, unpaid work activities","55 to 64 years","Women+",,16.7
"2022","Canada","Total, unpaid work activities","65 years and over","Total, all persons",,14.6
"2022","Canada","Total, unpaid work activities","65 years and over","Men+",,13.3
"2022","Canada","Total, unpaid work activities","65 years and over","Women+",,15.8
"2022","Canada","Unpaid household work","Total, 15 years and over","Total, all persons",,8.8
"2022","Canada","Unpaid household work","Total, 15 years and over","Men+",,7.5
"2022","Canada","Unpaid household work","Total, 15 years and over","Women+",,10
"2022","Canada","Unpaid household work","15 to 24 years","Total, all persons",,3.8
"2022","Canada","Unpaid household work","15 to 24 years","Men+",,3.3
"2022","Canada","Unpaid household work","15 to 24 years","Women+",,3.8
"2022","Canada","Unpaid household work","25 to 54 years","Total, all persons",,7.9
"2022","Canada","Unpaid household work","25 to 54 years","Men+",,6.7
"2022","Canada","Unpaid household work","25 to 54 years","Women+",,9.6
"2022","Canada","Unpaid household work","25 to 34 years","Total, all persons",,6.3
"2022","Canada","Unpaid household work","25 to 34 years","Men+",,5.8
"2022","Canada","Unpaid household work","25 to 34 years","Women+",,7.1
"2022","Canada","Unpaid household work","35 to 44 years","Total, all persons",,8.3
"2022","Canada","Unpaid household work","35 to 44 years","Men+",,6.3
"2022","Canada","Unpaid household work","35 to 44 years","Women+",,10.4
"2022","Canada","Unpaid household work","45 to 54 years","Total, all persons",,9.6
"2022","Canada","Unpaid household work","45 to 54 years","Men+",,7.9
"2022","Canada","Unpaid household work","45 to 54 years","Women+",,11.3
"2022","Canada","Unpaid household work","55 to 64 years","Total, all persons",,11.7
"2022","Canada","Unpaid household work","55 to 64 years","Men+",,10.4
"2022","Canada","Unpaid household work","55 to 64 years","Women+",,12.9
"2022","Canada","Unpaid household work","65 years and over","Total, all persons",,11.7
"2022","Canada","Unpaid household work","65 years and over","Men+",,10.4
"2022","Canada","Unpaid household work","65 years and over","Women+",,12.5
"2022","Canada","Care of children under 18 years","Total, 15 years and over","Total, all persons",,2.1
"2022","Canada","Care of children under 18 years","Total, 15 years and over","Men+",,1.7
"2022","Canada","Care of children under 18 years","Total, 15 years and over","Women+",,2.9
"2022","Canada","Care of children under 18 years","15 to 24 years","Total, all persons",,0.4
"2022","Canada","Care of children under 18 years","15 to 24 years","Men+",,
