"Year","Geography","Type of electricity generation","GeoCode","Value"
"2021","Newfoundland and Labrador","Total hydro, tidal, wind, solar and other generation",10,96.69
"2021","Northwest Territories","Total hydro, tidal, wind, solar and other generation",61,40.41
"2021","Nova Scotia","Total hydro, tidal, wind, solar and other generation",12,20.68
"2021","Nunavut","Total hydro, tidal, wind, solar and other generation",62,0
"2021","Ontario","Total hydro, tidal, wind, solar and other generation",35,33.92
"2021","Prince Edward Island","Total hydro, tidal, wind, solar and other generation",11,98.92
"2021","Quebec","Total hydro, tidal, wind, solar and other generation",24,99.03
"2021","Saskatchewan","Total hydro, tidal, wind, solar and other generation",47,15.97
"2021","Yukon","Total hydro, tidal, wind, solar and other generation",60,88.44
"2022","Alberta","Total hydro, tidal, wind, solar and other generation",48,13.79
"2022","British Columbia","Total hydro, tidal, wind, solar and other generation",59,93.01
"2022","Manitoba","Total hydro, tidal, wind, solar and other generation",46,99.7
"2022","New Brunswick","Total hydro, tidal, wind, solar and other generation",13,31.33
"2022","Newfoundland and Labrador","Total hydro, tidal, wind, solar and other generation",10,97.05
"2022","Northwest Territories","Total hydro, tidal, wind, solar and other generation",61,37
"2022","Nova Scotia","Total hydro, tidal, wind, solar and other generation",12,25.11
"2022","Nunavut","Total hydro, tidal, wind, solar and other generation",62,0
"2022","Ontario","Total hydro, tidal, wind, solar and other generation",35,36.58
"2022","Prince Edward Island","Total hydro, tidal, wind, solar and other generation",11,98.9
"2022","Quebec","Total hydro, tidal, wind, solar and other generation",24,99.05
"2022","Saskatchewan","Total hydro, tidal, wind, solar and other generation",47,20.62
"2022","Yukon","Total hydro, tidal, wind, solar and other generation",60,88.38
