"Year","Series","Data categories","Elements","Pillar","Value"
2017,"Open Data Inventory (ODIN)","Built environment","Data available last 10 years",,50
2017,"Open Data Inventory (ODIN)","Environment subscore","Data available last 10 years",,60
2017,"Open Data Inventory (ODIN)","All categories","Data available last 10 years",,71.3
2018,"Open Data Inventory (ODIN)","Population and vital statistics","Data available last 10 years",,100
2018,"Open Data Inventory (ODIN)","Education facilities","Data available last 10 years",,50
2018,"Open Data Inventory (ODIN)","Education outcomes","Data available last 10 years",,50
2018,"Open Data Inventory (ODIN)","Health facilities","Data available last 10 years",,100
2018,"Open Data Inventory (ODIN)","Health outcomes","Data available last 10 years",,100
2018,"Open Data Inventory (ODIN)","Reproductive health","Data available last 10 years",,50
2018,"Open Data Inventory (ODIN)","Gender statistics","Data available last 10 years",,50
2018,"Open Data Inventory (ODIN)","Crime and justice","Data available last 10 years",,100
2018,"Open Data Inventory (ODIN)","Poverty and income","Data available last 10 years",,100
2018,"Open Data Inventory (ODIN)","Social statistics subscore","Data available last 10 years",,77.8
2018,"Open Data Inventory (ODIN)","National accounts","Data available last 10 years",,100
2018,"Open Data Inventory (ODIN)","Labor","Data available last 10 years",,100
2018,"Open Data Inventory (ODIN)","Price indexes","Data available last 10 years",,100
2018,"Open Data Inventory (ODIN)","Government finance","Data available last 10 years",,100
2018,"Open Data Inventory (ODIN)","Money and banking","Data available last 10 years",,100
2018,"Open Data Inventory (ODIN)","International trade","Data available last 10 years",,100
2018,"Open Data Inventory (ODIN)","Balance of payments","Data available last 10 years",,100
2018,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Data available last 10 years",,100
2018,"Open Data Inventory (ODIN)","Agriculture and land use","Data available last 10 years",,50
2018,"Open Data Inventory (ODIN)","Resource use","Data available last 10 years",,50
2018,"Open Data Inventory (ODIN)","Energy use","Data available last 10 years",,100
2018,"Open Data Inventory (ODIN)","Pollution","Data available last 10 years",,100
2018,"Open Data Inventory (ODIN)","Built environment","Data available last 10 years",,50
2018,"Open Data Inventory (ODIN)","Environment subscore","Data available last 10 years",,70
2018,"Open Data Inventory (ODIN)","All categories","Data available last 10 years",,82.6
2020,"Open Data Inventory (ODIN)","Population and vital statistics","Data available last 10 years",,100
2020,"Open Data Inventory (ODIN)","Education facilities","Data available last 10 years",,50
2020,"Open Data Inventory (ODIN)","Education outcomes","Data available last 10 years",,50
2020,"Open Data Inventory (ODIN)","Health facilities","Data available last 10 years",,50
2020,"Open Data Inventory (ODIN)","Health outcomes","Data available last 10 years",,50
2020,"Open Data Inventory (ODIN)","Reproductive health","Data available last 10 years",,50
2020,"Open Data Inventory (ODIN)","Food security and nutrition","Data available last 10 years",,50
2020,"Open Data Inventory (ODIN)","Gender statistics","Data available last 10 years",,50
2020,"Open Data Inventory (ODIN)","Crime and justice","Data available last 10 years",,100
2020,"Open Data Inventory (ODIN)","Poverty and income","Data available last 10 years",,100
2020,"Open Data Inventory (ODIN)","Social statistics subscore","Data available last 10 years",,65
2020,"Open Data Inventory (ODIN)","National accounts","Data available last 10 years",,100
2020,"Open Data Inventory (ODIN)","Labor","Data available last 10 years",,100
2020,"Open Data Inventory (ODIN)","Price indexes","Data available last 10 years",,100
2020,"Open Data Inventory (ODIN)","Government finance","Data available last 10 years",,100
2020,"Open Data Inventory (ODIN)","Money and banking","Data available last 10 years",,100
2020,"Open Data Inventory (ODIN)","International trade","Data available last 10 years",,100
2020,"Open Data Inventory (ODIN)","Balance of payments","Data available last 10 years",,100
2020,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Data available last 10 years",,100
2020,"Open Data Inventory (ODIN)","Agriculture and land use","Data available last 10 years",,50
2020,"Open Data Inventory (ODIN)","Resource use","Data available last 10 years",,50
2020,"Open Data Inventory (ODIN)","Energy use","Data available last 10 years",,100
2020,"Open Data Inventory (ODIN)","Pollution","Data available last 10 years",,50
2020,"Open Data Inventory (ODIN)","Built environment","Data available last 10 years",,50
2020,"Open Data Inventory (ODIN)","Environment subscore","Data available last 10 years",,60
2020,"Open Data Inventory (ODIN)","All categories","Data available last 10 years",,75
2022,"Open Data Inventory (ODIN)","Population and vital statistics","Data available last 10 years",,100
2022,"Open Data Inventory (ODIN)","Education facilities","Data available last 10 years",,50
2022,"Open Data Inventory (ODIN)","Education outcomes","Data available last 10 years",,50
2022,"Open Data Inventory (ODIN)","Health facilities","Data available last 10 years",,50
2022,"Open Data Inventory (ODIN)","Health outcomes","Data available last 10 years",,100
2022,"Open Data Inventory (ODIN)","Reproductive health","Data available last 10 years",,100
2022,"Open Data Inventory (ODIN)","Food security and nutrition","Data available last 10 years",,50
2022,"Open Data Inventory (ODIN)","Gender statistics","Data available last 10 years",,50
2022,"Open Data Inventory (ODIN)","Crime and justice","Data available last 10 years",,100
2022,"Open Data Inventory (ODIN)","Poverty and income","Data available last 10 years",,100
2022,"Open Data Inventory (ODIN)","Social statistics subscore","Data available last 10 years",,75
2022,"Open Data Inventory (ODIN)","National accounts","Data available last 10 years",,100
2022,"Open Data Inventory (ODIN)","Labor","Data available last 10 years",,100
2022,"Open Data Inventory (ODIN)","Price indexes","Data available last 10 years",,100
2022,"Open Data Inventory (ODIN)","Government finance","Data available last 10 years",,100
2022,"Open Data Inventory (ODIN)","Money and banking","Data available last 10 years",,100
2022,"Open Data Inventory (ODIN)","International trade","Data available last 10 years",,100
2022,"Open Data Inventory (ODIN)","Balance of payments","Data available last 10 years",,100
2022,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Data available last 10 years",,100
2022,"Open Data Inventory (ODIN)","Agriculture and land use","Data available last 10 years",,50
2022,"Open Data Inventory (ODIN)","Resource use","Data available last 10 years",,50
2022,"Open Data Inventory (ODIN)","Energy use","Data available last 10 years",,100
2022,"Open Data Inventory (ODIN)","Pollution","Data available last 10 years",,100
2022,"Open Data Inventory (ODIN)","Built environment","Data available last 10 years",,50
2022,"Open Data Inventory (ODIN)","Environment subscore","Data available last 10 years",,70
2022,"Open Data Inventory (ODIN)","All categories","Data available last 10 years",,81.7
2024,"Open Data Inventory (ODIN)","Population and vital statistics","Data available last 10 years",,100
2024,"Open Data Inventory (ODIN)","Education facilities","Data available last 10 years",,50
2024,"Open Data Inventory (ODIN)","Education outcomes","Data available last 10 years",,50
2024,"Open Data Inventory (ODIN)","Health facilities","Data available last 10 years",,100
2024,"Open Data Inventory (ODIN)","Health outcomes","Data available last 10 years",,100
2024,"Open Data Inventory (ODIN)","Reproductive health","Data available last 10 years",,100
2024,"Open Data Inventory (ODIN)","Food security and nutrition","Data available last 10 years",,50
2024,"Open Data Inventory (ODIN)","Gender statistics","Data available last 10 years",,50
2024,"Open Data Inventory (ODIN)","Crime and justice","Data available last 10 years",,100
2024,"Open Data Inventory (ODIN)","Poverty and income","Data available last 10 years",,100
2024,"Open Data Inventory (ODIN)","Social statistics subscore","Data available last 10 years",,80
2024,"Open Data Inventory (ODIN)","National accounts","Data available last 10 years",,100
2024,"Open Data Inventory (ODIN)","Labor","Data available last 10 years",,100
2024,"Open Data Inventory (ODIN)","Price indexes","Data available last 10 years",,100
2024,"Open Data Inventory (ODIN)","Government finance","Data available last 10 years",,100
2024,"Open Data Inventory (ODIN)","Money and banking","Data available last 10 years",,100
2024,"Open Data Inventory (ODIN)","International trade","Data available last 10 years",,100
2024,"Open Data Inventory (ODIN)","Balance of payments","Data available last 10 years",,100
2024,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Data available last 10 years",,100
2024,"Open Data Inventory (ODIN)","Agriculture and land use","Data available last 10 years",,50
2024,"Open Data Inventory (ODIN)","Resource use","Data available last 10 years",,50
2024,"Open Data Inventory (ODIN)","Energy use","Data available last 10 years",,100
2024,"Open Data Inventory (ODIN)","Pollution","Data available last 10 years",,50
2024,"Open Data Inventory (ODIN)","Built environment","Data available last 10 years",,50
2024,"Open Data Inventory (ODIN)","Environment subscore","Data available last 10 years",,60
2024,"Open Data Inventory (ODIN)","All categories","Data available last 10 years",,80
2016,"Open Data Inventory (ODIN)","Population and vital statistics","First administrative level",,100
2016,"Open Data Inventory (ODIN)","Education facilities","First administrative level",,50
2016,"Open Data Inventory (ODIN)","Education outcomes","First administrative level",,50
2016,"Open Data Inventory (ODIN)","Health facilities","First administrative level",,50
2016,"Open Data Inventory (ODIN)","Health outcomes","First administrative level",,100
2016,"Open Data Inventory (ODIN)","Reproductive health","First administrative level",,50
2016,"Open Data Inventory (ODIN)","Gender statistics","First administrative level",,50
2016,"Open Data Inventory (ODIN)","Poverty and income","First administrative level",,100
2016,"Open Data Inventory (ODIN)","Social statistics subscore","First administrative level",,68.8
2016,"Open Data Inventory (ODIN)","National accounts","First administrative level",,100
2016,"Open Data Inventory (ODIN)","Labor","First administrative level",,100
2016,"Open Data Inventory (ODIN)","Price indexes","First administrative level",,50
2016,"Open Data Inventory (ODIN)","Government finance","First administrative level",,100
2016,"Open Data Inventory (ODIN)","Money and banking","First administrative level",,0
2016,"Open Data Inventory (ODIN)","International trade","First administrative level",,0
2016,"Open Data Inventory (ODIN)","Balance of payments","First administrative level",,0
2016,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","First administrative level",,87.5
2016,"Open Data Inventory (ODIN)","Agriculture and land use","First administrative level",,100
2016,"Open Data Inventory (ODIN)","Resource use","First administrative level",,50
2016,"Open Data Inventory (ODIN)","Energy use","First administrative level",,0
2016,"Open Data Inventory (ODIN)","Pollution","First administrative level",,0
2016,"Open Data Inventory (ODIN)","Built environment","First administrative level",,50
2016,"Open Data Inventory (ODIN)","Environment subscore","First administrative level",,40
2016,"Open Data Inventory (ODIN)","All categories","First administrative level",,61.7
2017,"Open Data Inventory (ODIN)","Population and vital statistics","First administrative level",,100
2017,"Open Data Inventory (ODIN)","Education facilities","First administrative level",,50
2017,"Open Data Inventory (ODIN)","Education outcomes","First administrative level",,50
2017,"Open Data Inventory (ODIN)","Health facilities","First administrative level",,100
2017,"Open Data Inventory (ODIN)","Health outcomes","First administrative level",,50
2017,"Open Data Inventory (ODIN)","Reproductive health","First administrative level",,50
2017,"Open Data Inventory (ODIN)","Gender statistics","First administrative level",,50
2017,"Open Data Inventory (ODIN)","Crime and justice","First administrative level",,50
2017,"Open Data Inventory (ODIN)","Poverty and income","First administrative level",,100
2017,"Open Data Inventory (ODIN)","Social statistics subscore","First administrative level",,66.7
2017,"Open Data Inventory (ODIN)","National accounts","First administrative level",,50
2017,"Open Data Inventory (ODIN)","Labor","First administrative level",,100
2017,"Open Data Inventory (ODIN)","Price indexes","First administrative level",,50
2017,"Open Data Inventory (ODIN)","Government finance","First administrative level",,0
2017,"Open Data Inventory (ODIN)","Money and banking","First administrative level",,0
2017,"Open Data Inventory (ODIN)","International trade","First administrative level",,0
2017,"Open Data Inventory (ODIN)","Balance of payments","First administrative level",,0
2017,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","First administrative level",,50
2017,"Open Data Inventory (ODIN)","Agriculture and land use","First administrative level",,0
2017,"Open Data Inventory (ODIN)","Resource use","First administrative level",,50
2017,"Open Data Inventory (ODIN)","Energy use","First administrative level",,0
2017,"Open Data Inventory (ODIN)","Pollution","First administrative level",,0
2017,"Open Data Inventory (ODIN)","Built environment","First administrative level",,50
2017,"Open Data Inventory (ODIN)","Environment subscore","First administrative level",,20
2017,"Open Data Inventory (ODIN)","All categories","First administrative level",,44.8
2018,"Open Data Inventory (ODIN)","Population and vital statistics","First administrative level",,100
2018,"Open Data Inventory (ODIN)","Education facilities","First administrative level",,50
2018,"Open Data Inventory (ODIN)","Education outcomes","First administrative level",,50
2018,"Open Data Inventory (ODIN)","Health facilities","First administrative level",,50
2018,"Open Data Inventory (ODIN)","Health outcomes","First administrative level",,100
2018,"Open Data Inventory (ODIN)","Reproductive health","First administrative level",,50
2018,"Open Data Inventory (ODIN)","Gender statistics","First administrative level",,50
2018,"Open Data Inventory (ODIN)","Crime and justice","First administrative level",,50
2018,"Open Data Inventory (ODIN)","Poverty and income","First administrative level",,100
2018,"Open Data Inventory (ODIN)","Social statistics subscore","First administrative level",,66.7
2018,"Open Data Inventory (ODIN)","National accounts","First administrative level",,100
2018,"Open Data Inventory (ODIN)","Labor","First administrative level",,100
2018,"Open Data Inventory (ODIN)","Price indexes","First administrative level",,100
2018,"Open Data Inventory (ODIN)","Government finance","First administrative level",,0
2018,"Open Data Inventory (ODIN)","Money and banking","First administrative level",,0
2018,"Open Data Inventory (ODIN)","International trade","First administrative level",,0
2018,"Open Data Inventory (ODIN)","Balance of payments","First administrative level",,0
2018,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","First administrative level",,75
2018,"Open Data Inventory (ODIN)","Agriculture and land use","First administrative level",,100
2018,"Open Data Inventory (ODIN)","Resource use","First administrative level",,100
2018,"Open Data Inventory (ODIN)","Energy use","First administrative level",,50
2018,"Open Data Inventory (ODIN)","Pollution","First administrative level",,50
2018,"Open Data Inventory (ODIN)","Built environment","First administrative level",,50
2018,"Open Data Inventory (ODIN)","Environment subscore","First administrative level",,70
2018,"Open Data Inventory (ODIN)","All categories","First administrative level",,69.8
2020,"Open Data Inventory (ODIN)","Population and vital statistics","First administrative level",,100
2020,"Open Data Inventory (ODIN)","Education facilities","First administrative level",,50
2020,"Open Data Inventory (ODIN)","Education outcomes","First administrative level",,50
2020,"Open Data Inventory (ODIN)","Health facilities","First administrative level",,50
2020,"Open Data Inventory (ODIN)","Health outcomes","First administrative level",,100
2020,"Open Data Inventory (ODIN)","Reproductive health","First administrative level",,50
2020,"Open Data Inventory (ODIN)","Food security and nutrition","First administrative level",,0
2020,"Open Data Inventory (ODIN)","Gender statistics","First administrative level",,50
2020,"Open Data Inventory (ODIN)","Crime and justice","First administrative level",,50
2020,"Open Data Inventory (ODIN)","Poverty and income","First administrative level",,100
2020,"Open Data Inventory (ODIN)","Social statistics subscore","First administrative level",,60
2020,"Open Data Inventory (ODIN)","National accounts","First administrative level",,50
2020,"Open Data Inventory (ODIN)","Labor","First administrative level",,100
2020,"Open Data Inventory (ODIN)","Price indexes","First administrative level",,100
2020,"Open Data Inventory (ODIN)","Government finance","First administrative level",,0
2020,"Open Data Inventory (ODIN)","Money and banking","First administrative level",,0
2020,"Open Data Inventory (ODIN)","International trade","First administrative level",,0
2020,"Open Data Inventory (ODIN)","Balance of payments","First administrative level",,0
2020,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","First administrative level",,62.5
2020,"Open Data Inventory (ODIN)","Agriculture and land use","First administrative level",,50
2020,"Open Data Inventory (ODIN)","Resource use","First administrative level",,100
2020,"Open Data Inventory (ODIN)","Energy use","First administrative level",,0
2020,"Open Data Inventory (ODIN)","Pollution","First administrative level",,50
2020,"Open Data Inventory (ODIN)","Built environment","First administrative level",,50
2020,"Open Data Inventory (ODIN)","Environment subscore","First administrative level",,62.5
2020,"Open Data Inventory (ODIN)","All categories","First administrative level",,61.4
2022,"Open Data Inventory (ODIN)","Population and vital statistics","First administrative level",,100
2022,"Open Data Inventory (ODIN)","Education facilities","First administrative level",,50
2022,"Open Data Inventory (ODIN)","Education outcomes","First administrative level",,50
2022,"Open Data Inventory (ODIN)","Health facilities","First administrative level",,50
2022,"Open Data Inventory (ODIN)","Health outcomes","First administrative level",,100
2022,"Open Data Inventory (ODIN)","Reproductive health","First administrative level",,50
2022,"Open Data Inventory (ODIN)","Food security and nutrition","First administrative level",,50
2022,"Open Data Inventory (ODIN)","Gender statistics","First administrative level",,50
2022,"Open Data Inventory (ODIN)","Crime and justice","First administrative level",,50
2022,"Open Data Inventory (ODIN)","Poverty and income","First administrative level",,100
2022,"Open Data Inventory (ODIN)","Social statistics subscore","First administrative level",,65
2022,"Open Data Inventory (ODIN)","National accounts","First administrative level",,50
2022,"Open Data Inventory (ODIN)","Labor","First administrative level",,100
2022,"Open Data Inventory (ODIN)","Price indexes","First administrative level",,100
2022,"Open Data Inventory (ODIN)","Government finance","First administrative level",,0
2022,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","First administrative level",,62.5
2022,"Open Data Inventory (ODIN)","Agriculture and land use","First administrative level",,50
2022,"Open Data Inventory (ODIN)","Resource use","First administrative level",,50
2022,"Open Data Inventory (ODIN)","Pollution","First administrative level",,50
2022,"Open Data Inventory (ODIN)","Built environment","First administrative level",,50
2022,"Open Data Inventory (ODIN)","Environment subscore","First administrative level",,50
2022,"Open Data Inventory (ODIN)","All categories","First administrative level",,59.3
2024,"Open Data Inventory (ODIN)","Population and vital statistics","First administrative level",,100
2024,"Open Data Inventory (ODIN)","Education facilities","First administrative level",,50
2024,"Open Data Inventory (ODIN)","Education outcomes","First administrative level",,50
2024,"Open Data Inventory (ODIN)","Health facilities","First administrative level",,50
2024,"Open Data Inventory (ODIN)","Health outcomes","First administrative level",,100
2024,"Open Data Inventory (ODIN)","Reproductive health","First administrative level",,50
2024,"Open Data Inventory (ODIN)","Food security and nutrition","First administrative level",,50
2024,"Open Data Inventory (ODIN)","Gender statistics","First administrative level",,100
2024,"Open Data Inventory (ODIN)","Crime and justice","First administrative level",,50
2024,"Open Data Inventory (ODIN)","Poverty and income","First administrative level",,100
2024,"Open Data Inventory (ODIN)","Social statistics subscore","First administrative level",,70
2024,"Open Data Inventory (ODIN)","National accounts","First administrative level",,0
2024,"Open Data Inventory (ODIN)","Labor","First administrative level",,100
2024,"Open Data Inventory (ODIN)","Price indexes","First administrative level",,50
2024,"Open Data Inventory (ODIN)","Government finance","First administrative level",,0
2024,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","First administrative level",,37.5
2024,"Open Data Inventory (ODIN)","Agriculture and land use","First administrative level",,100
2024,"Open Data Inventory (ODIN)","Resource use","First administrative level",,100
2024,"Open Data Inventory (ODIN)","Built environment","First administrative level",,50
2024,"Open Data Inventory (ODIN)","Environment subscore","First administrative level",,83.3
2024,"Open Data Inventory (ODIN)","All categories","First administrative level",,65.1
2016,"Open Data Inventory (ODIN)","Population and vital statistics","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","Education facilities","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","Education outcomes","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","Health facilities","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","Health outcomes","Second administrative level",,100
2016,"Open Data Inventory (ODIN)","Reproductive health","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","Gender statistics","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","Poverty and income","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","Social statistics subscore","Second administrative level",,12.5
2016,"Open Data Inventory (ODIN)","National accounts","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","Labor","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","Price indexes","Second administrative level",,50
2016,"Open Data Inventory (ODIN)","Government finance","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","Money and banking","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","International trade","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","Balance of payments","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Second administrative level",,25
2016,"Open Data Inventory (ODIN)","Agriculture and land use","Second administrative level",,100
2016,"Open Data Inventory (ODIN)","Resource use","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","Energy use","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","Pollution","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","Built environment","Second administrative level",,0
2016,"Open Data Inventory (ODIN)","Environment subscore","Second administrative level",,20
2016,"Open Data Inventory (ODIN)","All categories","Second administrative level",,17.3
2017,"Open Data Inventory (ODIN)","Population and vital statistics","Second administrative level",,50
2017,"Open Data Inventory (ODIN)","Education facilities","Second administrative level",,50
2017,"Open Data Inventory (ODIN)","Education outcomes","Second administrative level",,0
2017,"Open Data Inventory (ODIN)","Health facilities","Second administrative level",,0
2017,"Open Data Inventory (ODIN)","Health outcomes","Second administrative level",,50
2017,"Open Data Inventory (ODIN)","Reproductive health","Second administrative level",,0
2017,"Open Data Inventory (ODIN)","Gender statistics","Second administrative level",,0
2017,"Open Data Inventory (ODIN)","Crime and justice","Second administrative level",,0
2017,"Open Data Inventory (ODIN)","Poverty and income","Second administrative level",,50
2017,"Open Data Inventory (ODIN)","Social statistics subscore","Second administrative level",,22.2
2017,"Open Data Inventory (ODIN)","National accounts","Second administrative level",,0
2017,"Open Data Inventory (ODIN)","Labor","Second administrative level",,0
2017,"Open Data Inventory (ODIN)","Price indexes","Second administrative level",,50
2017,"Open Data Inventory (ODIN)","Government finance","Second administrative level",,0
2017,"Open Data Inventory (ODIN)","Money and banking","Second administrative level",,0
2017,"Open Data Inventory (ODIN)","International trade","Second administrative level",,0
2017,"Open Data Inventory (ODIN)","Balance of payments","Second administrative level",,0
2017,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Second administrative level",,25
2017,"Open Data Inventory (ODIN)","Agriculture and land use","Second administrative level",,50
2017,"Open Data Inventory (ODIN)","Resource use","Second administrative level",,50
2017,"Open Data Inventory (ODIN)","Energy use","Second administrative level",,0
2017,"Open Data Inventory (ODIN)","Pollution","Second administrative level",,0
2017,"Open Data Inventory (ODIN)","Built environment","Second administrative level",,0
2017,"Open Data Inventory (ODIN)","Environment subscore","Second administrative level",,20
2017,"Open Data Inventory (ODIN)","All categories","Second administrative level",,21.6
2018,"Open Data Inventory (ODIN)","Population and vital statistics","Second administrative level",,100
2018,"Open Data Inventory (ODIN)","Education facilities","Second administrative level",,50
2018,"Open Data Inventory (ODIN)","Education outcomes","Second administrative level",,0
2018,"Open Data Inventory (ODIN)","Health facilities","Second administrative level",,0
2018,"Open Data Inventory (ODIN)","Health outcomes","Second administrative level",,100
2018,"Open Data Inventory (ODIN)","Reproductive health","Second administrative level",,0
2018,"Open Data Inventory (ODIN)","Gender statistics","Second administrative level",,50
2018,"Open Data Inventory (ODIN)","Crime and justice","Second administrative level",,50
2018,"Open Data Inventory (ODIN)","Poverty and income","Second administrative level",,50
2018,"Open Data Inventory (ODIN)","Social statistics subscore","Second administrative level",,44.4
2018,"Open Data Inventory (ODIN)","National accounts","Second administrative level",,0
2018,"Open Data Inventory (ODIN)","Labor","Second administrative level",,50
2018,"Open Data Inventory (ODIN)","Price indexes","Second administrative level",,0
2018,"Open Data Inventory (ODIN)","Government finance","Second administrative level",,0
2018,"Open Data Inventory (ODIN)","Money and banking","Second administrative level",,0
2018,"Open Data Inventory (ODIN)","International trade","Second administrative level",,0
2018,"Open Data Inventory (ODIN)","Balance of payments","Second administrative level",,0
2018,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Second administrative level",,50
2018,"Open Data Inventory (ODIN)","Agriculture and land use","Second administrative level",,50
2018,"Open Data Inventory (ODIN)","Resource use","Second administrative level",,0
2018,"Open Data Inventory (ODIN)","Energy use","Second administrative level",,0
2018,"Open Data Inventory (ODIN)","Pollution","Second administrative level",,0
2018,"Open Data Inventory (ODIN)","Built environment","Second administrative level",,50
2018,"Open Data Inventory (ODIN)","Environment subscore","Second administrative level",,50
2018,"Open Data Inventory (ODIN)","All categories","Second administrative level",,46.4
2020,"Open Data Inventory (ODIN)","Population and vital statistics","Second administrative level",,50
2020,"Open Data Inventory (ODIN)","Education facilities","Second administrative level",,50
2020,"Open Data Inventory (ODIN)","Education outcomes","Second administrative level",,0
2020,"Open Data Inventory (ODIN)","Health facilities","Second administrative level",,0
2020,"Open Data Inventory (ODIN)","Health outcomes","Second administrative level",,50
2020,"Open Data Inventory (ODIN)","Reproductive health","Second administrative level",,0
2020,"Open Data Inventory (ODIN)","Food security and nutrition","Second administrative level",,0
2020,"Open Data Inventory (ODIN)","Gender statistics","Second administrative level",,50
2020,"Open Data Inventory (ODIN)","Crime and justice","Second administrative level",,50
2020,"Open Data Inventory (ODIN)","Poverty and income","Second administrative level",,50
2020,"Open Data Inventory (ODIN)","Social statistics subscore","Second administrative level",,33.3
2020,"Open Data Inventory (ODIN)","National accounts","Second administrative level",,0
2020,"Open Data Inventory (ODIN)","Labor","Second administrative level",,100
2020,"Open Data Inventory (ODIN)","Price indexes","Second administrative level",,0
2020,"Open Data Inventory (ODIN)","Government finance","Second administrative level",,0
2020,"Open Data Inventory (ODIN)","Money and banking","Second administrative level",,0
2020,"Open Data Inventory (ODIN)","International trade","Second administrative level",,0
2020,"Open Data Inventory (ODIN)","Balance of payments","Second administrative level",,0
2020,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Second administrative level",,100
2020,"Open Data Inventory (ODIN)","Agriculture and land use","Second administrative level",,50
2020,"Open Data Inventory (ODIN)","Resource use","Second administrative level",,0
2020,"Open Data Inventory (ODIN)","Energy use","Second administrative level",,0
2020,"Open Data Inventory (ODIN)","Pollution","Second administrative level",,0
2020,"Open Data Inventory (ODIN)","Built environment","Second administrative level",,50
2020,"Open Data Inventory (ODIN)","Environment subscore","Second administrative level",,50
2020,"Open Data Inventory (ODIN)","All categories","Second administrative level",,44.6
2022,"Open Data Inventory (ODIN)","Population and vital statistics","Second administrative level",,50
2022,"Open Data Inventory (ODIN)","Education facilities","Second administrative level",,50
2022,"Open Data Inventory (ODIN)","Education outcomes","Second administrative level",,0
2022,"Open Data Inventory (ODIN)","Health facilities","Second administrative level",,50
2022,"Open Data Inventory (ODIN)","Health outcomes","Second administrative level",,100
2022,"Open Data Inventory (ODIN)","Reproductive health","Second administrative level",,0
2022,"Open Data Inventory (ODIN)","Gender statistics","Second administrative level",,50
2022,"Open Data Inventory (ODIN)","Crime and justice","Second administrative level",,50
2022,"Open Data Inventory (ODIN)","Poverty and income","Second administrative level",,100
2022,"Open Data Inventory (ODIN)","Social statistics subscore","Second administrative level",,50
2022,"Open Data Inventory (ODIN)","Labor","Second administrative level",,100
2022,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Second administrative level",,100
2022,"Open Data Inventory (ODIN)","Agriculture and land use","Second administrative level",,50
2022,"Open Data Inventory (ODIN)","Built environment","Second administrative level",,50
2022,"Open Data Inventory (ODIN)","Environment subscore","Second administrative level",,50
2022,"Open Data Inventory (ODIN)","All categories","Second administrative level",,55
2024,"Open Data Inventory (ODIN)","Population and vital statistics","Second administrative level",,0
2024,"Open Data Inventory (ODIN)","Education facilities","Second administrative level",,0
2024,"Open Data Inventory (ODIN)","Education outcomes","Second administrative level",,0
2024,"Open Data Inventory (ODIN)","Health facilities","Second administrative level",,100
2024,"Open Data Inventory (ODIN)","Health outcomes","Second administrative level",,100
2024,"Open Data Inventory (ODIN)","Reproductive health","Second administrative level",,0
2024,"Open Data Inventory (ODIN)","Gender statistics","Second administrative level",,0
2024,"Open Data Inventory (ODIN)","Crime and justice","Second administrative level",,50
2024,"Open Data Inventory (ODIN)","Poverty and income","Second administrative level",,100
2024,"Open Data Inventory (ODIN)","Social statistics subscore","Second administrative level",,38.9
2024,"Open Data Inventory (ODIN)","Labor","Second administrative level",,100
2024,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Second administrative level",,100
2024,"Open Data Inventory (ODIN)","Agriculture and land use","Second administrative level",,50
2024,"Open Data Inventory (ODIN)","Built environment","Second administrative level",,50
2024,"Open Data Inventory (ODIN)","Environment subscore","Second administrative level",,50
2024,"Open Data Inventory (ODIN)","All categories","Second administrative level",,48
2016,"Open Data Inventory (ODIN)","Population and vital statistics","Coverage subscore",,80
2016,"Open Data Inventory (ODIN)","Education facilities","Coverage subscore",,40
2016,"Open Data Inventory (ODIN)","Education outcomes","Coverage subscore",,40
2016,"Open Data Inventory (ODIN)","Health facilities","Coverage subscore",,30
2016,"Open Data Inventory (ODIN)","Health outcomes","Coverage subscore",,100
2016,"Open Data Inventory (ODIN)","Reproductive health","Coverage subscore",,50
2016,"Open Data Inventory (ODIN)","Gender statistics","Coverage subscore",,50
