Year,Geography,Type of employee,Industry,GeoCode,Value
2015,Alberta,All employees,"Engine, turbine and power transmission equipment manufacturing",NA,0.02
2015,Alberta,All employees,Other general-purpose machinery manufacturing,NA,0.26
2015,Alberta,All employees,Computer and electronic product manufacturing,NA,0.16
2015,Alberta,All employees,Computer and peripheral equipment manufacturing,NA,0.02
2015,Alberta,All employees,Communications equipment manufacturing,NA,0.02
2015,Alberta,All employees,Semiconductor and other electronic component manufacturing,NA,0.03
2015,Alberta,All employees,"Navigational, measuring, medical and control instruments manufacturing",NA,0.09
2015,Alberta,All employees,"Electrical equipment, appliance and component manufacturing",NA,0.12
2015,Alberta,All employees,Electrical equipment manufacturing,NA,0.07
2015,Alberta,All employees,Other electrical equipment and component manufacturing,NA,0.04
2015,Alberta,All employees,Transportation equipment manufacturing,NA,0.11
2015,Alberta,All employees,Motor vehicle body and trailer manufacturing,NA,0.06
2015,Alberta,All employees,Motor vehicle parts manufacturing,NA,0.02
2015,Alberta,All employees,Aerospace product and parts manufacturing,NA,NA
2015,Alberta,All employees,Furniture and related product manufacturing,NA,0.19
2015,Alberta,All employees,Household and institutional furniture and kitchen cabinet manufacturing,NA,0.12
2015,Alberta,All employees,Office furniture (including fixtures) manufacturing,NA,0.04
2015,Alberta,All employees,Other furniture-related product manufacturing,NA,0.03
2015,Alberta,All employees,Miscellaneous manufacturing,NA,0.23
2015,Alberta,All employees,Medical equipment and supplies manufacturing,NA,0.09
2015,Alberta,All employees,Other miscellaneous manufacturing,NA,0.14
2015,Alberta,Salaried employees paid a fixed salary,Manufacturing,NA,2.24
2015,Alberta,Salaried employees paid a fixed salary,Non-durable goods,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Food manufacturing,NA,0.18
2015,Alberta,Salaried employees paid a fixed salary,Grain and oilseed milling,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Meat product manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Bakeries and tortilla manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Beverage and tobacco product manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Cannabis product manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Paper manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,"Pulp, paper and paperboard mills",NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Converted paper product manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Printing and related support activities,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Chemical manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Basic chemical manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,"Pesticide, fertilizer and other agricultural chemical manufacturing",NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Other chemical product manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Plastics and rubber products manufacturing,NA,0.07
2015,Alberta,Salaried employees paid a fixed salary,Durable goods,NA,1.07
2015,Alberta,Salaried employees paid a fixed salary,Wood product manufacturing,NA,0.08
2015,Alberta,Salaried employees paid a fixed salary,Sawmills and wood preservation,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Other wood product manufacturing,NA,0.03
2015,Alberta,Salaried employees paid a fixed salary,Non-metallic mineral product manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Cement and concrete product manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Other non-metallic mineral product manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Fabricated metal product manufacturing,NA,0.25
2015,Alberta,Salaried employees paid a fixed salary,Architectural and structural metals manufacturing,NA,0.1
2015,Alberta,Salaried employees paid a fixed salary,"Boiler, tank and shipping container manufacturing",NA,NA
2015,Alberta,Salaried employees paid a fixed salary,"Machine shops, turned product, and screw, nut and bolt manufacturing",NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Machinery manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,"Agricultural, construction and mining machinery manufacturing",NA,NA
2015,Alberta,Salaried employees paid a fixed salary,"Engine, turbine and power transmission equipment manufacturing",NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Other general-purpose machinery manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Computer and electronic product manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Communications equipment manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,"Navigational, measuring, medical and control instruments manufacturing",NA,NA
2015,Alberta,Salaried employees paid a fixed salary,"Electrical equipment, appliance and component manufacturing",NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Electrical equipment manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Transportation equipment manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Motor vehicle body and trailer manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Motor vehicle parts manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Furniture and related product manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Household and institutional furniture and kitchen cabinet manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Office furniture (including fixtures) manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Other furniture-related product manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Miscellaneous manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Medical equipment and supplies manufacturing,NA,NA
2015,Alberta,Salaried employees paid a fixed salary,Other miscellaneous manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Manufacturing,NA,3.98
2015,Alberta,Employees paid by the hour,Non-durable goods,NA,NA
2015,Alberta,Employees paid by the hour,Food manufacturing,NA,0.7
2015,Alberta,Employees paid by the hour,Grain and oilseed milling,NA,NA
2015,Alberta,Employees paid by the hour,Meat product manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Bakeries and tortilla manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Beverage and tobacco product manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Cannabis product manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Paper manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,"Pulp, paper and paperboard mills",NA,NA
2015,Alberta,Employees paid by the hour,Converted paper product manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Printing and related support activities,NA,NA
2015,Alberta,Employees paid by the hour,Chemical manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Basic chemical manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,"Pesticide, fertilizer and other agricultural chemical manufacturing",NA,NA
2015,Alberta,Employees paid by the hour,Other chemical product manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Plastics and rubber products manufacturing,NA,0.2
2015,Alberta,Employees paid by the hour,Durable goods,NA,2.62
2015,Alberta,Employees paid by the hour,Wood product manufacturing,NA,0.4
2015,Alberta,Employees paid by the hour,Sawmills and wood preservation,NA,NA
2015,Alberta,Employees paid by the hour,Other wood product manufacturing,NA,0.15
2015,Alberta,Employees paid by the hour,Non-metallic mineral product manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Cement and concrete product manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Other non-metallic mineral product manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Fabricated metal product manufacturing,NA,0.85
2015,Alberta,Employees paid by the hour,Architectural and structural metals manufacturing,NA,0.35
2015,Alberta,Employees paid by the hour,"Boiler, tank and shipping container manufacturing",NA,NA
2015,Alberta,Employees paid by the hour,"Machine shops, turned product, and screw, nut and bolt manufacturing",NA,NA
2015,Alberta,Employees paid by the hour,Machinery manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,"Agricultural, construction and mining machinery manufacturing",NA,NA
2015,Alberta,Employees paid by the hour,"Engine, turbine and power transmission equipment manufacturing",NA,NA
2015,Alberta,Employees paid by the hour,Other general-purpose machinery manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Computer and electronic product manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Communications equipment manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,"Navigational, measuring, medical and control instruments manufacturing",NA,NA
2015,Alberta,Employees paid by the hour,"Electrical equipment, appliance and component manufacturing",NA,NA
2015,Alberta,Employees paid by the hour,Electrical equipment manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Transportation equipment manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Motor vehicle body and trailer manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Motor vehicle parts manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Furniture and related product manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Household and institutional furniture and kitchen cabinet manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Office furniture (including fixtures) manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Other furniture-related product manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Miscellaneous manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Medical equipment and supplies manufacturing,NA,NA
2015,Alberta,Employees paid by the hour,Other miscellaneous manufacturing,NA,NA
2015,British Columbia,All employees,Manufacturing,59,6.9
2015,British Columbia,All employees,Non-durable goods,NA,2.8
2015,British Columbia,All employees,Food manufacturing,NA,1.2
2015,British Columbia,All employees,Animal food manufacturing,NA,0.04
2015,British Columbia,All employees,Grain and oilseed milling,NA,0.01
2015,British Columbia,All employees,Sugar and confectionery product manufacturing,NA,0.06
2015,British Columbia,All employees,Fruit and vegetable preserving and specialty food manufacturing,NA,0.07
2015,British Columbia,All employees,Dairy product manufacturing,NA,0.11
2015,British Columbia,All employees,Meat product manufacturing,NA,0.23
2015,British Columbia,All employees,Seafood product preparation and packaging,NA,0.18
2015,British Columbia,All employees,Bakeries and tortilla manufacturing,NA,0.28
2015,British Columbia,All employees,Other food manufacturing,NA,0.22
2015,British Columbia,All employees,Beverage and tobacco product manufacturing,NA,0.26
2015,British Columbia,All employees,Cannabis product manufacturing,NA,NA
2015,British Columbia,All employees,Fabric mills,NA,NA
2015,British Columbia,All employees,Textile product mills,NA,0.04
2015,British Columbia,All employees,Textile furnishings mills,NA,0.01
2015,British Columbia,All employees,Other textile product mills,NA,0.03
2015,British Columbia,All employees,Clothing manufacturing,NA,0.1
2015,British Columbia,All employees,Cut and sew clothing manufacturing,NA,0.08
2015,British Columbia,All employees,Other leather and allied product manufacturing,NA,0
2015,British Columbia,All employees,Paper manufacturing,NA,0.41
2015,British Columbia,All employees,"Pulp, paper and paperboard mills",NA,0.31
2015,British Columbia,All employees,Converted paper product manufacturing,NA,0.1
2015,British Columbia,All employees,Printing and related support activities,NA,0.21
2015,British Columbia,All employees,Petroleum and coal product manufacturing,NA,0.04
2015,British Columbia,All employees,Chemical manufacturing,NA,0.27
2015,British Columbia,All employees,Basic chemical manufacturing,NA,0.03
2015,British Columbia,All employees,Pharmaceutical and medicine manufacturing,NA,0.1
2015,British Columbia,All employees,"Paint, coating and adhesive manufacturing",NA,0.03
2015,British Columbia,All employees,"Soap, cleaning compound and toilet preparation manufacturing",NA,0.05
2015,British Columbia,All employees,Other chemical product manufacturing,NA,0.03
2015,British Columbia,All employees,Plastics and rubber products manufacturing,NA,0.26
2015,British Columbia,All employees,Plastic product manufacturing,NA,NA
2015,British Columbia,All employees,Durable goods,NA,4.1
2015,British Columbia,All employees,Wood product manufacturing,NA,1.27
2015,British Columbia,All employees,Sawmills and wood preservation,NA,0.72
2015,British Columbia,All employees,"Veneer, plywood and engineered wood product manufacturing",NA,0.22
2015,British Columbia,All employees,Other wood product manufacturing,NA,0.33
2015,British Columbia,All employees,Non-metallic mineral product manufacturing,NA,0.28
2015,British Columbia,All employees,Glass and glass product manufacturing,NA,0.06
2015,British Columbia,All employees,Cement and concrete product manufacturing,NA,0.16
2015,British Columbia,All employees,Other non-metallic mineral product manufacturing,NA,0.03
2015,British Columbia,All employees,Primary metal manufacturing,NA,0.19
2015,British Columbia,All employees,Fabricated metal product manufacturing,NA,0.56
2015,British Columbia,All employees,Forging and stamping,NA,0.01
2015,British Columbia,All employees,Cutlery and hand tool manufacturing,NA,0.01
2015,British Columbia,All employees,Architectural and structural metals manufacturing,NA,0.29
2015,British Columbia,All employees,"Boiler, tank and shipping container manufacturing",NA,0.03
2015,British Columbia,All employees,Spring and wire product manufacturing,NA,0.01
2015,British Columbia,All employees,"Machine shops, turned product, and screw, nut and bolt manufacturing",NA,0.1
2015,British Columbia,All employees,"Coating, engraving, cold and heat treating and allied activities",NA,0.03
2015,British Columbia,All employees,Other fabricated metal product manufacturing,NA,0.06
2015,British Columbia,All employees,Machinery manufacturing,NA,0.42
2015,British Columbia,All employees,"Agricultural, construction and mining machinery manufacturing",NA,0.06
2015,British Columbia,All employees,Industrial machinery manufacturing,NA,0.08
2015,British Columbia,All employees,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",NA,0.08
2015,British Columbia,All employees,Metalworking machinery manufacturing,NA,0.04
2015,British Columbia,All employees,Other general-purpose machinery manufacturing,NA,0.11
2015,British Columbia,All employees,Computer and electronic product manufacturing,NA,0.27
2015,British Columbia,All employees,Computer and peripheral equipment manufacturing,NA,0.04
2015,British Columbia,All employees,Communications equipment manufacturing,NA,0.04
2015,British Columbia,All employees,Semiconductor and other electronic component manufacturing,NA,0.07
2015,British Columbia,All employees,"Navigational, measuring, medical and control instruments manufacturing",NA,0.11
2015,British Columbia,All employees,"Electrical equipment, appliance and component manufacturing",NA,0.15
2015,British Columbia,All employees,Electrical equipment manufacturing,NA,0.04
2015,British Columbia,All employees,Other electrical equipment and component manufacturing,NA,0.08
2015,British Columbia,All employees,Transportation equipment manufacturing,NA,0.34
2015,British Columbia,All employees,Motor vehicle body and trailer manufacturing,NA,0.08
2015,British Columbia,All employees,Aerospace product and parts manufacturing,NA,0.1
2015,British Columbia,All employees,Ship and boat building,NA,0.08
2015,British Columbia,All employees,Furniture and related product manufacturing,NA,0.3
2015,British Columbia,All employees,Household and institutional furniture and kitchen cabinet manufacturing,NA,0.24
2015,British Columbia,All employees,Office furniture (including fixtures) manufacturing,NA,0.03
2015,British Columbia,All employees,Other furniture-related product manufacturing,NA,0.03
2015,British Columbia,All employees,Miscellaneous manufacturing,NA,0.32
2015,British Columbia,All employees,Medical equipment and supplies manufacturing,NA,0.1
2015,British Columbia,All employees,Other miscellaneous manufacturing,NA,0.22
2015,British Columbia,Salaried employees paid a fixed salary,Manufacturing,NA,1.68
2015,British Columbia,Salaried employees paid a fixed salary,Non-durable goods,NA,0.71
2015,British Columbia,Salaried employees paid a fixed salary,Food manufacturing,NA,0.18
2015,British Columbia,Salaried employees paid a fixed salary,Animal food manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Fruit and vegetable preserving and specialty food manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Meat product manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Seafood product preparation and packaging,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Bakeries and tortilla manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Beverage and tobacco product manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Cannabis product manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Clothing manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Other leather and allied product manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Paper manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,"Pulp, paper and paperboard mills",NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Converted paper product manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Printing and related support activities,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Basic chemical manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Pharmaceutical and medicine manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,"Soap, cleaning compound and toilet preparation manufacturing",NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Other chemical product manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Plastics and rubber products manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Plastic product manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Durable goods,NA,0.97
2015,British Columbia,Salaried employees paid a fixed salary,Wood product manufacturing,NA,0.2
2015,British Columbia,Salaried employees paid a fixed salary,Sawmills and wood preservation,NA,0.11
2015,British Columbia,Salaried employees paid a fixed salary,"Veneer, plywood and engineered wood product manufacturing",NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Other wood product manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Non-metallic mineral product manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Glass and glass product manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Cement and concrete product manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Other non-metallic mineral product manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Primary metal manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Fabricated metal product manufacturing,NA,0.1
2015,British Columbia,Salaried employees paid a fixed salary,Forging and stamping,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Cutlery and hand tool manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Architectural and structural metals manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,"Boiler, tank and shipping container manufacturing",NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,"Machine shops, turned product, and screw, nut and bolt manufacturing",NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Other fabricated metal product manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Machinery manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,"Agricultural, construction and mining machinery manufacturing",NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Industrial machinery manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Other general-purpose machinery manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Semiconductor and other electronic component manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,"Navigational, measuring, medical and control instruments manufacturing",NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Electrical equipment manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Other electrical equipment and component manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Transportation equipment manufacturing,NA,0.07
2015,British Columbia,Salaried employees paid a fixed salary,Motor vehicle body and trailer manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Aerospace product and parts manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Ship and boat building,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Furniture and related product manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Household and institutional furniture and kitchen cabinet manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Office furniture (including fixtures) manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Medical equipment and supplies manufacturing,NA,NA
2015,British Columbia,Salaried employees paid a fixed salary,Other miscellaneous manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Manufacturing,NA,4.87
2015,British Columbia,Employees paid by the hour,Non-durable goods,NA,1.97
2015,British Columbia,Employees paid by the hour,Food manufacturing,NA,0.98
2015,British Columbia,Employees paid by the hour,Animal food manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Fruit and vegetable preserving and specialty food manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Meat product manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Seafood product preparation and packaging,NA,NA
2015,British Columbia,Employees paid by the hour,Bakeries and tortilla manufacturing,NA,0.22
2015,British Columbia,Employees paid by the hour,Beverage and tobacco product manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Cannabis product manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Clothing manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Other leather and allied product manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Paper manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,"Pulp, paper and paperboard mills",NA,NA
2015,British Columbia,Employees paid by the hour,Converted paper product manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Printing and related support activities,NA,NA
2015,British Columbia,Employees paid by the hour,Basic chemical manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Pharmaceutical and medicine manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,"Soap, cleaning compound and toilet preparation manufacturing",NA,NA
2015,British Columbia,Employees paid by the hour,Other chemical product manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Plastics and rubber products manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Plastic product manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Durable goods,NA,2.9
2015,British Columbia,Employees paid by the hour,Wood product manufacturing,NA,1.02
2015,British Columbia,Employees paid by the hour,Sawmills and wood preservation,NA,0.58
2015,British Columbia,Employees paid by the hour,"Veneer, plywood and engineered wood product manufacturing",NA,NA
2015,British Columbia,Employees paid by the hour,Other wood product manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Non-metallic mineral product manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Glass and glass product manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Cement and concrete product manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Other non-metallic mineral product manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Primary metal manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Fabricated metal product manufacturing,NA,0.41
2015,British Columbia,Employees paid by the hour,Forging and stamping,NA,NA
2015,British Columbia,Employees paid by the hour,Cutlery and hand tool manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Architectural and structural metals manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,"Boiler, tank and shipping container manufacturing",NA,NA
2015,British Columbia,Employees paid by the hour,"Machine shops, turned product, and screw, nut and bolt manufacturing",NA,NA
2015,British Columbia,Employees paid by the hour,Other fabricated metal product manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Machinery manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,"Agricultural, construction and mining machinery manufacturing",NA,NA
2015,British Columbia,Employees paid by the hour,Industrial machinery manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Other general-purpose machinery manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Semiconductor and other electronic component manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,"Navigational, measuring, medical and control instruments manufacturing",NA,NA
2015,British Columbia,Employees paid by the hour,Electrical equipment manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Other electrical equipment and component manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Transportation equipment manufacturing,NA,0.26
2015,British Columbia,Employees paid by the hour,Motor vehicle body and trailer manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Aerospace product and parts manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Ship and boat building,NA,NA
2015,British Columbia,Employees paid by the hour,Furniture and related product manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Household and institutional furniture and kitchen cabinet manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Office furniture (including fixtures) manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Medical equipment and supplies manufacturing,NA,NA
2015,British Columbia,Employees paid by the hour,Other miscellaneous manufacturing,NA,NA
2015,Yukon,All employees,Cannabis product manufacturing,NA,NA
2015,Yukon,All employees,Durable goods,NA,NA
2015,Yukon,Salaried employees paid a fixed salary,Cannabis product manufacturing,NA,NA
2015,Yukon,Salaried employees paid a fixed salary,Durable goods,NA,NA
2015,Yukon,Employees paid by the hour,Cannabis product manufacturing,NA,NA
2015,Yukon,Employees paid by the hour,Durable goods,NA,NA
2015,Northwest Territories,All employees,Cannabis product manufacturing,NA,NA
2015,Northwest Territories,Salaried employees paid a fixed salary,Cannabis product manufacturing,NA,NA
2015,Northwest Territories,Employees paid by the hour,Cannabis product manufacturing,NA,NA
2015,Nunavut,All employees,Cannabis product manufacturing,NA,NA
2015,Nunavut,Salaried employees paid a fixed salary,Cannabis product manufacturing,NA,NA
2015,Nunavut,Employees paid by the hour,Cannabis product manufacturing,NA,NA
2016,Canada,All employees,Non-durable goods,NA,3.8
2016,Canada,All employees,Food manufacturing,NA,1.39
2016,Canada,All employees,Animal food manufacturing,NA,0.06
2016,Canada,All employees,Grain and oilseed milling,NA,0.04
2016,Canada,All employees,Sugar and confectionery product manufacturing,NA,0.06
2016,Canada,All employees,Fruit and vegetable preserving and specialty food manufacturing,NA,0.11
2016,Canada,All employees,Dairy product manufacturing,NA,0.14
2016,Canada,All employees,Meat product manufacturing,NA,0.35
2016,Canada,All employees,Seafood product preparation and packaging,NA,0.14
2016,Canada,All employees,Bakeries and tortilla manufacturing,NA,0.28
2016,Canada,All employees,Other food manufacturing,NA,0.19
2016,Canada,All employees,Beverage and tobacco product manufacturing,NA,0.23
2016,Canada,All employees,Beverage manufacturing,NA,0.22
2016,Canada,All employees,Tobacco manufacturing,NA,0.02
2016,Canada,All employees,Cannabis product manufacturing,NA,NA
2016,Canada,All employees,Textile mills,NA,0.05
2016,Canada,All employees,"Fibre, yarn and thread mills",NA,0.01
2016,Canada,All employees,Fabric mills,NA,0.03
2016,Canada,All employees,Textile and fabric finishing and fabric coating,NA,0.01
2016,Canada,All employees,Textile product mills,NA,0.06
2016,Canada,All employees,Textile furnishings mills,NA,0.02
2016,Canada,All employees,Other textile product mills,NA,0.04
2016,Canada,All employees,Clothing manufacturing,NA,0.12
2016,Canada,All employees,Clothing knitting mills,NA,0.01
2016,Canada,All employees,Cut and sew clothing manufacturing,NA,0.1
2016,Canada,All employees,Clothing accessories and other clothing manufacturing,NA,0.01
2016,Canada,All employees,Leather and allied product manufacturing,NA,0.02
2016,Canada,All employees,Leather and hide tanning and finishing,NA,0
2016,Canada,All employees,Footwear manufacturing,NA,0.01
2016,Canada,All employees,Other leather and allied product manufacturing,NA,0.01
2016,Canada,All employees,Paper manufacturing,NA,0.33
2016,Canada,All employees,"Pulp, paper and paperboard mills",NA,0.15
2016,Canada,All employees,Converted paper product manufacturing,NA,0.19
2016,Canada,All employees,Printing and related support activities,NA,0.31
2016,Canada,All employees,Petroleum and coal product manufacturing,NA,0.12
2016,Canada,All employees,Chemical manufacturing,NA,0.56
2016,Canada,All employees,Basic chemical manufacturing,NA,0.07
2016,Canada,All employees,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing",NA,0.04
2016,Canada,All employees,"Pesticide, fertilizer and other agricultural chemical manufacturing",NA,0.05
2016,Canada,All employees,Pharmaceutical and medicine manufacturing,NA,0.18
2016,Canada,All employees,"Paint, coating and adhesive manufacturing",NA,0.05
2016,Canada,All employees,"Soap, cleaning compound and toilet preparation manufacturing",NA,0.1
2016,Canada,All employees,Other chemical product manufacturing,NA,0.07
2016,Canada,All employees,Plastics and rubber products manufacturing,NA,0.61
2016,Canada,All employees,Plastic product manufacturing,NA,0.51
2016,Canada,All employees,Rubber product manufacturing,NA,0.1
2016,Canada,All employees,Durable goods,NA,5.48
2016,Canada,All employees,Wood product manufacturing,NA,0.58
2016,Canada,All employees,Sawmills and wood preservation,NA,0.23
2016,Canada,All employees,"Veneer, plywood and engineered wood product manufacturing",NA,0.11
