"Year","Geography","Supply and demand characteristics","Value"
"2021","Prince Edward Island","Residential",0.46
"2021","Prince Edward Island","Public administration",0.07
"2021","Prince Edward Island","Commercial and other institutional",0.41
"2021","Nova Scotia","Energy use, final demand",2.95
"2021","Nova Scotia","Total industrial",0.34
"2021","Nova Scotia","Total transportation",1.34
"2021","Nova Scotia","Agriculture, fishing, hunting and trapping",0.06
"2021","Nova Scotia","Residential",0.68
"2021","Nova Scotia","Public administration",0.13
"2021","Nova Scotia","Commercial and other institutional",0.4
"2021","New Brunswick","Energy use, final demand",3.44
"2021","New Brunswick","Total industrial",1.11
"2021","New Brunswick","Total transportation",1.16
"2021","New Brunswick","Agriculture, fishing, hunting and trapping",0.05
"2021","New Brunswick","Residential",0.67
"2021","New Brunswick","Public administration",0.09
"2021","New Brunswick","Commercial and other institutional",0.36
"2021","Quebec","Energy use, final demand",3.48
"2021","Quebec","Total industrial",1.26
"2021","Quebec","Total transportation",0.95
"2021","Quebec","Agriculture, fishing, hunting and trapping",0.07
"2021","Quebec","Residential",0.64
"2021","Quebec","Public administration",0.09
"2021","Quebec","Commercial and other institutional",0.47
"2021","Ontario","Energy use, final demand",2.66
"2021","Ontario","Total industrial",0.65
"2021","Ontario","Total transportation",0.82
"2021","Ontario","Agriculture, fishing, hunting and trapping",0.08
"2021","Ontario","Residential",0.57
"2021","Ontario","Public administration",0.03
"2021","Ontario","Commercial and other institutional",0.52
"2021","Manitoba","Energy use, final demand",3.83
"2021","Manitoba","Total industrial",0.71
"2021","Manitoba","Total transportation",1.32
"2021","Manitoba","Agriculture, fishing, hunting and trapping",0.33
"2021","Manitoba","Residential",0.74
"2021","Manitoba","Public administration",0.07
"2021","Manitoba","Commercial and other institutional",0.66
"2021","Saskatchewan","Energy use, final demand",7.35
"2021","Saskatchewan","Total industrial",2.81
"2021","Saskatchewan","Total transportation",2.07
"2021","Saskatchewan","Agriculture, fishing, hunting and trapping",0.96
"2021","Saskatchewan","Residential",0.68
"2021","Saskatchewan","Public administration",0.14
"2021","Saskatchewan","Commercial and other institutional",0.68
"2021","Alberta","Energy use, final demand",6.58
"2021","Alberta","Total industrial",3.79
"2021","Alberta","Total transportation",1.27
"2021","Alberta","Agriculture, fishing, hunting and trapping",0.19
"2021","Alberta","Residential",0.62
"2021","Alberta","Public administration",0.06
"2021","Alberta","Commercial and other institutional",0.65
"2021","British Columbia","Energy use, final demand",2.86
"2021","British Columbia","Total industrial",0.73
"2021","British Columbia","Total transportation",1.1
"2021","British Columbia","Agriculture, fishing, hunting and trapping",0.1
"2021","British Columbia","Residential",0.51
"2021","British Columbia","Public administration",0.03
"2021","British Columbia","Commercial and other institutional",0.39
"2021","Yukon","Energy use, final demand",2.92
"2021","Yukon","Total industrial",0.88
"2021","Yukon","Total transportation",1.38
"2021","Yukon","Agriculture, fishing, hunting and trapping",0
"2021","Yukon","Residential",0.26
"2021","Yukon","Public administration",0.04
"2021","Yukon","Commercial and other institutional",0.35
"2021","Northwest Territories","Energy use, final demand",3.38
"2021","Northwest Territories","Total industrial",0.65
"2021","Northwest Territories","Total transportation",1.72
"2021","Northwest Territories","Agriculture, fishing, hunting and trapping",0
"2021","Northwest Territories","Residential",0.26
"2021","Northwest Territories","Public administration",0.3
"2021","Northwest Territories","Commercial and other institutional",0.45
"2021","Nunavut","Energy use, final demand",1.85
"2021","Nunavut","Total industrial",0.81
"2021","Nunavut","Total transportation",0.46
"2021","Nunavut","Agriculture, fishing, hunting and trapping",0.02
"2021","Nunavut","Residential",0.28
"2021","Nunavut","Public administration",0.07
"2021","Nunavut","Commercial and other institutional",0.2
"2022","Canada","Energy use, final demand",3.63
"2022","Canada","Total industrial",1.28
"2022","Canada","Total transportation",1.07
"2022","Canada","Agriculture, fishing, hunting and trapping",0.13
"2022","Canada","Residential",0.58
"2022","Canada","Public administration",0.05
"2022","Canada","Commercial and other institutional",0.51
"2022","Newfoundland and Labrador","Energy use, final demand",3.4
"2022","Newfoundland and Labrador","Total industrial",0.86
"2022","Newfoundland and Labrador","Total transportation",1.33
"2022","Newfoundland and Labrador","Agriculture, fishing, hunting and trapping",0.02
"2022","Newfoundland and Labrador","Residential",0.55
"2022","Newfoundland and Labrador","Public administration",0.09
"2022","Newfoundland and Labrador","Commercial and other institutional",0.56
"2022","Prince Edward Island","Energy use, final demand",3.05
"2022","Prince Edward Island","Total industrial",0.49
"2022","Prince Edward Island","Total transportation",1.29
"2022","Prince Edward Island","Agriculture, fishing, hunting and trapping",0.35
"2022","Prince Edward Island","Residential",0.45
"2022","Prince Edward Island","Public administration",0.08
"2022","Prince Edward Island","Commercial and other institutional",0.39
"2022","Nova Scotia","Energy use, final demand",2.92
"2022","Nova Scotia","Total industrial",0.32
"2022","Nova Scotia","Total transportation",1.32
"2022","Nova Scotia","Agriculture, fishing, hunting and trapping",0.06
"2022","Nova Scotia","Residential",0.68
"2022","Nova Scotia","Public administration",0.14
"2022","Nova Scotia","Commercial and other institutional",0.4
"2022","New Brunswick","Energy use, final demand",3.53
"2022","New Brunswick","Total industrial",1.19
"2022","New Brunswick","Total transportation",1.12
"2022","New Brunswick","Agriculture, fishing, hunting and trapping",0.05
"2022","New Brunswick","Residential",0.69
"2022","New Brunswick","Public administration",0.09
"2022","New Brunswick","Commercial and other institutional",0.38
"2022","Quebec","Energy use, final demand",3.51
"2022","Quebec","Total industrial",1.24
"2022","Quebec","Total transportation",1.02
"2022","Quebec","Agriculture, fishing, hunting and trapping",0.07
"2022","Quebec","Residential",0.64
"2022","Quebec","Public administration",0.08
"2022","Quebec","Commercial and other institutional",0.46
"2022","Ontario","Energy use, final demand",2.66
"2022","Ontario","Total industrial",0.63
"2022","Ontario","Total transportation",0.87
"2022","Ontario","Agriculture, fishing, hunting and trapping",0.08
"2022","Ontario","Residential",0.54
"2022","Ontario","Public administration",0.03
"2022","Ontario","Commercial and other institutional",0.52
"2022","Manitoba","Energy use, final demand",3.89
"2022","Manitoba","Total industrial",0.69
"2022","Manitoba","Total transportation",1.32
"2022","Manitoba","Agriculture, fishing, hunting and trapping",0.35
"2022","Manitoba","Residential",0.75
"2022","Manitoba","Public administration",0.07
"2022","Manitoba","Commercial and other institutional",0.7
"2022","Saskatchewan","Energy use, final demand",6.96
"2022","Saskatchewan","Total industrial",2.75
"2022","Saskatchewan","Total transportation",1.93
"2022","Saskatchewan","Agriculture, fishing, hunting and trapping",0.83
"2022","Saskatchewan","Residential",0.66
"2022","Saskatchewan","Public administration",0.14
"2022","Saskatchewan","Commercial and other institutional",0.66
"2022","Alberta","Energy use, final demand",6.36
"2022","Alberta","Total industrial",3.58
"2022","Alberta","Total transportation",1.28
"2022","Alberta","Agriculture, fishing, hunting and trapping",0.17
"2022","Alberta","Residential",0.62
"2022","Alberta","Public administration",0.06
"2022","Alberta","Commercial and other institutional",0.65
"2022","British Columbia","Energy use, final demand",2.85
"2022","British Columbia","Total industrial",0.71
"2022","British Columbia","Total transportation",1.13
"2022","British Columbia","Agriculture, fishing, hunting and trapping",0.1
"2022","British Columbia","Residential",0.51
"2022","British Columbia","Public administration",0.03
"2022","British Columbia","Commercial and other institutional",0.38
"2022","Yukon","Energy use, final demand",2.94
"2022","Yukon","Total industrial",0.84
"2022","Yukon","Total transportation",1.43
"2022","Yukon","Agriculture, fishing, hunting and trapping",0
"2022","Yukon","Residential",0.25
"2022","Yukon","Public administration",0.04
"2022","Yukon","Commercial and other institutional",0.39
"2022","Northwest Territories","Energy use, final demand",3.59
"2022","Northwest Territories","Total industrial",0.67
"2022","Northwest Territories","Total transportation",1.86
"2022","Northwest Territories","Agriculture, fishing, hunting and trapping",0
"2022","Northwest Territories","Residential",0.29
"2022","Northwest Territories","Public administration",0.27
"2022","Northwest Territories","Commercial and other institutional",0.5
"2022","Nunavut","Energy use, final demand",1.9
"2022","Nunavut","Total industrial",0.8
"2022","Nunavut","Total transportation",0.52
"2022","Nunavut","Agriculture, fishing, hunting and trapping",0.02
"2022","Nunavut","Residential",0.28
"2022","Nunavut","Public administration",0.07
"2022","Nunavut","Commercial and other institutional",0.2
"2023","Canada","Energy use, final demand",3.51
"2023","Canada","Total industrial",1.24
"2023","Canada","Total transportation",1.07
"2023","Canada","Agriculture, fishing, hunting and trapping",0.12
"2023","Canada","Residential",0.54
"2023","Canada","Public administration",0.05
"2023","Canada","Commercial and other institutional",0.49
"2023","Newfoundland and Labrador","Energy use, final demand",3.45
"2023","Newfoundland and Labrador","Total industrial",0.86
"2023","Newfoundland and Labrador","Total transportation",1.32
"2023","Newfoundland and Labrador","Agriculture, fishing, hunting and trapping",0.03
"2023","Newfoundland and Labrador","Residential",0.58
"2023","Newfoundland and Labrador","Public administration",0.09
"2023","Newfoundland and Labrador","Commercial and other institutional",0.58
"2023","Prince Edward Island","Energy use, final demand",2.96
"2023","Prince Edward Island","Total industrial",0.5
"2023","Prince Edward Island","Total transportation",1.27
"2023","Prince Edward Island","Agriculture, fishing, hunting and trapping",0.33
"2023","Prince Edward Island","Residential",0.41
"2023","Prince Edward Island","Public administration",0.07
"2023","Prince Edward Island","Commercial and other institutional",0.4
"2023","Nova Scotia","Energy use, final demand",2.83
"2023","Nova Scotia","Total industrial",0.28
"2023","Nova Scotia","Total transportation",1.34
"2023","Nova Scotia","Agriculture, fishing, hunting and trapping",0.06
"2023","Nova Scotia","Residential",0.62
"2023","Nova Scotia","Public administration",0.14
"2023","Nova Scotia","Commercial and other institutional",0.39
"2023","New Brunswick","Energy use, final demand",3.31
"2023","New Brunswick","Total industrial",0.98
"2023","New Brunswick","Total transportation",1.12
"2023","New Brunswick","Agriculture, fishing, hunting and trapping",0.04
"2023","New Brunswick","Residential",0.68
"2023","New Brunswick","Public administration",0.09
"2023","New Brunswick","Commercial and other institutional",0.39
"2023","Quebec","Energy use, final demand",3.46
"2023","Quebec","Total industrial",1.21
"2023","Quebec","Total transportation",1.05
"2023","Quebec","Agriculture, fishing, hunting and trapping",0.07
"2023","Quebec","Residential",0.61
"2023","Quebec","Public administration",0.08
"2023","Quebec","Commercial and other institutional",0.44
"2023","Ontario","Energy use, final demand",2.6
"2023","Ontario","Total industrial",0.62
"2023","Ontario","Total transportation",0.87
"2023","Ontario","Agriculture, fishing, hunting and trapping",0.07
"2023","Ontario","Residential",0.5
"2023","Ontario","Public administration",0.03
"2023","Ontario","Commercial and other institutional",0.5
"2023","Manitoba","Energy use, final demand",3.68
"2023","Manitoba","Total industrial",0.64
"2023","Manitoba","Total transportation",1.28
"2023","Manitoba","Agriculture, fishing, hunting and trapping",0.35
"2023","Manitoba","Residential",0.69
"2023","Manitoba","Public administration",0.07
"2023","Manitoba","Commercial and other institutional",0.65
"2023","Saskatchewan","Energy use, final demand",6.55
"2023","Saskatchewan","Total industrial",2.61
"2023","Saskatchewan","Total transportation",1.81
"2023","Saskatchewan","Agriculture, fishing, hunting and trapping",0.84
"2023","Saskatchewan","Residential",0.56
"2023","Saskatchewan","Public administration",0.13
"2023","Saskatchewan","Commercial and other institutional",0.6
"2023","Alberta","Energy use, final demand",6.06
"2023","Alberta","Total industrial",3.44
"2023","Alberta","Total transportation",1.24
"2023","Alberta","Agriculture, fishing, hunting and trapping",0.17
"2023","Alberta","Residential",0.57
"2023","Alberta","Public administration",0.05
"2023","Alberta","Commercial and other institutional",0.6
"2023","British Columbia","Energy use, final demand",2.71
"2023","British Columbia","Total industrial",0.66
"2023","British Columbia","Total transportation",1.12
"2023","British Columbia","Agriculture, fishing, hunting and trapping",0.09
"2023","British Columbia","Residential",0.45
"2023","British Columbia","Public administration",0.03
"2023","British Columbia","Commercial and other institutional",0.35
"2023","Yukon","Energy use, final demand",3
"2023","Yukon","Total industrial",0.83
"2023","Yukon","Total transportation",1.49
"2023","Yukon","Agriculture, fishing, hunting and trapping",0
"2023","Yukon","Residential",0.24
"2023","Yukon","Public administration",0.04
"2023","Yukon","Commercial and other institutional",0.4
"2023","Northwest Territories","Energy use, final demand",3.37
"2023","Northwest Territories","Total industrial",0.58
"2023","Northwest Territories","Total transportation",1.83
"2023","Northwest Territories","Agriculture, fishing, hunting and trapping",0
"2023","Northwest Territories","Residential",0.26
"2023","Northwest Territories","Public administration",0.25
"2023","Northwest Territories","Commercial and other institutional",0.46
"2023","Nunavut","Energy use, final demand",2.02
"2023","Nunavut","Total industrial",0.81
"2023","Nunavut","Total transportation",0.65
"2023","Nunavut","Agriculture, fishing, hunting and trapping",0.02
"2023","Nunavut","Residential",0.27
"2023","Nunavut","Public administration",0.07
"2023","Nunavut","Commercial and other institutional",0.2
"2024","Canada","Energy use, final demand",3.46
"2024","Canada","Total industrial",1.23
"2024","Canada","Total transportation",1.06
"2024","Canada","Agriculture, fishing, hunting and trapping",0.12
"2024","Canada","Residential",0.53
"2024","Canada","Public administration",0.05
"2024","Canada","Commercial and other institutional",0.47
"2024","Newfoundland and Labrador","Energy use, final demand",3.39
"2024","Newfoundland and Labrador","Total industrial",0.89
"2024","Newfoundland and Labrador","Total transportation",1.24
"2024","Newfoundland and Labrador","Agriculture, fishing, hunting and trapping",0.03
"2024","Newfoundland and Labrador","Residential",0.56
"2024","Newfoundland and Labrador","Public administration",0.09
"2024","Newfoundland and Labrador","Commercial and other institutional",0.58
"2024","Prince Edward Island","Energy use, final demand",2.85
"2024","Prince Edward Island","Total industrial",0.47
"2024","Prince Edward Island","Total transportation",1.23
"2024","Prince Edward Island","Agriculture, fishing, hunting and trapping",0.33
"2024","Prince Edward Island","Residential",0.37
"2024","Prince Edward Island","Public administration",0.06
"2024","Prince Edward Island","Commercial and other institutional",0.39
"2024","Nova Scotia","Energy use, final demand",2.75
"2024","Nova Scotia","Total industrial",0.29
"2024","Nova Scotia","Total transportation",1.29
"2024","Nova Scotia","Agriculture, fishing, hunting and trapping",0.06
"2024","Nova Scotia","Residential",0.6
"2024","Nova Scotia","Public administration",0.14
"2024","Nova Scotia","Commercial and other institutional",0.38
"2024","New Brunswick","Energy use, final demand",3.28
"2024","New Brunswick","Total industrial",0.98
"2024","New Brunswick","Total transportation",1.1
"2024","New Brunswick","Agriculture, fishing, hunting and trapping",0.04
"2024","New Brunswick","Residential",0.68
"2024","New Brunswick","Public administration",0.09
"2024","New Brunswick","Commercial and other institutional",0.39
"2024","Quebec","Energy use, final demand",3.4
"2024","Quebec","Total industrial",1.17
"2024","Quebec","Total transportation",1.04
"2024","Quebec","Agriculture, fishing, hunting and trapping",0.07
"2024","Quebec","Residential",0.61
"2024","Quebec","Public administration",0.08
"2024","Quebec","Commercial and other institutional",0.43
"2024","Ontario","Energy use, final demand",2.53
"2024","Ontario","Total industrial",0.61
"2024","Ontario","Total transportation",0.86
"2024","Ontario","Agriculture, fishing, hunting and trapping",0.08
"2024","Ontario","Residential",0.49
"2024","Ontario","Public administration",0.02
"2024","Ontario","Commercial and other institutional",0.48
"2024","Manitoba","Energy use, final demand",3.64
"2024","Manitoba","Total industrial",0.63
"2024","Manitoba","Total transportation",1.32
"2024","Manitoba","Agriculture, fishing, hunting and trapping",0.34
"2024","Manitoba","Residential",0.65
"2024","Manitoba","Public administration",0.07
"2024","Manitoba","Commercial and other institutional",0.64
"2024","Saskatchewan","Energy use, final demand",6.42
"2024","Saskatchewan","Total industrial",2.54
"2024","Saskatchewan","Total transportation",1.86
"2024","Saskatchewan","Agriculture, fishing, hunting and trapping",0.76
"2024","Saskatchewan","Residential",0.57
"2024","Saskatchewan","Public administration",0.13
"2024","Saskatchewan","Commercial and other institutional",0.56
"2024","Alberta","Energy use, final demand",6.05
"2024","Alberta","Total industrial",3.45
"2024","Alberta","Total transportation",1.24
"2024","Alberta","Agriculture, fishing, hunting and trapping",0.15
"2024","Alberta","Residential",0.56
"2024","Alberta","Public administration",0.05
"2024","Alberta","Commercial and other institutional",0.59
"2024","British Columbia","Energy use, final demand",2.69
"2024","British Columbia","Total industrial",0.66
"2024","British Columbia","Total transportation",1.09
"2024","British Columbia","Agriculture, fishing, hunting and trapping",0.1
"2024","British Columbia","Residential",0.46
"2024","British Columbia","Public administration",0.03
"2024","British Columbia","Commercial and other institutional",0.36
"2024","Yukon","Energy use, final demand",3.18
"2024","Yukon","Total industrial",0.87
"2024","Yukon","Total transportation",1.55
"2024","Yukon","Agriculture, fishing, hunting and trapping",0
"2024","Yukon","Residential",0.26
"2024","Yukon","Public administration",0.05
"2024","Yukon","Commercial and other institutional",0.45
"2024","Northwest Territories","Energy use, final demand",3.37
"2024","Northwest Territories","Total industrial",0.57
"2024","Northwest Territories","Total transportation",1.82
"2024","Northwest Territories","Agriculture, fishing, hunting and trapping",0
"2024","Northwest Territories","Residential",0.25
"2024","Northwest Territories","Public administration",0.25
"2024","Northwest Territories","Commercial and other institutional",0.47
"2024","Nunavut","Energy use, final demand",2.04
"2024","Nunavut","Total industrial",0.91
"2024","Nunavut","Total transportation",0.58
"2024","Nunavut","Agriculture, fishing, hunting and trapping",0.03
"2024","Nunavut","Residential",0.26
"2024","Nunavut","Public administration",0.07
"2024","Nunavut","Commercial and other institutional",0.2
