"Year","Geography","Age group","Type of institution attended","GeoCode","Value"
"2016/2017","British Columbia","20 to 24 years","Total participation rate",59,39
"2016/2017","British Columbia","20 to 24 years","Elementary/High School",59,1
"2016/2017","British Columbia","20 to 24 years","College",59,10
"2016/2017","British Columbia","20 to 24 years","University",59,28
"2016/2017","British Columbia","25 to 29 years","Total participation rate",59,12
"2016/2017","British Columbia","25 to 29 years","Elementary/High School",59,
"2016/2017","British Columbia","25 to 29 years","College",59,4
"2016/2017","British Columbia","25 to 29 years","University",59,7
"2016/2017","Yukon","15 to 19 years","Total participation rate",60,78
"2016/2017","Yukon","15 to 19 years","Elementary/High School",60,57
"2016/2017","Yukon","15 to 19 years","College",60,
"2016/2017","Yukon","15 to 19 years","University",60,14
"2016/2017","Yukon","20 to 24 years","Total participation rate",60,19
"2016/2017","Yukon","20 to 24 years","College",60,
"2016/2017","Yukon","20 to 24 years","University",60,11
"2016/2017","Yukon","25 to 29 years","Total participation rate",60,9
"2016/2017","Yukon","25 to 29 years","College",60,
"2016/2017","Yukon","25 to 29 years","University",60,
"2016/2017","Northwest Territories","15 to 19 years","Total participation rate",61,85
"2016/2017","Northwest Territories","15 to 19 years","Elementary/High School",61,74
"2016/2017","Northwest Territories","15 to 19 years","College",61,
"2016/2017","Northwest Territories","15 to 19 years","University",61,
"2016/2017","Northwest Territories","20 to 24 years","Total participation rate",61,24
"2016/2017","Northwest Territories","20 to 24 years","Elementary/High School",61,
"2016/2017","Northwest Territories","20 to 24 years","College",61,9
"2016/2017","Northwest Territories","20 to 24 years","University",61,10
"2016/2017","Northwest Territories","25 to 29 years","Total participation rate",61,11
"2016/2017","Northwest Territories","25 to 29 years","Elementary/High School",61,
"2016/2017","Northwest Territories","25 to 29 years","College",61,
"2016/2017","Northwest Territories","25 to 29 years","University",61,6
"2016/2017","Nunavut","15 to 19 years","Total participation rate",62,62
"2016/2017","Nunavut","15 to 19 years","Elementary/High School",62,60
"2016/2017","Nunavut","15 to 19 years","College",62,
"2016/2017","Nunavut","15 to 19 years","University",62,
"2016/2017","Nunavut","20 to 24 years","Total participation rate",62,8
"2016/2017","Nunavut","20 to 24 years","Elementary/High School",62,
"2016/2017","Nunavut","20 to 24 years","College",62,
"2016/2017","Nunavut","20 to 24 years","University",62,
"2016/2017","Nunavut","25 to 29 years","Total participation rate",62,
"2016/2017","Nunavut","25 to 29 years","Elementary/High School",62,
"2016/2017","Nunavut","25 to 29 years","College",62,
"2016/2017","Nunavut","25 to 29 years","University",62,
"2017/2018","Canada","15 to 19 years","Total participation rate",,83
"2017/2018","Canada","15 to 19 years","Elementary/High School",,59
"2017/2018","Canada","15 to 19 years","College",,11
"2017/2018","Canada","15 to 19 years","University",,13
"2017/2018","Canada","20 to 24 years","Total participation rate",,41
"2017/2018","Canada","20 to 24 years","Elementary/High School",,1
"2017/2018","Canada","20 to 24 years","College",,11
"2017/2018","Canada","20 to 24 years","University",,28
"2017/2018","Canada","25 to 29 years","Total participation rate",,12
"2017/2018","Canada","25 to 29 years","Elementary/High School",,0
"2017/2018","Canada","25 to 29 years","College",,4
"2017/2018","Canada","25 to 29 years","University",,8
"2017/2018","Newfoundland and Labrador","15 to 19 years","Total participation rate",10,84
"2017/2018","Newfoundland and Labrador","15 to 19 years","Elementary/High School",10,60
"2017/2018","Newfoundland and Labrador","15 to 19 years","College",10,8
"2017/2018","Newfoundland and Labrador","15 to 19 years","University",10,15
"2017/2018","Newfoundland and Labrador","20 to 24 years","Total participation rate",10,39
"2017/2018","Newfoundland and Labrador","20 to 24 years","Elementary/High School",10,
"2017/2018","Newfoundland and Labrador","20 to 24 years","College",10,12
"2017/2018","Newfoundland and Labrador","20 to 24 years","University",10,25
"2017/2018","Newfoundland and Labrador","25 to 29 years","Total participation rate",10,14
"2017/2018","Newfoundland and Labrador","25 to 29 years","Elementary/High School",10,
"2017/2018","Newfoundland and Labrador","25 to 29 years","College",10,5
"2017/2018","Newfoundland and Labrador","25 to 29 years","University",10,9
"2017/2018","Prince Edward Island","15 to 19 years","Total participation rate",11,85
"2017/2018","Prince Edward Island","15 to 19 years","Elementary/High School",11,59
"2017/2018","Prince Edward Island","15 to 19 years","College",11,7
"2017/2018","Prince Edward Island","15 to 19 years","University",11,19
"2017/2018","Prince Edward Island","20 to 24 years","Total participation rate",11,36
"2017/2018","Prince Edward Island","20 to 24 years","Elementary/High School",11,
"2017/2018","Prince Edward Island","20 to 24 years","College",11,9
"2017/2018","Prince Edward Island","20 to 24 years","University",11,27
"2017/2018","Prince Edward Island","25 to 29 years","Total participation rate",11,9
"2017/2018","Prince Edward Island","25 to 29 years","College",11,2
"2017/2018","Prince Edward Island","25 to 29 years","University",11,7
"2017/2018","Nova Scotia","15 to 19 years","Total participation rate",12,85
"2017/2018","Nova Scotia","15 to 19 years","Elementary/High School",12,65
"2017/2018","Nova Scotia","15 to 19 years","College",12,5
"2017/2018","Nova Scotia","15 to 19 years","University",12,14
"2017/2018","Nova Scotia","20 to 24 years","Total participation rate",12,39
"2017/2018","Nova Scotia","20 to 24 years","Elementary/High School",12,
"2017/2018","Nova Scotia","20 to 24 years","College",12,12
"2017/2018","Nova Scotia","20 to 24 years","University",12,26
"2017/2018","Nova Scotia","25 to 29 years","Total participation rate",12,12
"2017/2018","Nova Scotia","25 to 29 years","Elementary/High School",12,
"2017/2018","Nova Scotia","25 to 29 years","College",12,3
"2017/2018","Nova Scotia","25 to 29 years","University",12,9
"2017/2018","New Brunswick","15 to 19 years","Total participation rate",13,81
"2017/2018","New Brunswick","15 to 19 years","Elementary/High School",13,61
"2017/2018","New Brunswick","15 to 19 years","College",13,5
"2017/2018","New Brunswick","15 to 19 years","University",13,15
"2017/2018","New Brunswick","20 to 24 years","Total participation rate",13,29
"2017/2018","New Brunswick","20 to 24 years","Elementary/High School",13,
"2017/2018","New Brunswick","20 to 24 years","College",13,9
"2017/2018","New Brunswick","20 to 24 years","University",13,20
"2017/2018","New Brunswick","25 to 29 years","Total participation rate",13,8
"2017/2018","New Brunswick","25 to 29 years","College",13,3
"2017/2018","New Brunswick","25 to 29 years","University",13,5
"2017/2018","Quebec","15 to 19 years","Total participation rate",24,85
"2017/2018","Quebec","15 to 19 years","Elementary/High School",24,49
"2017/2018","Quebec","15 to 19 years","College",24,30
"2017/2018","Quebec","15 to 19 years","University",24,5
"2017/2018","Quebec","20 to 24 years","Total participation rate",24,48
"2017/2018","Quebec","20 to 24 years","Elementary/High School",24,3
"2017/2018","Quebec","20 to 24 years","College",24,13
"2017/2018","Quebec","20 to 24 years","University",24,32
"2017/2018","Quebec","25 to 29 years","Total participation rate",24,14
"2017/2018","Quebec","25 to 29 years","Elementary/High School",24,1
"2017/2018","Quebec","25 to 29 years","College",24,2
"2017/2018","Quebec","25 to 29 years","University",24,11
"2017/2018","Ontario","15 to 19 years","Total participation rate",35,86
"2017/2018","Ontario","15 to 19 years","Elementary/High School",35,61
"2017/2018","Ontario","15 to 19 years","College",35,8
"2017/2018","Ontario","15 to 19 years","University",35,16
"2017/2018","Ontario","20 to 24 years","Total participation rate",35,42
"2017/2018","Ontario","20 to 24 years","Elementary/High School",35,1
"2017/2018","Ontario","20 to 24 years","College",35,12
"2017/2018","Ontario","20 to 24 years","University",35,29
"2017/2018","Ontario","25 to 29 years","Total participation rate",35,11
"2017/2018","Ontario","25 to 29 years","Elementary/High School",35,
"2017/2018","Ontario","25 to 29 years","College",35,5
"2017/2018","Ontario","25 to 29 years","University",35,7
"2017/2018","Manitoba","15 to 19 years","Total participation rate",46,78
"2017/2018","Manitoba","15 to 19 years","Elementary/High School",46,61
"2017/2018","Manitoba","15 to 19 years","College",46,3
"2017/2018","Manitoba","15 to 19 years","University",46,13
"2017/2018","Manitoba","20 to 24 years","Total participation rate",46,36
"2017/2018","Manitoba","20 to 24 years","Elementary/High School",46,1
"2017/2018","Manitoba","20 to 24 years","College",46,6
"2017/2018","Manitoba","20 to 24 years","University",46,29
"2017/2018","Manitoba","25 to 29 years","Total participation rate",46,11
"2017/2018","Manitoba","25 to 29 years","Elementary/High School",46,
"2017/2018","Manitoba","25 to 29 years","College",46,3
"2017/2018","Manitoba","25 to 29 years","University",46,7
"2017/2018","Saskatchewan","15 to 19 years","Total participation rate",47,80
"2017/2018","Saskatchewan","15 to 19 years","Elementary/High School",47,64
"2017/2018","Saskatchewan","15 to 19 years","College",47,4
"2017/2018","Saskatchewan","15 to 19 years","University",47,12
"2017/2018","Saskatchewan","20 to 24 years","Total participation rate",47,32
"2017/2018","Saskatchewan","20 to 24 years","Elementary/High School",47,1
"2017/2018","Saskatchewan","20 to 24 years","College",47,5
"2017/2018","Saskatchewan","20 to 24 years","University",47,26
"2017/2018","Saskatchewan","25 to 29 years","Total participation rate",47,9
"2017/2018","Saskatchewan","25 to 29 years","Elementary/High School",47,
"2017/2018","Saskatchewan","25 to 29 years","College",47,2
"2017/2018","Saskatchewan","25 to 29 years","University",47,7
"2017/2018","Alberta","15 to 19 years","Total participation rate",48,78
"2017/2018","Alberta","15 to 19 years","Elementary/High School",48,63
"2017/2018","Alberta","15 to 19 years","College",48,4
"2017/2018","Alberta","15 to 19 years","University",48,12
"2017/2018","Alberta","20 to 24 years","Total participation rate",48,34
"2017/2018","Alberta","20 to 24 years","Elementary/High School",48,1
"2017/2018","Alberta","20 to 24 years","College",48,7
"2017/2018","Alberta","20 to 24 years","University",48,26
"2017/2018","Alberta","25 to 29 years","Total participation rate",48,9
"2017/2018","Alberta","25 to 29 years","Elementary/High School",48,
"2017/2018","Alberta","25 to 29 years","College",48,3
"2017/2018","Alberta","25 to 29 years","University",48,6
"2017/2018","British Columbia","15 to 19 years","Total participation rate",59,80
"2017/2018","British Columbia","15 to 19 years","Elementary/High School",59,59
"2017/2018","British Columbia","15 to 19 years","College",59,6
"2017/2018","British Columbia","15 to 19 years","University",59,15
"2017/2018","British Columbia","20 to 24 years","Total participation rate",59,38
"2017/2018","British Columbia","20 to 24 years","Elementary/High School",59,1
"2017/2018","British Columbia","20 to 24 years","College",59,11
"2017/2018","British Columbia","20 to 24 years","University",59,26
"2017/2018","British Columbia","25 to 29 years","Total participation rate",59,12
"2017/2018","British Columbia","25 to 29 years","Elementary/High School",59,
"2017/2018","British Columbia","25 to 29 years","College",59,4
"2017/2018","British Columbia","25 to 29 years","University",59,8
"2017/2018","Yukon","15 to 19 years","Total participation rate",60,75
"2017/2018","Yukon","15 to 19 years","Elementary/High School",60,58
"2017/2018","Yukon","15 to 19 years","College",60,10
"2017/2018","Yukon","15 to 19 years","University",60,
"2017/2018","Yukon","20 to 24 years","Total participation rate",60,22
"2017/2018","Yukon","20 to 24 years","Elementary/High School",60,
"2017/2018","Yukon","20 to 24 years","College",60,
"2017/2018","Yukon","20 to 24 years","University",60,12
"2017/2018","Yukon","25 to 29 years","Total participation rate",60,
"2017/2018","Yukon","25 to 29 years","College",60,
"2017/2018","Yukon","25 to 29 years","University",60,
"2017/2018","Northwest Territories","15 to 19 years","Total participation rate",61,80
"2017/2018","Northwest Territories","15 to 19 years","Elementary/High School",61,67
"2017/2018","Northwest Territories","15 to 19 years","College",61,
"2017/2018","Northwest Territories","15 to 19 years","University",61,8
"2017/2018","Northwest Territories","20 to 24 years","Total participation rate",61,21
"2017/2018","Northwest Territories","20 to 24 years","Elementary/High School",61,
"2017/2018","Northwest Territories","20 to 24 years","College",61,
"2017/2018","Northwest Territories","20 to 24 years","University",61,10
"2017/2018","Northwest Territories","25 to 29 years","Total participation rate",61,
"2017/2018","Northwest Territories","25 to 29 years","Elementary/High School",61,
"2017/2018","Northwest Territories","25 to 29 years","College",61,
"2017/2018","Northwest Territories","25 to 29 years","University",61,
"2017/2018","Nunavut","15 to 19 years","Total participation rate",62,66
"2017/2018","Nunavut","15 to 19 years","Elementary/High School",62,62
"2017/2018","Nunavut","15 to 19 years","College",62,
"2017/2018","Nunavut","15 to 19 years","University",62,
"2017/2018","Nunavut","20 to 24 years","Total participation rate",62,8
"2017/2018","Nunavut","20 to 24 years","Elementary/High School",62,
"2017/2018","Nunavut","20 to 24 years","College",62,
"2017/2018","Nunavut","20 to 24 years","University",62,
"2017/2018","Nunavut","25 to 29 years","Total participation rate",62,
"2017/2018","Nunavut","25 to 29 years","Elementary/High School",62,
"2017/2018","Nunavut","25 to 29 years","College",62,
"2017/2018","Nunavut","25 to 29 years","University",62,
"2018/2019","Canada","15 to 19 years","Total participation rate",,84
"2018/2019","Canada","15 to 19 years","Elementary/High School",,58
"2018/2019","Canada","15 to 19 years","College",,12
"2018/2019","Canada","15 to 19 years","University",,13
"2018/2019","Canada","20 to 24 years","Total participation rate",,42
"2018/2019","Canada","20 to 24 years","Elementary/High School",,1
"2018/2019","Canada","20 to 24 years","College",,12
"2018/2019","Canada","20 to 24 years","University",,29
"2018/2019","Canada","25 to 29 years","Total participation rate",,12
"2018/2019","Canada","25 to 29 years","Elementary/High School",,0
"2018/2019","Canada","25 to 29 years","College",,4
"2018/2019","Canada","25 to 29 years","University",,7
"2018/2019","Newfoundland and Labrador","15 to 19 years","Total participation rate",10,83
"2018/2019","Newfoundland and Labrador","15 to 19 years","Elementary/High School",10,57
"2018/2019","Newfoundland and Labrador","15 to 19 years","College",10,9
"2018/2019","Newfoundland and Labrador","15 to 19 years","University",10,16
"2018/2019","Newfoundland and Labrador","20 to 24 years","Total participation rate",10,45
"2018/2019","Newfoundland and Labrador","20 to 24 years","Elementary/High School",10,
"2018/2019","Newfoundland and Labrador","20 to 24 years","College",10,10
"2018/2019","Newfoundland and Labrador","20 to 24 years","University",10,34
"2018/2019","Newfoundland and Labrador","25 to 29 years","Total participation rate",10,15
"2018/2019","Newfoundland and Labrador","25 to 29 years","College",10,5
"2018/2019","Newfoundland and Labrador","25 to 29 years","University",10,10
"2018/2019","Prince Edward Island","15 to 19 years","Total participation rate",11,85
"2018/2019","Prince Edward Island","15 to 19 years","Elementary/High School",11,65
"2018/2019","Prince Edward Island","15 to 19 years","College",11,6
"2018/2019","Prince Edward Island","15 to 19 years","University",11,14
"2018/2019","Prince Edward Island","20 to 24 years","Total participation rate",11,33
"2018/2019","Prince Edward Island","20 to 24 years","Elementary/High School",11,
"2018/2019","Prince Edward Island","20 to 24 years","College",11,7
"2018/2019","Prince Edward Island","20 to 24 years","University",11,26
"2018/2019","Prince Edward Island","25 to 29 years","Total participation rate",11,11
"2018/2019","Prince Edward Island","25 to 29 years","Elementary/High School",11,
"2018/2019","Prince Edward Island","25 to 29 years","College",11,4
"2018/2019","Prince Edward Island","25 to 29 years","University",11,7
"2018/2019","Nova Scotia","15 to 19 years","Total participation rate",12,86
"2018/2019","Nova Scotia","15 to 19 years","Elementary/High School",12,66
"2018/2019","Nova Scotia","15 to 19 years","College",12,6
"2018/2019","Nova Scotia","15 to 19 years","University",12,14
"2018/2019","Nova Scotia","20 to 24 years","Total participation rate",12,36
"2018/2019","Nova Scotia","20 to 24 years","Elementary/High School",12,1
"2018/2019","Nova Scotia","20 to 24 years","College",12,10
"2018/2019","Nova Scotia","20 to 24 years","University",12,26
"2018/2019","Nova Scotia","25 to 29 years","Total participation rate",12,12
"2018/2019","Nova Scotia","25 to 29 years","Elementary/High School",12,
"2018/2019","Nova Scotia","25 to 29 years","College",12,4
"2018/2019","Nova Scotia","25 to 29 years","University",12,8
"2018/2019","New Brunswick","15 to 19 years","Total participation rate",13,80
"2018/2019","New Brunswick","15 to 19 years","Elementary/High School",13,60
"2018/2019","New Brunswick","15 to 19 years","College",13,4
"2018/2019","New Brunswick","15 to 19 years","University",13,16
"2018/2019","New Brunswick","20 to 24 years","Total participation rate",13,30
"2018/2019","New Brunswick","20 to 24 years","Elementary/High School",13,
"2018/2019","New Brunswick","20 to 24 years","College",13,8
"2018/2019","New Brunswick","20 to 24 years","University",13,22
"2018/2019","New Brunswick","25 to 29 years","Total participation rate",13,10
"2018/2019","New Brunswick","25 to 29 years","Elementary/High School",13,
"2018/2019","New Brunswick","25 to 29 years","College",13,4
"2018/2019","New Brunswick","25 to 29 years","University",13,6
"2018/2019","Quebec","15 to 19 years","Total participation rate",24,83
"2018/2019","Quebec","15 to 19 years","Elementary/High School",24,48
"2018/2019","Quebec","15 to 19 years","College",24,31
"2018/2019","Quebec","15 to 19 years","University",24,3
"2018/2019","Quebec","20 to 24 years","Total participation rate",24,48
"2018/2019","Quebec","20 to 24 years","Elementary/High School",24,2
"2018/2019","Quebec","20 to 24 years","College",24,13
"2018/2019","Quebec","20 to 24 years","University",24,33
"2018/2019","Quebec","25 to 29 years","Total participation rate",24,15
"2018/2019","Quebec","25 to 29 years","Elementary/High School",24,1
"2018/2019","Quebec","25 to 29 years","College",24,4
"2018/2019","Quebec","25 to 29 years","University",24,10
"2018/2019","Ontario","15 to 19 years","Total participation rate",35,86
"2018/2019","Ontario","15 to 19 years","Elementary/High School",35,61
"2018/2019","Ontario","15 to 19 years","College",35,8
"2018/2019","Ontario","15 to 19 years","University",35,17
"2018/2019","Ontario","20 to 24 years","Total participation rate",35,44
"2018/2019","Ontario","20 to 24 years","Elementary/High School",35,1
"2018/2019","Ontario","20 to 24 years","College",35,13
"2018/2019","Ontario","20 to 24 years","University",35,30
"2018/2019","Ontario","25 to 29 years","Total participation rate",35,11
"2018/2019","Ontario","25 to 29 years","Elementary/High School",35,0
"2018/2019","Ontario","25 to 29 years","College",35,5
"2018/2019","Ontario","25 to 29 years","University",35,6
"2018/2019","Manitoba","15 to 19 years","Total participation rate",46,78
"2018/2019","Manitoba","15 to 19 years","Elementary/High School",46,60
"2018/2019","Manitoba","15 to 19 years","College",46,4
"2018/2019","Manitoba","15 to 19 years","University",46,14
"2018/2019","Manitoba","20 to 24 years","Total participation rate",46,35
"2018/2019","Manitoba","20 to 24 years","Elementary/High School",46,1
"2018/2019","Manitoba","20 to 24 years","College",46,8
"2018/2019","Manitoba","20 to 24 years","University",46,26
"2018/2019","Manitoba","25 to 29 years","Total participation rate",46,10
"2018/2019","Manitoba","25 to 29 years","Elementary/High School",46,
"2018/2019","Manitoba","25 to 29 years","College",46,3
"2018/2019","Manitoba","25 to 29 years","University",46,7
"2018/2019","Saskatchewan","15 to 19 years","Total participation rate",47,82
"2018/2019","Saskatchewan","15 to 19 years","Elementary/High School",47,64
"2018/2019","Saskatchewan","15 to 19 years","College",47,3
"2018/2019","Saskatchewan","15 to 19 years","University",47,16
"2018/2019","Saskatchewan","20 to 24 years","Total participation rate",47,35
"2018/2019","Saskatchewan","20 to 24 years","Elementary/High School",47,2
"2018/2019","Saskatchewan","20 to 24 years","College",47,6
"2018/2019","Saskatchewan","20 to 24 years","University",47,28
"2018/2019","Saskatchewan","25 to 29 years","Total participation rate",47,9
"2018/2019","Saskatchewan","25 to 29 years","Elementary/High School",47,
"2018/2019","Saskatchewan","25 to 29 years","College",47,2
"2018/2019","Saskatchewan","25 to 29 years","University",47,7
"2018/2019","Alberta","15 to 19 years","Total participation rate",48,79
"2018/2019","Alberta","15 to 19 years","Elementary/High School",48,62
"2018/2019","Alberta","15 to 19 years","College",48,4
"2018/2019","Alberta","15 to 19 years","University",48,12
"2018/2019","Alberta","20 to 24 years","Total participation rate",48,32
"2018/2019","Alberta","20 to 24 years","Elementary/High School",48,1
"2018/2019","Alberta","20 to 24 years","College",48,9
"2018/2019","Alberta","20 to 24 years","University",48,22
"2018/2019","Alberta","25 to 29 years","Total participation rate",48,9
"2018/2019","Alberta","25 to 29 years","Elementary/High School",48,
"2018/2019","Alberta","25 to 29 years","College",48,3
"2018/2019","Alberta","25 to 29 years","University",48,6
"2018/2019","British Columbia","15 to 19 years","Total participation rate",59,83
"2018/2019","British Columbia","15 to 19 years","Elementary/High School",59,60
"2018/2019","British Columbia","15 to 19 years","College",59,8
"2018/2019","British Columbia","15 to 19 years","University",59,15
"2018/2019","British Columbia","20 to 24 years","Total participation rate",59,40
"2018/2019","British Columbia","20 to 24 years","Elementary/High School",59,0
"2018/2019","British Columbia","20 to 24 years","College",59,11
"2018/2019","British Columbia","20 to 24 years","University",59,28
"2018/2019","British Columbia","25 to 29 years","Total participation rate",59,12
"2018/2019","British Columbia","25 to 29 years","Elementary/High School",59,
"2018/2019","British Columbia","25 to 29 years","College",59,4
"2018/2019","British Columbia","25 to 29 years","University",59,7
"2018/2019","Yukon","15 to 19 years","Total participation rate",60,84
"2018/2019","Yukon","15 to 19 years","Elementary/High School",60,69
"2018/2019","Yukon","15 to 19 years","College",60,
"2018/2019","Yukon","15 to 19 years","University",60,8
"2018/2019","Yukon","20 to 24 years","Total participation rate",60,27
"2018/2019","Yukon","20 to 24 years","Elementary/High School",60,
"2018/2019","Yukon","20 to 24 years","College",60,
"2018/2019","Yukon","20 to 24 years","University",60,21
"2018/2019","Yukon","25 to 29 years","Total participation rate",60,
"2018/2019","Yukon","25 to 29 years","College",60,
"2018/2019","Yukon","25 to 29 years","University",60,
"2018/2019","Northwest Territories","15 to 19 years","Total participation rate",61,87
"2018/2019","Northwest Territories","15 to 19 years","Elementary/High School",61,74
"2018/2019","Northwest Territories","15 to 19 years","College",61,
"2018/2019","Northwest Territories","15 to 19 years","University",61,7
"2018/2019","Northwest Territories","20 to 24 years","Total participation rate",61,21
"2018/2019","Northwest Territories","20 to 24 years","Elementary/High School",61,
"2018/2019","Northwest Territories","20 to 24 years","College",61,
"2018/2019","Northwest Territories","20 to 24 years","University",61,9
"2018/2019","Northwest Territories","25 to 29 years","Total participation rate",61,
"2018/2019","Northwest Territories","25 to 29 years","Elementary/High School",61,
"2018/2019","Northwest Territories","25 to 29 years","College",61,
"2018/2019","Northwest Territories","25 to 29 years","University",61,
"2018/2019","Nunavut","15 to 19 years","Total participation rate",62,70
"2018/2019","Nunavut","15 to 19 years","Elementary/High School",62,67
"2018/2019","Nunavut","15 to 19 years","College",62,
"2018/2019","Nunavut","15 to 19 years","University",62,
"2018/2019","Nunavut","20 to 24 years","Total participation rate",62,14
"2018/2019","Nunavut","20 to 24 years","Elementary/High School",62,
"2018/2019","Nunavut","20 to 24 years","College",62,9
"2018/2019","Nunavut","20 to 24 years","University",62,
"2018/2019","Nunavut","25 to 29 years","Total participation rate",62,8
"2018/2019","Nunavut","25 to 29 years","Elementary/High School",62,
"2018/2019","Nunavut","25 to 29 years","College",62,
"2018/2019","Nunavut","25 to 29 years","University",62,
"2019/2020","Canada","15 to 19 years","Total participation rate",,81
"2019/2020","Canada","15 to 19 years","Elementary/High School",,56
"2019/2020","Canada","15 to 19 years","College",,11
"2019/2020","Canada","15 to 19 years","University",,14
"2019/2020","Canada","20 to 24 years","Total participation rate",,41
"2019/2020","Canada","20 to 24 years","Elementary/High School",,1
"2019/2020","Canada","20 to 24 years","College",,11
"2019/2020","Canada","20 to 24 years","University",,29
"2019/2020","Canada","25 to 29 years","Total participation rate",,12
"2019/2020","Canada","25 to 29 years","Elementary/High School",,0
"2019/2020","Canada","25 to 29 years","College",,4
"2019/2020","Canada","25 to 29 years","University",,8
"2019/2020","Newfoundland and Labrador","15 to 19 years","Total participation rate",10,78
"2019/2020","Newfoundland and Labrador","15 to 19 years","Elementary/High School",10,55
"2019/2020","Newfoundland and Labrador","15 to 19 years","College",10,6
"2019/2020","Newfoundland and Labrador","15 to 19 years","University",10,18
"2019/2020","Newfoundland and Labrador","20 to 24 years","Total participation rate",10,34
"2019/2020","Newfoundland and Labrador","20 to 24 years","Elementary/High School",10,
"2019/2020","Newfoundland and Labrador","20 to 24 years","College",10,10
"2019/2020","Newfoundland and Labrador","20 to 24 years","University",10,24
"2019/2020","Newfoundland and Labrador","25 to 29 years","Total participation rate",10,10
"2019/2020","Newfoundland and Labrador","25 to 29 years","College",10,3
"2019/2020","Newfoundland and Labrador","25 to 29 years","University",10,8
"2019/2020","Prince Edward Island","15 to 19 years","Total participation rate",11,83
"2019/2020","Prince Edward Island","15 to 19 years","Elementary/High School",11,61
"2019/2020","Prince Edward Island","15 to 19 years","College",11,7
"2019/2020","Prince Edward Island","15 to 19 years","University",11,15
"2019/2020","Prince Edward Island","20 to 24 years","Total participation rate",11,31
"2019/2020","Prince Edward Island","20 to 24 years","Elementary/High School",11,
"2019/2020","Prince Edward Island","20 to 24 years","College",11,8
"2019/2020","Prince Edward Island","20 to 24 years","University",11,23
"2019/2020","Prince Edward Island","25 to 29 years","Total participation rate",11,9
"2019/2020","Prince Edward Island","25 to 29 years","Elementary/High School",11,
"2019/2020","Prince Edward Island","25 to 29 years","College",11,3
"2019/2020","Prince Edward Island","25 to 29 years","University",11,6
"2019/2020","Nova Scotia","15 to 19 years","Total participation rate",12,83
"2019/2020","Nova Scotia","15 to 19 years","Elementary/High School",12,63
"2019/2020","Nova Scotia","15 to 19 years","College",12,5
"2019/2020","Nova Scotia","15 to 19 years","University",12,15
"2019/2020","Nova Scotia","20 to 24 years","Total participation rate",12,34
"2019/2020","Nova Scotia","20 to 24 years","Elementary/High School",12,1
"2019/2020","Nova Scotia","20 to 24 years","College",12,8
"2019/2020","Nova Scotia","20 to 24 years","University",12,25
"2019/2020","Nova Scotia","25 to 29 years","Total participation rate",12,12
"2019/2020","Nova Scotia","25 to 29 years","Elementary/High School",12,
"2019/2020","Nova Scotia","25 to 29 years","College",12,3
"2019/2020","Nova Scotia","25 to 29 years","University",12,9
"2019/2020","New Brunswick","15 to 19 years","Total participation rate",13,76
"2019/2020","New Brunswick","15 to 19 years","Elementary/High School",13,57
"2019/2020","New Brunswick","15 to 19 years","College",13,6
"2019/2020","New Brunswick","15 to 19 years","University",13,13
"2019/2020","New Brunswick","20 to 24 years","Total participation rate",13,30
"2019/2020","New Brunswick","20 to 24 years","Elementary/High School",13,
"2019/2020","New Brunswick","20 to 24 years","College",13,10
"2019/2020","New Brunswick","20 to 24 years","University",13,20
"2019/2020","New Brunswick","25 to 29 years","Total participation rate",13,6
"2019/2020","New Brunswick","25 to 29 years","College",13,2
"2019/2020","New Brunswick","25 to 29 years","University",13,4
"2019/2020","Quebec","15 to 19 years","Total participation rate",24,80
"2019/2020","Quebec","15 to 19 years","Elementary/High School",24,46
"2019/2020","Quebec","15 to 19 years","College",24,30
"2019/2020","Quebec","15 to 19 years","University",24,4
"2019/2020","Quebec","20 to 24 years","Total participation rate",24,46
"2019/2020","Quebec","20 to 24 years","Elementary/High School",24,2
"2019/2020","Quebec","20 to 24 years","College",24,12
"2019/2020","Quebec","20 to 24 years","University",24,32
"2019/2020","Quebec","25 to 29 years","Total participation rate",24,14
"2019/2020","Quebec","25 to 29 years","Elementary/High School",24,1
"2019/2020","Quebec","25 to 29 years","College",24,3
"2019/2020","Quebec","25 to 29 years","University",24,10
"2019/2020","Ontario","15 to 19 years","Total participation rate",35,85
"2019/2020","Ontario","15 to 19 years","Elementary/High School",35,59
"2019/2020","Ontario","15 to 19 years","College",35,8
"2019/2020","Ontario","15 to 19 years","University",35,18
"2019/2020","Ontario","20 to 24 years","Total participation rate",35,42
"2019/2020","Ontario","20 to 24 years","Elementary/High School",35,1
"2019/2020","Ontario","20 to 24 years","College",35,12
"2019/2020","Ontario","20 to 24 years","University",35,29
"2019/2020","Ontario","25 to 29 years","Total participation rate",35,11
"2019/2020","Ontario","25 to 29 years","Elementary/High School",35,0
"2019/2020","Ontario","25 to 29 years","College",35,5
"2019/2020","Ontario","25 to 29 years","University",35,6
"2019/2020","Manitoba","15 to 19 years","Total participation rate",46,76
"2019/2020","Manitoba","15 to 19 years","Elementary/High School",46,58
"2019/2020","Manitoba","15 to 19 years","College",46,3
"2019/2020","Manitoba","15 to 19 years","University",46,15
"2019/2020","Manitoba","20 to 24 years","Total participation rate",46,34
"2019/2020","Manitoba","20 to 24 years","Elementary/High School",46,1
"2019/2020","Manitoba","20 to 24 years","College",46,7
"2019/2020","Manitoba","20 to 24 years","University",46,26
