"Year","Geography","Type of materials diverted","Sources of materials prepared for recycling","GeoCode","Value"
"2018","Alberta","Ferrous metals","Residential sources of diverted materials",48,1.28944153553268
"2018","Alberta","Ferrous metals","Non-residential sources of diverted materials",48,8.05417564732994
"2018","Alberta","Copper and aluminum","All sources of diverted materials",48,4.0626144423043
"2018","Alberta","Copper and aluminum","Residential sources of diverted materials",48,3.01568575925393
"2018","Alberta","Copper and aluminum","Non-residential sources of diverted materials",48,1.04692868305038
"2018","Alberta","Mixed metals","All sources of diverted materials",48,3.07043169617356
"2018","Alberta","Mixed metals","Residential sources of diverted materials",48,1.49025429138257
"2018","Alberta","Mixed metals","Non-residential sources of diverted materials",48,1.58017740479099
"2018","Alberta","White goods","All sources of diverted materials",48,3.22465216528334
"2018","Alberta","White goods","Residential sources of diverted materials",48,2.29839750488986
"2018","Alberta","White goods","Non-residential sources of diverted materials",48,0.926254660393481
"2018","Alberta","Electronics","All sources of diverted materials",48,2.3554730561465
"2018","Alberta","Electronics","Residential sources of diverted materials",48,
"2018","Alberta","Electronics","Non-residential sources of diverted materials",48,
"2018","Alberta","Plastics","All sources of diverted materials",48,8.63960773021948
"2018","Alberta","Plastics","Residential sources of diverted materials",48,7.05081075238156
"2018","Alberta","Plastics","Non-residential sources of diverted materials",48,1.58879697783791
"2018","Alberta","Gable top and aseptic containers","All sources of diverted materials",48,
"2018","Alberta","Gable top and aseptic containers","Residential sources of diverted materials",48,
"2018","Alberta","Gable top and aseptic containers","Non-residential sources of diverted materials",48,
"2018","Alberta","Textiles","All sources of diverted materials",48,
"2018","Alberta","Textiles","Residential sources of diverted materials",48,
"2018","Alberta","Textiles","Non-residential sources of diverted materials",48,
"2018","Alberta","Tires","All sources of diverted materials",48,15.7507554939295
"2018","Alberta","Tires","Residential sources of diverted materials",48,
"2018","Alberta","Tires","Non-residential sources of diverted materials",48,
"2018","Alberta","Construction, renovation and demolition","All sources of diverted materials",48,16.5498132115225
"2018","Alberta","Construction, renovation and demolition","Residential sources of diverted materials",48,2.89058546935672
"2018","Alberta","Construction, renovation and demolition","Non-residential sources of diverted materials",48,13.6592277421657
"2018","Alberta","All organic materials","All sources of diverted materials",48,75.0643672441315
"2018","Alberta","All organic materials","Residential sources of diverted materials",48,55.5724840864045
"2018","Alberta","All organic materials","Non-residential sources of diverted materials",48,19.4921161191607
"2018","Alberta","Food waste and source separated organics","All sources of diverted materials",48,41.4878687663015
"2018","Alberta","Food waste and source separated organics","Residential sources of diverted materials",48,
"2018","Alberta","Food waste and source separated organics","Non-residential sources of diverted materials",48,
"2018","Alberta","Leaf and yard waste","All sources of diverted materials",48,14.4601491512283
"2018","Alberta","Leaf and yard waste","Residential sources of diverted materials",48,
"2018","Alberta","Leaf and yard waste","Non-residential sources of diverted materials",48,
"2018","Alberta","Other organic materials","All sources of diverted materials",48,19.1163493266017
"2018","Alberta","Other organic materials","Residential sources of diverted materials",48,
"2018","Alberta","Other organic materials","Non-residential sources of diverted materials",48,
"2018","Alberta","Other materials","All sources of diverted materials",48,0.878031643617462
"2018","Alberta","Other materials","Residential sources of diverted materials",48,0.439598225392983
"2018","Alberta","Other materials","Non-residential sources of diverted materials",48,0.43843341822448
"2018","British Columbia","All materials diverted","All sources of diverted materials",59,327.613997190588
"2018","British Columbia","All materials diverted","Residential sources of diverted materials",59,
"2018","British Columbia","All materials diverted","Non-residential sources of diverted materials",59,
"2018","British Columbia","All paper fibres","All sources of diverted materials",59,110.256585418899
"2018","British Columbia","All paper fibres","Residential sources of diverted materials",59,23.8971324118265
"2018","British Columbia","All paper fibres","Non-residential sources of diverted materials",59,86.3594530070729
"2018","British Columbia","Glass","All sources of diverted materials",59,23.5231017695951
"2018","British Columbia","Glass","Residential sources of diverted materials",59,14.4888078599811
"2018","British Columbia","Glass","Non-residential sources of diverted materials",59,9.03429390961404
"2018","British Columbia","Ferrous metals","All sources of diverted materials",59,13.7929276342323
"2018","British Columbia","Ferrous metals","Residential sources of diverted materials",59,3.1860320467383
"2018","British Columbia","Ferrous metals","Non-residential sources of diverted materials",59,10.606895587494
"2018","British Columbia","Copper and aluminum","All sources of diverted materials",59,4.95321729089088
"2018","British Columbia","Copper and aluminum","Residential sources of diverted materials",59,0.688112816245597
"2018","British Columbia","Copper and aluminum","Non-residential sources of diverted materials",59,4.26510447464528
"2018","British Columbia","Mixed metals","All sources of diverted materials",59,10.8560501846353
"2018","British Columbia","Mixed metals","Residential sources of diverted materials",59,6.43320754777106
"2018","British Columbia","Mixed metals","Non-residential sources of diverted materials",59,4.42284263686425
"2018","British Columbia","White goods","All sources of diverted materials",59,4.77655851577949
"2018","British Columbia","White goods","Residential sources of diverted materials",59,2.13902507857531
"2018","British Columbia","White goods","Non-residential sources of diverted materials",59,2.63753343720418
"2018","British Columbia","Electronics","All sources of diverted materials",59,3.36448330096581
"2018","British Columbia","Electronics","Residential sources of diverted materials",59,
"2018","British Columbia","Electronics","Non-residential sources of diverted materials",59,
"2018","British Columbia","Plastics","All sources of diverted materials",59,13.5704610594866
"2018","British Columbia","Plastics","Residential sources of diverted materials",59,6.24200977538444
"2018","British Columbia","Plastics","Non-residential sources of diverted materials",59,7.32845128410216
"2018","British Columbia","Gable top and aseptic containers","All sources of diverted materials",59,0.0579568247546943
"2018","British Columbia","Gable top and aseptic containers","Residential sources of diverted materials",59,0.0105557103505113
"2018","British Columbia","Gable top and aseptic containers","Non-residential sources of diverted materials",59,0.0474011144041829
"2018","British Columbia","Textiles","All sources of diverted materials",59,0.2529387197198
"2018","British Columbia","Textiles","Residential sources of diverted materials",59,0.2529387197198
"2018","British Columbia","Textiles","Non-residential sources of diverted materials",59,0
"2018","British Columbia","Tires","All sources of diverted materials",59,10.0040251114374
"2018","British Columbia","Tires","Residential sources of diverted materials",59,
"2018","British Columbia","Tires","Non-residential sources of diverted materials",59,
"2018","British Columbia","Construction, renovation and demolition","All sources of diverted materials",59,24.6647118022202
"2018","British Columbia","Construction, renovation and demolition","Residential sources of diverted materials",59,7.99983429526393
"2018","British Columbia","Construction, renovation and demolition","Non-residential sources of diverted materials",59,16.6648775069563
"2018","British Columbia","All organic materials","All sources of diverted materials",59,103.150401545197
"2018","British Columbia","All organic materials","Residential sources of diverted materials",59,61.8241980299061
"2018","British Columbia","All organic materials","Non-residential sources of diverted materials",59,41.3262035152905
"2018","British Columbia","Food waste and source separated organics","All sources of diverted materials",59,48.5102606483716
"2018","British Columbia","Food waste and source separated organics","Residential sources of diverted materials",59,
"2018","British Columbia","Food waste and source separated organics","Non-residential sources of diverted materials",59,
"2018","British Columbia","Leaf and yard waste","All sources of diverted materials",59,26.1771658475369
"2018","British Columbia","Leaf and yard waste","Residential sources of diverted materials",59,
"2018","British Columbia","Leaf and yard waste","Non-residential sources of diverted materials",59,
"2018","British Columbia","Other organic materials","All sources of diverted materials",59,47.9346756877493
"2018","British Columbia","Other organic materials","Residential sources of diverted materials",59,
"2018","British Columbia","Other organic materials","Non-residential sources of diverted materials",59,
"2018","British Columbia","Other materials","All sources of diverted materials",59,4.390578012774
"2018","British Columbia","Other materials","Residential sources of diverted materials",59,3.43538580822585
"2018","British Columbia","Other materials","Non-residential sources of diverted materials",59,0.955192204548157
"2018","Territories","All materials diverted","All sources of diverted materials",,248.618784530387
"2018","Territories","All materials diverted","Residential sources of diverted materials",,
"2018","Territories","All materials diverted","Non-residential sources of diverted materials",,
"2018","Territories","All paper fibres","All sources of diverted materials",,39.7530443530395
"2018","Territories","All paper fibres","Residential sources of diverted materials",,17.2641792618914
"2018","Territories","All paper fibres","Non-residential sources of diverted materials",,22.4888650911481
"2018","Territories","Glass","All sources of diverted materials",,7.22856377929759
"2018","Territories","Glass","Residential sources of diverted materials",,6.92838773010117
"2018","Territories","Glass","Non-residential sources of diverted materials",,0.300176049196421
"2018","Territories","Ferrous metals","All sources of diverted materials",,67.7586584564461
"2018","Territories","Ferrous metals","Residential sources of diverted materials",,20.9960977113604
"2018","Territories","Ferrous metals","Non-residential sources of diverted materials",,46.7625607450856
"2018","Territories","Copper and aluminum","All sources of diverted materials",,3.82927284380299
"2018","Territories","Copper and aluminum","Residential sources of diverted materials",,3.80493424521949
"2018","Territories","Copper and aluminum","Non-residential sources of diverted materials",,0.0243385985834936
"2018","Territories","Mixed metals","All sources of diverted materials",,4.95696124483819
"2018","Territories","Mixed metals","Residential sources of diverted materials",,0.884302415200266
"2018","Territories","Mixed metals","Non-residential sources of diverted materials",,4.07265882963792
"2018","Territories","White goods","All sources of diverted materials",,1.8984106895125
"2018","Territories","White goods","Residential sources of diverted materials",,1.80916916137302
"2018","Territories","White goods","Non-residential sources of diverted materials",,0.0892415281394764
"2018","Territories","Electronics","All sources of diverted materials",,2.10934521056944
"2018","Territories","Electronics","Residential sources of diverted materials",,
"2018","Territories","Electronics","Non-residential sources of diverted materials",,
"2018","Territories","Plastics","All sources of diverted materials",,7.64231995521698
"2018","Territories","Plastics","Residential sources of diverted materials",,6.74990467382221
"2018","Territories","Plastics","Non-residential sources of diverted materials",,0.892415281394764
"2018","Territories","Gable top and aseptic containers","All sources of diverted materials",,0.957318210950747
"2018","Territories","Gable top and aseptic containers","Residential sources of diverted materials",,0.949205344756249
"2018","Territories","Gable top and aseptic containers","Non-residential sources of diverted materials",,0.00811286619449785
"2018","Territories","Textiles","All sources of diverted materials",,0.45432050689188
"2018","Territories","Textiles","Residential sources of diverted materials",,0.45432050689188
"2018","Territories","Textiles","Non-residential sources of diverted materials",,0
"2018","Territories","Tires","All sources of diverted materials",,8.49417090563925
"2018","Territories","Tires","Residential sources of diverted materials",,
"2018","Territories","Tires","Non-residential sources of diverted materials",,
"2018","Territories","Construction, renovation and demolition","All sources of diverted materials",,63.7995797535311
"2018","Territories","Construction, renovation and demolition","Residential sources of diverted materials",,15.9498949383828
"2018","Territories","Construction, renovation and demolition","Non-residential sources of diverted materials",,47.8496848151483
"2018","Territories","All organic materials","All sources of diverted materials",,37.3272973608846
"2018","Territories","All organic materials","Residential sources of diverted materials",,15.8200890792708
"2018","Territories","All organic materials","Non-residential sources of diverted materials",,21.5072082816138
"2018","Territories","Food waste and source separated organics","All sources of diverted materials",,
"2018","Territories","Food waste and source separated organics","Residential sources of diverted materials",,
"2018","Territories","Food waste and source separated organics","Non-residential sources of diverted materials",,
"2018","Territories","Leaf and yard waste","All sources of diverted materials",,
"2018","Territories","Leaf and yard waste","Residential sources of diverted materials",,
"2018","Territories","Leaf and yard waste","Non-residential sources of diverted materials",,
"2018","Territories","Other organic materials","All sources of diverted materials",,
"2018","Territories","Other organic materials","Residential sources of diverted materials",,
"2018","Territories","Other organic materials","Non-residential sources of diverted materials",,
"2018","Territories","Other materials","All sources of diverted materials",,2.40952125976586
"2018","Territories","Other materials","Residential sources of diverted materials",,2.40952125976586
"2018","Territories","Other materials","Non-residential sources of diverted materials",,0
"2020","Canada","All materials diverted","Residential sources of diverted materials",,
"2020","Canada","All materials diverted","Non-residential sources of diverted materials",,
"2020","Canada","All paper fibres","All sources of diverted materials",,81.2731447284544
"2020","Canada","All paper fibres","Residential sources of diverted materials",,33.3192579760548
"2020","Canada","All paper fibres","Non-residential sources of diverted materials",,47.9538867523996
"2020","Canada","Glass","All sources of diverted materials",,10.2901134665933
"2020","Canada","Glass","Residential sources of diverted materials",,7.0941799177767
"2020","Canada","Glass","Non-residential sources of diverted materials",,3.19593354881655
"2020","Canada","Ferrous metals","All sources of diverted materials",,9.58419809828582
"2020","Canada","Ferrous metals","Residential sources of diverted materials",,3.10907795330456
"2020","Canada","Ferrous metals","Non-residential sources of diverted materials",,6.47512014498126
"2020","Canada","Copper and aluminum","All sources of diverted materials",,2.14540946746502
"2020","Canada","Copper and aluminum","Residential sources of diverted materials",,1.39944533380344
"2020","Canada","Copper and aluminum","Non-residential sources of diverted materials",,0.745937837689585
"2020","Canada","Mixed metals","All sources of diverted materials",,3.6478824195597
"2020","Canada","Mixed metals","Residential sources of diverted materials",,1.81944459856806
"2020","Canada","Mixed metals","Non-residential sources of diverted materials",,1.82843782099164
"2020","Canada","White goods","All sources of diverted materials",,1.82806967738366
"2020","Canada","White goods","Residential sources of diverted materials",,1.25989261040587
"2020","Canada","White goods","Non-residential sources of diverted materials",,0.568177066977787
"2020","Canada","Electronics","All sources of diverted materials",,2.50274543095653
"2020","Canada","Electronics","Residential sources of diverted materials",,
"2020","Canada","Electronics","Non-residential sources of diverted materials",,
"2020","Canada","Plastics","All sources of diverted materials",,7.80251451550802
"2020","Canada","Plastics","Residential sources of diverted materials",,5.38283806009566
"2020","Canada","Plastics","Non-residential sources of diverted materials",,2.41967645541237
"2020","Canada","Gable top and aseptic containers","All sources of diverted materials",,0.559709763994177
"2020","Canada","Gable top and aseptic containers","Residential sources of diverted materials",,0.498045709657022
"2020","Canada","Gable top and aseptic containers","Non-residential sources of diverted materials",,0.0616640543371551
"2020","Canada","Textiles","All sources of diverted materials",,0.337771760324417
"2020","Canada","Textiles","Residential sources of diverted materials",,0.27873730318714
"2020","Canada","Textiles","Non-residential sources of diverted materials",,0.0590344571372764
"2020","Canada","Tires","All sources of diverted materials",,11.2358480995296
"2020","Canada","Tires","Residential sources of diverted materials",,
"2020","Canada","Tires","Non-residential sources of diverted materials",,
"2020","Canada","Construction, renovation and demolition","All sources of diverted materials",,15.4048377961893
"2020","Canada","Construction, renovation and demolition","Residential sources of diverted materials",,3.27681995868482
"2020","Canada","Construction, renovation and demolition","Non-residential sources of diverted materials",,12.1280178375045
"2020","Canada","All organic materials","All sources of diverted materials",,80.3343785280977
"2020","Canada","All organic materials","Residential sources of diverted materials",,63.9909848993277
"2020","Canada","All organic materials","Non-residential sources of diverted materials",,16.34339362877
"2020","Canada","Food waste and source separated organics","All sources of diverted materials",,
"2020","Canada","Food waste and source separated organics","Residential sources of diverted materials",,
"2020","Canada","Food waste and source separated organics","Non-residential sources of diverted materials",,
"2020","Canada","Leaf and yard waste","All sources of diverted materials",,
"2020","Canada","Leaf and yard waste","Residential sources of diverted materials",,
"2020","Canada","Leaf and yard waste","Non-residential sources of diverted materials",,
"2020","Canada","Other organic materials","All sources of diverted materials",,
"2020","Canada","Other organic materials","Residential sources of diverted materials",,
"2020","Canada","Other organic materials","Non-residential sources of diverted materials",,
"2020","Canada","Other materials","All sources of diverted materials",,2.68179470429627
"2020","Canada","Other materials","Residential sources of diverted materials",,2.08787388073167
"2020","Canada","Other materials","Non-residential sources of diverted materials",,0.593947119536598
"2020","Newfoundland and Labrador","All materials diverted","All sources of diverted materials",10,89.7408158152459
"2020","Newfoundland and Labrador","All materials diverted","Residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","All materials diverted","Non-residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","All paper fibres","All sources of diverted materials",10,52.8332612111964
"2020","Newfoundland and Labrador","All paper fibres","Residential sources of diverted materials",10,27.3039226850692
"2020","Newfoundland and Labrador","All paper fibres","Non-residential sources of diverted materials",10,25.5293385261272
"2020","Newfoundland and Labrador","Glass","All sources of diverted materials",10,
"2020","Newfoundland and Labrador","Glass","Residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Glass","Non-residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Ferrous metals","All sources of diverted materials",10,0.800935310239066
"2020","Newfoundland and Labrador","Ferrous metals","Residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Ferrous metals","Non-residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Copper and aluminum","All sources of diverted materials",10,0.512446762475232
"2020","Newfoundland and Labrador","Copper and aluminum","Residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Copper and aluminum","Non-residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Mixed metals","All sources of diverted materials",10,
"2020","Newfoundland and Labrador","Mixed metals","Residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Mixed metals","Non-residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","White goods","All sources of diverted materials",10,
"2020","Newfoundland and Labrador","White goods","Residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","White goods","Non-residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Electronics","All sources of diverted materials",10,1.19950501438647
"2020","Newfoundland and Labrador","Electronics","Residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Electronics","Non-residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Plastics","All sources of diverted materials",10,2.43507109724342
"2020","Newfoundland and Labrador","Plastics","Residential sources of diverted materials",10,2.08774606934354
"2020","Newfoundland and Labrador","Plastics","Non-residential sources of diverted materials",10,0.347325027899879
"2020","Newfoundland and Labrador","Gable top and aseptic containers","All sources of diverted materials",10,1.20330091633073
"2020","Newfoundland and Labrador","Gable top and aseptic containers","Residential sources of diverted materials",10,1.05336278953242
"2020","Newfoundland and Labrador","Gable top and aseptic containers","Non-residential sources of diverted materials",10,0.151836077770439
"2020","Newfoundland and Labrador","Textiles","All sources of diverted materials",10,0
"2020","Newfoundland and Labrador","Textiles","Residential sources of diverted materials",10,0
"2020","Newfoundland and Labrador","Textiles","Non-residential sources of diverted materials",10,0
"2020","Newfoundland and Labrador","Tires","All sources of diverted materials",10,12.7219653661907
"2020","Newfoundland and Labrador","Tires","Residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Tires","Non-residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Construction, renovation and demolition","All sources of diverted materials",10,
"2020","Newfoundland and Labrador","Construction, renovation and demolition","Residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Construction, renovation and demolition","Non-residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","All organic materials","All sources of diverted materials",10,1.7366251394994
"2020","Newfoundland and Labrador","All organic materials","Residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","All organic materials","Non-residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Food waste and source separated organics","All sources of diverted materials",10,0
"2020","Newfoundland and Labrador","Food waste and source separated organics","Residential sources of diverted materials",10,0
"2020","Newfoundland and Labrador","Food waste and source separated organics","Non-residential sources of diverted materials",10,0
"2020","Newfoundland and Labrador","Leaf and yard waste","All sources of diverted materials",10,
"2020","Newfoundland and Labrador","Leaf and yard waste","Residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Leaf and yard waste","Non-residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Other organic materials","All sources of diverted materials",10,
"2020","Newfoundland and Labrador","Other organic materials","Residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Other organic materials","Non-residential sources of diverted materials",10,
"2020","Newfoundland and Labrador","Other materials","All sources of diverted materials",10,0
"2020","Newfoundland and Labrador","Other materials","Residential sources of diverted materials",10,0
"2020","Newfoundland and Labrador","Other materials","Non-residential sources of diverted materials",10,0
"2020","Prince Edward Island","All materials diverted","All sources of diverted materials",11,362.716953634896
"2020","Prince Edward Island","All materials diverted","Residential sources of diverted materials",11,
"2020","Prince Edward Island","All materials diverted","Non-residential sources of diverted materials",11,
"2020","Prince Edward Island","All paper fibres","All sources of diverted materials",11,86.4171163304919
"2020","Prince Edward Island","All paper fibres","Residential sources of diverted materials",11,32.8406399778885
"2020","Prince Edward Island","All paper fibres","Non-residential sources of diverted materials",11,53.5764763526034
"2020","Prince Edward Island","Glass","All sources of diverted materials",11,1.89706833843197
"2020","Prince Edward Island","Glass","Residential sources of diverted materials",11,0.722393572581709
"2020","Prince Edward Island","Glass","Non-residential sources of diverted materials",11,1.17467476585026
"2020","Prince Edward Island","Ferrous metals","All sources of diverted materials",11,53.9847857631931
"2020","Prince Edward Island","Ferrous metals","Residential sources of diverted materials",11,20.5159774613205
"2020","Prince Edward Island","Ferrous metals","Non-residential sources of diverted materials",11,33.4688083018726
"2020","Prince Edward Island","Copper and aluminum","All sources of diverted materials",11,9.3722713938427
"2020","Prince Edward Island","Copper and aluminum","Residential sources of diverted materials",11,4.03284063997789
"2020","Prince Edward Island","Copper and aluminum","Non-residential sources of diverted materials",11,5.33943075386481
"2020","Prince Edward Island","Mixed metals","All sources of diverted materials",11,11.5520154780675
"2020","Prince Edward Island","Mixed metals","Residential sources of diverted materials",11,4.39089658464882
"2020","Prince Edward Island","Mixed metals","Non-residential sources of diverted materials",11,7.16111889341868
"2020","Prince Edward Island","White goods","All sources of diverted materials",11,39.1474499506888
"2020","Prince Edward Island","White goods","Residential sources of diverted materials",11,14.8750259119434
"2020","Prince Edward Island","White goods","Non-residential sources of diverted materials",11,24.2724240387454
"2020","Prince Edward Island","Electronics","All sources of diverted materials",11,2.61946191101368
"2020","Prince Edward Island","Electronics","Residential sources of diverted materials",11,
"2020","Prince Edward Island","Electronics","Non-residential sources of diverted materials",11,
"2020","Prince Edward Island","Plastics","All sources of diverted materials",11,6.64602086775172
"2020","Prince Edward Island","Plastics","Residential sources of diverted materials",11,2.52523666241606
"2020","Prince Edward Island","Plastics","Non-residential sources of diverted materials",11,4.12078420533566
"2020","Prince Edward Island","Gable top and aseptic containers","All sources of diverted materials",11,0
"2020","Prince Edward Island","Gable top and aseptic containers","Residential sources of diverted materials",11,0
"2020","Prince Edward Island","Gable top and aseptic containers","Non-residential sources of diverted materials",11,0
"2020","Prince Edward Island","Textiles","All sources of diverted materials",11,0
"2020","Prince Edward Island","Textiles","Residential sources of diverted materials",11,0
"2020","Prince Edward Island","Textiles","Non-residential sources of diverted materials",11,0
"2020","Prince Edward Island","Tires","All sources of diverted materials",11,15.4717858197283
"2020","Prince Edward Island","Tires","Residential sources of diverted materials",11,
"2020","Prince Edward Island","Tires","Non-residential sources of diverted materials",11,
"2020","Prince Edward Island","Construction, renovation and demolition","All sources of diverted materials",11,0
"2020","Prince Edward Island","Construction, renovation and demolition","Residential sources of diverted materials",11,0
"2020","Prince Edward Island","Construction, renovation and demolition","Non-residential sources of diverted materials",11,0
"2020","Prince Edward Island","All organic materials","All sources of diverted materials",11,135.608977781686
"2020","Prince Edward Island","All organic materials","Residential sources of diverted materials",11,110.268667592168
"2020","Prince Edward Island","All organic materials","Non-residential sources of diverted materials",11,25.3403101895184
"2020","Prince Edward Island","Food waste and source separated organics","All sources of diverted materials",11,123.479047445554
"2020","Prince Edward Island","Food waste and source separated organics","Residential sources of diverted materials",11,98.264370920832
"2020","Prince Edward Island","Food waste and source separated organics","Non-residential sources of diverted materials",11,25.2146765247216
"2020","Prince Edward Island","Leaf and yard waste","All sources of diverted materials",11,12.1299303361329
"2020","Prince Edward Island","Leaf and yard waste","Residential sources of diverted materials",11,12.0042966713361
"2020","Prince Edward Island","Leaf and yard waste","Non-residential sources of diverted materials",11,0.125633664796819
"2020","Prince Edward Island","Other organic materials","All sources of diverted materials",11,0
"2020","Prince Edward Island","Other organic materials","Residential sources of diverted materials",11,0
"2020","Prince Edward Island","Other organic materials","Non-residential sources of diverted materials",11,0
"2020","Prince Edward Island","Other materials","All sources of diverted materials",11,0
"2020","Prince Edward Island","Other materials","Residential sources of diverted materials",11,0
"2020","Prince Edward Island","Other materials","Non-residential sources of diverted materials",11,0
"2020","Nova Scotia","All materials diverted","All sources of diverted materials",12,304.424526470731
"2020","Nova Scotia","All materials diverted","Residential sources of diverted materials",12,
"2020","Nova Scotia","All materials diverted","Non-residential sources of diverted materials",12,
"2020","Nova Scotia","All paper fibres","All sources of diverted materials",12,71.9877715413357
"2020","Nova Scotia","All paper fibres","Residential sources of diverted materials",12,44.0552059912977
"2020","Nova Scotia","All paper fibres","Non-residential sources of diverted materials",12,27.932565550038
"2020","Nova Scotia","Glass","All sources of diverted materials",12,4.3218138880352
"2020","Nova Scotia","Glass","Residential sources of diverted materials",12,
"2020","Nova Scotia","Glass","Non-residential sources of diverted materials",12,
"2020","Nova Scotia","Ferrous metals","All sources of diverted materials",12,4.80201543115022
"2020","Nova Scotia","Ferrous metals","Residential sources of diverted materials",12,4.63318667809715
"2020","Nova Scotia","Ferrous metals","Non-residential sources of diverted materials",12,0.168828753053071
"2020","Nova Scotia","Copper and aluminum","All sources of diverted materials",12,1.38399139478835
"2020","Nova Scotia","Copper and aluminum","Residential sources of diverted materials",12,1.33243291331705
"2020","Nova Scotia","Copper and aluminum","Non-residential sources of diverted materials",12,0.0515584814712971
"2020","Nova Scotia","Mixed metals","All sources of diverted materials",12,1.91878427122592
"2020","Nova Scotia","Mixed metals","Residential sources of diverted materials",12,
"2020","Nova Scotia","Mixed metals","Non-residential sources of diverted materials",12,
"2020","Nova Scotia","White goods","All sources of diverted materials",12,1.09890332077059
"2020","Nova Scotia","White goods","Residential sources of diverted materials",12,
"2020","Nova Scotia","White goods","Non-residential sources of diverted materials",12,
"2020","Nova Scotia","Electronics","All sources of diverted materials",12,2.60825259207738
"2020","Nova Scotia","Electronics","Residential sources of diverted materials",12,
"2020","Nova Scotia","Electronics","Non-residential sources of diverted materials",12,
"2020","Nova Scotia","Plastics","All sources of diverted materials",12,13.7469064911117
"2020","Nova Scotia","Plastics","Residential sources of diverted materials",12,10.1661194053993
"2020","Nova Scotia","Plastics","Non-residential sources of diverted materials",12,3.58179803632952
"2020","Nova Scotia","Gable top and aseptic containers","All sources of diverted materials",12,3.23200912281837
"2020","Nova Scotia","Gable top and aseptic containers","Residential sources of diverted materials",12,3.17034113517623
"2020","Nova Scotia","Gable top and aseptic containers","Non-residential sources of diverted materials",12,0.0616679876421397
"2020","Nova Scotia","Textiles","All sources of diverted materials",12,
"2020","Nova Scotia","Textiles","Residential sources of diverted materials",12,
"2020","Nova Scotia","Textiles","Non-residential sources of diverted materials",12,
"2020","Nova Scotia","Tires","All sources of diverted materials",12,11.7209614544749
"2020","Nova Scotia","Tires","Residential sources of diverted materials",12,
"2020","Nova Scotia","Tires","Non-residential sources of diverted materials",12,
"2020","Nova Scotia","Construction, renovation and demolition","All sources of diverted materials",12,46.7150170648464
"2020","Nova Scotia","Construction, renovation and demolition","Residential sources of diverted materials",12,
"2020","Nova Scotia","Construction, renovation and demolition","Non-residential sources of diverted materials",12,
"2020","Nova Scotia","All organic materials","All sources of diverted materials",12,140.771840577131
"2020","Nova Scotia","All organic materials","Residential sources of diverted materials",12,88.4106643158695
"2020","Nova Scotia","All organic materials","Non-residential sources of diverted materials",12,52.3621872118791
"2020","Nova Scotia","Food waste and source separated organics","All sources of diverted materials",12,99.3966646717241
"2020","Nova Scotia","Food waste and source separated organics","Residential sources of diverted materials",12,69.543292949226
"2020","Nova Scotia","Food waste and source separated organics","Non-residential sources of diverted materials",12,29.8533717224981
"2020","Nova Scotia","Leaf and yard waste","All sources of diverted materials",12,15.9022532067354
"2020","Nova Scotia","Leaf and yard waste","Residential sources of diverted materials",12,
"2020","Nova Scotia","Leaf and yard waste","Non-residential sources of diverted materials",12,
"2020","Nova Scotia","Other organic materials","All sources of diverted materials",12,25.472922698672
"2020","Nova Scotia","Other organic materials","Residential sources of diverted materials",12,
"2020","Nova Scotia","Other organic materials","Non-residential sources of diverted materials",12,
"2020","Nova Scotia","Other materials","All sources of diverted materials",12,
"2020","Nova Scotia","Other materials","Residential sources of diverted materials",12,
"2020","Nova Scotia","Other materials","Non-residential sources of diverted materials",12,
"2020","New Brunswick","All materials diverted","All sources of diverted materials",13,212.116686579052
"2020","New Brunswick","All materials diverted","Residential sources of diverted materials",13,
"2020","New Brunswick","All materials diverted","Non-residential sources of diverted materials",13,
"2020","New Brunswick","All paper fibres","All sources of diverted materials",13,45.2917419763298
"2020","New Brunswick","All paper fibres","Residential sources of diverted materials",13,23.1277251886571
"2020","New Brunswick","All paper fibres","Non-residential sources of diverted materials",13,22.1640167876727
"2020","New Brunswick","Glass","All sources of diverted materials",13,
"2020","New Brunswick","Glass","Residential sources of diverted materials",13,
"2020","New Brunswick","Glass","Non-residential sources of diverted materials",13,
"2020","New Brunswick","Ferrous metals","All sources of diverted materials",13,2.15334579133862
