"Year","Series","Units","Highest level of education","Age group","Sex","Location","COMMENT_OBS","Progress","Value"
2019,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","55-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.13997655046194,1.17
2020,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","55-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.31375497222709,1.344
2021,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","55-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.10603130058076,1.136
2022,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","55-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.19087228520994,1.221
2023,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","55-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.40706805683941,1.437
2024,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months","Adjusted gender parity index","","55-64 years old","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1.25625381964094,1.286
2015,"Proportion of students achieving at least a minimum proficiency level in reading","Adjusted gender parity index","Lower secondary education","","","",,1.0385693025589,1.069
2018,"Proportion of students achieving at least a minimum proficiency level in reading","Adjusted gender parity index","Lower secondary education","","","",,1.06091019630432,1.091
2022,"Proportion of students achieving at least a minimum proficiency level in reading","Adjusted gender parity index","Lower secondary education","","","",,1.05587451805117,1.086
2018,"Proportion of students achieving at least a minimum proficiency level in reading","Adjusted location parity index","Lower secondary education","","","",,1.05796799182892,0.912
2015,"Proportion of students achieving at least a minimum proficiency level in reading","Adjusted wealth parity index","Lower secondary education","","","",,1.10884109258652,0.861
2018,"Proportion of students achieving at least a minimum proficiency level in reading","Adjusted wealth parity index","Lower secondary education","","","",,1.11825290441513,0.852
2022,"Proportion of students achieving at least a minimum proficiency level in reading","Adjusted wealth parity index","Lower secondary education","","","",,1.26884406165005,0.701
2016,"Proportion of students achieving at least a minimum proficiency level in reading","Adjusted gender parity index","Primary education","","","",,1,1.011
2021,"Proportion of students achieving at least a minimum proficiency level in reading","Adjusted gender parity index","Primary education","","","",,1,1.006
2016,"Proportion of students achieving at least a minimum proficiency level in reading","Adjusted location parity index","Primary education","","","",,1.12507513284683,0.845
2021,"Proportion of students achieving at least a minimum proficiency level in reading","Adjusted location parity index","Primary education","","","",,1,1.005
2016,"Proportion of students achieving at least a minimum proficiency level in reading","Adjusted wealth parity index","Primary education","","","",,1.08195278167725,0.888
2021,"Proportion of students achieving at least a minimum proficiency level in reading","Adjusted wealth parity index","Primary education","","","",,1,0.982
