Year,Series,Services de base,Niveau de compétence,Units,Sexe,Géographie,Sources des déchets à des fins d'élimination,GeoCode,Value
2002,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2002,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2002,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2004,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets non résidentielles à des fins d'élimination,,8961583.0
2004,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets résidentielles à des fins d'élimination,,16265183.0
2004,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,400048.0
2004,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,228004.0
2004,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,172044.0
2004,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2004,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,
2004,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,
2004,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,399967.0
2004,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,179262.0
2004,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,220705.0
2004,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,442173.0
2004,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,208120.0
2004,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,234053.0
2004,Access to basic waste collection services,,,Tonnes,,Québec,Toutes les sources de déchets à des fins d'élimination,24,6454000.0
2004,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets non résidentielles à des fins d'élimination,,2209000.0
2004,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets résidentielles à des fins d'élimination,,4245000.0
2004,Access to basic waste collection services,,,Tonnes,,Ontario,Toutes les sources de déchets à des fins d'élimination,35,9809264.0
2004,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3489917.0
2004,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets résidentielles à des fins d'élimination,,6319347.0
2004,Access to basic waste collection services,,,Tonnes,,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,928117.0
2004,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,450658.0
2004,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,477459.0
2004,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,794933.0
2004,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,279420.0
2004,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,515513.0
2004,Access to basic waste collection services,,,Tonnes,,Alberta,Toutes les sources de déchets à des fins d'élimination,48,3077311.0
2004,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,943420.0
2004,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2133890.0
2004,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2767657.0
2004,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,919323.0
2004,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1848335.0
2004,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2004,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2004,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2006,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets non résidentielles à des fins d'élimination,,9748217.0
2006,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets résidentielles à des fins d'élimination,,16668793.0
2006,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,428809.0
2006,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,227618.0
2006,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,201192.0
2006,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2006,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,
2006,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,
2006,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,359105.0
2006,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,169337.0
2006,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,189768.0
2006,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,511706.0
2006,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,263580.0
2006,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,248125.0
2006,Access to basic waste collection services,,,Tonnes,,Québec,Toutes les sources de déchets à des fins d'élimination,24,6808440.0
2006,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets non résidentielles à des fins d'élimination,,2980427.0
2006,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets résidentielles à des fins d'élimination,,3828013.0
2006,Access to basic waste collection services,,,Tonnes,,Ontario,Toutes les sources de déchets à des fins d'élimination,35,9710459.0
2006,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3411642.0
2006,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets résidentielles à des fins d'élimination,,6298818.0
2006,Access to basic waste collection services,,,Tonnes,,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,904272.0
2006,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,425304.0
2006,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,478968.0
2006,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,833753.0
2006,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,296062.0
2006,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,537691.0
2006,Access to basic waste collection services,,,Tonnes,,Alberta,Toutes les sources de déchets à des fins d'élimination,48,3819872.0
2006,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,973683.0
2006,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2846189.0
2006,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2917080.0
2006,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,956968.0
2006,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1960113.0
2006,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2006,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2006,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2008,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets non résidentielles à des fins d'élimination,,9360400.0
2008,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets résidentielles à des fins d'élimination,,16566076.0
2008,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,399184.0
2008,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,210964.0
2008,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,188220.0
2008,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2008,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,
2008,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,
2008,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,354231.0
2008,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,148060.0
2008,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,206171.0
2008,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,479461.0
2008,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,233703.0
2008,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,245758.0
2008,Access to basic waste collection services,,,Tonnes,,Québec,Toutes les sources de déchets à des fins d'élimination,24,6146319.0
2008,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets non résidentielles à des fins d'élimination,,2848822.0
2008,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets résidentielles à des fins d'élimination,,3297497.0
2008,Access to basic waste collection services,,,Tonnes,,Ontario,Toutes les sources de déchets à des fins d'élimination,35,9631559.0
2008,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3231399.0
2008,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets résidentielles à des fins d'élimination,,6400160.0
2008,Access to basic waste collection services,,,Tonnes,,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,945441.0
2008,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,400297.0
2008,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,545144.0
2008,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,902943.0
2008,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,289760.0
2008,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,613182.0
2008,Access to basic waste collection services,,,Tonnes,,Alberta,Toutes les sources de déchets à des fins d'élimination,48,4147558.0
2008,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,993976.0
2008,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets résidentielles à des fins d'élimination,,3153581.0
2008,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2811568.0
2008,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,960472.0
2008,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1851097.0
2008,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2008,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2008,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2010,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets non résidentielles à des fins d'élimination,,9448165.0
2010,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets résidentielles à des fins d'élimination,,15504250.0
2010,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,394235.0
2010,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,
2010,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,
2010,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2010,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,
2010,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,
2010,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,367246.0
2010,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,145589.0
2010,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,221657.0
2010,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,475265.0
2010,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,219486.0
2010,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,255779.0
2010,Access to basic waste collection services,,,Tonnes,,Québec,Toutes les sources de déchets à des fins d'élimination,24,5795707.0
2010,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets non résidentielles à des fins d'élimination,,2853189.0
2010,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets résidentielles à des fins d'élimination,,2942518.0
2010,Access to basic waste collection services,,,Tonnes,,Ontario,Toutes les sources de déchets à des fins d'élimination,35,9247415.0
2010,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3204264.0
2010,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets résidentielles à des fins d'élimination,,6043151.0
2010,Access to basic waste collection services,,,Tonnes,,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,1020481.0
2010,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,453754.0
2010,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,566727.0
2010,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,937268.0
2010,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,283726.0
2010,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,653541.0
2010,Access to basic waste collection services,,,Tonnes,,Alberta,Toutes les sources de déchets à des fins d'élimination,48,3917492.0
2010,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,1093155.0
2010,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2824337.0
2010,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2658271.0
2010,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,953761.0
2010,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1704510.0
2010,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2010,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2010,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2012,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets non résidentielles à des fins d'élimination,,9684615.0
2012,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets résidentielles à des fins d'élimination,,14996859.0
2012,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,391571.0
2012,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,
2012,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,
2012,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2012,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,
2012,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,
2012,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,365079.0
2012,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,145601.0
2012,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,219478.0
2012,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,492938.0
2012,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,215755.0
2012,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,277183.0
2012,Access to basic waste collection services,,,Tonnes,,Québec,Toutes les sources de déchets à des fins d'élimination,24,5584621.0
2012,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets non résidentielles à des fins d'élimination,,2803335.0
2012,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets résidentielles à des fins d'élimination,,2781286.0
2012,Access to basic waste collection services,,,Tonnes,,Ontario,Toutes les sources de déchets à des fins d'élimination,35,9208839.0
2012,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3388501.0
2012,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets résidentielles à des fins d'élimination,,5820338.0
2012,Access to basic waste collection services,,,Tonnes,,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,1017663.0
2012,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,444227.0
2012,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,573436.0
2012,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,957670.0
2012,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,315987.0
2012,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,641682.0
2012,Access to basic waste collection services,,,Tonnes,,Alberta,Toutes les sources de déchets à des fins d'élimination,48,3913924.0
2012,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,1176226.0
2012,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2737698.0
2012,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2604147.0
2012,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,947542.0
2012,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1656605.0
2012,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2012,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2012,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2014,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets non résidentielles à des fins d'élimination,,9803644.0
2014,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets résidentielles à des fins d'élimination,,14963007.0
2014,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,415158.0
2014,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,
2014,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,
2014,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2014,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,
2014,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,
2014,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,364193.0
2014,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,160805.0
2014,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,203388.0
2014,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,508115.0
2014,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,234534.0
2014,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,273581.0
2014,Access to basic waste collection services,,,Tonnes,,Québec,Toutes les sources de déchets à des fins d'élimination,24,5414539.0
2014,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets non résidentielles à des fins d'élimination,,2831404.0
2014,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets résidentielles à des fins d'élimination,,2583135.0
2014,Access to basic waste collection services,,,Tonnes,,Ontario,Toutes les sources de déchets à des fins d'élimination,35,9165299.0
2014,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3490792.0
2014,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets résidentielles à des fins d'élimination,,5674507.0
2014,Access to basic waste collection services,,,Tonnes,,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,990230.0
2014,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,333008.0
2014,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,657222.0
2014,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,940595.0
2014,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,331430.0
2014,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,609166.0
2014,Access to basic waste collection services,,,Tonnes,,Alberta,Toutes les sources de déchets à des fins d'élimination,48,4097584.0
2014,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,1230635.0
2014,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2866949.0
2014,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2721309.0
2014,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,941345.0
2014,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1779963.0
2014,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2014,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2014,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2016,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets non résidentielles à des fins d'élimination,,10225943.0
2016,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets résidentielles à des fins d'élimination,,14714804.0
2016,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,395324.0
2016,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,
2016,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,
2016,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2016,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,
2016,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,
2016,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,375258.0
2016,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,169786.0
2016,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,205472.0
2016,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,503123.0
2016,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,225893.0
