Year,Geography,Age at time of death,Sex,Causes of death,Value
2017,Canada,55 to 64 years,Males,Diabetes mellitus,3.1
2017,Canada,55 to 64 years,Males,Diseases of heart,21.0
2017,Canada,55 to 64 years,Males,Influenza and pneumonia,1.1
2017,Canada,55 to 64 years,Males,Acute bronchitis and bronchiolitis,0.0
2017,Canada,55 to 64 years,Males,Chronic lower respiratory diseases,2.9
2017,Canada,55 to 64 years,Females,Malignant neoplasms,52.2
2017,Canada,55 to 64 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2017,Canada,55 to 64 years,Females,Diabetes mellitus,2.2
2017,Canada,55 to 64 years,Females,Diseases of heart,10.9
2017,Canada,55 to 64 years,Females,Influenza and pneumonia,1.4
2017,Canada,55 to 64 years,Females,Acute bronchitis and bronchiolitis,0.0
2017,Canada,55 to 64 years,Females,Chronic lower respiratory diseases,4.0
2017,Canada,65 to 74 years,Both sexes,Malignant neoplasms,43.4
2017,Canada,65 to 74 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2017,Canada,65 to 74 years,Both sexes,Diabetes mellitus,3.1
2017,Canada,65 to 74 years,Both sexes,Diseases of heart,17.5
2017,Canada,65 to 74 years,Both sexes,Influenza and pneumonia,1.5
2017,Canada,65 to 74 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,Canada,65 to 74 years,Both sexes,Chronic lower respiratory diseases,5.7
2017,Canada,65 to 74 years,Males,Malignant neoplasms,40.8
2017,Canada,65 to 74 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2017,Canada,65 to 74 years,Males,Diabetes mellitus,3.3
2017,Canada,65 to 74 years,Males,Diseases of heart,20.4
2017,Canada,65 to 74 years,Males,Influenza and pneumonia,1.5
2017,Canada,65 to 74 years,Males,Acute bronchitis and bronchiolitis,0.0
2017,Canada,65 to 74 years,Males,Chronic lower respiratory diseases,5.1
2017,Canada,65 to 74 years,Females,Malignant neoplasms,47.1
2017,Canada,65 to 74 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2017,Canada,65 to 74 years,Females,Diabetes mellitus,2.7
2017,Canada,65 to 74 years,Females,Diseases of heart,13.5
2017,Canada,65 to 74 years,Females,Influenza and pneumonia,1.5
2017,Canada,65 to 74 years,Females,Acute bronchitis and bronchiolitis,0.0
2017,Canada,65 to 74 years,Females,Chronic lower respiratory diseases,6.6
2017,Canada,75 to 84 years,Both sexes,Malignant neoplasms,32.7
2017,Canada,75 to 84 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2017,Canada,75 to 84 years,Both sexes,Diabetes mellitus,2.8
2017,Canada,75 to 84 years,Both sexes,Diseases of heart,19.0
2017,Canada,75 to 84 years,Both sexes,Influenza and pneumonia,2.4
2017,Canada,75 to 84 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,Canada,75 to 84 years,Both sexes,Chronic lower respiratory diseases,6.0
2017,Canada,75 to 84 years,Males,Malignant neoplasms,33.4
2017,Canada,75 to 84 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.8
2017,Canada,75 to 84 years,Males,Diabetes mellitus,3.1
2017,Canada,75 to 84 years,Males,Diseases of heart,20.4
2017,Canada,75 to 84 years,Males,Influenza and pneumonia,2.1
2017,Canada,75 to 84 years,Males,Acute bronchitis and bronchiolitis,0.0
2017,Canada,75 to 84 years,Males,Chronic lower respiratory diseases,5.5
2017,Canada,75 to 84 years,Females,Malignant neoplasms,31.9
2017,Canada,75 to 84 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2017,Canada,75 to 84 years,Females,Diabetes mellitus,2.5
2017,Canada,75 to 84 years,Females,Diseases of heart,17.3
2017,Canada,75 to 84 years,Females,Influenza and pneumonia,2.6
2017,Canada,75 to 84 years,Females,Acute bronchitis and bronchiolitis,0.0
2017,Canada,75 to 84 years,Females,Chronic lower respiratory diseases,6.6
2017,Canada,85 and over,Both sexes,Malignant neoplasms,16.1
2017,Canada,85 and over,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2017,Canada,85 and over,Both sexes,Diabetes mellitus,2.1
2017,Canada,85 and over,Both sexes,Diseases of heart,23.3
2017,Canada,85 and over,Both sexes,Influenza and pneumonia,4.3
2017,Canada,85 and over,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,Canada,85 and over,Both sexes,Chronic lower respiratory diseases,4.5
2017,Canada,85 and over,Males,Malignant neoplasms,19.7
2017,Canada,85 and over,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2017,Canada,85 and over,Males,Diabetes mellitus,2.3
2017,Canada,85 and over,Males,Diseases of heart,23.7
2017,Canada,85 and over,Males,Influenza and pneumonia,4.3
2017,Canada,85 and over,Males,Acute bronchitis and bronchiolitis,0.0
2017,Canada,85 and over,Males,Chronic lower respiratory diseases,5.2
2017,Canada,85 and over,Females,Malignant neoplasms,13.8
2017,Canada,85 and over,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2017,Canada,85 and over,Females,Diabetes mellitus,1.9
2017,Canada,85 and over,Females,Diseases of heart,23.1
2017,Canada,85 and over,Females,Influenza and pneumonia,4.3
2017,Canada,85 and over,Females,Acute bronchitis and bronchiolitis,0.0
2017,Canada,85 and over,Females,Chronic lower respiratory diseases,4.1
2018,Canada,30 to 34 years,Both sexes,Malignant neoplasms,10.2
2018,Canada,30 to 34 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2018,Canada,30 to 34 years,Both sexes,Diabetes mellitus,1.1
2018,Canada,30 to 34 years,Both sexes,Diseases of heart,4.7
2018,Canada,30 to 34 years,Both sexes,Influenza and pneumonia,1.0
2018,Canada,30 to 34 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2018,Canada,30 to 34 years,Both sexes,Chronic lower respiratory diseases,0.3
2018,Canada,30 to 34 years,Males,Malignant neoplasms,6.1
2018,Canada,30 to 34 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2018,Canada,30 to 34 years,Males,Diabetes mellitus,0.9
2018,Canada,30 to 34 years,Males,Diseases of heart,5.0
2018,Canada,30 to 34 years,Males,Influenza and pneumonia,0.7
2018,Canada,30 to 34 years,Males,Acute bronchitis and bronchiolitis,0.1
2018,Canada,30 to 34 years,Males,Chronic lower respiratory diseases,0.3
2018,Canada,30 to 34 years,Females,Malignant neoplasms,18.9
2018,Canada,30 to 34 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2018,Canada,30 to 34 years,Females,Diabetes mellitus,1.6
2018,Canada,30 to 34 years,Females,Diseases of heart,4.3
2018,Canada,30 to 34 years,Females,Influenza and pneumonia,1.8
2018,Canada,30 to 34 years,Females,Acute bronchitis and bronchiolitis,0.0
2018,Canada,30 to 34 years,Females,Chronic lower respiratory diseases,0.3
2018,Canada,35 to 44 years,Both sexes,Malignant neoplasms,19.1
2018,Canada,35 to 44 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2018,Canada,35 to 44 years,Both sexes,Diabetes mellitus,1.9
2018,Canada,35 to 44 years,Both sexes,Diseases of heart,8.4
2018,Canada,35 to 44 years,Both sexes,Influenza and pneumonia,1.2
2018,Canada,35 to 44 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2018,Canada,35 to 44 years,Both sexes,Chronic lower respiratory diseases,0.4
2018,Canada,35 to 44 years,Males,Malignant neoplasms,12.7
2018,Canada,35 to 44 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2018,Canada,35 to 44 years,Males,Diabetes mellitus,1.7
2018,Canada,35 to 44 years,Males,Diseases of heart,9.3
2018,Canada,35 to 44 years,Males,Influenza and pneumonia,1.1
2018,Canada,35 to 44 years,Males,Acute bronchitis and bronchiolitis,0.0
2018,Canada,35 to 44 years,Males,Chronic lower respiratory diseases,0.4
2018,Canada,35 to 44 years,Females,Malignant neoplasms,30.6
2018,Canada,35 to 44 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2018,Canada,35 to 44 years,Females,Diabetes mellitus,2.3
2018,Canada,35 to 44 years,Females,Diseases of heart,6.8
2018,Canada,35 to 44 years,Females,Influenza and pneumonia,1.5
2018,Canada,35 to 44 years,Females,Acute bronchitis and bronchiolitis,0.0
2018,Canada,35 to 44 years,Females,Chronic lower respiratory diseases,0.4
2018,Canada,45 to 54 years,Both sexes,Malignant neoplasms,31.3
2018,Canada,45 to 54 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2018,Canada,45 to 54 years,Both sexes,Diabetes mellitus,2.8
2018,Canada,45 to 54 years,Both sexes,Diseases of heart,14.1
2018,Canada,45 to 54 years,Both sexes,Influenza and pneumonia,1.6
2018,Canada,45 to 54 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2018,Canada,45 to 54 years,Both sexes,Chronic lower respiratory diseases,1.4
2018,Canada,45 to 54 years,Males,Malignant neoplasms,23.7
2018,Canada,45 to 54 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2018,Canada,45 to 54 years,Males,Diabetes mellitus,3.0
2018,Canada,45 to 54 years,Males,Diseases of heart,17.6
2018,Canada,45 to 54 years,Males,Influenza and pneumonia,1.4
2018,Canada,45 to 54 years,Males,Acute bronchitis and bronchiolitis,0.0
2018,Canada,45 to 54 years,Males,Chronic lower respiratory diseases,1.0
2018,Canada,45 to 54 years,Females,Malignant neoplasms,43.7
2018,Canada,45 to 54 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2018,Canada,45 to 54 years,Females,Diabetes mellitus,2.4
2018,Canada,45 to 54 years,Females,Diseases of heart,8.3
2018,Canada,45 to 54 years,Females,Influenza and pneumonia,1.8
2018,Canada,45 to 54 years,Females,Acute bronchitis and bronchiolitis,0.0
2018,Canada,45 to 54 years,Females,Chronic lower respiratory diseases,2.0
2018,Canada,55 to 64 years,Both sexes,Malignant neoplasms,42.4
2018,Canada,55 to 64 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2018,Canada,55 to 64 years,Both sexes,Diabetes mellitus,2.6
2018,Canada,55 to 64 years,Both sexes,Diseases of heart,16.7
2018,Canada,55 to 64 years,Both sexes,Influenza and pneumonia,1.5
2018,Canada,55 to 64 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2018,Canada,55 to 64 years,Both sexes,Chronic lower respiratory diseases,3.5
2018,Canada,55 to 64 years,Males,Malignant neoplasms,36.8
2018,Canada,55 to 64 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2018,Canada,55 to 64 years,Males,Diabetes mellitus,2.8
2018,Canada,55 to 64 years,Males,Diseases of heart,20.4
2018,Canada,55 to 64 years,Males,Influenza and pneumonia,1.5
2018,Canada,55 to 64 years,Males,Acute bronchitis and bronchiolitis,0.0
2018,Canada,55 to 64 years,Males,Chronic lower respiratory diseases,3.1
2018,Canada,55 to 64 years,Females,Malignant neoplasms,51.0
2018,Canada,55 to 64 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2018,Canada,55 to 64 years,Females,Diabetes mellitus,2.4
2018,Canada,55 to 64 years,Females,Diseases of heart,11.0
2018,Canada,55 to 64 years,Females,Influenza and pneumonia,1.6
2018,Canada,55 to 64 years,Females,Acute bronchitis and bronchiolitis,0.0
2018,Canada,55 to 64 years,Females,Chronic lower respiratory diseases,4.1
2018,Canada,65 to 74 years,Both sexes,Malignant neoplasms,42.6
2018,Canada,65 to 74 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2018,Canada,65 to 74 years,Both sexes,Diabetes mellitus,3.1
2018,Canada,65 to 74 years,Both sexes,Diseases of heart,17.5
2018,Canada,65 to 74 years,Both sexes,Influenza and pneumonia,1.7
2018,Canada,65 to 74 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2018,Canada,65 to 74 years,Both sexes,Chronic lower respiratory diseases,5.7
2018,Canada,65 to 74 years,Males,Malignant neoplasms,40.3
2018,Canada,65 to 74 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2018,Canada,65 to 74 years,Males,Diabetes mellitus,3.4
2018,Canada,65 to 74 years,Males,Diseases of heart,20.3
2018,Canada,65 to 74 years,Males,Influenza and pneumonia,1.8
2018,Canada,65 to 74 years,Males,Acute bronchitis and bronchiolitis,0.0
2018,Canada,65 to 74 years,Males,Chronic lower respiratory diseases,5.1
2018,Canada,65 to 74 years,Females,Malignant neoplasms,45.9
2018,Canada,65 to 74 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2018,Canada,65 to 74 years,Females,Diabetes mellitus,2.7
2018,Canada,65 to 74 years,Females,Diseases of heart,13.6
2018,Canada,65 to 74 years,Females,Influenza and pneumonia,1.6
2018,Canada,65 to 74 years,Females,Acute bronchitis and bronchiolitis,0.0
2018,Canada,65 to 74 years,Females,Chronic lower respiratory diseases,6.6
2018,Canada,75 to 84 years,Both sexes,Malignant neoplasms,32.2
2018,Canada,75 to 84 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.8
2018,Canada,75 to 84 years,Both sexes,Diabetes mellitus,2.6
2018,Canada,75 to 84 years,Both sexes,Diseases of heart,18.5
2018,Canada,75 to 84 years,Both sexes,Influenza and pneumonia,2.6
2018,Canada,75 to 84 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2018,Canada,75 to 84 years,Both sexes,Chronic lower respiratory diseases,6.1
2018,Canada,75 to 84 years,Males,Malignant neoplasms,32.7
2018,Canada,75 to 84 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.8
2018,Canada,75 to 84 years,Males,Diabetes mellitus,2.7
2018,Canada,75 to 84 years,Males,Diseases of heart,20.0
2018,Canada,75 to 84 years,Males,Influenza and pneumonia,2.6
2018,Canada,75 to 84 years,Males,Acute bronchitis and bronchiolitis,0.0
2018,Canada,75 to 84 years,Males,Chronic lower respiratory diseases,5.7
2018,Canada,75 to 84 years,Females,Malignant neoplasms,31.5
2018,Canada,75 to 84 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2018,Canada,75 to 84 years,Females,Diabetes mellitus,2.5
2018,Canada,75 to 84 years,Females,Diseases of heart,16.6
2018,Canada,75 to 84 years,Females,Influenza and pneumonia,2.6
2018,Canada,75 to 84 years,Females,Acute bronchitis and bronchiolitis,0.0
2018,Canada,75 to 84 years,Females,Chronic lower respiratory diseases,6.6
2018,Canada,85 and over,Both sexes,Malignant neoplasms,15.7
2018,Canada,85 and over,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2018,Canada,85 and over,Both sexes,Diabetes mellitus,2.0
2018,Canada,85 and over,Both sexes,Diseases of heart,23.0
2018,Canada,85 and over,Both sexes,Influenza and pneumonia,4.7
2018,Canada,85 and over,Both sexes,Acute bronchitis and bronchiolitis,0.0
2018,Canada,85 and over,Both sexes,Chronic lower respiratory diseases,4.2
2018,Canada,85 and over,Males,Malignant neoplasms,19.5
2018,Canada,85 and over,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2018,Canada,85 and over,Males,Diabetes mellitus,2.1
2018,Canada,85 and over,Males,Diseases of heart,23.8
2018,Canada,85 and over,Males,Influenza and pneumonia,4.7
2018,Canada,85 and over,Males,Acute bronchitis and bronchiolitis,0.0
2018,Canada,85 and over,Males,Chronic lower respiratory diseases,5.0
2018,Canada,85 and over,Females,Malignant neoplasms,13.3
2018,Canada,85 and over,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2018,Canada,85 and over,Females,Diabetes mellitus,1.9
2018,Canada,85 and over,Females,Diseases of heart,22.6
2018,Canada,85 and over,Females,Influenza and pneumonia,4.7
2018,Canada,85 and over,Females,Acute bronchitis and bronchiolitis,0.0
2018,Canada,85 and over,Females,Chronic lower respiratory diseases,3.8
2019,Canada,30 to 34 years,Both sexes,Malignant neoplasms,12.4
2019,Canada,30 to 34 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2019,Canada,30 to 34 years,Both sexes,Diabetes mellitus,1.7
2019,Canada,30 to 34 years,Both sexes,Diseases of heart,4.2
2019,Canada,30 to 34 years,Both sexes,Influenza and pneumonia,1.0
2019,Canada,30 to 34 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2019,Canada,30 to 34 years,Both sexes,Chronic lower respiratory diseases,0.3
2019,Canada,30 to 34 years,Males,Malignant neoplasms,9.0
2019,Canada,30 to 34 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2019,Canada,30 to 34 years,Males,Diabetes mellitus,1.7
2019,Canada,30 to 34 years,Males,Diseases of heart,3.7
2019,Canada,30 to 34 years,Males,Influenza and pneumonia,0.9
2019,Canada,30 to 34 years,Males,Acute bronchitis and bronchiolitis,0.0
2019,Canada,30 to 34 years,Males,Chronic lower respiratory diseases,0.3
2019,Canada,30 to 34 years,Females,Malignant neoplasms,19.3
2019,Canada,30 to 34 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2019,Canada,30 to 34 years,Females,Diabetes mellitus,1.6
2019,Canada,30 to 34 years,Females,Diseases of heart,5.1
2019,Canada,30 to 34 years,Females,Influenza and pneumonia,1.2
2019,Canada,30 to 34 years,Females,Acute bronchitis and bronchiolitis,0.0
2019,Canada,30 to 34 years,Females,Chronic lower respiratory diseases,0.4
2019,Canada,35 to 44 years,Both sexes,Malignant neoplasms,20.0
2019,Canada,35 to 44 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2019,Canada,35 to 44 years,Both sexes,Diabetes mellitus,2.2
2019,Canada,35 to 44 years,Both sexes,Diseases of heart,8.8
2019,Canada,35 to 44 years,Both sexes,Influenza and pneumonia,1.4
2019,Canada,35 to 44 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2019,Canada,35 to 44 years,Both sexes,Chronic lower respiratory diseases,0.3
2019,Canada,35 to 44 years,Males,Malignant neoplasms,13.4
2019,Canada,35 to 44 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2019,Canada,35 to 44 years,Males,Diabetes mellitus,2.2
2019,Canada,35 to 44 years,Males,Diseases of heart,10.0
2019,Canada,35 to 44 years,Males,Influenza and pneumonia,1.3
2019,Canada,35 to 44 years,Males,Acute bronchitis and bronchiolitis,0.0
2019,Canada,35 to 44 years,Males,Chronic lower respiratory diseases,0.1
2019,Canada,35 to 44 years,Females,Malignant neoplasms,31.8
2019,Canada,35 to 44 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2019,Canada,35 to 44 years,Females,Diabetes mellitus,2.3
2019,Canada,35 to 44 years,Females,Diseases of heart,6.5
2019,Canada,35 to 44 years,Females,Influenza and pneumonia,1.4
2019,Canada,35 to 44 years,Females,Acute bronchitis and bronchiolitis,0.0
2019,Canada,35 to 44 years,Females,Chronic lower respiratory diseases,0.7
2019,Canada,45 to 54 years,Both sexes,Malignant neoplasms,32.2
2019,Canada,45 to 54 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2019,Canada,45 to 54 years,Both sexes,Diabetes mellitus,2.7
2019,Canada,45 to 54 years,Both sexes,Diseases of heart,14.4
2019,Canada,45 to 54 years,Both sexes,Influenza and pneumonia,1.5
2019,Canada,45 to 54 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2019,Canada,45 to 54 years,Both sexes,Chronic lower respiratory diseases,1.3
2019,Canada,45 to 54 years,Males,Malignant neoplasms,25.1
2019,Canada,45 to 54 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2019,Canada,45 to 54 years,Males,Diabetes mellitus,3.0
2019,Canada,45 to 54 years,Males,Diseases of heart,17.9
2019,Canada,45 to 54 years,Males,Influenza and pneumonia,1.5
2019,Canada,45 to 54 years,Males,Acute bronchitis and bronchiolitis,0.0
2019,Canada,45 to 54 years,Males,Chronic lower respiratory diseases,1.1
2019,Canada,45 to 54 years,Females,Malignant neoplasms,43.2
2019,Canada,45 to 54 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2019,Canada,45 to 54 years,Females,Diabetes mellitus,2.3
2019,Canada,45 to 54 years,Females,Diseases of heart,9.0
2019,Canada,45 to 54 years,Females,Influenza and pneumonia,1.6
2019,Canada,45 to 54 years,Females,Acute bronchitis and bronchiolitis,0.0
2019,Canada,45 to 54 years,Females,Chronic lower respiratory diseases,1.6
2019,Canada,55 to 64 years,Both sexes,Malignant neoplasms,42.3
2019,Canada,55 to 64 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2019,Canada,55 to 64 years,Both sexes,Diabetes mellitus,2.9
2019,Canada,55 to 64 years,Both sexes,Diseases of heart,16.5
2019,Canada,55 to 64 years,Both sexes,Influenza and pneumonia,1.5
2019,Canada,55 to 64 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2019,Canada,55 to 64 years,Both sexes,Chronic lower respiratory diseases,3.6
2019,Canada,55 to 64 years,Males,Malignant neoplasms,37.0
2019,Canada,55 to 64 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2019,Canada,55 to 64 years,Males,Diabetes mellitus,3.2
2019,Canada,55 to 64 years,Males,Diseases of heart,20.1
2019,Canada,55 to 64 years,Males,Influenza and pneumonia,1.4
2019,Canada,55 to 64 years,Males,Acute bronchitis and bronchiolitis,0.0
2019,Canada,55 to 64 years,Males,Chronic lower respiratory diseases,3.2
2019,Canada,55 to 64 years,Females,Malignant neoplasms,50.7
2019,Canada,55 to 64 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2019,Canada,55 to 64 years,Females,Diabetes mellitus,2.5
2019,Canada,55 to 64 years,Females,Diseases of heart,10.8
2019,Canada,55 to 64 years,Females,Influenza and pneumonia,1.6
2019,Canada,55 to 64 years,Females,Acute bronchitis and bronchiolitis,0.0
2019,Canada,55 to 64 years,Females,Chronic lower respiratory diseases,4.2
2019,Canada,65 to 74 years,Both sexes,Malignant neoplasms,42.2
2019,Canada,65 to 74 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2019,Canada,65 to 74 years,Both sexes,Diabetes mellitus,3.0
2019,Canada,65 to 74 years,Both sexes,Diseases of heart,17.1
2019,Canada,65 to 74 years,Both sexes,Influenza and pneumonia,1.6
2019,Canada,65 to 74 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2019,Canada,65 to 74 years,Both sexes,Chronic lower respiratory diseases,5.5
2019,Canada,65 to 74 years,Males,Malignant neoplasms,40.2
2019,Canada,65 to 74 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2019,Canada,65 to 74 years,Males,Diabetes mellitus,3.2
2019,Canada,65 to 74 years,Males,Diseases of heart,19.5
2019,Canada,65 to 74 years,Males,Influenza and pneumonia,1.5
2019,Canada,65 to 74 years,Males,Acute bronchitis and bronchiolitis,0.0
2019,Canada,65 to 74 years,Males,Chronic lower respiratory diseases,5.0
2019,Canada,65 to 74 years,Females,Malignant neoplasms,45.1
2019,Canada,65 to 74 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2019,Canada,65 to 74 years,Females,Diabetes mellitus,2.8
2019,Canada,65 to 74 years,Females,Diseases of heart,13.6
2019,Canada,65 to 74 years,Females,Influenza and pneumonia,1.6
2019,Canada,65 to 74 years,Females,Acute bronchitis and bronchiolitis,0.0
2019,Canada,65 to 74 years,Females,Chronic lower respiratory diseases,6.2
2019,Canada,75 to 84 years,Both sexes,Malignant neoplasms,32.2
2019,Canada,75 to 84 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.8
2019,Canada,75 to 84 years,Both sexes,Diabetes mellitus,2.7
2019,Canada,75 to 84 years,Both sexes,Diseases of heart,18.3
2019,Canada,75 to 84 years,Both sexes,Influenza and pneumonia,2.1
2019,Canada,75 to 84 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2019,Canada,75 to 84 years,Both sexes,Chronic lower respiratory diseases,6.0
2019,Canada,75 to 84 years,Males,Malignant neoplasms,32.8
2019,Canada,75 to 84 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.9
2019,Canada,75 to 84 years,Males,Diabetes mellitus,2.8
2019,Canada,75 to 84 years,Males,Diseases of heart,19.8
2019,Canada,75 to 84 years,Males,Influenza and pneumonia,2.1
2019,Canada,75 to 84 years,Males,Acute bronchitis and bronchiolitis,0.0
2019,Canada,75 to 84 years,Males,Chronic lower respiratory diseases,5.5
2019,Canada,75 to 84 years,Females,Malignant neoplasms,31.6
2019,Canada,75 to 84 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2019,Canada,75 to 84 years,Females,Diabetes mellitus,2.5
2019,Canada,75 to 84 years,Females,Diseases of heart,16.5
2019,Canada,75 to 84 years,Females,Influenza and pneumonia,2.1
2019,Canada,75 to 84 years,Females,Acute bronchitis and bronchiolitis,0.0
2019,Canada,75 to 84 years,Females,Chronic lower respiratory diseases,6.7
2019,Canada,85 and over,Both sexes,Malignant neoplasms,16.2
2019,Canada,85 and over,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2019,Canada,85 and over,Both sexes,Diabetes mellitus,2.0
2019,Canada,85 and over,Both sexes,Diseases of heart,22.5
2019,Canada,85 and over,Both sexes,Influenza and pneumonia,3.6
2019,Canada,85 and over,Both sexes,Acute bronchitis and bronchiolitis,0.0
2019,Canada,85 and over,Both sexes,Chronic lower respiratory diseases,4.2
2019,Canada,85 and over,Males,Malignant neoplasms,20.1
2019,Canada,85 and over,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.8
2019,Canada,85 and over,Males,Diabetes mellitus,2.2
2019,Canada,85 and over,Males,Diseases of heart,22.7
2019,Canada,85 and over,Males,Influenza and pneumonia,3.6
2019,Canada,85 and over,Males,Acute bronchitis and bronchiolitis,0.0
2019,Canada,85 and over,Males,Chronic lower respiratory diseases,4.8
2019,Canada,85 and over,Females,Malignant neoplasms,13.6
2019,Canada,85 and over,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2019,Canada,85 and over,Females,Diabetes mellitus,1.9
2019,Canada,85 and over,Females,Diseases of heart,22.4
2019,Canada,85 and over,Females,Influenza and pneumonia,3.6
2019,Canada,85 and over,Females,Acute bronchitis and bronchiolitis,0.0
2019,Canada,85 and over,Females,Chronic lower respiratory diseases,3.8
2020,Canada,30 to 34 years,Both sexes,Malignant neoplasms,7.4
