Year,Series,Educational indicator,Level of education,Age group,Sex,Area,Value
2019,Location Parity Index,Proficiency in knowledge of environmental science and geoscience - Non-cognitive dimension - Confidence,Lower secondary education,,,,0.97
2019,Location Parity Index,Proficiency in knowledge of environmental science and geoscience - Non-cognitive dimension - Enjoyment,Lower secondary education,,,,1.0
2015,Wealth Parity Index,Completion rate,,,,,0.9
2016,Wealth Parity Index,Completion rate,,,,,0.89
2017,Wealth Parity Index,Completion rate,,,,,0.94
2015,Wealth Parity Index,Proficiency in knowledge of environmental science and geoscience - Cognitive dimension,,,,,0.36
2019,Wealth Parity Index,Proficiency in knowledge of environmental science and geoscience - Cognitive dimension,,,,,0.44
2015,Wealth Parity Index,Proficiency in knowledge of environmental science and geoscience - Non-cognitive dimension - Confidence,,,,,0.61
2019,Wealth Parity Index,Proficiency in knowledge of environmental science and geoscience - Non-cognitive dimension - Confidence,,,,,0.69
2015,Wealth Parity Index,Proficiency in knowledge of environmental science and geoscience - Non-cognitive dimension - Enjoyment,,,,,0.73
2019,Wealth Parity Index,Proficiency in knowledge of environmental science and geoscience - Non-cognitive dimension - Enjoyment,,,,,0.71
2015,Wealth Parity Index,Proficiency in knowledge of environmental science and geoscience,,,,,0.52
2019,Wealth Parity Index,Proficiency in knowledge of environmental science and geoscience,,,,,0.57
2015,Wealth Parity Index,Percentage of students at the end of lower secondary education who have their first or home language as language of instruction,,,,,0.97
2018,Wealth Parity Index,Percentage of students at the end of lower secondary education who have their first or home language as language of instruction,,,,,0.95
2022,Wealth Parity Index,Percentage of students at the end of lower secondary education who have their first or home language as language of instruction,,,,,0.94
2015,Wealth Parity Index,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics,,,,,0.82
2018,Wealth Parity Index,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics,,,,,0.81
2022,Wealth Parity Index,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics,,,,,0.62
2015,Wealth Parity Index,Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics,,,,,0.7
2019,Wealth Parity Index,Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics,,,,,0.73
2015,Wealth Parity Index,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,,,,,0.86
2018,Wealth Parity Index,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,,,,,0.85
2022,Wealth Parity Index,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,,,,,0.7
2015,Wealth Parity Index,Out-of-school rate for youth of upper secondary school age,,,,,1.37
2016,Wealth Parity Index,Out-of-school rate for youth of upper secondary school age,,,,,1.74
2017,Wealth Parity Index,Out-of-school rate for youth of upper secondary school age,,,,,1.43
2018,Wealth Parity Index,Out-of-school rate for youth of upper secondary school age,,,,,0.66
2016,Wealth Parity Index,Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading,,,,,0.89
2019,Wealth Parity Index,Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading,,,,,0.98
