Year,Series,Indicateur d'éducation,Niveau de scolarité,Groupe d'âge,Sexe,Région,Value
2019,Indice de parité entre les sexes,Taux de non-scolarisation des enfants et des adolescents en âge de fréquenter l'école primaire et le premier cycle du secondaire,,,,,1.45
2020,Indice de parité entre les sexes,Taux de non-scolarisation des enfants et des adolescents en âge de fréquenter l'école primaire et le premier cycle du secondaire,,,,,1.4
2021,Indice de parité entre les sexes,Taux de non-scolarisation des enfants et des adolescents en âge de fréquenter l'école primaire et le premier cycle du secondaire,,,,,1.26
2022,Indice de parité entre les sexes,Taux de non-scolarisation des enfants et des adolescents en âge de fréquenter l'école primaire et le premier cycle du secondaire,,,,,1.21
2018,Indice de parité entre les sexes,"Taux net d'inscription ajusté, un an avant l'âge officiel d'entrée à l'école primaire",,,,,0.99
2019,Indice de parité entre les sexes,"Taux net d'inscription ajusté, un an avant l'âge officiel d'entrée à l'école primaire",,,,,1.0
2020,Indice de parité entre les sexes,"Taux net d'inscription ajusté, un an avant l'âge officiel d'entrée à l'école primaire",,,,,1.0
2021,Indice de parité entre les sexes,"Taux net d'inscription ajusté, un an avant l'âge officiel d'entrée à l'école primaire",,,,,1.0
2022,Indice de parité entre les sexes,"Taux net d'inscription ajusté, un an avant l'âge officiel d'entrée à l'école primaire",,,,,1.01
2018,Indice de parité entre les sexes,Taux de non-scolarisation des enfants un an avant l'âge officiel,,,,,1.25
2019,Indice de parité entre les sexes,Taux de non-scolarisation des enfants un an avant l'âge officiel,,,,,1.01
2020,Indice de parité entre les sexes,Taux de non-scolarisation des enfants un an avant l'âge officiel,,,,,0.92
2021,Indice de parité entre les sexes,Taux de non-scolarisation des enfants un an avant l'âge officiel,,,,,0.95
2022,Indice de parité entre les sexes,Taux de non-scolarisation des enfants un an avant l'âge officiel,,,,,0.85
2019,Indice de parité entre les sexes,Proportion des jeunes de 15 à 24 ans inscrits à l'enseignement professionnel,,,,,0.96
2020,Indice de parité entre les sexes,Proportion des jeunes de 15 à 24 ans inscrits à l'enseignement professionnel,,,,,0.96
2021,Indice de parité entre les sexes,Proportion des jeunes de 15 à 24 ans inscrits à l'enseignement professionnel,,,,,0.99
2022,Indice de parité entre les sexes,Proportion des jeunes de 15 à 24 ans inscrits à l'enseignement professionnel,,,,,0.96
2015,Indice de parité entre milieu urbain et rural,Taux d'achèvement,Enseignement secondaire supérieur,,,,0.94
2016,Indice de parité entre milieu urbain et rural,Taux d'achèvement,Enseignement secondaire supérieur,,,,1.01
2017,Indice de parité entre milieu urbain et rural,Taux d'achèvement,Enseignement secondaire supérieur,,,,0.95
2015,Indice de parité entre milieu urbain et rural,Pourcentage d'élèves au début de leur scolarité dont la langue d'enseignement est la première langue ou la langue parlée à la maison,,,,,1.16
2016,Indice de parité entre milieu urbain et rural,Pourcentage d'élèves au début de leur scolarité dont la langue d'enseignement est la première langue ou la langue parlée à la maison,,,,,1.18
2019,Indice de parité entre milieu urbain et rural,Pourcentage d'élèves au début de leur scolarité dont la langue d'enseignement est la première langue ou la langue parlée à la maison,,,,,1.17
2015,Indice de parité entre milieu urbain et rural,Pourcentage d'élèves à la fin du premier cycle de l'enseignement secondaire dont la langue d'enseignement est la première langue ou la langue parlée à la maison,,,,,1.14
2018,Indice de parité entre milieu urbain et rural,Pourcentage d'élèves à la fin du premier cycle de l'enseignement secondaire dont la langue d'enseignement est la première langue ou la langue parlée à la maison,,,,,1.18
2022,Indice de parité entre milieu urbain et rural,Pourcentage d'élèves à la fin du premier cycle de l'enseignement secondaire dont la langue d'enseignement est la première langue ou la langue parlée à la maison,,,,,1.17
2015,Indice de parité entre milieu urbain et rural,Proportion d'élèves à la fin de l'enseignement primaire atteignant au moins un niveau minimum de compétence en mathématiques,,,,,0.84
2019,Indice de parité entre milieu urbain et rural,Proportion d'élèves à la fin de l'enseignement primaire atteignant au moins un niveau minimum de compétence en mathématiques,,,,,0.86
2015,Indice de parité entre milieu urbain et rural,Taux de non-scolarisation des jeunes en âge de fréquenter l'école secondaire supérieure,,,,,1.03
2016,Indice de parité entre milieu urbain et rural,Taux de non-scolarisation des jeunes en âge de fréquenter l'école secondaire supérieure,,,,,1.08
2017,Indice de parité entre milieu urbain et rural,Taux de non-scolarisation des jeunes en âge de fréquenter l'école secondaire supérieure,,,,,1.7
2018,Indice de parité entre milieu urbain et rural,Taux de non-scolarisation des jeunes en âge de fréquenter l'école secondaire supérieure,,,,,1.79
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,Femme,,0.95
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,Femme,,0.96
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,Les deux sexes,,0.93
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,Les deux sexes,,0.94
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,Homme,,0.9
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,Homme,,0.91
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,Femme,,0.89
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,Femme,,0.88
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,Les deux sexes,,0.88
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,Les deux sexes,,0.86
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,Homme,,0.86
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,Homme,,0.85
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,Femme,,0.84
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,Femme,,0.8
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,Les deux sexes,,0.75
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,Les deux sexes,,0.71
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,Homme,,0.65
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,Homme,,0.62
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,Femme,,0.57
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,Femme,,0.58
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,Les deux sexes,,0.5
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,Les deux sexes,,0.5
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,Homme,,0.42
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé un baccalauréat ou une formation équivalente ou supérieure,,Homme,,0.42
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,Femme,,0.46
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,Femme,,0.47
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,Les deux sexes,,0.42
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,Les deux sexes,,0.42
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,Homme,,0.38
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé une maîtrise ou une formation équivalente ou supérieure,,Homme,,0.37
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé un doctorat ou une formation équivalente,,Femme,,0.45
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé un doctorat ou une formation équivalente,,Femme,,0.43
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé un doctorat ou une formation équivalente,,Les deux sexes,,0.4
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé un doctorat ou une formation équivalente,,Les deux sexes,,0.39
2016,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé un doctorat ou une formation équivalente,,Homme,,0.36
2021,Indice de parité entre milieu urbain et rural,Taux de scolarité,Avoir terminé un doctorat ou une formation équivalente,,Homme,,0.36
2016,Indice de parité entre milieu urbain et rural,Proportion d'élèves à la fin de l'enseignement primaire atteignant au moins un niveau minimum de compétence en lecture,,,,,0.84
2021,Indice de parité entre milieu urbain et rural,Proportion d'élèves à la fin de l'enseignement primaire atteignant au moins un niveau minimum de compétence en lecture,,,,,1.0
2018,Indice de parité entre milieu urbain et rural,Proportion d'élèves à la fin du premier cycle de l'enseignement secondaire atteignant au moins un niveau minimum de compétence en mathématiques,,,,,0.92
2018,Indice de parité entre milieu urbain et rural,Proportion d'élèves à la fin du premier cycle de l'enseignement secondaire atteignant au moins un niveau minimum de compétence en lecture,,,,,0.91
2019,Indice de parité entre milieu urbain et rural,Compétence en matière de sciences de l’environnement et de géosciences,,,,,1.03
2019,Indice de parité entre milieu urbain et rural,Compétence en matière de sciences de l’environnement et de géosciences - Dimension non cognitive - Confiance,,,,,0.97
2019,Indice de parité entre milieu urbain et rural,Compétence en matière de sciences de l’environnement et de géosciences - Dimension non cognitive - Plaisir,,,,,1.0
2015,Indice de parité de richesse,Taux d'achèvement,Enseignement secondaire supérieur,,,,0.9
2016,Indice de parité de richesse,Taux d'achèvement,Enseignement secondaire supérieur,,,,0.89
2017,Indice de parité de richesse,Taux d'achèvement,Enseignement secondaire supérieur,,,,0.94
2015,Indice de parité de richesse,Compétence en matière de sciences de l’environnement et de géosciences - Dimension cognitive,,,,,0.36
2019,Indice de parité de richesse,Compétence en matière de sciences de l’environnement et de géosciences - Dimension cognitive,,,,,0.44
2015,Indice de parité de richesse,Compétence en matière de sciences de l’environnement et de géosciences - Dimension non cognitive - Confiance,,,,,0.61
2019,Indice de parité de richesse,Compétence en matière de sciences de l’environnement et de géosciences - Dimension non cognitive - Confiance,,,,,0.69
2015,Indice de parité de richesse,Compétence en matière de sciences de l’environnement et de géosciences - Dimension non cognitive - Plaisir,,,,,0.73
2019,Indice de parité de richesse,Compétence en matière de sciences de l’environnement et de géosciences - Dimension non cognitive - Plaisir,,,,,0.71
2015,Indice de parité de richesse,Compétence en matière de sciences de l’environnement et de géosciences,,,,,0.52
2019,Indice de parité de richesse,Compétence en matière de sciences de l’environnement et de géosciences,,,,,0.57
2015,Indice de parité de richesse,Pourcentage d'élèves à la fin du premier cycle de l'enseignement secondaire dont la langue d'enseignement est la première langue ou la langue parlée à la maison,,,,,0.97
2018,Indice de parité de richesse,Pourcentage d'élèves à la fin du premier cycle de l'enseignement secondaire dont la langue d'enseignement est la première langue ou la langue parlée à la maison,,,,,0.95
2022,Indice de parité de richesse,Pourcentage d'élèves à la fin du premier cycle de l'enseignement secondaire dont la langue d'enseignement est la première langue ou la langue parlée à la maison,,,,,0.94
2015,Indice de parité de richesse,Proportion d'élèves à la fin du premier cycle de l'enseignement secondaire atteignant au moins un niveau minimum de compétence en mathématiques,,,,,0.82
2018,Indice de parité de richesse,Proportion d'élèves à la fin du premier cycle de l'enseignement secondaire atteignant au moins un niveau minimum de compétence en mathématiques,,,,,0.81
2022,Indice de parité de richesse,Proportion d'élèves à la fin du premier cycle de l'enseignement secondaire atteignant au moins un niveau minimum de compétence en mathématiques,,,,,0.62
2015,Indice de parité de richesse,Proportion d'élèves à la fin de l'enseignement primaire atteignant au moins un niveau minimum de compétence en mathématiques,,,,,0.7
2019,Indice de parité de richesse,Proportion d'élèves à la fin de l'enseignement primaire atteignant au moins un niveau minimum de compétence en mathématiques,,,,,0.73
2015,Indice de parité de richesse,Proportion d'élèves à la fin du premier cycle de l'enseignement secondaire atteignant au moins un niveau minimum de compétence en lecture,,,,,0.86
2018,Indice de parité de richesse,Proportion d'élèves à la fin du premier cycle de l'enseignement secondaire atteignant au moins un niveau minimum de compétence en lecture,,,,,0.85
2022,Indice de parité de richesse,Proportion d'élèves à la fin du premier cycle de l'enseignement secondaire atteignant au moins un niveau minimum de compétence en lecture,,,,,0.7
2015,Indice de parité de richesse,Taux de non-scolarisation des jeunes en âge de fréquenter l'école secondaire supérieure,,,,,1.37
2016,Indice de parité de richesse,Taux de non-scolarisation des jeunes en âge de fréquenter l'école secondaire supérieure,,,,,1.74
2017,Indice de parité de richesse,Taux de non-scolarisation des jeunes en âge de fréquenter l'école secondaire supérieure,,,,,1.43
2018,Indice de parité de richesse,Taux de non-scolarisation des jeunes en âge de fréquenter l'école secondaire supérieure,,,,,0.66
2016,Indice de parité de richesse,Proportion d'élèves à la fin de l'enseignement primaire atteignant au moins un niveau minimum de compétence en lecture,,,,,0.89
2019,Indice de parité de richesse,Proportion d'élèves à la fin de l'enseignement primaire atteignant au moins un niveau minimum de compétence en lecture,,,,,0.98
