Year,Quintile de revenu du ménage,Décile de revenu du ménage,Géographie,Series,GeoCode,Value
2010-2015,,Quatrième décile,Nouveau-Brunswick,Revenu par habitant,13,1.593
2010-2015,,Total des déciles,Québec,Revenu par habitant,24,0.241
2010-2015,,Décile inférieur,Québec,Revenu par habitant,24,0.477
2010-2015,,Deuxième décile,Québec,Revenu par habitant,24,0.047
2010-2015,,Troisième décile,Québec,Revenu par habitant,24,0.4
2010-2015,,Quatrième décile,Québec,Revenu par habitant,24,0.291
2010-2015,,Total des déciles,Ontario,Revenu par habitant,35,0.174
2010-2015,,Décile inférieur,Ontario,Revenu par habitant,35,-0.49
2010-2015,,Deuxième décile,Ontario,Revenu par habitant,35,0.126
2010-2015,,Troisième décile,Ontario,Revenu par habitant,35,0.281
2010-2015,,Quatrième décile,Ontario,Revenu par habitant,35,0.561
2010-2015,,Total des déciles,Manitoba,Revenu par habitant,46,-0.142
2010-2015,,Décile inférieur,Manitoba,Revenu par habitant,46,-1.519
2010-2015,,Deuxième décile,Manitoba,Revenu par habitant,46,0.022
2010-2015,,Troisième décile,Manitoba,Revenu par habitant,46,0.246
2010-2015,,Quatrième décile,Manitoba,Revenu par habitant,46,-0.627
2010-2015,,Total des déciles,Saskatchewan,Revenu par habitant,47,0.485
2010-2015,,Décile inférieur,Saskatchewan,Revenu par habitant,47,5.139
2010-2015,,Deuxième décile,Saskatchewan,Revenu par habitant,47,0.721
2010-2015,,Troisième décile,Saskatchewan,Revenu par habitant,47,1.32
2010-2015,,Quatrième décile,Saskatchewan,Revenu par habitant,47,0.734
2010-2015,,Total des déciles,Alberta,Revenu par habitant,48,-0.142
2010-2015,,Décile inférieur,Alberta,Revenu par habitant,48,1.744
2010-2015,,Deuxième décile,Alberta,Revenu par habitant,48,0.139
2010-2015,,Troisième décile,Alberta,Revenu par habitant,48,-0.629
2010-2015,,Quatrième décile,Alberta,Revenu par habitant,48,-0.353
2010-2015,,Total des déciles,Colombie-Britannique,Revenu par habitant,59,-0.3
2010-2015,,Décile inférieur,Colombie-Britannique,Revenu par habitant,59,-0.847
2010-2015,,Deuxième décile,Colombie-Britannique,Revenu par habitant,59,-0.849
2010-2015,,Troisième décile,Colombie-Britannique,Revenu par habitant,59,0.099
2010-2015,,Quatrième décile,Colombie-Britannique,Revenu par habitant,59,0.338
2010-2015,,Total des déciles,Yukon,Revenu par habitant,60,
2010-2015,,Décile inférieur,Yukon,Revenu par habitant,60,
2010-2015,,Deuxième décile,Yukon,Revenu par habitant,60,
2010-2015,,Troisième décile,Yukon,Revenu par habitant,60,
2010-2015,,Quatrième décile,Yukon,Revenu par habitant,60,
2010-2015,,Total des déciles,Territoires du Nord-Ouest,Revenu par habitant,61,
2010-2015,,Décile inférieur,Territoires du Nord-Ouest,Revenu par habitant,61,
2010-2015,,Deuxième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2010-2015,,Troisième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2010-2015,,Quatrième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2010-2015,,Total des déciles,Nunavut,Revenu par habitant,62,
2010-2015,,Décile inférieur,Nunavut,Revenu par habitant,62,
2010-2015,,Deuxième décile,Nunavut,Revenu par habitant,62,
2010-2015,,Troisième décile,Nunavut,Revenu par habitant,62,
2010-2015,,Quatrième décile,Nunavut,Revenu par habitant,62,
2011-2016,,Total des déciles,Canada,Revenu par habitant,,-0.071
2011-2016,,Décile inférieur,Canada,Revenu par habitant,,-0.17
2011-2016,,Deuxième décile,Canada,Revenu par habitant,,0.37
2011-2016,,Troisième décile,Canada,Revenu par habitant,,0.348
2011-2016,,Quatrième décile,Canada,Revenu par habitant,,0.08
2011-2016,,Total des déciles,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.915
2011-2016,,Décile inférieur,Terre-Neuve-et-Labrador,Revenu par habitant,10,-0.85
2011-2016,,Deuxième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.397
2011-2016,,Troisième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,1.236
2011-2016,,Quatrième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,2.081
2011-2016,,Total des déciles,Île-du-Prince-Édouard,Revenu par habitant,11,-0.296
2011-2016,,Décile inférieur,Île-du-Prince-Édouard,Revenu par habitant,11,-2.473
2011-2016,,Deuxième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-0.696
2011-2016,,Troisième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-0.994
2011-2016,,Quatrième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-0.603
2011-2016,,Total des déciles,Nouvelle-Écosse,Revenu par habitant,12,1.19
2011-2016,,Décile inférieur,Nouvelle-Écosse,Revenu par habitant,12,-2.334
2011-2016,,Deuxième décile,Nouvelle-Écosse,Revenu par habitant,12,-0.122
2011-2016,,Troisième décile,Nouvelle-Écosse,Revenu par habitant,12,0.972
2011-2016,,Quatrième décile,Nouvelle-Écosse,Revenu par habitant,12,1.265
2011-2016,,Total des déciles,Nouveau-Brunswick,Revenu par habitant,13,0.386
2011-2016,,Décile inférieur,Nouveau-Brunswick,Revenu par habitant,13,1.996
2011-2016,,Deuxième décile,Nouveau-Brunswick,Revenu par habitant,13,0.083
2011-2016,,Troisième décile,Nouveau-Brunswick,Revenu par habitant,13,0.447
2011-2016,,Quatrième décile,Nouveau-Brunswick,Revenu par habitant,13,0.654
2011-2016,,Total des déciles,Québec,Revenu par habitant,24,0.436
2011-2016,,Décile inférieur,Québec,Revenu par habitant,24,-0.07
2011-2016,,Deuxième décile,Québec,Revenu par habitant,24,1.023
2011-2016,,Troisième décile,Québec,Revenu par habitant,24,0.913
2011-2016,,Quatrième décile,Québec,Revenu par habitant,24,0.69
2011-2016,,Total des déciles,Ontario,Revenu par habitant,35,0.281
2011-2016,,Décile inférieur,Ontario,Revenu par habitant,35,0.433
2011-2016,,Deuxième décile,Ontario,Revenu par habitant,35,-0.08
2011-2016,,Troisième décile,Ontario,Revenu par habitant,35,0.104
2011-2016,,Quatrième décile,Ontario,Revenu par habitant,35,0.023
2011-2016,,Total des déciles,Manitoba,Revenu par habitant,46,-0.146
2011-2016,,Décile inférieur,Manitoba,Revenu par habitant,46,0.204
2011-2016,,Deuxième décile,Manitoba,Revenu par habitant,46,0.503
2011-2016,,Troisième décile,Manitoba,Revenu par habitant,46,0.209
2011-2016,,Quatrième décile,Manitoba,Revenu par habitant,46,-0.223
2011-2016,,Total des déciles,Saskatchewan,Revenu par habitant,47,-0.863
2011-2016,,Décile inférieur,Saskatchewan,Revenu par habitant,47,0.001
2011-2016,,Deuxième décile,Saskatchewan,Revenu par habitant,47,0.557
2011-2016,,Troisième décile,Saskatchewan,Revenu par habitant,47,0.758
2011-2016,,Quatrième décile,Saskatchewan,Revenu par habitant,47,-0.376
2011-2016,,Total des déciles,Alberta,Revenu par habitant,48,-2.263
2011-2016,,Décile inférieur,Alberta,Revenu par habitant,48,-0.312
2011-2016,,Deuxième décile,Alberta,Revenu par habitant,48,-0.401
2011-2016,,Troisième décile,Alberta,Revenu par habitant,48,-0.807
2011-2016,,Quatrième décile,Alberta,Revenu par habitant,48,-1.242
2011-2016,,Total des déciles,Colombie-Britannique,Revenu par habitant,59,-0.495
2011-2016,,Décile inférieur,Colombie-Britannique,Revenu par habitant,59,-2.604
2011-2016,,Deuxième décile,Colombie-Britannique,Revenu par habitant,59,0.815
2011-2016,,Troisième décile,Colombie-Britannique,Revenu par habitant,59,0.292
2011-2016,,Quatrième décile,Colombie-Britannique,Revenu par habitant,59,-0.163
2011-2016,,Total des déciles,Yukon,Revenu par habitant,60,
2011-2016,,Décile inférieur,Yukon,Revenu par habitant,60,
2011-2016,,Deuxième décile,Yukon,Revenu par habitant,60,
2011-2016,,Troisième décile,Yukon,Revenu par habitant,60,
2011-2016,,Quatrième décile,Yukon,Revenu par habitant,60,
2011-2016,,Total des déciles,Territoires du Nord-Ouest,Revenu par habitant,61,
2011-2016,,Décile inférieur,Territoires du Nord-Ouest,Revenu par habitant,61,
2011-2016,,Deuxième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2011-2016,,Troisième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2011-2016,,Quatrième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2011-2016,,Total des déciles,Nunavut,Revenu par habitant,62,
2011-2016,,Décile inférieur,Nunavut,Revenu par habitant,62,
2011-2016,,Deuxième décile,Nunavut,Revenu par habitant,62,
2011-2016,,Troisième décile,Nunavut,Revenu par habitant,62,
2011-2016,,Quatrième décile,Nunavut,Revenu par habitant,62,
2012-2017,,Total des déciles,Canada,Revenu par habitant,,0.075
2012-2017,,Décile inférieur,Canada,Revenu par habitant,,0.996
2012-2017,,Deuxième décile,Canada,Revenu par habitant,,0.525
2012-2017,,Troisième décile,Canada,Revenu par habitant,,0.308
2012-2017,,Quatrième décile,Canada,Revenu par habitant,,0.176
2012-2017,,Total des déciles,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.572
2012-2017,,Décile inférieur,Terre-Neuve-et-Labrador,Revenu par habitant,10,-0.133
2012-2017,,Deuxième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.29
2012-2017,,Troisième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.847
2012-2017,,Quatrième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.68
2012-2017,,Total des déciles,Île-du-Prince-Édouard,Revenu par habitant,11,0.503
2012-2017,,Décile inférieur,Île-du-Prince-Édouard,Revenu par habitant,11,-4.692
2012-2017,,Deuxième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-1.428
2012-2017,,Troisième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-0.318
2012-2017,,Quatrième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-0.18
2012-2017,,Total des déciles,Nouvelle-Écosse,Revenu par habitant,12,0.715
2012-2017,,Décile inférieur,Nouvelle-Écosse,Revenu par habitant,12,-0.45
2012-2017,,Deuxième décile,Nouvelle-Écosse,Revenu par habitant,12,-0.482
2012-2017,,Troisième décile,Nouvelle-Écosse,Revenu par habitant,12,0.575
2012-2017,,Quatrième décile,Nouvelle-Écosse,Revenu par habitant,12,1.094
2012-2017,,Total des déciles,Nouveau-Brunswick,Revenu par habitant,13,0.761
2012-2017,,Décile inférieur,Nouveau-Brunswick,Revenu par habitant,13,1.743
2012-2017,,Deuxième décile,Nouveau-Brunswick,Revenu par habitant,13,1.01
2012-2017,,Troisième décile,Nouveau-Brunswick,Revenu par habitant,13,1.47
2012-2017,,Quatrième décile,Nouveau-Brunswick,Revenu par habitant,13,0.908
2012-2017,,Total des déciles,Québec,Revenu par habitant,24,0.575
2012-2017,,Décile inférieur,Québec,Revenu par habitant,24,0.787
2012-2017,,Deuxième décile,Québec,Revenu par habitant,24,0.916
2012-2017,,Troisième décile,Québec,Revenu par habitant,24,1.036
2012-2017,,Quatrième décile,Québec,Revenu par habitant,24,0.85
2012-2017,,Total des déciles,Ontario,Revenu par habitant,35,0.377
2012-2017,,Décile inférieur,Ontario,Revenu par habitant,35,1.294
2012-2017,,Deuxième décile,Ontario,Revenu par habitant,35,0.858
2012-2017,,Troisième décile,Ontario,Revenu par habitant,35,0.333
2012-2017,,Quatrième décile,Ontario,Revenu par habitant,35,0.455
2012-2017,,Total des déciles,Manitoba,Revenu par habitant,46,0.258
2012-2017,,Décile inférieur,Manitoba,Revenu par habitant,46,1.095
2012-2017,,Deuxième décile,Manitoba,Revenu par habitant,46,-0.054
2012-2017,,Troisième décile,Manitoba,Revenu par habitant,46,-0.028
2012-2017,,Quatrième décile,Manitoba,Revenu par habitant,46,-0.422
2012-2017,,Total des déciles,Saskatchewan,Revenu par habitant,47,-0.628
2012-2017,,Décile inférieur,Saskatchewan,Revenu par habitant,47,-0.355
2012-2017,,Deuxième décile,Saskatchewan,Revenu par habitant,47,-0.492
2012-2017,,Troisième décile,Saskatchewan,Revenu par habitant,47,-1.147
2012-2017,,Quatrième décile,Saskatchewan,Revenu par habitant,47,-0.731
2012-2017,,Total des déciles,Alberta,Revenu par habitant,48,-2.173
2012-2017,,Décile inférieur,Alberta,Revenu par habitant,48,0.673
2012-2017,,Deuxième décile,Alberta,Revenu par habitant,48,-1.84
2012-2017,,Troisième décile,Alberta,Revenu par habitant,48,-2.508
2012-2017,,Quatrième décile,Alberta,Revenu par habitant,48,-2.29
2012-2017,,Total des déciles,Colombie-Britannique,Revenu par habitant,59,0.061
2012-2017,,Décile inférieur,Colombie-Britannique,Revenu par habitant,59,0.63
2012-2017,,Deuxième décile,Colombie-Britannique,Revenu par habitant,59,0.765
2012-2017,,Troisième décile,Colombie-Britannique,Revenu par habitant,59,0.817
2012-2017,,Quatrième décile,Colombie-Britannique,Revenu par habitant,59,0.282
2012-2017,,Total des déciles,Yukon,Revenu par habitant,60,
2012-2017,,Décile inférieur,Yukon,Revenu par habitant,60,
2012-2017,,Deuxième décile,Yukon,Revenu par habitant,60,
2012-2017,,Troisième décile,Yukon,Revenu par habitant,60,
2012-2017,,Quatrième décile,Yukon,Revenu par habitant,60,
2012-2017,,Total des déciles,Territoires du Nord-Ouest,Revenu par habitant,61,
2012-2017,,Décile inférieur,Territoires du Nord-Ouest,Revenu par habitant,61,
2012-2017,,Deuxième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2012-2017,,Troisième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2012-2017,,Quatrième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2012-2017,,Total des déciles,Nunavut,Revenu par habitant,62,
2012-2017,,Décile inférieur,Nunavut,Revenu par habitant,62,
2012-2017,,Deuxième décile,Nunavut,Revenu par habitant,62,
2012-2017,,Troisième décile,Nunavut,Revenu par habitant,62,
2012-2017,,Quatrième décile,Nunavut,Revenu par habitant,62,
2013-2018,,Total des déciles,Canada,Revenu par habitant,,-0.262
2013-2018,,Décile inférieur,Canada,Revenu par habitant,,1.174
2013-2018,,Deuxième décile,Canada,Revenu par habitant,,0.767
2013-2018,,Troisième décile,Canada,Revenu par habitant,,0.633
2013-2018,,Quatrième décile,Canada,Revenu par habitant,,0.209
2013-2018,,Total des déciles,Terre-Neuve-et-Labrador,Revenu par habitant,10,-0.549
2013-2018,,Décile inférieur,Terre-Neuve-et-Labrador,Revenu par habitant,10,-0.167
2013-2018,,Deuxième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,-0.475
2013-2018,,Troisième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,-0.504
2013-2018,,Quatrième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,-0.287
2013-2018,,Total des déciles,Île-du-Prince-Édouard,Revenu par habitant,11,-0.295
2013-2018,,Décile inférieur,Île-du-Prince-Édouard,Revenu par habitant,11,-0.092
2013-2018,,Deuxième décile,Île-du-Prince-Édouard,Revenu par habitant,11,0.738
2013-2018,,Troisième décile,Île-du-Prince-Édouard,Revenu par habitant,11,0.599
2013-2018,,Quatrième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-0.587
2013-2018,,Total des déciles,Nouvelle-Écosse,Revenu par habitant,12,-0.186
2013-2018,,Décile inférieur,Nouvelle-Écosse,Revenu par habitant,12,0.89
2013-2018,,Deuxième décile,Nouvelle-Écosse,Revenu par habitant,12,0.034
2013-2018,,Troisième décile,Nouvelle-Écosse,Revenu par habitant,12,0.044
2013-2018,,Quatrième décile,Nouvelle-Écosse,Revenu par habitant,12,0.105
2013-2018,,Total des déciles,Nouveau-Brunswick,Revenu par habitant,13,1.053
2013-2018,,Décile inférieur,Nouveau-Brunswick,Revenu par habitant,13,2.506
2013-2018,,Deuxième décile,Nouveau-Brunswick,Revenu par habitant,13,0.943
2013-2018,,Troisième décile,Nouveau-Brunswick,Revenu par habitant,13,1.105
2013-2018,,Quatrième décile,Nouveau-Brunswick,Revenu par habitant,13,0.994
2013-2018,,Total des déciles,Québec,Revenu par habitant,24,0.419
2013-2018,,Décile inférieur,Québec,Revenu par habitant,24,1.92
2013-2018,,Deuxième décile,Québec,Revenu par habitant,24,0.578
2013-2018,,Troisième décile,Québec,Revenu par habitant,24,0.849
2013-2018,,Quatrième décile,Québec,Revenu par habitant,24,0.705
2013-2018,,Total des déciles,Ontario,Revenu par habitant,35,0.159
2013-2018,,Décile inférieur,Ontario,Revenu par habitant,35,0.864
2013-2018,,Deuxième décile,Ontario,Revenu par habitant,35,1.593
2013-2018,,Troisième décile,Ontario,Revenu par habitant,35,1.468
2013-2018,,Quatrième décile,Ontario,Revenu par habitant,35,0.817
2013-2018,,Total des déciles,Manitoba,Revenu par habitant,46,-0.61
2013-2018,,Décile inférieur,Manitoba,Revenu par habitant,46,-0.748
2013-2018,,Deuxième décile,Manitoba,Revenu par habitant,46,-0.124
2013-2018,,Troisième décile,Manitoba,Revenu par habitant,46,-0.266
2013-2018,,Quatrième décile,Manitoba,Revenu par habitant,46,-0.167
2013-2018,,Total des déciles,Saskatchewan,Revenu par habitant,47,-1.226
2013-2018,,Décile inférieur,Saskatchewan,Revenu par habitant,47,-1.143
2013-2018,,Deuxième décile,Saskatchewan,Revenu par habitant,47,-0.16
2013-2018,,Troisième décile,Saskatchewan,Revenu par habitant,47,-0.456
2013-2018,,Quatrième décile,Saskatchewan,Revenu par habitant,47,-0.639
2013-2018,,Total des déciles,Alberta,Revenu par habitant,48,-2.418
2013-2018,,Décile inférieur,Alberta,Revenu par habitant,48,-0.927
2013-2018,,Deuxième décile,Alberta,Revenu par habitant,48,-2.04
2013-2018,,Troisième décile,Alberta,Revenu par habitant,48,-2.45
2013-2018,,Quatrième décile,Alberta,Revenu par habitant,48,-1.905
2013-2018,,Total des déciles,Colombie-Britannique,Revenu par habitant,59,-0.591
2013-2018,,Décile inférieur,Colombie-Britannique,Revenu par habitant,59,4.037
2013-2018,,Deuxième décile,Colombie-Britannique,Revenu par habitant,59,1.076
2013-2018,,Troisième décile,Colombie-Britannique,Revenu par habitant,59,0.508
2013-2018,,Quatrième décile,Colombie-Britannique,Revenu par habitant,59,-0.246
2013-2018,,Total des déciles,Yukon,Revenu par habitant,60,
2013-2018,,Décile inférieur,Yukon,Revenu par habitant,60,
2013-2018,,Deuxième décile,Yukon,Revenu par habitant,60,
2013-2018,,Troisième décile,Yukon,Revenu par habitant,60,
2013-2018,,Quatrième décile,Yukon,Revenu par habitant,60,
2013-2018,,Total des déciles,Territoires du Nord-Ouest,Revenu par habitant,61,
2013-2018,,Décile inférieur,Territoires du Nord-Ouest,Revenu par habitant,61,
2013-2018,,Deuxième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2013-2018,,Troisième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2013-2018,,Quatrième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2013-2018,,Total des déciles,Nunavut,Revenu par habitant,62,
2013-2018,,Décile inférieur,Nunavut,Revenu par habitant,62,
2013-2018,,Deuxième décile,Nunavut,Revenu par habitant,62,
2013-2018,,Troisième décile,Nunavut,Revenu par habitant,62,
2013-2018,,Quatrième décile,Nunavut,Revenu par habitant,62,
2014-2019,,Total des déciles,Canada,Revenu par habitant,,-0.422
2014-2019,,Décile inférieur,Canada,Revenu par habitant,,0.734
2014-2019,,Deuxième décile,Canada,Revenu par habitant,,0.296
2014-2019,,Troisième décile,Canada,Revenu par habitant,,-0.121
2014-2019,,Quatrième décile,Canada,Revenu par habitant,,-0.164
2014-2019,,Total des déciles,Terre-Neuve-et-Labrador,Revenu par habitant,10,-0.673
2014-2019,,Décile inférieur,Terre-Neuve-et-Labrador,Revenu par habitant,10,-0.439
2014-2019,,Deuxième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.291
2014-2019,,Troisième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,-0.151
2014-2019,,Quatrième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,-1.486
2014-2019,,Total des déciles,Île-du-Prince-Édouard,Revenu par habitant,11,-1.085
2014-2019,,Décile inférieur,Île-du-Prince-Édouard,Revenu par habitant,11,-3.354
2014-2019,,Deuxième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-1.143
2014-2019,,Troisième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-0.378
2014-2019,,Quatrième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-0.705
2014-2019,,Total des déciles,Nouvelle-Écosse,Revenu par habitant,12,-0.547
2014-2019,,Décile inférieur,Nouvelle-Écosse,Revenu par habitant,12,0.017
2014-2019,,Deuxième décile,Nouvelle-Écosse,Revenu par habitant,12,0.474
2014-2019,,Troisième décile,Nouvelle-Écosse,Revenu par habitant,12,0.104
2014-2019,,Quatrième décile,Nouvelle-Écosse,Revenu par habitant,12,0.056
2014-2019,,Total des déciles,Nouveau-Brunswick,Revenu par habitant,13,0.707
2014-2019,,Décile inférieur,Nouveau-Brunswick,Revenu par habitant,13,1.138
2014-2019,,Deuxième décile,Nouveau-Brunswick,Revenu par habitant,13,1.402
2014-2019,,Troisième décile,Nouveau-Brunswick,Revenu par habitant,13,1.608
2014-2019,,Quatrième décile,Nouveau-Brunswick,Revenu par habitant,13,0.949
2014-2019,,Total des déciles,Québec,Revenu par habitant,24,0.68
2014-2019,,Décile inférieur,Québec,Revenu par habitant,24,-0.032
2014-2019,,Deuxième décile,Québec,Revenu par habitant,24,0.463
2014-2019,,Troisième décile,Québec,Revenu par habitant,24,0.488
2014-2019,,Quatrième décile,Québec,Revenu par habitant,24,0.491
2014-2019,,Total des déciles,Ontario,Revenu par habitant,35,-0.239
2014-2019,,Décile inférieur,Ontario,Revenu par habitant,35,1.139
2014-2019,,Deuxième décile,Ontario,Revenu par habitant,35,0.476
2014-2019,,Troisième décile,Ontario,Revenu par habitant,35,0.023
2014-2019,,Quatrième décile,Ontario,Revenu par habitant,35,0.333
2014-2019,,Total des déciles,Manitoba,Revenu par habitant,46,-1.052
2014-2019,,Décile inférieur,Manitoba,Revenu par habitant,46,-1.016
2014-2019,,Deuxième décile,Manitoba,Revenu par habitant,46,-0.423
2014-2019,,Troisième décile,Manitoba,Revenu par habitant,46,-0.628
2014-2019,,Quatrième décile,Manitoba,Revenu par habitant,46,-0.846
2014-2019,,Total des déciles,Saskatchewan,Revenu par habitant,47,-2.268
2014-2019,,Décile inférieur,Saskatchewan,Revenu par habitant,47,-4.268
2014-2019,,Deuxième décile,Saskatchewan,Revenu par habitant,47,-1.168
2014-2019,,Troisième décile,Saskatchewan,Revenu par habitant,47,-1.255
2014-2019,,Quatrième décile,Saskatchewan,Revenu par habitant,47,-1.854
2014-2019,,Total des déciles,Alberta,Revenu par habitant,48,-2.371
2014-2019,,Décile inférieur,Alberta,Revenu par habitant,48,1.097
2014-2019,,Deuxième décile,Alberta,Revenu par habitant,48,-1.238
2014-2019,,Troisième décile,Alberta,Revenu par habitant,48,-2.143
2014-2019,,Quatrième décile,Alberta,Revenu par habitant,48,-1.616
2014-2019,,Total des déciles,Colombie-Britannique,Revenu par habitant,59,-0.32
2014-2019,,Décile inférieur,Colombie-Britannique,Revenu par habitant,59,2.797
2014-2019,,Deuxième décile,Colombie-Britannique,Revenu par habitant,59,0.575
2014-2019,,Troisième décile,Colombie-Britannique,Revenu par habitant,59,-0.277
2014-2019,,Quatrième décile,Colombie-Britannique,Revenu par habitant,59,-0.455
2014-2019,,Total des déciles,Yukon,Revenu par habitant,60,
2014-2019,,Décile inférieur,Yukon,Revenu par habitant,60,
2014-2019,,Deuxième décile,Yukon,Revenu par habitant,60,
2014-2019,,Troisième décile,Yukon,Revenu par habitant,60,
2014-2019,,Quatrième décile,Yukon,Revenu par habitant,60,
2014-2019,,Total des déciles,Territoires du Nord-Ouest,Revenu par habitant,61,
2014-2019,,Décile inférieur,Territoires du Nord-Ouest,Revenu par habitant,61,
2014-2019,,Deuxième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2014-2019,,Troisième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2014-2019,,Quatrième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2014-2019,,Total des déciles,Nunavut,Revenu par habitant,62,
2014-2019,,Décile inférieur,Nunavut,Revenu par habitant,62,
2014-2019,,Deuxième décile,Nunavut,Revenu par habitant,62,
2014-2019,,Troisième décile,Nunavut,Revenu par habitant,62,
2014-2019,,Quatrième décile,Nunavut,Revenu par habitant,62,
2015-2020,,Total des déciles,Canada,Revenu par habitant,,0.391
2015-2020,,Décile inférieur,Canada,Revenu par habitant,,5.149
2015-2020,,Deuxième décile,Canada,Revenu par habitant,,3.083
2015-2020,,Troisième décile,Canada,Revenu par habitant,,1.955
2015-2020,,Quatrième décile,Canada,Revenu par habitant,,1.11
2015-2020,,Total des déciles,Terre-Neuve-et-Labrador,Revenu par habitant,10,-0.04
2015-2020,,Décile inférieur,Terre-Neuve-et-Labrador,Revenu par habitant,10,4.881
2015-2020,,Deuxième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,3.188
2015-2020,,Troisième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,2.415
2015-2020,,Quatrième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,1.573
2015-2020,,Total des déciles,Île-du-Prince-Édouard,Revenu par habitant,11,0.215
2015-2020,,Décile inférieur,Île-du-Prince-Édouard,Revenu par habitant,11,6.685
2015-2020,,Deuxième décile,Île-du-Prince-Édouard,Revenu par habitant,11,2.227
2015-2020,,Troisième décile,Île-du-Prince-Édouard,Revenu par habitant,11,1.324
2015-2020,,Quatrième décile,Île-du-Prince-Édouard,Revenu par habitant,11,0.175
2015-2020,,Total des déciles,Nouvelle-Écosse,Revenu par habitant,12,0.19
2015-2020,,Décile inférieur,Nouvelle-Écosse,Revenu par habitant,12,2.37
2015-2020,,Deuxième décile,Nouvelle-Écosse,Revenu par habitant,12,3.169
2015-2020,,Troisième décile,Nouvelle-Écosse,Revenu par habitant,12,2.555
2015-2020,,Quatrième décile,Nouvelle-Écosse,Revenu par habitant,12,1.246
2015-2020,,Total des déciles,Nouveau-Brunswick,Revenu par habitant,13,1.936
2015-2020,,Décile inférieur,Nouveau-Brunswick,Revenu par habitant,13,6.35
2015-2020,,Deuxième décile,Nouveau-Brunswick,Revenu par habitant,13,3.242
2015-2020,,Troisième décile,Nouveau-Brunswick,Revenu par habitant,13,2.35
2015-2020,,Quatrième décile,Nouveau-Brunswick,Revenu par habitant,13,1.466
2015-2020,,Total des déciles,Québec,Revenu par habitant,24,1.798
2015-2020,,Décile inférieur,Québec,Revenu par habitant,24,5.916
2015-2020,,Deuxième décile,Québec,Revenu par habitant,24,3.659
2015-2020,,Troisième décile,Québec,Revenu par habitant,24,2.985
2015-2020,,Quatrième décile,Québec,Revenu par habitant,24,2.295
2015-2020,,Total des déciles,Ontario,Revenu par habitant,35,0.486
2015-2020,,Décile inférieur,Ontario,Revenu par habitant,35,5.318
2015-2020,,Deuxième décile,Ontario,Revenu par habitant,35,3.014
2015-2020,,Troisième décile,Ontario,Revenu par habitant,35,1.821
2015-2020,,Quatrième décile,Ontario,Revenu par habitant,35,0.856
2015-2020,,Total des déciles,Manitoba,Revenu par habitant,46,0.251
2015-2020,,Décile inférieur,Manitoba,Revenu par habitant,46,4.82
2015-2020,,Deuxième décile,Manitoba,Revenu par habitant,46,2.756
2015-2020,,Troisième décile,Manitoba,Revenu par habitant,46,1.606
2015-2020,,Quatrième décile,Manitoba,Revenu par habitant,46,1.125
2015-2020,,Total des déciles,Saskatchewan,Revenu par habitant,47,-0.846
2015-2020,,Décile inférieur,Saskatchewan,Revenu par habitant,47,4.532
2015-2020,,Deuxième décile,Saskatchewan,Revenu par habitant,47,1.924
