Year,Series,Catégories de données,Éléments,Pilier,Value
2024,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Données disponibles pour les 10 dernières années,,50.0
2024,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Données disponibles pour les 10 dernières années,,50.0
2024,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Données disponibles pour les 10 dernières années,,100.0
2024,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Données disponibles pour les 10 dernières années,,100.0
2024,Inventaire des données ouvertes (ODIN),Santé reproductive,Données disponibles pour les 10 dernières années,,100.0
2024,Inventaire des données ouvertes (ODIN),Sécurité alimentaire et nutrition,Données disponibles pour les 10 dernières années,,50.0
2024,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Données disponibles pour les 10 dernières années,,50.0
2024,Inventaire des données ouvertes (ODIN),Criminalité et justice,Données disponibles pour les 10 dernières années,,100.0
2024,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Données disponibles pour les 10 dernières années,,100.0
2024,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Données disponibles pour les 10 dernières années,,80.0
2024,Inventaire des données ouvertes (ODIN),Comptes nationaux,Données disponibles pour les 10 dernières années,,100.0
2024,Inventaire des données ouvertes (ODIN),Travail,Données disponibles pour les 10 dernières années,,100.0
2024,Inventaire des données ouvertes (ODIN),Indices de prix,Données disponibles pour les 10 dernières années,,100.0
2024,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Données disponibles pour les 10 dernières années,,100.0
2024,Inventaire des données ouvertes (ODIN),Monnaie et banque,Données disponibles pour les 10 dernières années,,100.0
2024,Inventaire des données ouvertes (ODIN),Commerce international,Données disponibles pour les 10 dernières années,,100.0
2024,Inventaire des données ouvertes (ODIN),Balance des paiements,Données disponibles pour les 10 dernières années,,100.0
2024,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Données disponibles pour les 10 dernières années,,100.0
2024,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Données disponibles pour les 10 dernières années,,50.0
2024,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Données disponibles pour les 10 dernières années,,50.0
2024,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Données disponibles pour les 10 dernières années,,100.0
2024,Inventaire des données ouvertes (ODIN),Pollution,Données disponibles pour les 10 dernières années,,50.0
2024,Inventaire des données ouvertes (ODIN),Environnement bâti,Données disponibles pour les 10 dernières années,,50.0
2024,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Données disponibles pour les 10 dernières années,,60.0
2024,Inventaire des données ouvertes (ODIN),Toutes les catégories,Données disponibles pour les 10 dernières années,,80.0
2016,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Premier niveau administratif,,100.0
2016,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Premier niveau administratif,,50.0
2016,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Premier niveau administratif,,50.0
2016,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Premier niveau administratif,,50.0
2016,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Premier niveau administratif,,100.0
2016,Inventaire des données ouvertes (ODIN),Santé reproductive,Premier niveau administratif,,50.0
2016,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Premier niveau administratif,,50.0
2016,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Premier niveau administratif,,100.0
2016,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Premier niveau administratif,,68.8
2016,Inventaire des données ouvertes (ODIN),Comptes nationaux,Premier niveau administratif,,100.0
2016,Inventaire des données ouvertes (ODIN),Travail,Premier niveau administratif,,100.0
2016,Inventaire des données ouvertes (ODIN),Indices de prix,Premier niveau administratif,,50.0
2016,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Premier niveau administratif,,100.0
2016,Inventaire des données ouvertes (ODIN),Monnaie et banque,Premier niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Commerce international,Premier niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Balance des paiements,Premier niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Premier niveau administratif,,87.5
2016,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Premier niveau administratif,,100.0
2016,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Premier niveau administratif,,50.0
2016,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Premier niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Pollution,Premier niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Environnement bâti,Premier niveau administratif,,50.0
2016,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Premier niveau administratif,,40.0
2016,Inventaire des données ouvertes (ODIN),Toutes les catégories,Premier niveau administratif,,61.7
2017,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Premier niveau administratif,,100.0
2017,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Premier niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Premier niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Premier niveau administratif,,100.0
2017,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Premier niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Santé reproductive,Premier niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Premier niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Criminalité et justice,Premier niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Premier niveau administratif,,100.0
2017,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Premier niveau administratif,,66.7
2017,Inventaire des données ouvertes (ODIN),Comptes nationaux,Premier niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Travail,Premier niveau administratif,,100.0
2017,Inventaire des données ouvertes (ODIN),Indices de prix,Premier niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Premier niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Monnaie et banque,Premier niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Commerce international,Premier niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Balance des paiements,Premier niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Premier niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Premier niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Premier niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Premier niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Pollution,Premier niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Environnement bâti,Premier niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Premier niveau administratif,,20.0
2017,Inventaire des données ouvertes (ODIN),Toutes les catégories,Premier niveau administratif,,44.8
2018,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Premier niveau administratif,,100.0
2018,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Premier niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Premier niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Premier niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Premier niveau administratif,,100.0
2018,Inventaire des données ouvertes (ODIN),Santé reproductive,Premier niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Premier niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Criminalité et justice,Premier niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Premier niveau administratif,,100.0
2018,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Premier niveau administratif,,66.7
2018,Inventaire des données ouvertes (ODIN),Comptes nationaux,Premier niveau administratif,,100.0
2018,Inventaire des données ouvertes (ODIN),Travail,Premier niveau administratif,,100.0
2018,Inventaire des données ouvertes (ODIN),Indices de prix,Premier niveau administratif,,100.0
2018,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Premier niveau administratif,,0.0
2018,Inventaire des données ouvertes (ODIN),Monnaie et banque,Premier niveau administratif,,0.0
2018,Inventaire des données ouvertes (ODIN),Commerce international,Premier niveau administratif,,0.0
2018,Inventaire des données ouvertes (ODIN),Balance des paiements,Premier niveau administratif,,0.0
2018,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Premier niveau administratif,,75.0
2018,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Premier niveau administratif,,100.0
2018,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Premier niveau administratif,,100.0
2018,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Premier niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Pollution,Premier niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Environnement bâti,Premier niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Premier niveau administratif,,70.0
2018,Inventaire des données ouvertes (ODIN),Toutes les catégories,Premier niveau administratif,,69.8
2020,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Premier niveau administratif,,100.0
2020,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Premier niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Premier niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Premier niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Premier niveau administratif,,100.0
2020,Inventaire des données ouvertes (ODIN),Santé reproductive,Premier niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Sécurité alimentaire et nutrition,Premier niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Premier niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Criminalité et justice,Premier niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Premier niveau administratif,,100.0
2020,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Premier niveau administratif,,60.0
2020,Inventaire des données ouvertes (ODIN),Comptes nationaux,Premier niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Travail,Premier niveau administratif,,100.0
2020,Inventaire des données ouvertes (ODIN),Indices de prix,Premier niveau administratif,,100.0
2020,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Premier niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Monnaie et banque,Premier niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Commerce international,Premier niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Balance des paiements,Premier niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Premier niveau administratif,,62.5
2020,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Premier niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Premier niveau administratif,,100.0
2020,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Premier niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Pollution,Premier niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Environnement bâti,Premier niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Premier niveau administratif,,62.5
2020,Inventaire des données ouvertes (ODIN),Toutes les catégories,Premier niveau administratif,,61.4
2022,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Premier niveau administratif,,100.0
2022,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Premier niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Premier niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Premier niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Premier niveau administratif,,100.0
2022,Inventaire des données ouvertes (ODIN),Santé reproductive,Premier niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Sécurité alimentaire et nutrition,Premier niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Premier niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Criminalité et justice,Premier niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Premier niveau administratif,,100.0
2022,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Premier niveau administratif,,65.0
2022,Inventaire des données ouvertes (ODIN),Comptes nationaux,Premier niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Travail,Premier niveau administratif,,100.0
2022,Inventaire des données ouvertes (ODIN),Indices de prix,Premier niveau administratif,,100.0
2022,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Premier niveau administratif,,0.0
2022,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Premier niveau administratif,,62.5
2022,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Premier niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Premier niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Pollution,Premier niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Environnement bâti,Premier niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Premier niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Toutes les catégories,Premier niveau administratif,,59.3
2024,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Premier niveau administratif,,100.0
2024,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Premier niveau administratif,,50.0
2024,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Premier niveau administratif,,50.0
2024,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Premier niveau administratif,,50.0
2024,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Premier niveau administratif,,100.0
2024,Inventaire des données ouvertes (ODIN),Santé reproductive,Premier niveau administratif,,50.0
2024,Inventaire des données ouvertes (ODIN),Sécurité alimentaire et nutrition,Premier niveau administratif,,50.0
2024,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Premier niveau administratif,,100.0
2024,Inventaire des données ouvertes (ODIN),Criminalité et justice,Premier niveau administratif,,50.0
2024,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Premier niveau administratif,,100.0
2024,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Premier niveau administratif,,70.0
2024,Inventaire des données ouvertes (ODIN),Comptes nationaux,Premier niveau administratif,,0.0
2024,Inventaire des données ouvertes (ODIN),Travail,Premier niveau administratif,,100.0
2024,Inventaire des données ouvertes (ODIN),Indices de prix,Premier niveau administratif,,50.0
2024,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Premier niveau administratif,,0.0
2024,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Premier niveau administratif,,37.5
2024,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Premier niveau administratif,,100.0
2024,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Premier niveau administratif,,100.0
2024,Inventaire des données ouvertes (ODIN),Environnement bâti,Premier niveau administratif,,50.0
2024,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Premier niveau administratif,,83.3
2024,Inventaire des données ouvertes (ODIN),Toutes les catégories,Premier niveau administratif,,65.1
2016,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Deuxième niveau administratif,,100.0
2016,Inventaire des données ouvertes (ODIN),Santé reproductive,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Deuxième niveau administratif,,12.5
2016,Inventaire des données ouvertes (ODIN),Comptes nationaux,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Travail,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Indices de prix,Deuxième niveau administratif,,50.0
2016,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Monnaie et banque,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Commerce international,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Balance des paiements,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Deuxième niveau administratif,,25.0
2016,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Deuxième niveau administratif,,100.0
2016,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Pollution,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Environnement bâti,Deuxième niveau administratif,,0.0
2016,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Deuxième niveau administratif,,20.0
2016,Inventaire des données ouvertes (ODIN),Toutes les catégories,Deuxième niveau administratif,,17.3
2017,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Deuxième niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Deuxième niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Deuxième niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Deuxième niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Deuxième niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Santé reproductive,Deuxième niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Deuxième niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Criminalité et justice,Deuxième niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Deuxième niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Deuxième niveau administratif,,22.2
2017,Inventaire des données ouvertes (ODIN),Comptes nationaux,Deuxième niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Travail,Deuxième niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Indices de prix,Deuxième niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Deuxième niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Monnaie et banque,Deuxième niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Commerce international,Deuxième niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Balance des paiements,Deuxième niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Deuxième niveau administratif,,25.0
2017,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Deuxième niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Deuxième niveau administratif,,50.0
2017,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Deuxième niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Pollution,Deuxième niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Environnement bâti,Deuxième niveau administratif,,0.0
2017,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Deuxième niveau administratif,,20.0
2017,Inventaire des données ouvertes (ODIN),Toutes les catégories,Deuxième niveau administratif,,21.6
2018,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Deuxième niveau administratif,,100.0
2018,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Deuxième niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Deuxième niveau administratif,,0.0
2018,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Deuxième niveau administratif,,0.0
2018,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Deuxième niveau administratif,,100.0
2018,Inventaire des données ouvertes (ODIN),Santé reproductive,Deuxième niveau administratif,,0.0
2018,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Deuxième niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Criminalité et justice,Deuxième niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Deuxième niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Deuxième niveau administratif,,44.4
2018,Inventaire des données ouvertes (ODIN),Comptes nationaux,Deuxième niveau administratif,,0.0
2018,Inventaire des données ouvertes (ODIN),Travail,Deuxième niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Indices de prix,Deuxième niveau administratif,,0.0
2018,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Deuxième niveau administratif,,0.0
2018,Inventaire des données ouvertes (ODIN),Monnaie et banque,Deuxième niveau administratif,,0.0
2018,Inventaire des données ouvertes (ODIN),Commerce international,Deuxième niveau administratif,,0.0
2018,Inventaire des données ouvertes (ODIN),Balance des paiements,Deuxième niveau administratif,,0.0
2018,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Deuxième niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Deuxième niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Deuxième niveau administratif,,0.0
2018,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Deuxième niveau administratif,,0.0
2018,Inventaire des données ouvertes (ODIN),Pollution,Deuxième niveau administratif,,0.0
2018,Inventaire des données ouvertes (ODIN),Environnement bâti,Deuxième niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Deuxième niveau administratif,,50.0
2018,Inventaire des données ouvertes (ODIN),Toutes les catégories,Deuxième niveau administratif,,46.4
2020,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Deuxième niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Deuxième niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Deuxième niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Deuxième niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Deuxième niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Santé reproductive,Deuxième niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Sécurité alimentaire et nutrition,Deuxième niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Deuxième niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Criminalité et justice,Deuxième niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Deuxième niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Deuxième niveau administratif,,33.3
2020,Inventaire des données ouvertes (ODIN),Comptes nationaux,Deuxième niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Travail,Deuxième niveau administratif,,100.0
2020,Inventaire des données ouvertes (ODIN),Indices de prix,Deuxième niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Deuxième niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Monnaie et banque,Deuxième niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Commerce international,Deuxième niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Balance des paiements,Deuxième niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Deuxième niveau administratif,,100.0
2020,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Deuxième niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Deuxième niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Deuxième niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Pollution,Deuxième niveau administratif,,0.0
2020,Inventaire des données ouvertes (ODIN),Environnement bâti,Deuxième niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Deuxième niveau administratif,,50.0
2020,Inventaire des données ouvertes (ODIN),Toutes les catégories,Deuxième niveau administratif,,44.6
2022,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Deuxième niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Deuxième niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Deuxième niveau administratif,,0.0
2022,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Deuxième niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Deuxième niveau administratif,,100.0
2022,Inventaire des données ouvertes (ODIN),Santé reproductive,Deuxième niveau administratif,,0.0
2022,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Deuxième niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Criminalité et justice,Deuxième niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Deuxième niveau administratif,,100.0
2022,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Deuxième niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Travail,Deuxième niveau administratif,,100.0
2022,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Deuxième niveau administratif,,100.0
2022,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Deuxième niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Environnement bâti,Deuxième niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Deuxième niveau administratif,,50.0
2022,Inventaire des données ouvertes (ODIN),Toutes les catégories,Deuxième niveau administratif,,55.0
2024,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Deuxième niveau administratif,,0.0
2024,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Deuxième niveau administratif,,0.0
2024,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Deuxième niveau administratif,,0.0
2024,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Deuxième niveau administratif,,100.0
2024,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Deuxième niveau administratif,,100.0
2024,Inventaire des données ouvertes (ODIN),Santé reproductive,Deuxième niveau administratif,,0.0
2024,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Deuxième niveau administratif,,0.0
2024,Inventaire des données ouvertes (ODIN),Criminalité et justice,Deuxième niveau administratif,,50.0
2024,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Deuxième niveau administratif,,100.0
