Year,Series,Basic services,Proficiency level,Units,Sex,Geography,Sources of waste for disposal,GeoCode,Value
2008,Access to basic waste collection services,,,Tonnes,,Nova Scotia,Residential sources of waste for disposal,,148060.0
2008,Access to basic waste collection services,,,Tonnes,,Nova Scotia,Non-residential sources of waste for disposal,,206171.0
2008,Access to basic waste collection services,,,Tonnes,,New Brunswick,All sources of waste for disposal,13,479461.0
2008,Access to basic waste collection services,,,Tonnes,,New Brunswick,Residential sources of waste for disposal,,233703.0
2008,Access to basic waste collection services,,,Tonnes,,New Brunswick,Non-residential sources of waste for disposal,,245758.0
2008,Access to basic waste collection services,,,Tonnes,,Quebec,All sources of waste for disposal,24,6146319.0
2008,Access to basic waste collection services,,,Tonnes,,Quebec,Residential sources of waste for disposal,,2848822.0
2008,Access to basic waste collection services,,,Tonnes,,Quebec,Non-residential sources of waste for disposal,,3297497.0
2008,Access to basic waste collection services,,,Tonnes,,Ontario,All sources of waste for disposal,35,9631559.0
2008,Access to basic waste collection services,,,Tonnes,,Ontario,Residential sources of waste for disposal,,3231399.0
2008,Access to basic waste collection services,,,Tonnes,,Ontario,Non-residential sources of waste for disposal,,6400160.0
2008,Access to basic waste collection services,,,Tonnes,,Manitoba,All sources of waste for disposal,46,945441.0
2008,Access to basic waste collection services,,,Tonnes,,Manitoba,Residential sources of waste for disposal,,400297.0
2008,Access to basic waste collection services,,,Tonnes,,Manitoba,Non-residential sources of waste for disposal,,545144.0
2008,Access to basic waste collection services,,,Tonnes,,Saskatchewan,All sources of waste for disposal,47,902943.0
2008,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Residential sources of waste for disposal,,289760.0
2008,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Non-residential sources of waste for disposal,,613182.0
2008,Access to basic waste collection services,,,Tonnes,,Alberta,All sources of waste for disposal,48,4147558.0
2008,Access to basic waste collection services,,,Tonnes,,Alberta,Residential sources of waste for disposal,,993976.0
2008,Access to basic waste collection services,,,Tonnes,,Alberta,Non-residential sources of waste for disposal,,3153581.0
2008,Access to basic waste collection services,,,Tonnes,,British Columbia,All sources of waste for disposal,59,2811568.0
2008,Access to basic waste collection services,,,Tonnes,,British Columbia,Residential sources of waste for disposal,,960472.0
2008,Access to basic waste collection services,,,Tonnes,,British Columbia,Non-residential sources of waste for disposal,,1851097.0
2008,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2008,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2008,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2010,Access to basic waste collection services,,,Tonnes,,Canada,Residential sources of waste for disposal,,9448165.0
2010,Access to basic waste collection services,,,Tonnes,,Canada,Non-residential sources of waste for disposal,,15504250.0
2010,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,All sources of waste for disposal,10,394235.0
2010,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,Residential sources of waste for disposal,,
2010,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,Non-residential sources of waste for disposal,,
2010,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,All sources of waste for disposal,11,
2010,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,Residential sources of waste for disposal,,
2010,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,Non-residential sources of waste for disposal,,
2010,Access to basic waste collection services,,,Tonnes,,Nova Scotia,All sources of waste for disposal,12,367246.0
2010,Access to basic waste collection services,,,Tonnes,,Nova Scotia,Residential sources of waste for disposal,,145589.0
2010,Access to basic waste collection services,,,Tonnes,,Nova Scotia,Non-residential sources of waste for disposal,,221657.0
2010,Access to basic waste collection services,,,Tonnes,,New Brunswick,All sources of waste for disposal,13,475265.0
2010,Access to basic waste collection services,,,Tonnes,,New Brunswick,Residential sources of waste for disposal,,219486.0
2010,Access to basic waste collection services,,,Tonnes,,New Brunswick,Non-residential sources of waste for disposal,,255779.0
2010,Access to basic waste collection services,,,Tonnes,,Quebec,All sources of waste for disposal,24,5795707.0
2010,Access to basic waste collection services,,,Tonnes,,Quebec,Residential sources of waste for disposal,,2853189.0
2010,Access to basic waste collection services,,,Tonnes,,Quebec,Non-residential sources of waste for disposal,,2942518.0
2010,Access to basic waste collection services,,,Tonnes,,Ontario,All sources of waste for disposal,35,9247415.0
2010,Access to basic waste collection services,,,Tonnes,,Ontario,Residential sources of waste for disposal,,3204264.0
2010,Access to basic waste collection services,,,Tonnes,,Ontario,Non-residential sources of waste for disposal,,6043151.0
2010,Access to basic waste collection services,,,Tonnes,,Manitoba,All sources of waste for disposal,46,1020481.0
2010,Access to basic waste collection services,,,Tonnes,,Manitoba,Residential sources of waste for disposal,,453754.0
2010,Access to basic waste collection services,,,Tonnes,,Manitoba,Non-residential sources of waste for disposal,,566727.0
2010,Access to basic waste collection services,,,Tonnes,,Saskatchewan,All sources of waste for disposal,47,937268.0
2010,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Residential sources of waste for disposal,,283726.0
2010,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Non-residential sources of waste for disposal,,653541.0
2010,Access to basic waste collection services,,,Tonnes,,Alberta,All sources of waste for disposal,48,3917492.0
2010,Access to basic waste collection services,,,Tonnes,,Alberta,Residential sources of waste for disposal,,1093155.0
2010,Access to basic waste collection services,,,Tonnes,,Alberta,Non-residential sources of waste for disposal,,2824337.0
2010,Access to basic waste collection services,,,Tonnes,,British Columbia,All sources of waste for disposal,59,2658271.0
2010,Access to basic waste collection services,,,Tonnes,,British Columbia,Residential sources of waste for disposal,,953761.0
2010,Access to basic waste collection services,,,Tonnes,,British Columbia,Non-residential sources of waste for disposal,,1704510.0
2010,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2010,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2010,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2012,Access to basic waste collection services,,,Tonnes,,Canada,Residential sources of waste for disposal,,9684615.0
2012,Access to basic waste collection services,,,Tonnes,,Canada,Non-residential sources of waste for disposal,,14996859.0
2012,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,All sources of waste for disposal,10,391571.0
2012,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,Residential sources of waste for disposal,,
2012,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,Non-residential sources of waste for disposal,,
2012,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,All sources of waste for disposal,11,
2012,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,Residential sources of waste for disposal,,
2012,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,Non-residential sources of waste for disposal,,
2012,Access to basic waste collection services,,,Tonnes,,Nova Scotia,All sources of waste for disposal,12,365079.0
2012,Access to basic waste collection services,,,Tonnes,,Nova Scotia,Residential sources of waste for disposal,,145601.0
2012,Access to basic waste collection services,,,Tonnes,,Nova Scotia,Non-residential sources of waste for disposal,,219478.0
2012,Access to basic waste collection services,,,Tonnes,,New Brunswick,All sources of waste for disposal,13,492938.0
2012,Access to basic waste collection services,,,Tonnes,,New Brunswick,Residential sources of waste for disposal,,215755.0
2012,Access to basic waste collection services,,,Tonnes,,New Brunswick,Non-residential sources of waste for disposal,,277183.0
2012,Access to basic waste collection services,,,Tonnes,,Quebec,All sources of waste for disposal,24,5584621.0
2012,Access to basic waste collection services,,,Tonnes,,Quebec,Residential sources of waste for disposal,,2803335.0
2012,Access to basic waste collection services,,,Tonnes,,Quebec,Non-residential sources of waste for disposal,,2781286.0
2012,Access to basic waste collection services,,,Tonnes,,Ontario,All sources of waste for disposal,35,9208839.0
2012,Access to basic waste collection services,,,Tonnes,,Ontario,Residential sources of waste for disposal,,3388501.0
2012,Access to basic waste collection services,,,Tonnes,,Ontario,Non-residential sources of waste for disposal,,5820338.0
2012,Access to basic waste collection services,,,Tonnes,,Manitoba,All sources of waste for disposal,46,1017663.0
2012,Access to basic waste collection services,,,Tonnes,,Manitoba,Residential sources of waste for disposal,,444227.0
2012,Access to basic waste collection services,,,Tonnes,,Manitoba,Non-residential sources of waste for disposal,,573436.0
2012,Access to basic waste collection services,,,Tonnes,,Saskatchewan,All sources of waste for disposal,47,957670.0
2012,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Residential sources of waste for disposal,,315987.0
2012,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Non-residential sources of waste for disposal,,641682.0
2012,Access to basic waste collection services,,,Tonnes,,Alberta,All sources of waste for disposal,48,3913924.0
2012,Access to basic waste collection services,,,Tonnes,,Alberta,Residential sources of waste for disposal,,1176226.0
2012,Access to basic waste collection services,,,Tonnes,,Alberta,Non-residential sources of waste for disposal,,2737698.0
2012,Access to basic waste collection services,,,Tonnes,,British Columbia,All sources of waste for disposal,59,2604147.0
2012,Access to basic waste collection services,,,Tonnes,,British Columbia,Residential sources of waste for disposal,,947542.0
2012,Access to basic waste collection services,,,Tonnes,,British Columbia,Non-residential sources of waste for disposal,,1656605.0
2012,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2012,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2012,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2014,Access to basic waste collection services,,,Tonnes,,Canada,Residential sources of waste for disposal,,9803644.0
2014,Access to basic waste collection services,,,Tonnes,,Canada,Non-residential sources of waste for disposal,,14963007.0
2014,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,All sources of waste for disposal,10,415158.0
2014,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,Residential sources of waste for disposal,,
2014,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,Non-residential sources of waste for disposal,,
2014,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,All sources of waste for disposal,11,
2014,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,Residential sources of waste for disposal,,
2014,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,Non-residential sources of waste for disposal,,
2014,Access to basic waste collection services,,,Tonnes,,Nova Scotia,All sources of waste for disposal,12,364193.0
2014,Access to basic waste collection services,,,Tonnes,,Nova Scotia,Residential sources of waste for disposal,,160805.0
2014,Access to basic waste collection services,,,Tonnes,,Nova Scotia,Non-residential sources of waste for disposal,,203388.0
2014,Access to basic waste collection services,,,Tonnes,,New Brunswick,All sources of waste for disposal,13,508115.0
2014,Access to basic waste collection services,,,Tonnes,,New Brunswick,Residential sources of waste for disposal,,234534.0
2014,Access to basic waste collection services,,,Tonnes,,New Brunswick,Non-residential sources of waste for disposal,,273581.0
2014,Access to basic waste collection services,,,Tonnes,,Quebec,All sources of waste for disposal,24,5414539.0
2014,Access to basic waste collection services,,,Tonnes,,Quebec,Residential sources of waste for disposal,,2831404.0
2014,Access to basic waste collection services,,,Tonnes,,Quebec,Non-residential sources of waste for disposal,,2583135.0
2014,Access to basic waste collection services,,,Tonnes,,Ontario,All sources of waste for disposal,35,9165299.0
2014,Access to basic waste collection services,,,Tonnes,,Ontario,Residential sources of waste for disposal,,3490792.0
2014,Access to basic waste collection services,,,Tonnes,,Ontario,Non-residential sources of waste for disposal,,5674507.0
2014,Access to basic waste collection services,,,Tonnes,,Manitoba,All sources of waste for disposal,46,990230.0
2014,Access to basic waste collection services,,,Tonnes,,Manitoba,Residential sources of waste for disposal,,333008.0
2014,Access to basic waste collection services,,,Tonnes,,Manitoba,Non-residential sources of waste for disposal,,657222.0
2014,Access to basic waste collection services,,,Tonnes,,Saskatchewan,All sources of waste for disposal,47,940595.0
2014,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Residential sources of waste for disposal,,331430.0
2014,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Non-residential sources of waste for disposal,,609166.0
2014,Access to basic waste collection services,,,Tonnes,,Alberta,All sources of waste for disposal,48,4097584.0
2014,Access to basic waste collection services,,,Tonnes,,Alberta,Residential sources of waste for disposal,,1230635.0
2014,Access to basic waste collection services,,,Tonnes,,Alberta,Non-residential sources of waste for disposal,,2866949.0
2014,Access to basic waste collection services,,,Tonnes,,British Columbia,All sources of waste for disposal,59,2721309.0
2014,Access to basic waste collection services,,,Tonnes,,British Columbia,Residential sources of waste for disposal,,941345.0
2014,Access to basic waste collection services,,,Tonnes,,British Columbia,Non-residential sources of waste for disposal,,1779963.0
2014,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2014,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2014,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2016,Access to basic waste collection services,,,Tonnes,,Canada,Residential sources of waste for disposal,,10225943.0
2016,Access to basic waste collection services,,,Tonnes,,Canada,Non-residential sources of waste for disposal,,14714804.0
2016,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,All sources of waste for disposal,10,395324.0
2016,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,Residential sources of waste for disposal,,
2016,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,Non-residential sources of waste for disposal,,
2016,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,All sources of waste for disposal,11,
2016,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,Residential sources of waste for disposal,,
2016,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,Non-residential sources of waste for disposal,,
2016,Access to basic waste collection services,,,Tonnes,,Nova Scotia,All sources of waste for disposal,12,375258.0
2016,Access to basic waste collection services,,,Tonnes,,Nova Scotia,Residential sources of waste for disposal,,169786.0
2016,Access to basic waste collection services,,,Tonnes,,Nova Scotia,Non-residential sources of waste for disposal,,205472.0
2016,Access to basic waste collection services,,,Tonnes,,New Brunswick,All sources of waste for disposal,13,503123.0
2016,Access to basic waste collection services,,,Tonnes,,New Brunswick,Residential sources of waste for disposal,,225893.0
2016,Access to basic waste collection services,,,Tonnes,,New Brunswick,Non-residential sources of waste for disposal,,277230.0
2016,Access to basic waste collection services,,,Tonnes,,Quebec,All sources of waste for disposal,24,5356134.0
2016,Access to basic waste collection services,,,Tonnes,,Quebec,Residential sources of waste for disposal,,3010083.0
2016,Access to basic waste collection services,,,Tonnes,,Quebec,Non-residential sources of waste for disposal,,2346051.0
2016,Access to basic waste collection services,,,Tonnes,,Ontario,All sources of waste for disposal,35,9475472.0
2016,Access to basic waste collection services,,,Tonnes,,Ontario,Residential sources of waste for disposal,,3703850.0
2016,Access to basic waste collection services,,,Tonnes,,Ontario,Non-residential sources of waste for disposal,,5771622.0
2016,Access to basic waste collection services,,,Tonnes,,Manitoba,All sources of waste for disposal,46,969289.0
2016,Access to basic waste collection services,,,Tonnes,,Manitoba,Residential sources of waste for disposal,,308517.0
2016,Access to basic waste collection services,,,Tonnes,,Manitoba,Non-residential sources of waste for disposal,,660772.0
2016,Access to basic waste collection services,,,Tonnes,,Saskatchewan,All sources of waste for disposal,47,898404.0
2016,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Residential sources of waste for disposal,,343497.0
2016,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Non-residential sources of waste for disposal,,554908.0
2016,Access to basic waste collection services,,,Tonnes,,Alberta,All sources of waste for disposal,48,4206668.0
2016,Access to basic waste collection services,,,Tonnes,,Alberta,Residential sources of waste for disposal,,1299856.0
2016,Access to basic waste collection services,,,Tonnes,,Alberta,Non-residential sources of waste for disposal,,2906811.0
2016,Access to basic waste collection services,,,Tonnes,,British Columbia,All sources of waste for disposal,59,2614087.0
2016,Access to basic waste collection services,,,Tonnes,,British Columbia,Residential sources of waste for disposal,,929476.0
2016,Access to basic waste collection services,,,Tonnes,,British Columbia,Non-residential sources of waste for disposal,,1684611.0
2016,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2016,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2016,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2018,Access to basic waste collection services,,,Tonnes,,Canada,Residential sources of waste for disposal,,10848238.0
2018,Access to basic waste collection services,,,Tonnes,,Canada,Non-residential sources of waste for disposal,,14884782.0
2018,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,All sources of waste for disposal,10,373668.0
2018,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,Residential sources of waste for disposal,,158588.0
2018,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,Non-residential sources of waste for disposal,,215080.0
2018,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,All sources of waste for disposal,11,53972.0
2018,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,Residential sources of waste for disposal,,20540.0
2018,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,Non-residential sources of waste for disposal,,33432.0
2018,Access to basic waste collection services,,,Tonnes,,Nova Scotia,All sources of waste for disposal,12,392328.0
2018,Access to basic waste collection services,,,Tonnes,,Nova Scotia,Residential sources of waste for disposal,,157078.0
2018,Access to basic waste collection services,,,Tonnes,,Nova Scotia,Non-residential sources of waste for disposal,,235250.0
2018,Access to basic waste collection services,,,Tonnes,,New Brunswick,All sources of waste for disposal,13,507848.0
2018,Access to basic waste collection services,,,Tonnes,,New Brunswick,Residential sources of waste for disposal,,222110.0
2018,Access to basic waste collection services,,,Tonnes,,New Brunswick,Non-residential sources of waste for disposal,,285738.0
2018,Access to basic waste collection services,,,Tonnes,,Quebec,All sources of waste for disposal,24,5563136.0
2018,Access to basic waste collection services,,,Tonnes,,Quebec,Residential sources of waste for disposal,,3231578.0
2018,Access to basic waste collection services,,,Tonnes,,Quebec,Non-residential sources of waste for disposal,,2331557.0
2018,Access to basic waste collection services,,,Tonnes,,Ontario,All sources of waste for disposal,35,10085613.0
2018,Access to basic waste collection services,,,Tonnes,,Ontario,Residential sources of waste for disposal,,3980665.0
2018,Access to basic waste collection services,,,Tonnes,,Ontario,Non-residential sources of waste for disposal,,6104948.0
2018,Access to basic waste collection services,,,Tonnes,,Manitoba,All sources of waste for disposal,46,963256.0
2018,Access to basic waste collection services,,,Tonnes,,Manitoba,Residential sources of waste for disposal,,333742.0
2018,Access to basic waste collection services,,,Tonnes,,Manitoba,Non-residential sources of waste for disposal,,629514.0
2018,Access to basic waste collection services,,,Tonnes,,Saskatchewan,All sources of waste for disposal,47,864753.0
2018,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Residential sources of waste for disposal,,381180.0
2018,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Non-residential sources of waste for disposal,,483573.0
2018,Access to basic waste collection services,,,Tonnes,,Alberta,All sources of waste for disposal,48,4118081.0
2018,Access to basic waste collection services,,,Tonnes,,Alberta,Residential sources of waste for disposal,,1336765.0
2018,Access to basic waste collection services,,,Tonnes,,Alberta,Non-residential sources of waste for disposal,,2781316.0
2018,Access to basic waste collection services,,,Tonnes,,British Columbia,All sources of waste for disposal,59,2719877.0
2018,Access to basic waste collection services,,,Tonnes,,British Columbia,Residential sources of waste for disposal,,993371.0
2018,Access to basic waste collection services,,,Tonnes,,British Columbia,Non-residential sources of waste for disposal,,1726506.0
2018,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,90489.0
2018,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,32621.0
2018,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,57868.0
2020,Access to basic waste collection services,,,Tonnes,,Canada,Residential sources of waste for disposal,,10862118.0
2020,Access to basic waste collection services,,,Tonnes,,Canada,Non-residential sources of waste for disposal,,15245602.0
2020,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,All sources of waste for disposal,10,365210.0
2020,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,Residential sources of waste for disposal,,161147.0
2020,Access to basic waste collection services,,,Tonnes,,Newfoundland and Labrador,Non-residential sources of waste for disposal,,204063.0
2020,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,All sources of waste for disposal,11,55803.0
2020,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,Residential sources of waste for disposal,,20174.0
2020,Access to basic waste collection services,,,Tonnes,,Prince Edward Island,Non-residential sources of waste for disposal,,35629.0
2020,Access to basic waste collection services,,,Tonnes,,Nova Scotia,All sources of waste for disposal,12,399735.0
2020,Access to basic waste collection services,,,Tonnes,,Nova Scotia,Residential sources of waste for disposal,,157740.0
2020,Access to basic waste collection services,,,Tonnes,,Nova Scotia,Non-residential sources of waste for disposal,,241995.0
2020,Access to basic waste collection services,,,Tonnes,,New Brunswick,All sources of waste for disposal,13,498839.0
2020,Access to basic waste collection services,,,Tonnes,,New Brunswick,Residential sources of waste for disposal,,215093.0
2020,Access to basic waste collection services,,,Tonnes,,New Brunswick,Non-residential sources of waste for disposal,,283746.0
2020,Access to basic waste collection services,,,Tonnes,,Quebec,All sources of waste for disposal,24,5756149.0
2020,Access to basic waste collection services,,,Tonnes,,Quebec,Residential sources of waste for disposal,,3417649.0
2020,Access to basic waste collection services,,,Tonnes,,Quebec,Non-residential sources of waste for disposal,,2338499.0
2020,Access to basic waste collection services,,,Tonnes,,Ontario,All sources of waste for disposal,35,10300560.0
2020,Access to basic waste collection services,,,Tonnes,,Ontario,Residential sources of waste for disposal,,3814211.0
2020,Access to basic waste collection services,,,Tonnes,,Ontario,Non-residential sources of waste for disposal,,6486350.0
2020,Access to basic waste collection services,,,Tonnes,,Manitoba,All sources of waste for disposal,46,934437.0
2020,Access to basic waste collection services,,,Tonnes,,Manitoba,Residential sources of waste for disposal,,325486.0
2020,Access to basic waste collection services,,,Tonnes,,Manitoba,Non-residential sources of waste for disposal,,608951.0
2020,Access to basic waste collection services,,,Tonnes,,Saskatchewan,All sources of waste for disposal,47,852445.0
2020,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Residential sources of waste for disposal,,406635.0
2020,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Non-residential sources of waste for disposal,,445810.0
2020,Access to basic waste collection services,,,Tonnes,,Alberta,All sources of waste for disposal,48,4044817.0
2020,Access to basic waste collection services,,,Tonnes,,Alberta,Residential sources of waste for disposal,,1238331.0
2020,Access to basic waste collection services,,,Tonnes,,Alberta,Non-residential sources of waste for disposal,,2806486.0
2020,Access to basic waste collection services,,,Tonnes,,British Columbia,All sources of waste for disposal,59,2803431.0
2020,Access to basic waste collection services,,,Tonnes,,British Columbia,Residential sources of waste for disposal,,1068244.0
2020,Access to basic waste collection services,,,Tonnes,,British Columbia,Non-residential sources of waste for disposal,,1735187.0
2020,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,96294.0
2020,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,37409.0
2020,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,58886.0
2015,Access to basic education,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage (%),Total,,,,92.0
2019,Access to basic education,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage (%),Total,,,,92.0
2019,Access to basic education,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage (%),Male,,,,94.0
2019,Access to basic education,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage (%),Female,,,,91.0
2016,Access to basic education,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in reading,Percentage (%),Total,,,,95.6
2016,Access to basic education,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in reading,Percentage (%),Male,,,,95.3
2016,Access to basic education,,Proportion of children in Grade 4 achieving at least a minimum proficiency level in reading,Percentage (%),Female,,,,96.3
2018,Access to basic education,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Percentage (%),Total,,,,86.3
2018,Access to basic education,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Percentage (%),Female,,,,90.4
2018,Access to basic education,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Percentage (%),Male,,,,82.1
2018,Access to basic education,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Percentage (%),Total,,,,83.7
2018,Access to basic education,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Percentage (%),Female,,,,83.9
2018,Access to basic education,,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Percentage (%),Male,,,,83.6
2016,Access to basic information services,Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),,Percentage (%),,,,,99.5
2017,Access to basic information services,Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),,Percentage (%),,,,,99.5
2018,Access to basic information services,Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),,Percentage (%),,,,,99.5
2019,Access to basic information services,Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),,Percentage (%),,,,,99.5
2020,Access to basic information services,Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),,Percentage (%),,,,,99.5
2021,Access to basic information services,Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),,Percentage (%),,,,,99.5
2021,Access to basic information services,Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),,Percentage (%),,,,,99.6
2016,Access to basic information services,Proportion of population covered by Long-Term Evolution (LTE),,Percentage (%),,,,,98.6
2017,Access to basic information services,Proportion of population covered by Long-Term Evolution (LTE),,Percentage (%),,,,,99.1
2018,Access to basic information services,Proportion of population covered by Long-Term Evolution (LTE),,Percentage (%),,,,,99.3
2019,Access to basic information services,Proportion of population covered by Long-Term Evolution (LTE),,Percentage (%),,,,,99.5
2020,Access to basic information services,Proportion of population covered by Long-Term Evolution (LTE),,Percentage (%),,,,,99.5
2021,Access to basic information services,Proportion of population covered by Long-Term Evolution (LTE),,Percentage (%),,,,,99.4
2022,Access to basic information services,Proportion of population covered by Long-Term Evolution (LTE),,Percentage (%),,,,,99.4
2016,Access to basic information services,Proportion of population covered by Long-Term Evolution - A (LTE-A),,Percentage (%),,,,,83.4
2017,Access to basic information services,Proportion of population covered by Long-Term Evolution - A (LTE-A),,Percentage (%),,,,,92.4
2018,Access to basic information services,Proportion of population covered by Long-Term Evolution - A (LTE-A),,Percentage (%),,,,,94.9
2019,Access to basic information services,Proportion of population covered by Long-Term Evolution - A (LTE-A),,Percentage (%),,,,,95.9
2020,Access to basic information services,Proportion of population covered by Long-Term Evolution - A (LTE-A),,Percentage (%),,,,,97.5
2021,Access to basic information services,Proportion of population covered by Long-Term Evolution - A (LTE-A),,Percentage (%),,,,,97.8
2022,Access to basic information services,Proportion of population covered by Long-Term Evolution - A (LTE-A),,Percentage (%),,,,,97.8
2020,Access to basic information services,Proportion of population covered by 5G,,Percentage (%),,,,,53.3
2021,Access to basic information services,Proportion of population covered by 5G,,Percentage (%),,,,,87.8
2022,Access to basic information services,Proportion of population covered by 5G,,Percentage (%),,,,,91.4
