Year,Geography,Educational attainment level,Status,Sex,Age group,GeoCode,Value
2016,Saskatchewan,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,47,3
2016,Saskatchewan,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,47,6
2016,Saskatchewan,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,47,8
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",48,14
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",48,13
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",48,15
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,48,6
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 19 years,48,7
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 19 years,48,5
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,48,11
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 24 years,48,12
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 24 years,48,10
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,48,14
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,18 to 24 years,48,15
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,18 to 24 years,48,13
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,48,15
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,20 to 24 years,48,16
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,20 to 24 years,48,14
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,48,18
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,25 to 29 years,48,15
2016,Alberta,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,25 to 29 years,48,22
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",48,6
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",48,8
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",48,3
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,48,3
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,48,5
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,48,5
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,48,7
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,48,3
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,48,7
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,48,9
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,48,4
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,48,7
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,48,9
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,48,4
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,48,7
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,48,9
2016,Alberta,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,48,4
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",48,8
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",48,5
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",48,11
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,48,3
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,48,3
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,48,6
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,48,5
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,48,7
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,48,8
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,48,6
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,48,9
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,48,9
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,48,7
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,48,10
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,48,11
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,48,5
2016,Alberta,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,48,18
2016,Alberta,Below upper secondary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,48,52
2016,Alberta,Below upper secondary,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,48,41
2016,Alberta,Below upper secondary,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,48,66
2016,Alberta,Below upper secondary,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,48,19
2016,Alberta,Below upper secondary,"Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,48,23
2016,Alberta,Below upper secondary,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,48,34
2016,Alberta,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,48,19
2016,Alberta,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,48,16
2016,Alberta,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,48,24
2016,Alberta,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,48,7
2016,Alberta,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,48,10
2016,Alberta,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,48,12
2016,Alberta,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,48,6
2016,Alberta,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,48,20
2016,Alberta,Tertiary education,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,48,13
2016,Alberta,Tertiary education,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,48,8
2016,Alberta,Tertiary education,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,48,16
2016,Alberta,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,48,5
2016,Alberta,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,48,6
2016,Alberta,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,48,4
2016,Alberta,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,48,8
2016,Alberta,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,48,13
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",59,12
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",59,12
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",59,12
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,59,7
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 19 years,59,8
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 19 years,59,6
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,59,10
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 24 years,59,11
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 24 years,59,9
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,59,12
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,18 to 24 years,59,13
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,18 to 24 years,59,11
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,59,12
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,20 to 24 years,59,13
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,20 to 24 years,59,11
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,59,17
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,25 to 29 years,59,15
2016,British Columbia,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,25 to 29 years,59,19
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",59,5
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",59,7
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",59,3
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,59,3
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,59,3
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,15 to 19 years,59,2
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,59,4
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,59,6
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,59,3
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,59,6
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,59,7
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,59,4
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,59,6
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,59,8
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,59,4
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,59,6
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,59,8
2016,British Columbia,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,59,4
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",59,7
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",59,6
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",59,9
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,59,4
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,59,5
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 19 years,59,4
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,59,5
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,59,5
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,59,6
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,59,6
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,59,5
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,59,7
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,59,6
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,59,5
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,59,7
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,59,11
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,59,7
2016,British Columbia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,59,15
2016,British Columbia,Below upper secondary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,59,35
2016,British Columbia,Below upper secondary,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,59,36
2016,British Columbia,Below upper secondary,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,59,23
2016,British Columbia,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,59,20
2016,British Columbia,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,59,17
2016,British Columbia,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,59,23
2016,British Columbia,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,59,8
2016,British Columbia,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,59,10
2016,British Columbia,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,59,12
2016,British Columbia,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,59,7
2016,British Columbia,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,59,19
2016,British Columbia,Tertiary education,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,59,14
2016,British Columbia,Tertiary education,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,59,11
2016,British Columbia,Tertiary education,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,59,16
2016,British Columbia,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,59,5
2016,British Columbia,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,59,6
2016,British Columbia,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,59,4
2016,British Columbia,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,59,9
2016,British Columbia,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,59,12
2016,Yukon,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",60,15
2016,Yukon,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",60,16
2016,Yukon,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",60,13
2016,Yukon,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,60,13
2016,Yukon,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 24 years,60,14
2016,Yukon,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 24 years,60,11
2016,Yukon,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,60,18
2016,Yukon,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,18 to 24 years,60,21
2016,Yukon,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,18 to 24 years,60,15
2016,Yukon,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,60,19
2016,Yukon,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,20 to 24 years,60,21
2016,Yukon,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,60,17
2016,Yukon,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,25 to 29 years,60,18
2016,Yukon,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,25 to 29 years,60,17
2016,Yukon,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",60,6
2016,Yukon,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",60,7
2016,Yukon,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,60,6
2016,Yukon,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,60,9
2016,Yukon,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",60,8
2016,Yukon,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",60,9
2016,Yukon,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,60,7
2016,Yukon,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,60,9
2016,Yukon,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,60,26
2016,Northwest Territories,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",61,19
2016,Northwest Territories,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",61,21
2016,Northwest Territories,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",61,17
2016,Northwest Territories,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,61,12
2016,Northwest Territories,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,61,20
2016,Northwest Territories,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 24 years,61,22
2016,Northwest Territories,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 24 years,61,18
2016,Northwest Territories,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,61,27
2016,Northwest Territories,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,18 to 24 years,61,29
2016,Northwest Territories,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,18 to 24 years,61,24
2016,Northwest Territories,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,61,28
2016,Northwest Territories,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,20 to 24 years,61,32
2016,Northwest Territories,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,20 to 24 years,61,24
2016,Northwest Territories,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,61,18
2016,Northwest Territories,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,25 to 29 years,61,20
2016,Northwest Territories,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,25 to 29 years,61,17
2016,Northwest Territories,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",61,8
2016,Northwest Territories,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",61,10
2016,Northwest Territories,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",61,7
2016,Northwest Territories,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,61,8
2016,Northwest Territories,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,61,9
2016,Northwest Territories,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,61,7
2016,Northwest Territories,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,61,11
2016,Northwest Territories,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,61,12
2016,Northwest Territories,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,61,13
2016,Northwest Territories,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,61,14
2016,Northwest Territories,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,61,9
2016,Northwest Territories,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",61,11
2016,Northwest Territories,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",61,11
2016,Northwest Territories,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",61,10
2016,Northwest Territories,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,61,12
2016,Northwest Territories,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,61,13
2016,Northwest Territories,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,61,11
2016,Northwest Territories,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,61,16
2016,Northwest Territories,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,61,17
2016,Northwest Territories,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,61,15
2016,Northwest Territories,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,61,18
2016,Northwest Territories,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,61,9
2016,Northwest Territories,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,61,22
2016,Nunavut,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",62,37
2016,Nunavut,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",62,39
2016,Nunavut,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",62,34
2016,Nunavut,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,62,23
2016,Nunavut,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,62,34
2016,Nunavut,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 24 years,62,35
2016,Nunavut,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 24 years,62,34
2016,Nunavut,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,62,44
2016,Nunavut,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,18 to 24 years,62,43
2016,Nunavut,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,18 to 24 years,62,44
2016,Nunavut,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,62,46
2016,Nunavut,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,20 to 24 years,62,46
2016,Nunavut,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,20 to 24 years,62,47
2016,Nunavut,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,62,42
2016,Nunavut,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,25 to 29 years,62,47
2016,Nunavut,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,25 to 29 years,62,36
2016,Nunavut,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",62,13
2016,Nunavut,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",62,17
2016,Nunavut,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",62,8
2016,Nunavut,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,62,10
2016,Nunavut,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,62,13
2016,Nunavut,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,62,13
2016,Nunavut,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,62,16
2016,Nunavut,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,62,15
2016,Nunavut,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,62,19
2016,Nunavut,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,62,17
2016,Nunavut,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,62,23
2016,Nunavut,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",62,24
2016,Nunavut,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",62,23
2016,Nunavut,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",62,26
2016,Nunavut,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,62,15
2016,Nunavut,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 19 years,62,19
2016,Nunavut,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,62,24
2016,Nunavut,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,62,22
2016,Nunavut,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,62,30
2016,Nunavut,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,62,26
2016,Nunavut,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,62,31
2016,Nunavut,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,62,28
