Year,Persons in low income,Geography,GeoCode,Value
2017,"Women+, 18 to 64 years",Prince Edward Island,,15.6
2017,"Women+, 65 years and over",Prince Edward Island,,21.8
2017,All persons,Nova Scotia,12,17.5
2017,Persons under 18 years,Nova Scotia,,19.9
2017,Persons 18 to 64 years,Nova Scotia,,16.8
2017,Persons 65 years and over,Nova Scotia,,17.8
2017,Men+,Nova Scotia,,16.0
2017,"Men+, under 18 years",Nova Scotia,,17.7
2017,"Men+, 18 to 64 years",Nova Scotia,,15.6
2017,"Men+, 65 years and over",Nova Scotia,,15.8
2017,Women+,Nova Scotia,,19.0
2017,"Women+, under 18 years",Nova Scotia,,22.3
2017,"Women+, 18 to 64 years",Nova Scotia,,17.9
2017,"Women+, 65 years and over",Nova Scotia,,19.4
2017,All persons,New Brunswick,13,15.5
2017,Persons under 18 years,New Brunswick,,16.1
2017,Persons 18 to 64 years,New Brunswick,,13.9
2017,Persons 65 years and over,New Brunswick,,20.0
2017,Men+,New Brunswick,,14.3
2017,"Men+, under 18 years",New Brunswick,,16.3
2017,"Men+, 18 to 64 years",New Brunswick,,12.9
2017,"Men+, 65 years and over",New Brunswick,,17.1
2017,Women+,New Brunswick,,16.6
2017,"Women+, under 18 years",New Brunswick,,15.8
2017,"Women+, 18 to 64 years",New Brunswick,,14.8
2017,"Women+, 65 years and over",New Brunswick,,22.5
2017,All persons,Quebec,24,14.2
2017,Persons under 18 years,Quebec,,10.5
2017,Persons 18 to 64 years,Quebec,,12.9
2017,Persons 65 years and over,Quebec,,22.4
2017,Men+,Quebec,,12.9
2017,"Men+, under 18 years",Quebec,,10.5
2017,"Men+, 18 to 64 years",Quebec,,12.5
2017,"Men+, 65 years and over",Quebec,,17.2
2017,Women+,Quebec,,15.5
2017,"Women+, under 18 years",Quebec,,10.5
2017,"Women+, 18 to 64 years",Quebec,,13.4
2017,"Women+, 65 years and over",Quebec,,27.0
2017,All persons,Ontario,35,12.7
2017,Persons under 18 years,Ontario,,12.7
2017,Persons 18 to 64 years,Ontario,,12.8
2017,Persons 65 years and over,Ontario,,12.4
2017,Men+,Ontario,,12.3
2017,"Men+, under 18 years",Ontario,,11.7
2017,"Men+, 18 to 64 years",Ontario,,13.1
2017,"Men+, 65 years and over",Ontario,,9.8
2017,Women+,Ontario,,13.1
2017,"Women+, under 18 years",Ontario,,13.8
2017,"Women+, 18 to 64 years",Ontario,,12.5
2017,"Women+, 65 years and over",Ontario,,14.5
2017,All persons,Prairie provinces,,9.3
2017,Persons under 18 years,Prairie provinces,,10.8
2017,Persons 18 to 64 years,Prairie provinces,,8.9
2017,Persons 65 years and over,Prairie provinces,,8.8
2017,Men+,Prairie provinces,,8.4
2017,"Men+, under 18 years",Prairie provinces,,9.7
2017,"Men+, 18 to 64 years",Prairie provinces,,8.2
2017,"Men+, 65 years and over",Prairie provinces,,6.9
2017,Women+,Prairie provinces,,10.3
2017,"Women+, under 18 years",Prairie provinces,,11.9
2017,"Women+, 18 to 64 years",Prairie provinces,,9.6
2017,"Women+, 65 years and over",Prairie provinces,,10.4
2017,All persons,Manitoba,46,14.6
2017,Persons under 18 years,Manitoba,,19.1
2017,Persons 18 to 64 years,Manitoba,,13.0
2017,Persons 65 years and over,Manitoba,,14.9
2017,Men+,Manitoba,,13.3
2017,"Men+, under 18 years",Manitoba,,17.1
2017,"Men+, 18 to 64 years",Manitoba,,12.3
2017,"Men+, 65 years and over",Manitoba,,11.8
2017,Women+,Manitoba,,15.9
2017,"Women+, under 18 years",Manitoba,,21.1
2017,"Women+, 18 to 64 years",Manitoba,,13.7
2017,"Women+, 65 years and over",Manitoba,,17.6
2017,All persons,Saskatchewan,47,12.8
2017,Persons under 18 years,Saskatchewan,,15.1
2017,Persons 18 to 64 years,Saskatchewan,,11.2
2017,Persons 65 years and over,Saskatchewan,,15.5
2017,Men+,Saskatchewan,,12.0
2017,"Men+, under 18 years",Saskatchewan,,14.7
2017,"Men+, 18 to 64 years",Saskatchewan,,10.9
2017,"Men+, 65 years and over",Saskatchewan,,12.6
2017,Women+,Saskatchewan,,13.5
2017,"Women+, under 18 years",Saskatchewan,,15.6
2017,"Women+, 18 to 64 years",Saskatchewan,,11.6
2017,"Women+, 65 years and over",Saskatchewan,,18.0
2017,All persons,Alberta,48,6.9
2017,Persons under 18 years,Alberta,,7.2
2017,Persons 18 to 64 years,Alberta,,7.2
2017,Persons 65 years and over,Alberta,,4.4
2017,Men+,Alberta,,6.0
2017,"Men+, under 18 years",Alberta,,6.2
2017,"Men+, 18 to 64 years",Alberta,,6.4
2017,"Men+, 65 years and over",Alberta,,3.4
2017,Women+,Alberta,,7.7
2017,"Women+, under 18 years",Alberta,,8.2
2017,"Women+, 18 to 64 years",Alberta,,8.0
2017,"Women+, 65 years and over",Alberta,,5.3
2017,All persons,British Columbia,59,12.3
2017,Persons under 18 years,British Columbia,,10.7
2017,Persons 18 to 64 years,British Columbia,,11.8
2017,Persons 65 years and over,British Columbia,,15.6
2017,Men+,British Columbia,,11.4
2017,"Men+, under 18 years",British Columbia,,12.0
2017,"Men+, 18 to 64 years",British Columbia,,11.0
2017,"Men+, 65 years and over",British Columbia,,12.2
2017,Women+,British Columbia,,13.1
2017,"Women+, under 18 years",British Columbia,,9.3
2017,"Women+, 18 to 64 years",British Columbia,,12.6
2017,"Women+, 65 years and over",British Columbia,,18.7
2017,All persons,"Québec, Quebec",,8.7
2017,Persons 18 to 64 years,"Québec, Quebec",,7.0
2017,Persons 65 years and over,"Québec, Quebec",,18.2
2017,Men+,"Québec, Quebec",,7.6
2017,"Men+, 18 to 64 years","Québec, Quebec",,6.3
2017,"Men+, 65 years and over","Québec, Quebec",,14.2
2017,Women+,"Québec, Quebec",,9.8
2017,"Women+, 18 to 64 years","Québec, Quebec",,7.6
2017,"Women+, 65 years and over","Québec, Quebec",,22.1
2017,All persons,"Montréal, Quebec",,15.4
2017,Persons under 18 years,"Montréal, Quebec",,12.6
2017,Persons 18 to 64 years,"Montréal, Quebec",,14.5
2017,Persons 65 years and over,"Montréal, Quebec",,22.6
2017,Men+,"Montréal, Quebec",,14.4
2017,"Men+, under 18 years","Montréal, Quebec",,13.2
2017,"Men+, 18 to 64 years","Montréal, Quebec",,14.2
2017,"Men+, 65 years and over","Montréal, Quebec",,17.2
2017,Women+,"Montréal, Quebec",,16.3
2017,"Women+, under 18 years","Montréal, Quebec",,11.9
2017,"Women+, 18 to 64 years","Montréal, Quebec",,14.8
2017,"Women+, 65 years and over","Montréal, Quebec",,26.9
2017,All persons,"Ottawa-Gatineau, Ontario/Quebec",,10.8
2017,Persons under 18 years,"Ottawa-Gatineau, Ontario/Quebec",,10.9
2017,Persons 18 to 64 years,"Ottawa-Gatineau, Ontario/Quebec",,10.4
2017,Persons 65 years and over,"Ottawa-Gatineau, Ontario/Quebec",,12.3
2017,Men+,"Ottawa-Gatineau, Ontario/Quebec",,10.6
2017,"Men+, under 18 years","Ottawa-Gatineau, Ontario/Quebec",,11.8
2017,"Men+, 18 to 64 years","Ottawa-Gatineau, Ontario/Quebec",,10.4
2017,"Men+, 65 years and over","Ottawa-Gatineau, Ontario/Quebec",,9.7
2017,Women+,"Ottawa-Gatineau, Ontario/Quebec",,11.0
2017,"Women+, under 18 years","Ottawa-Gatineau, Ontario/Quebec",,10.0
2017,"Women+, 18 to 64 years","Ottawa-Gatineau, Ontario/Quebec",,10.4
2017,"Women+, 65 years and over","Ottawa-Gatineau, Ontario/Quebec",,14.4
2017,All persons,"Toronto, Ontario",,12.3
2017,Persons under 18 years,"Toronto, Ontario",,12.2
2017,Persons 18 to 64 years,"Toronto, Ontario",,12.5
2017,Persons 65 years and over,"Toronto, Ontario",,11.5
2017,Men+,"Toronto, Ontario",,12.2
2017,"Men+, under 18 years","Toronto, Ontario",,10.5
2017,"Men+, 18 to 64 years","Toronto, Ontario",,13.1
2017,"Men+, 65 years and over","Toronto, Ontario",,10.0
2017,Women+,"Toronto, Ontario",,12.4
2017,"Women+, under 18 years","Toronto, Ontario",,14.0
2017,"Women+, 18 to 64 years","Toronto, Ontario",,11.9
2017,"Women+, 65 years and over","Toronto, Ontario",,12.9
2017,All persons,"Winnipeg, Manitoba",,14.6
2017,Persons under 18 years,"Winnipeg, Manitoba",,18.5
2017,Persons 18 to 64 years,"Winnipeg, Manitoba",,13.4
2017,Persons 65 years and over,"Winnipeg, Manitoba",,14.4
2017,Men+,"Winnipeg, Manitoba",,13.4
2017,"Men+, under 18 years","Winnipeg, Manitoba",,15.4
2017,"Men+, 18 to 64 years","Winnipeg, Manitoba",,13.2
2017,"Men+, 65 years and over","Winnipeg, Manitoba",,11.7
2017,Women+,"Winnipeg, Manitoba",,15.7
2017,"Women+, under 18 years","Winnipeg, Manitoba",,21.4
2017,"Women+, 18 to 64 years","Winnipeg, Manitoba",,13.6
2017,"Women+, 65 years and over","Winnipeg, Manitoba",,16.7
2017,All persons,"Calgary, Alberta",,6.1
2017,Persons under 18 years,"Calgary, Alberta",,7.8
2017,Persons 18 to 64 years,"Calgary, Alberta",,6.3
2017,Men+,"Calgary, Alberta",,5.4
2017,"Men+, under 18 years","Calgary, Alberta",,4.8
2017,"Men+, 18 to 64 years","Calgary, Alberta",,6.1
2017,Women+,"Calgary, Alberta",,6.9
2017,"Women+, under 18 years","Calgary, Alberta",,10.2
2017,"Women+, 18 to 64 years","Calgary, Alberta",,6.4
2017,All persons,"Edmonton, Alberta",,6.6
2017,Persons under 18 years,"Edmonton, Alberta",,6.5
2017,Persons 18 to 64 years,"Edmonton, Alberta",,6.8
2017,Persons 65 years and over,"Edmonton, Alberta",,5.5
2017,Men+,"Edmonton, Alberta",,5.9
2017,"Men+, 18 to 64 years","Edmonton, Alberta",,5.9
2017,Women+,"Edmonton, Alberta",,7.2
2017,"Women+, 18 to 64 years","Edmonton, Alberta",,7.6
2017,"Women+, 65 years and over","Edmonton, Alberta",,7.0
2017,All persons,"Vancouver, British Columbia",,13.2
2017,Persons under 18 years,"Vancouver, British Columbia",,10.9
2017,Persons 18 to 64 years,"Vancouver, British Columbia",,12.6
2017,Persons 65 years and over,"Vancouver, British Columbia",,18.4
2017,Men+,"Vancouver, British Columbia",,12.2
2017,"Men+, under 18 years","Vancouver, British Columbia",,13.1
2017,"Men+, 18 to 64 years","Vancouver, British Columbia",,11.7
2017,"Men+, 65 years and over","Vancouver, British Columbia",,13.9
2017,Women+,"Vancouver, British Columbia",,14.1
2017,"Women+, 18 to 64 years","Vancouver, British Columbia",,13.6
2017,"Women+, 65 years and over","Vancouver, British Columbia",,22.1
2018,Persons under 18 years,Canada,,12.0
2018,Persons 18 to 64 years,Canada,,11.9
2018,Persons 65 years and over,Canada,,14.9
2018,Men+,Canada,,11.9
2018,"Men+, under 18 years",Canada,,12.7
2018,"Men+, 18 to 64 years",Canada,,11.6
2018,"Men+, 65 years and over",Canada,,12.2
2018,Women+,Canada,,12.9
2018,"Women+, under 18 years",Canada,,11.2
2018,"Women+, 18 to 64 years",Canada,,12.2
2018,"Women+, 65 years and over",Canada,,17.3
2018,All persons,Atlantic provinces,,15.6
2018,Persons under 18 years,Atlantic provinces,,15.7
2018,Persons 18 to 64 years,Atlantic provinces,,13.6
2018,Persons 65 years and over,Atlantic provinces,,21.3
2018,Men+,Atlantic provinces,,14.9
2018,"Men+, under 18 years",Atlantic provinces,,16.8
2018,"Men+, 18 to 64 years",Atlantic provinces,,13.4
2018,"Men+, 65 years and over",Atlantic provinces,,17.8
2018,Women+,Atlantic provinces,,16.2
2018,"Women+, under 18 years",Atlantic provinces,,14.5
2018,"Women+, 18 to 64 years",Atlantic provinces,,13.8
2018,"Women+, 65 years and over",Atlantic provinces,,24.4
2018,All persons,Newfoundland and Labrador,10,16.6
2018,Persons under 18 years,Newfoundland and Labrador,,14.8
2018,Persons 18 to 64 years,Newfoundland and Labrador,,14.5
2018,Persons 65 years and over,Newfoundland and Labrador,,24.3
2018,Men+,Newfoundland and Labrador,,16.4
2018,"Men+, under 18 years",Newfoundland and Labrador,,16.1
2018,"Men+, 18 to 64 years",Newfoundland and Labrador,,15.1
2018,"Men+, 65 years and over",Newfoundland and Labrador,,20.5
2018,Women+,Newfoundland and Labrador,,16.7
2018,"Women+, under 18 years",Newfoundland and Labrador,,13.5
2018,"Women+, 18 to 64 years",Newfoundland and Labrador,,13.8
2018,"Women+, 65 years and over",Newfoundland and Labrador,,27.8
2018,All persons,Prince Edward Island,11,15.0
2018,Persons under 18 years,Prince Edward Island,,16.0
2018,Persons 18 to 64 years,Prince Edward Island,,12.1
2018,Persons 65 years and over,Prince Edward Island,,23.3
2018,Men+,Prince Edward Island,,14.2
2018,"Men+, under 18 years",Prince Edward Island,,17.3
2018,"Men+, 18 to 64 years",Prince Edward Island,,11.8
2018,"Men+, 65 years and over",Prince Edward Island,,19.1
2018,Women+,Prince Edward Island,,15.7
2018,"Women+, under 18 years",Prince Edward Island,,14.7
2018,"Women+, 18 to 64 years",Prince Edward Island,,12.4
2018,"Women+, 65 years and over",Prince Edward Island,,26.9
2018,All persons,Nova Scotia,12,16.3
2018,Persons under 18 years,Nova Scotia,,17.7
2018,Persons 18 to 64 years,Nova Scotia,,14.5
2018,Persons 65 years and over,Nova Scotia,,20.6
2018,Men+,Nova Scotia,,15.5
2018,"Men+, under 18 years",Nova Scotia,,19.0
2018,"Men+, 18 to 64 years",Nova Scotia,,13.9
2018,"Men+, 65 years and over",Nova Scotia,,17.3
2018,Women+,Nova Scotia,,17.1
2018,"Women+, under 18 years",Nova Scotia,,16.4
2018,"Women+, 18 to 64 years",Nova Scotia,,15.0
2018,"Women+, 65 years and over",Nova Scotia,,23.5
2018,All persons,New Brunswick,13,14.0
2018,Persons under 18 years,New Brunswick,,13.7
2018,Persons 18 to 64 years,New Brunswick,,12.2
2018,Persons 65 years and over,New Brunswick,,19.7
2018,Men+,New Brunswick,,13.2
2018,"Men+, under 18 years",New Brunswick,,14.5
2018,"Men+, 18 to 64 years",New Brunswick,,11.9
2018,"Men+, 65 years and over",New Brunswick,,16.3
2018,Women+,New Brunswick,,14.8
2018,"Women+, under 18 years",New Brunswick,,12.9
2018,"Women+, 18 to 64 years",New Brunswick,,12.6
2018,"Women+, 65 years and over",New Brunswick,,22.6
2018,All persons,Quebec,24,14.3
2018,Persons under 18 years,Quebec,,11.8
2018,Persons 18 to 64 years,Quebec,,12.9
2018,Persons 65 years and over,Quebec,,21.6
2018,Men+,Quebec,,13.1
2018,"Men+, under 18 years",Quebec,,11.6
2018,"Men+, 18 to 64 years",Quebec,,12.5
2018,"Men+, 65 years and over",Quebec,,17.4
2018,Women+,Quebec,,15.4
2018,"Women+, under 18 years",Quebec,,12.1
2018,"Women+, 18 to 64 years",Quebec,,13.3
2018,"Women+, 65 years and over",Quebec,,25.2
2018,All persons,Ontario,35,12.2
2018,Persons under 18 years,Ontario,,12.8
2018,Persons 18 to 64 years,Ontario,,12.2
2018,Persons 65 years and over,Ontario,,11.8
2018,Men+,Ontario,,11.8
2018,"Men+, under 18 years",Ontario,,13.8
2018,"Men+, 18 to 64 years",Ontario,,11.7
2018,"Men+, 65 years and over",Ontario,,9.6
2018,Women+,Ontario,,12.6
2018,"Women+, under 18 years",Ontario,,11.7
2018,"Women+, 18 to 64 years",Ontario,,12.6
2018,"Women+, 65 years and over",Ontario,,13.6
2018,All persons,Prairie provinces,,9.8
2018,Persons under 18 years,Prairie provinces,,11.1
2018,Persons 18 to 64 years,Prairie provinces,,9.4
2018,Persons 65 years and over,Prairie provinces,,9.3
2018,Men+,Prairie provinces,,9.4
2018,"Men+, under 18 years",Prairie provinces,,11.5
2018,"Men+, 18 to 64 years",Prairie provinces,,9.0
2018,"Men+, 65 years and over",Prairie provinces,,7.6
2018,Women+,Prairie provinces,,10.2
2018,"Women+, under 18 years",Prairie provinces,,10.7
2018,"Women+, 18 to 64 years",Prairie provinces,,9.9
2018,"Women+, 65 years and over",Prairie provinces,,10.9
2018,All persons,Manitoba,46,13.8
2018,Persons under 18 years,Manitoba,,18.2
2018,Persons 18 to 64 years,Manitoba,,11.9
2018,Persons 65 years and over,Manitoba,,15.1
2018,Men+,Manitoba,,12.8
2018,"Men+, under 18 years",Manitoba,,18.7
2018,"Men+, 18 to 64 years",Manitoba,,11.3
2018,"Men+, 65 years and over",Manitoba,,10.6
2018,Women+,Manitoba,,14.7
2018,"Women+, under 18 years",Manitoba,,17.6
2018,"Women+, 18 to 64 years",Manitoba,,12.5
2018,"Women+, 65 years and over",Manitoba,,18.9
2018,All persons,Saskatchewan,47,13.0
2018,Persons under 18 years,Saskatchewan,,14.7
2018,Persons 18 to 64 years,Saskatchewan,,12.3
2018,Persons 65 years and over,Saskatchewan,,13.6
2018,Men+,Saskatchewan,,12.1
2018,"Men+, under 18 years",Saskatchewan,,13.5
2018,"Men+, 18 to 64 years",Saskatchewan,,11.9
2018,"Men+, 65 years and over",Saskatchewan,,11.1
2018,Women+,Saskatchewan,,14.0
2018,"Women+, under 18 years",Saskatchewan,,16.0
2018,"Women+, 18 to 64 years",Saskatchewan,,12.7
2018,"Women+, 65 years and over",Saskatchewan,,15.8
2018,All persons,Alberta,48,7.8
2018,Persons under 18 years,Alberta,,8.1
2018,Persons 18 to 64 years,Alberta,,8.0
2018,Persons 65 years and over,Alberta,,5.9
2018,Men+,Alberta,,7.6
2018,"Men+, under 18 years",Alberta,,8.8
2018,"Men+, 18 to 64 years",Alberta,,7.6
2018,"Men+, 65 years and over",Alberta,,5.5
2018,Women+,Alberta,,7.9
2018,"Women+, under 18 years",Alberta,,7.4
2018,"Women+, 18 to 64 years",Alberta,,8.5
2018,"Women+, 65 years and over",Alberta,,6.2
2018,All persons,British Columbia,59,11.8
2018,Persons under 18 years,British Columbia,,9.1
2018,Persons 18 to 64 years,British Columbia,,11.9
2018,Persons 65 years and over,British Columbia,,14.1
2018,Men+,British Columbia,,12.1
2018,"Men+, under 18 years",British Columbia,,11.1
2018,"Men+, 18 to 64 years",British Columbia,,12.4
2018,"Men+, 65 years and over",British Columbia,,11.8
2018,Women+,British Columbia,,11.5
2018,"Women+, under 18 years",British Columbia,,7.0
2018,"Women+, 18 to 64 years",British Columbia,,11.4
2018,"Women+, 65 years and over",British Columbia,,16.2
2018,All persons,Territories,,12.3
2018,Persons under 18 years,Territories,,15.8
2018,Persons 18 to 64 years,Territories,,10.0
2018,Persons 65 years and over,Territories,,18.7
2018,Men+,Territories,,12.5
2018,"Men+, under 18 years",Territories,,14.4
2018,"Men+, 18 to 64 years",Territories,,10.5
2018,"Men+, 65 years and over",Territories,,22.1
2018,Women+,Territories,,12.1
2018,"Women+, under 18 years",Territories,,17.2
2018,"Women+, 18 to 64 years",Territories,,9.6
2018,"Women+, 65 years and over",Territories,,15.0
2018,All persons,Yukon,60,6.7
2018,Persons 18 to 64 years,Yukon,,5.1
2018,Persons 65 years and over,Yukon,,19.2
2018,Men+,Yukon,,7.1
2018,"Men+, 18 to 64 years",Yukon,,6.0
2018,"Men+, 65 years and over",Yukon,,22.3
2018,Women+,Yukon,,6.1
2018,"Women+, 18 to 64 years",Yukon,,4.2
2018,All persons,Northwest Territories,61,10.9
2018,Persons under 18 years,Northwest Territories,,12.1
2018,Persons 18 to 64 years,Northwest Territories,,9.5
2018,Persons 65 years and over,Northwest Territories,,17.9
2018,Men+,Northwest Territories,,11.1
2018,"Men+, 18 to 64 years",Northwest Territories,,10.1
2018,Women+,Northwest Territories,,10.6
2018,"Women+, 18 to 64 years",Northwest Territories,,9.0
2018,All persons,Nunavut,62,20.1
2018,Persons under 18 years,Nunavut,,25.4
2018,Persons 18 to 64 years,Nunavut,,16.8
2018,Persons 65 years and over,Nunavut,,19.3
2018,Men+,Nunavut,,20.0
2018,"Men+, under 18 years",Nunavut,,25.8
2018,"Men+, 18 to 64 years",Nunavut,,16.3
2018,Women+,Nunavut,,20.2
2018,"Women+, under 18 years",Nunavut,,25.0
2018,"Women+, 18 to 64 years",Nunavut,,17.3
2018,All persons,"Québec, Quebec",,11.6
2018,Persons under 18 years,"Québec, Quebec",,9.6
2018,Persons 18 to 64 years,"Québec, Quebec",,10.5
2018,Persons 65 years and over,"Québec, Quebec",,18.2
2018,Men+,"Québec, Quebec",,11.5
2018,"Men+, under 18 years","Québec, Quebec",,12.0
2018,"Men+, 18 to 64 years","Québec, Quebec",,9.8
2018,"Men+, 65 years and over","Québec, Quebec",,18.0
2018,Women+,"Québec, Quebec",,11.6
2018,"Women+, 18 to 64 years","Québec, Quebec",,11.2
2018,"Women+, 65 years and over","Québec, Quebec",,18.3
2018,All persons,"Montréal, Quebec",,13.9
2018,Persons under 18 years,"Montréal, Quebec",,13.2
2018,Persons 18 to 64 years,"Montréal, Quebec",,13.1
2018,Persons 65 years and over,"Montréal, Quebec",,18.1
2018,Men+,"Montréal, Quebec",,12.4
2018,"Men+, under 18 years","Montréal, Quebec",,12.7
2018,"Men+, 18 to 64 years","Montréal, Quebec",,12.4
2018,"Men+, 65 years and over","Montréal, Quebec",,11.6
2018,Women+,"Montréal, Quebec",,15.5
2018,"Women+, under 18 years","Montréal, Quebec",,13.6
2018,"Women+, 18 to 64 years","Montréal, Quebec",,13.8
2018,"Women+, 65 years and over","Montréal, Quebec",,23.3
2018,All persons,"Ottawa-Gatineau, Ontario/Quebec",,11.8
2018,Persons under 18 years,"Ottawa-Gatineau, Ontario/Quebec",,11.0
2018,Persons 18 to 64 years,"Ottawa-Gatineau, Ontario/Quebec",,12.0
2018,Persons 65 years and over,"Ottawa-Gatineau, Ontario/Quebec",,12.0
2018,Men+,"Ottawa-Gatineau, Ontario/Quebec",,11.9
2018,"Men+, under 18 years","Ottawa-Gatineau, Ontario/Quebec",,11.1
2018,"Men+, 18 to 64 years","Ottawa-Gatineau, Ontario/Quebec",,12.8
2018,"Men+, 65 years and over","Ottawa-Gatineau, Ontario/Quebec",,8.9
2018,Women+,"Ottawa-Gatineau, Ontario/Quebec",,11.7
2018,"Women+, under 18 years","Ottawa-Gatineau, Ontario/Quebec",,11.0
2018,"Women+, 18 to 64 years","Ottawa-Gatineau, Ontario/Quebec",,11.2
2018,"Women+, 65 years and over","Ottawa-Gatineau, Ontario/Quebec",,14.7
2018,All persons,"Toronto, Ontario",,12.9
2018,Persons under 18 years,"Toronto, Ontario",,13.6
2018,Persons 18 to 64 years,"Toronto, Ontario",,12.9
2018,Persons 65 years and over,"Toronto, Ontario",,12.0
2018,Men+,"Toronto, Ontario",,12.8
2018,"Men+, under 18 years","Toronto, Ontario",,14.9
2018,"Men+, 18 to 64 years","Toronto, Ontario",,12.6
2018,"Men+, 65 years and over","Toronto, Ontario",,10.4
2018,Women+,"Toronto, Ontario",,13.0
2018,"Women+, under 18 years","Toronto, Ontario",,12.1
2018,"Women+, 18 to 64 years","Toronto, Ontario",,13.1
2018,"Women+, 65 years and over","Toronto, Ontario",,13.4
2018,All persons,"Winnipeg, Manitoba",,13.4
2018,Persons under 18 years,"Winnipeg, Manitoba",,19.0
2018,Persons 18 to 64 years,"Winnipeg, Manitoba",,11.8
2018,Persons 65 years and over,"Winnipeg, Manitoba",,12.8
2018,Men+,"Winnipeg, Manitoba",,12.5
2018,"Men+, under 18 years","Winnipeg, Manitoba",,19.1
2018,"Men+, 18 to 64 years","Winnipeg, Manitoba",,11.1
2018,"Men+, 65 years and over","Winnipeg, Manitoba",,9.4
2018,Women+,"Winnipeg, Manitoba",,14.3
2018,"Women+, under 18 years","Winnipeg, Manitoba",,18.9
2018,"Women+, 18 to 64 years","Winnipeg, Manitoba",,12.6
2018,"Women+, 65 years and over","Winnipeg, Manitoba",,15.6
2018,All persons,"Calgary, Alberta",,8.7
2018,Persons 18 to 64 years,"Calgary, Alberta",,9.2
2018,Persons 65 years and over,"Calgary, Alberta",,4.9
2018,Men+,"Calgary, Alberta",,8.9
2018,"Men+, 18 to 64 years","Calgary, Alberta",,8.8
2018,Women+,"Calgary, Alberta",,8.6
2018,"Women+, 18 to 64 years","Calgary, Alberta",,9.5
2018,All persons,"Edmonton, Alberta",,6.1
2018,Persons under 18 years,"Edmonton, Alberta",,5.8
2018,Persons 18 to 64 years,"Edmonton, Alberta",,6.4
2018,Persons 65 years and over,"Edmonton, Alberta",,5.4
2018,Men+,"Edmonton, Alberta",,5.4
2018,"Men+, under 18 years","Edmonton, Alberta",,6.1
2018,"Men+, 18 to 64 years","Edmonton, Alberta",,5.2
2018,Women+,"Edmonton, Alberta",,6.8
2018,"Women+, under 18 years","Edmonton, Alberta",,5.6
2018,"Women+, 18 to 64 years","Edmonton, Alberta",,7.6
2018,"Women+, 65 years and over","Edmonton, Alberta",,5.2
2018,All persons,"Vancouver, British Columbia",,11.7
2018,Persons under 18 years,"Vancouver, British Columbia",,8.2
2018,Persons 18 to 64 years,"Vancouver, British Columbia",,12.1
2018,Persons 65 years and over,"Vancouver, British Columbia",,13.9
2018,Men+,"Vancouver, British Columbia",,12.5
2018,"Men+, under 18 years","Vancouver, British Columbia",,11.1
2018,"Men+, 18 to 64 years","Vancouver, British Columbia",,13.0
2018,"Men+, 65 years and over","Vancouver, British Columbia",,12.1
2018,Women+,"Vancouver, British Columbia",,10.9
2018,"Women+, 18 to 64 years","Vancouver, British Columbia",,11.2
2018,"Women+, 65 years and over","Vancouver, British Columbia",,15.4
2019,Persons under 18 years,Canada,,11.1
2019,Persons 18 to 64 years,Canada,,11.5
2019,Persons 65 years and over,Canada,,15.7
2019,Men+,Canada,,11.3
2019,"Men+, under 18 years",Canada,,11.0
2019,"Men+, 18 to 64 years",Canada,,11.0
2019,"Men+, 65 years and over",Canada,,12.9
2019,Women+,Canada,,13.0
2019,"Women+, under 18 years",Canada,,11.2
2019,"Women+, 18 to 64 years",Canada,,12.0
2019,"Women+, 65 years and over",Canada,,18.1
2019,All persons,Atlantic provinces,,15.4
2019,Persons under 18 years,Atlantic provinces,,16.1
2019,Persons 18 to 64 years,Atlantic provinces,,13.0
2019,Persons 65 years and over,Atlantic provinces,,21.9
2019,Men+,Atlantic provinces,,14.0
2019,"Men+, under 18 years",Atlantic provinces,,16.4
2019,"Men+, 18 to 64 years",Atlantic provinces,,12.3
2019,"Men+, 65 years and over",Atlantic provinces,,17.2
2019,Women+,Atlantic provinces,,16.8
2019,"Women+, under 18 years",Atlantic provinces,,15.9
2019,"Women+, 18 to 64 years",Atlantic provinces,,13.7
2019,"Women+, 65 years and over",Atlantic provinces,,26.1
2019,All persons,Newfoundland and Labrador,10,16.0
2019,Persons under 18 years,Newfoundland and Labrador,,14.3
2019,Persons 18 to 64 years,Newfoundland and Labrador,,12.3
2019,Persons 65 years and over,Newfoundland and Labrador,,28.1
2019,Men+,Newfoundland and Labrador,,14.8
2019,"Men+, under 18 years",Newfoundland and Labrador,,15.9
2019,"Men+, 18 to 64 years",Newfoundland and Labrador,,11.1
2019,"Men+, 65 years and over",Newfoundland and Labrador,,24.7
2019,Women+,Newfoundland and Labrador,,17.3
2019,"Women+, under 18 years",Newfoundland and Labrador,,12.6
2019,"Women+, 18 to 64 years",Newfoundland and Labrador,,13.4
2019,"Women+, 65 years and over",Newfoundland and Labrador,,31.2
2019,All persons,Prince Edward Island,11,15.1
2019,Persons under 18 years,Prince Edward Island,,19.7
2019,Persons 18 to 64 years,Prince Edward Island,,13.3
2019,Persons 65 years and over,Prince Edward Island,,16.6
2019,Men+,Prince Edward Island,,14.1
2019,"Men+, under 18 years",Prince Edward Island,,19.6
2019,"Men+, 18 to 64 years",Prince Edward Island,,12.8
2019,"Men+, 65 years and over",Prince Edward Island,,12.4
2019,Women+,Prince Edward Island,,16.1
2019,"Women+, under 18 years",Prince Edward Island,,19.9
2019,"Women+, 18 to 64 years",Prince Edward Island,,13.7
2019,"Women+, 65 years and over",Prince Edward Island,,20.2
