Year,Géographie,Caractéristiques de disponibilité et écoulement,Value
2020,Saskatchewan,Commerces et autres institutions,0.67
2020,Alberta,Consommation énergétique finale,6.65
2020,Alberta,Total industriel,3.72
2020,Alberta,Total transport,1.29
2020,Alberta,"Agriculture, pêche, chasse et piégage",0.19
2020,Alberta,Résidentiel,0.68
2020,Alberta,Administrations publiques,0.07
2020,Alberta,Commerces et autres institutions,0.7
2020,Colombie-Britannique,Consommation énergétique finale,3.02
2020,Colombie-Britannique,Total industriel,0.8
2020,Colombie-Britannique,Total transport,1.14
2020,Colombie-Britannique,"Agriculture, pêche, chasse et piégage",0.11
2020,Colombie-Britannique,Résidentiel,0.54
2020,Colombie-Britannique,Administrations publiques,0.03
2020,Colombie-Britannique,Commerces et autres institutions,0.41
2020,Yukon,Consommation énergétique finale,2.88
2020,Yukon,Total industriel,0.74
2020,Yukon,Total transport,1.44
2020,Yukon,"Agriculture, pêche, chasse et piégage",0.0
2020,Yukon,Résidentiel,0.29
2020,Yukon,Administrations publiques,0.05
2020,Yukon,Commerces et autres institutions,0.36
2020,Territoires du Nord-Ouest,Consommation énergétique finale,3.38
2020,Territoires du Nord-Ouest,Total industriel,0.71
2020,Territoires du Nord-Ouest,Total transport,1.62
2020,Territoires du Nord-Ouest,"Agriculture, pêche, chasse et piégage",0.0
2020,Territoires du Nord-Ouest,Résidentiel,0.28
2020,Territoires du Nord-Ouest,Administrations publiques,0.34
2020,Territoires du Nord-Ouest,Commerces et autres institutions,0.43
2020,Nunavut,Consommation énergétique finale,1.81
2020,Nunavut,Total industriel,0.87
2020,Nunavut,Total transport,0.36
2020,Nunavut,"Agriculture, pêche, chasse et piégage",0.03
2020,Nunavut,Résidentiel,0.28
2020,Nunavut,Administrations publiques,0.07
2020,Nunavut,Commerces et autres institutions,0.2
2021,Canada,Consommation énergétique finale,3.65
2021,Canada,Total industriel,1.32
2021,Canada,Total transport,1.03
2021,Canada,"Agriculture, pêche, chasse et piégage",0.13
2021,Canada,Résidentiel,0.59
2021,Canada,Administrations publiques,0.05
2021,Canada,Commerces et autres institutions,0.51
2021,Terre-Neuve-et-Labrador,Consommation énergétique finale,3.17
2021,Terre-Neuve-et-Labrador,Total industriel,0.86
2021,Terre-Neuve-et-Labrador,Total transport,1.13
2021,Terre-Neuve-et-Labrador,"Agriculture, pêche, chasse et piégage",0.02
2021,Terre-Neuve-et-Labrador,Résidentiel,0.54
2021,Terre-Neuve-et-Labrador,Administrations publiques,0.07
2021,Terre-Neuve-et-Labrador,Commerces et autres institutions,0.54
2021,Île-du-Prince-Édouard,Consommation énergétique finale,3.25
2021,Île-du-Prince-Édouard,Total industriel,0.57
2021,Île-du-Prince-Édouard,Total transport,1.38
2021,Île-du-Prince-Édouard,"Agriculture, pêche, chasse et piégage",0.36
2021,Île-du-Prince-Édouard,Résidentiel,0.46
2021,Île-du-Prince-Édouard,Administrations publiques,0.07
2021,Île-du-Prince-Édouard,Commerces et autres institutions,0.41
2021,Nouvelle-Écosse,Consommation énergétique finale,2.95
2021,Nouvelle-Écosse,Total industriel,0.34
2021,Nouvelle-Écosse,Total transport,1.34
2021,Nouvelle-Écosse,"Agriculture, pêche, chasse et piégage",0.06
2021,Nouvelle-Écosse,Résidentiel,0.68
2021,Nouvelle-Écosse,Administrations publiques,0.13
2021,Nouvelle-Écosse,Commerces et autres institutions,0.4
2021,Nouveau-Brunswick,Consommation énergétique finale,3.44
2021,Nouveau-Brunswick,Total industriel,1.11
2021,Nouveau-Brunswick,Total transport,1.16
2021,Nouveau-Brunswick,"Agriculture, pêche, chasse et piégage",0.05
2021,Nouveau-Brunswick,Résidentiel,0.67
2021,Nouveau-Brunswick,Administrations publiques,0.09
2021,Nouveau-Brunswick,Commerces et autres institutions,0.36
2021,Québec,Consommation énergétique finale,3.48
2021,Québec,Total industriel,1.26
2021,Québec,Total transport,0.95
2021,Québec,"Agriculture, pêche, chasse et piégage",0.07
2021,Québec,Résidentiel,0.64
2021,Québec,Administrations publiques,0.09
2021,Québec,Commerces et autres institutions,0.47
2021,Ontario,Consommation énergétique finale,2.66
2021,Ontario,Total industriel,0.65
2021,Ontario,Total transport,0.82
2021,Ontario,"Agriculture, pêche, chasse et piégage",0.08
2021,Ontario,Résidentiel,0.57
2021,Ontario,Administrations publiques,0.03
2021,Ontario,Commerces et autres institutions,0.52
2021,Manitoba,Consommation énergétique finale,3.83
2021,Manitoba,Total industriel,0.71
2021,Manitoba,Total transport,1.32
2021,Manitoba,"Agriculture, pêche, chasse et piégage",0.33
2021,Manitoba,Résidentiel,0.74
2021,Manitoba,Administrations publiques,0.07
2021,Manitoba,Commerces et autres institutions,0.66
2021,Saskatchewan,Consommation énergétique finale,7.35
2021,Saskatchewan,Total industriel,2.81
2021,Saskatchewan,Total transport,2.07
2021,Saskatchewan,"Agriculture, pêche, chasse et piégage",0.96
2021,Saskatchewan,Résidentiel,0.68
2021,Saskatchewan,Administrations publiques,0.14
2021,Saskatchewan,Commerces et autres institutions,0.68
2021,Alberta,Consommation énergétique finale,6.58
2021,Alberta,Total industriel,3.79
2021,Alberta,Total transport,1.27
2021,Alberta,"Agriculture, pêche, chasse et piégage",0.19
2021,Alberta,Résidentiel,0.62
2021,Alberta,Administrations publiques,0.06
2021,Alberta,Commerces et autres institutions,0.65
2021,Colombie-Britannique,Consommation énergétique finale,2.86
2021,Colombie-Britannique,Total industriel,0.73
2021,Colombie-Britannique,Total transport,1.1
2021,Colombie-Britannique,"Agriculture, pêche, chasse et piégage",0.1
2021,Colombie-Britannique,Résidentiel,0.51
2021,Colombie-Britannique,Administrations publiques,0.03
2021,Colombie-Britannique,Commerces et autres institutions,0.39
2021,Yukon,Consommation énergétique finale,2.92
2021,Yukon,Total industriel,0.88
2021,Yukon,Total transport,1.38
2021,Yukon,"Agriculture, pêche, chasse et piégage",0.0
2021,Yukon,Résidentiel,0.26
2021,Yukon,Administrations publiques,0.04
2021,Yukon,Commerces et autres institutions,0.35
2021,Territoires du Nord-Ouest,Consommation énergétique finale,3.38
2021,Territoires du Nord-Ouest,Total industriel,0.65
2021,Territoires du Nord-Ouest,Total transport,1.72
2021,Territoires du Nord-Ouest,"Agriculture, pêche, chasse et piégage",0.0
2021,Territoires du Nord-Ouest,Résidentiel,0.26
2021,Territoires du Nord-Ouest,Administrations publiques,0.3
2021,Territoires du Nord-Ouest,Commerces et autres institutions,0.45
2021,Nunavut,Consommation énergétique finale,1.85
2021,Nunavut,Total industriel,0.81
2021,Nunavut,Total transport,0.46
2021,Nunavut,"Agriculture, pêche, chasse et piégage",0.02
2021,Nunavut,Résidentiel,0.28
2021,Nunavut,Administrations publiques,0.07
2021,Nunavut,Commerces et autres institutions,0.2
2022,Canada,Consommation énergétique finale,3.63
2022,Canada,Total industriel,1.28
2022,Canada,Total transport,1.07
2022,Canada,"Agriculture, pêche, chasse et piégage",0.13
2022,Canada,Résidentiel,0.58
2022,Canada,Administrations publiques,0.05
2022,Canada,Commerces et autres institutions,0.51
2022,Terre-Neuve-et-Labrador,Consommation énergétique finale,3.4
2022,Terre-Neuve-et-Labrador,Total industriel,0.86
2022,Terre-Neuve-et-Labrador,Total transport,1.33
2022,Terre-Neuve-et-Labrador,"Agriculture, pêche, chasse et piégage",0.02
2022,Terre-Neuve-et-Labrador,Résidentiel,0.55
2022,Terre-Neuve-et-Labrador,Administrations publiques,0.09
2022,Terre-Neuve-et-Labrador,Commerces et autres institutions,0.56
2022,Île-du-Prince-Édouard,Consommation énergétique finale,3.05
2022,Île-du-Prince-Édouard,Total industriel,0.49
2022,Île-du-Prince-Édouard,Total transport,1.29
2022,Île-du-Prince-Édouard,"Agriculture, pêche, chasse et piégage",0.35
2022,Île-du-Prince-Édouard,Résidentiel,0.45
2022,Île-du-Prince-Édouard,Administrations publiques,0.08
2022,Île-du-Prince-Édouard,Commerces et autres institutions,0.39
2022,Nouvelle-Écosse,Consommation énergétique finale,2.92
2022,Nouvelle-Écosse,Total industriel,0.32
2022,Nouvelle-Écosse,Total transport,1.32
2022,Nouvelle-Écosse,"Agriculture, pêche, chasse et piégage",0.06
2022,Nouvelle-Écosse,Résidentiel,0.68
2022,Nouvelle-Écosse,Administrations publiques,0.14
2022,Nouvelle-Écosse,Commerces et autres institutions,0.4
2022,Nouveau-Brunswick,Consommation énergétique finale,3.53
2022,Nouveau-Brunswick,Total industriel,1.19
2022,Nouveau-Brunswick,Total transport,1.12
2022,Nouveau-Brunswick,"Agriculture, pêche, chasse et piégage",0.05
2022,Nouveau-Brunswick,Résidentiel,0.69
2022,Nouveau-Brunswick,Administrations publiques,0.09
2022,Nouveau-Brunswick,Commerces et autres institutions,0.38
2022,Québec,Consommation énergétique finale,3.51
2022,Québec,Total industriel,1.24
2022,Québec,Total transport,1.02
2022,Québec,"Agriculture, pêche, chasse et piégage",0.07
2022,Québec,Résidentiel,0.64
2022,Québec,Administrations publiques,0.08
2022,Québec,Commerces et autres institutions,0.46
2022,Ontario,Consommation énergétique finale,2.66
2022,Ontario,Total industriel,0.63
2022,Ontario,Total transport,0.87
2022,Ontario,"Agriculture, pêche, chasse et piégage",0.08
2022,Ontario,Résidentiel,0.54
2022,Ontario,Administrations publiques,0.03
2022,Ontario,Commerces et autres institutions,0.52
2022,Manitoba,Consommation énergétique finale,3.89
2022,Manitoba,Total industriel,0.69
2022,Manitoba,Total transport,1.32
2022,Manitoba,"Agriculture, pêche, chasse et piégage",0.35
2022,Manitoba,Résidentiel,0.75
2022,Manitoba,Administrations publiques,0.07
2022,Manitoba,Commerces et autres institutions,0.7
2022,Saskatchewan,Consommation énergétique finale,6.96
2022,Saskatchewan,Total industriel,2.75
2022,Saskatchewan,Total transport,1.93
2022,Saskatchewan,"Agriculture, pêche, chasse et piégage",0.83
2022,Saskatchewan,Résidentiel,0.66
2022,Saskatchewan,Administrations publiques,0.14
2022,Saskatchewan,Commerces et autres institutions,0.66
2022,Alberta,Consommation énergétique finale,6.36
2022,Alberta,Total industriel,3.58
2022,Alberta,Total transport,1.28
2022,Alberta,"Agriculture, pêche, chasse et piégage",0.17
2022,Alberta,Résidentiel,0.62
2022,Alberta,Administrations publiques,0.06
2022,Alberta,Commerces et autres institutions,0.65
2022,Colombie-Britannique,Consommation énergétique finale,2.85
2022,Colombie-Britannique,Total industriel,0.71
2022,Colombie-Britannique,Total transport,1.13
2022,Colombie-Britannique,"Agriculture, pêche, chasse et piégage",0.1
2022,Colombie-Britannique,Résidentiel,0.51
2022,Colombie-Britannique,Administrations publiques,0.03
2022,Colombie-Britannique,Commerces et autres institutions,0.38
2022,Yukon,Consommation énergétique finale,2.94
2022,Yukon,Total industriel,0.84
2022,Yukon,Total transport,1.43
2022,Yukon,"Agriculture, pêche, chasse et piégage",0.0
2022,Yukon,Résidentiel,0.25
2022,Yukon,Administrations publiques,0.04
2022,Yukon,Commerces et autres institutions,0.39
2022,Territoires du Nord-Ouest,Consommation énergétique finale,3.59
2022,Territoires du Nord-Ouest,Total industriel,0.67
2022,Territoires du Nord-Ouest,Total transport,1.86
2022,Territoires du Nord-Ouest,"Agriculture, pêche, chasse et piégage",0.0
2022,Territoires du Nord-Ouest,Résidentiel,0.29
2022,Territoires du Nord-Ouest,Administrations publiques,0.27
2022,Territoires du Nord-Ouest,Commerces et autres institutions,0.5
2022,Nunavut,Consommation énergétique finale,1.9
2022,Nunavut,Total industriel,0.8
2022,Nunavut,Total transport,0.52
2022,Nunavut,"Agriculture, pêche, chasse et piégage",0.02
2022,Nunavut,Résidentiel,0.28
2022,Nunavut,Administrations publiques,0.07
2022,Nunavut,Commerces et autres institutions,0.2
2023,Canada,Consommation énergétique finale,3.51
2023,Canada,Total industriel,1.24
2023,Canada,Total transport,1.07
2023,Canada,"Agriculture, pêche, chasse et piégage",0.12
2023,Canada,Résidentiel,0.54
2023,Canada,Administrations publiques,0.05
2023,Canada,Commerces et autres institutions,0.49
2023,Terre-Neuve-et-Labrador,Consommation énergétique finale,3.45
2023,Terre-Neuve-et-Labrador,Total industriel,0.86
2023,Terre-Neuve-et-Labrador,Total transport,1.32
2023,Terre-Neuve-et-Labrador,"Agriculture, pêche, chasse et piégage",0.03
2023,Terre-Neuve-et-Labrador,Résidentiel,0.58
2023,Terre-Neuve-et-Labrador,Administrations publiques,0.09
2023,Terre-Neuve-et-Labrador,Commerces et autres institutions,0.58
2023,Île-du-Prince-Édouard,Consommation énergétique finale,2.96
2023,Île-du-Prince-Édouard,Total industriel,0.5
2023,Île-du-Prince-Édouard,Total transport,1.27
2023,Île-du-Prince-Édouard,"Agriculture, pêche, chasse et piégage",0.33
2023,Île-du-Prince-Édouard,Résidentiel,0.41
2023,Île-du-Prince-Édouard,Administrations publiques,0.07
2023,Île-du-Prince-Édouard,Commerces et autres institutions,0.4
2023,Nouvelle-Écosse,Consommation énergétique finale,2.83
2023,Nouvelle-Écosse,Total industriel,0.28
2023,Nouvelle-Écosse,Total transport,1.34
2023,Nouvelle-Écosse,"Agriculture, pêche, chasse et piégage",0.06
2023,Nouvelle-Écosse,Résidentiel,0.62
2023,Nouvelle-Écosse,Administrations publiques,0.14
2023,Nouvelle-Écosse,Commerces et autres institutions,0.39
2023,Nouveau-Brunswick,Consommation énergétique finale,3.31
2023,Nouveau-Brunswick,Total industriel,0.98
2023,Nouveau-Brunswick,Total transport,1.12
2023,Nouveau-Brunswick,"Agriculture, pêche, chasse et piégage",0.04
2023,Nouveau-Brunswick,Résidentiel,0.68
2023,Nouveau-Brunswick,Administrations publiques,0.09
2023,Nouveau-Brunswick,Commerces et autres institutions,0.39
2023,Québec,Consommation énergétique finale,3.46
2023,Québec,Total industriel,1.21
2023,Québec,Total transport,1.05
2023,Québec,"Agriculture, pêche, chasse et piégage",0.07
2023,Québec,Résidentiel,0.61
2023,Québec,Administrations publiques,0.08
2023,Québec,Commerces et autres institutions,0.44
2023,Ontario,Consommation énergétique finale,2.6
2023,Ontario,Total industriel,0.62
2023,Ontario,Total transport,0.87
2023,Ontario,"Agriculture, pêche, chasse et piégage",0.07
2023,Ontario,Résidentiel,0.5
2023,Ontario,Administrations publiques,0.03
2023,Ontario,Commerces et autres institutions,0.5
2023,Manitoba,Consommation énergétique finale,3.68
2023,Manitoba,Total industriel,0.64
2023,Manitoba,Total transport,1.28
2023,Manitoba,"Agriculture, pêche, chasse et piégage",0.35
2023,Manitoba,Résidentiel,0.69
2023,Manitoba,Administrations publiques,0.07
2023,Manitoba,Commerces et autres institutions,0.65
2023,Saskatchewan,Consommation énergétique finale,6.55
2023,Saskatchewan,Total industriel,2.61
2023,Saskatchewan,Total transport,1.81
2023,Saskatchewan,"Agriculture, pêche, chasse et piégage",0.84
2023,Saskatchewan,Résidentiel,0.56
2023,Saskatchewan,Administrations publiques,0.13
2023,Saskatchewan,Commerces et autres institutions,0.6
2023,Alberta,Consommation énergétique finale,6.06
2023,Alberta,Total industriel,3.44
2023,Alberta,Total transport,1.24
2023,Alberta,"Agriculture, pêche, chasse et piégage",0.17
2023,Alberta,Résidentiel,0.57
2023,Alberta,Administrations publiques,0.05
2023,Alberta,Commerces et autres institutions,0.6
2023,Colombie-Britannique,Consommation énergétique finale,2.71
2023,Colombie-Britannique,Total industriel,0.66
2023,Colombie-Britannique,Total transport,1.12
2023,Colombie-Britannique,"Agriculture, pêche, chasse et piégage",0.09
2023,Colombie-Britannique,Résidentiel,0.45
2023,Colombie-Britannique,Administrations publiques,0.03
2023,Colombie-Britannique,Commerces et autres institutions,0.35
2023,Yukon,Consommation énergétique finale,3.0
2023,Yukon,Total industriel,0.83
2023,Yukon,Total transport,1.49
2023,Yukon,"Agriculture, pêche, chasse et piégage",0.0
2023,Yukon,Résidentiel,0.24
2023,Yukon,Administrations publiques,0.04
2023,Yukon,Commerces et autres institutions,0.4
2023,Territoires du Nord-Ouest,Consommation énergétique finale,3.37
2023,Territoires du Nord-Ouest,Total industriel,0.58
2023,Territoires du Nord-Ouest,Total transport,1.83
2023,Territoires du Nord-Ouest,"Agriculture, pêche, chasse et piégage",0.0
2023,Territoires du Nord-Ouest,Résidentiel,0.26
2023,Territoires du Nord-Ouest,Administrations publiques,0.25
2023,Territoires du Nord-Ouest,Commerces et autres institutions,0.46
2023,Nunavut,Consommation énergétique finale,2.02
2023,Nunavut,Total industriel,0.81
2023,Nunavut,Total transport,0.65
2023,Nunavut,"Agriculture, pêche, chasse et piégage",0.02
2023,Nunavut,Résidentiel,0.27
2023,Nunavut,Administrations publiques,0.07
2023,Nunavut,Commerces et autres institutions,0.2
2024,Canada,Consommation énergétique finale,3.46
2024,Canada,Total industriel,1.23
2024,Canada,Total transport,1.06
2024,Canada,"Agriculture, pêche, chasse et piégage",0.12
2024,Canada,Résidentiel,0.53
2024,Canada,Administrations publiques,0.05
2024,Canada,Commerces et autres institutions,0.47
2024,Terre-Neuve-et-Labrador,Consommation énergétique finale,3.39
2024,Terre-Neuve-et-Labrador,Total industriel,0.89
2024,Terre-Neuve-et-Labrador,Total transport,1.24
2024,Terre-Neuve-et-Labrador,"Agriculture, pêche, chasse et piégage",0.03
2024,Terre-Neuve-et-Labrador,Résidentiel,0.56
2024,Terre-Neuve-et-Labrador,Administrations publiques,0.09
2024,Terre-Neuve-et-Labrador,Commerces et autres institutions,0.58
2024,Île-du-Prince-Édouard,Consommation énergétique finale,2.85
2024,Île-du-Prince-Édouard,Total industriel,0.47
2024,Île-du-Prince-Édouard,Total transport,1.23
2024,Île-du-Prince-Édouard,"Agriculture, pêche, chasse et piégage",0.33
2024,Île-du-Prince-Édouard,Résidentiel,0.37
2024,Île-du-Prince-Édouard,Administrations publiques,0.06
2024,Île-du-Prince-Édouard,Commerces et autres institutions,0.39
2024,Nouvelle-Écosse,Consommation énergétique finale,2.75
2024,Nouvelle-Écosse,Total industriel,0.29
2024,Nouvelle-Écosse,Total transport,1.29
2024,Nouvelle-Écosse,"Agriculture, pêche, chasse et piégage",0.06
2024,Nouvelle-Écosse,Résidentiel,0.6
2024,Nouvelle-Écosse,Administrations publiques,0.14
2024,Nouvelle-Écosse,Commerces et autres institutions,0.38
2024,Nouveau-Brunswick,Consommation énergétique finale,3.28
2024,Nouveau-Brunswick,Total industriel,0.98
2024,Nouveau-Brunswick,Total transport,1.1
2024,Nouveau-Brunswick,"Agriculture, pêche, chasse et piégage",0.04
2024,Nouveau-Brunswick,Résidentiel,0.68
2024,Nouveau-Brunswick,Administrations publiques,0.09
2024,Nouveau-Brunswick,Commerces et autres institutions,0.39
2024,Québec,Consommation énergétique finale,3.4
2024,Québec,Total industriel,1.17
2024,Québec,Total transport,1.04
2024,Québec,"Agriculture, pêche, chasse et piégage",0.07
2024,Québec,Résidentiel,0.61
2024,Québec,Administrations publiques,0.08
2024,Québec,Commerces et autres institutions,0.43
2024,Ontario,Consommation énergétique finale,2.53
2024,Ontario,Total industriel,0.61
2024,Ontario,Total transport,0.86
2024,Ontario,"Agriculture, pêche, chasse et piégage",0.08
2024,Ontario,Résidentiel,0.49
2024,Ontario,Administrations publiques,0.02
2024,Ontario,Commerces et autres institutions,0.48
2024,Manitoba,Consommation énergétique finale,3.64
2024,Manitoba,Total industriel,0.63
2024,Manitoba,Total transport,1.32
2024,Manitoba,"Agriculture, pêche, chasse et piégage",0.34
2024,Manitoba,Résidentiel,0.65
2024,Manitoba,Administrations publiques,0.07
2024,Manitoba,Commerces et autres institutions,0.64
2024,Saskatchewan,Consommation énergétique finale,6.42
2024,Saskatchewan,Total industriel,2.54
2024,Saskatchewan,Total transport,1.86
2024,Saskatchewan,"Agriculture, pêche, chasse et piégage",0.76
2024,Saskatchewan,Résidentiel,0.57
2024,Saskatchewan,Administrations publiques,0.13
2024,Saskatchewan,Commerces et autres institutions,0.56
2024,Alberta,Consommation énergétique finale,6.05
2024,Alberta,Total industriel,3.45
2024,Alberta,Total transport,1.24
2024,Alberta,"Agriculture, pêche, chasse et piégage",0.15
2024,Alberta,Résidentiel,0.56
2024,Alberta,Administrations publiques,0.05
2024,Alberta,Commerces et autres institutions,0.59
2024,Colombie-Britannique,Consommation énergétique finale,2.69
2024,Colombie-Britannique,Total industriel,0.66
2024,Colombie-Britannique,Total transport,1.09
2024,Colombie-Britannique,"Agriculture, pêche, chasse et piégage",0.1
2024,Colombie-Britannique,Résidentiel,0.46
2024,Colombie-Britannique,Administrations publiques,0.03
2024,Colombie-Britannique,Commerces et autres institutions,0.36
2024,Yukon,Consommation énergétique finale,3.18
2024,Yukon,Total industriel,0.87
2024,Yukon,Total transport,1.55
2024,Yukon,"Agriculture, pêche, chasse et piégage",0.0
2024,Yukon,Résidentiel,0.26
2024,Yukon,Administrations publiques,0.05
2024,Yukon,Commerces et autres institutions,0.45
2024,Territoires du Nord-Ouest,Consommation énergétique finale,3.37
2024,Territoires du Nord-Ouest,Total industriel,0.57
2024,Territoires du Nord-Ouest,Total transport,1.82
2024,Territoires du Nord-Ouest,"Agriculture, pêche, chasse et piégage",0.0
2024,Territoires du Nord-Ouest,Résidentiel,0.25
2024,Territoires du Nord-Ouest,Administrations publiques,0.25
2024,Territoires du Nord-Ouest,Commerces et autres institutions,0.47
2024,Nunavut,Consommation énergétique finale,2.04
2024,Nunavut,Total industriel,0.91
2024,Nunavut,Total transport,0.58
2024,Nunavut,"Agriculture, pêche, chasse et piégage",0.03
2024,Nunavut,Résidentiel,0.26
2024,Nunavut,Administrations publiques,0.07
2024,Nunavut,Commerces et autres institutions,0.2
