Year,Institutions,Minorité visible,Certaines caractéristiques sociodémographiques,COMMENT_OBS,Value
2020,Confiance dans le système de justice et dans les tribunaux,Pas une minorité visible,Femmes,,51.5
2020,Confiance dans le Parlement fédéral,Pas une minorité visible,Femmes,,41.9
2020,Confiance dans le système de justice et dans les tribunaux,Pas une minorité visible,Immigrants,,63.8
2020,Confiance dans le Parlement fédéral,Pas une minorité visible,Immigrants,,53.3
2020,Confiance dans le système de justice et dans les tribunaux,Pas une minorité visible,Non-immigrants,,50.5
2020,Confiance dans le Parlement fédéral,Pas une minorité visible,Non-immigrants,,38.1
2020,Confiance dans le système de justice et dans les tribunaux,Pas une minorité visible,Première génération,,65.1
2020,Confiance dans le Parlement fédéral,Pas une minorité visible,Première génération,,54.1
2020,Confiance dans le système de justice et dans les tribunaux,Pas une minorité visible,Deuxième génération,,51.9
2020,Confiance dans le Parlement fédéral,Pas une minorité visible,Deuxième génération,,38.2
2020,Confiance dans le système de justice et dans les tribunaux,Pas une minorité visible,Troisième génération ou plus,,50.3
2020,Confiance dans le Parlement fédéral,Pas une minorité visible,Troisième génération ou plus,,38.2
2020,Confiance dans le système de justice et dans les tribunaux,Pas une minorité visible,"Première langue officielle parlée, anglais seulement",,52.1
2020,Confiance dans le Parlement fédéral,Pas une minorité visible,"Première langue officielle parlée, anglais seulement",,38.7
2020,Confiance dans le système de justice et dans les tribunaux,Pas une minorité visible,"Première langue officielle parlée, français seulement",,56.2
2020,Confiance dans le Parlement fédéral,Pas une minorité visible,"Première langue officielle parlée, français seulement",,46.9
2020,Confiance dans le système de justice et dans les tribunaux,Pas une minorité visible,Diplôme d'études secondaires ou attestation d'équivalence ou moins,,47.7
2020,Confiance dans le Parlement fédéral,Pas une minorité visible,Diplôme d'études secondaires ou attestation d'équivalence ou moins,,37.0
2020,Confiance dans le système de justice et dans les tribunaux,Pas une minorité visible,Diplôme ou certificat postsecondaire (non universitaire),,49.7
2020,Confiance dans le Parlement fédéral,Pas une minorité visible,Diplôme ou certificat postsecondaire (non universitaire),,37.1
2020,Confiance dans le système de justice et dans les tribunaux,Pas une minorité visible,Certificat ou diplôme universitaire,,59.4
2020,Confiance dans le Parlement fédéral,Pas une minorité visible,Certificat ou diplôme universitaire,,46.1
