Year,Series,Quintile de revenu du ménage,Décile de revenu du ménage,Géographie,GeoCode,Value
2011-2016,Revenu par habitant,,Deuxième décile,Saskatchewan,47,0.605
2011-2016,Revenu par habitant,,Troisième décile,Saskatchewan,47,0.777
2011-2016,Revenu par habitant,,Quatrième décile,Saskatchewan,47,-0.364
2011-2016,Revenu par habitant,,Total des déciles,Alberta,48,-2.251
2011-2016,Revenu par habitant,,Décile inférieur,Alberta,48,-0.304
2011-2016,Revenu par habitant,,Deuxième décile,Alberta,48,-0.423
2011-2016,Revenu par habitant,,Troisième décile,Alberta,48,-0.823
2011-2016,Revenu par habitant,,Quatrième décile,Alberta,48,-1.271
2011-2016,Revenu par habitant,,Total des déciles,Colombie-Britannique,59,-0.532
2011-2016,Revenu par habitant,,Décile inférieur,Colombie-Britannique,59,-2.528
2011-2016,Revenu par habitant,,Deuxième décile,Colombie-Britannique,59,0.814
2011-2016,Revenu par habitant,,Troisième décile,Colombie-Britannique,59,0.298
2011-2016,Revenu par habitant,,Quatrième décile,Colombie-Britannique,59,-0.215
2012-2017,Revenu par habitant,,Total des déciles,Canada,,0.046
2012-2017,Revenu par habitant,,Décile inférieur,Canada,,0.991
2012-2017,Revenu par habitant,,Deuxième décile,Canada,,0.557
2012-2017,Revenu par habitant,,Troisième décile,Canada,,0.336
2012-2017,Revenu par habitant,,Quatrième décile,Canada,,0.158
2012-2017,Revenu par habitant,,Total des déciles,Terre-Neuve-et-Labrador,10,0.545
2012-2017,Revenu par habitant,,Décile inférieur,Terre-Neuve-et-Labrador,10,-0.133
2012-2017,Revenu par habitant,,Deuxième décile,Terre-Neuve-et-Labrador,10,0.317
2012-2017,Revenu par habitant,,Troisième décile,Terre-Neuve-et-Labrador,10,0.91
2012-2017,Revenu par habitant,,Quatrième décile,Terre-Neuve-et-Labrador,10,0.682
2012-2017,Revenu par habitant,,Total des déciles,Île-du-Prince-Édouard,11,0.502
2012-2017,Revenu par habitant,,Décile inférieur,Île-du-Prince-Édouard,11,-4.72
2012-2017,Revenu par habitant,,Deuxième décile,Île-du-Prince-Édouard,11,-1.474
2012-2017,Revenu par habitant,,Troisième décile,Île-du-Prince-Édouard,11,-0.292
2012-2017,Revenu par habitant,,Quatrième décile,Île-du-Prince-Édouard,11,-0.198
2012-2017,Revenu par habitant,,Total des déciles,Nouvelle-Écosse,12,0.734
2012-2017,Revenu par habitant,,Décile inférieur,Nouvelle-Écosse,12,-0.329
2012-2017,Revenu par habitant,,Deuxième décile,Nouvelle-Écosse,12,-0.423
2012-2017,Revenu par habitant,,Troisième décile,Nouvelle-Écosse,12,0.562
2012-2017,Revenu par habitant,,Quatrième décile,Nouvelle-Écosse,12,1.073
2012-2017,Revenu par habitant,,Total des déciles,Nouveau-Brunswick,13,0.786
2012-2017,Revenu par habitant,,Décile inférieur,Nouveau-Brunswick,13,1.872
2012-2017,Revenu par habitant,,Deuxième décile,Nouveau-Brunswick,13,1.011
2012-2017,Revenu par habitant,,Troisième décile,Nouveau-Brunswick,13,1.456
2012-2017,Revenu par habitant,,Quatrième décile,Nouveau-Brunswick,13,0.928
2012-2017,Revenu par habitant,,Total des déciles,Québec,24,0.572
2012-2017,Revenu par habitant,,Décile inférieur,Québec,24,0.877
2012-2017,Revenu par habitant,,Deuxième décile,Québec,24,0.86
2012-2017,Revenu par habitant,,Troisième décile,Québec,24,1.016
2012-2017,Revenu par habitant,,Quatrième décile,Québec,24,0.889
2012-2017,Revenu par habitant,,Total des déciles,Ontario,35,0.368
2012-2017,Revenu par habitant,,Décile inférieur,Ontario,35,1.32
2012-2017,Revenu par habitant,,Deuxième décile,Ontario,35,0.827
2012-2017,Revenu par habitant,,Troisième décile,Ontario,35,0.362
2012-2017,Revenu par habitant,,Quatrième décile,Ontario,35,0.407
2012-2017,Revenu par habitant,,Total des déciles,Manitoba,46,0.213
2012-2017,Revenu par habitant,,Décile inférieur,Manitoba,46,1.115
2012-2017,Revenu par habitant,,Deuxième décile,Manitoba,46,-0.123
2012-2017,Revenu par habitant,,Troisième décile,Manitoba,46,-0.004
2012-2017,Revenu par habitant,,Quatrième décile,Manitoba,46,-0.414
2012-2017,Revenu par habitant,,Total des déciles,Saskatchewan,47,-0.595
2012-2017,Revenu par habitant,,Décile inférieur,Saskatchewan,47,-0.302
2012-2017,Revenu par habitant,,Deuxième décile,Saskatchewan,47,-0.52
2012-2017,Revenu par habitant,,Troisième décile,Saskatchewan,47,-1.094
2012-2017,Revenu par habitant,,Quatrième décile,Saskatchewan,47,-0.704
2012-2017,Revenu par habitant,,Total des déciles,Alberta,48,-2.171
2012-2017,Revenu par habitant,,Décile inférieur,Alberta,48,0.635
2012-2017,Revenu par habitant,,Deuxième décile,Alberta,48,-1.843
2012-2017,Revenu par habitant,,Troisième décile,Alberta,48,-2.51
2012-2017,Revenu par habitant,,Quatrième décile,Alberta,48,-2.246
2012-2017,Revenu par habitant,,Total des déciles,Colombie-Britannique,59,0.063
2012-2017,Revenu par habitant,,Décile inférieur,Colombie-Britannique,59,0.769
2012-2017,Revenu par habitant,,Deuxième décile,Colombie-Britannique,59,0.77
2012-2017,Revenu par habitant,,Troisième décile,Colombie-Britannique,59,0.803
2012-2017,Revenu par habitant,,Quatrième décile,Colombie-Britannique,59,0.259
2013-2018,Revenu par habitant,,Total des déciles,Canada,,-0.274
2013-2018,Revenu par habitant,,Décile inférieur,Canada,,1.184
2013-2018,Revenu par habitant,,Deuxième décile,Canada,,0.744
2013-2018,Revenu par habitant,,Troisième décile,Canada,,0.633
2013-2018,Revenu par habitant,,Quatrième décile,Canada,,0.153
2013-2018,Revenu par habitant,,Total des déciles,Terre-Neuve-et-Labrador,10,-0.404
2013-2018,Revenu par habitant,,Décile inférieur,Terre-Neuve-et-Labrador,10,0.182
2013-2018,Revenu par habitant,,Deuxième décile,Terre-Neuve-et-Labrador,10,-0.278
2013-2018,Revenu par habitant,,Troisième décile,Terre-Neuve-et-Labrador,10,-0.233
2013-2018,Revenu par habitant,,Quatrième décile,Terre-Neuve-et-Labrador,10,-0.055
2013-2018,Revenu par habitant,,Total des déciles,Île-du-Prince-Édouard,11,-0.581
2013-2018,Revenu par habitant,,Décile inférieur,Île-du-Prince-Édouard,11,-1.242
2013-2018,Revenu par habitant,,Deuxième décile,Île-du-Prince-Édouard,11,0.187
2013-2018,Revenu par habitant,,Troisième décile,Île-du-Prince-Édouard,11,0.171
2013-2018,Revenu par habitant,,Quatrième décile,Île-du-Prince-Édouard,11,-0.859
2013-2018,Revenu par habitant,,Total des déciles,Nouvelle-Écosse,12,-0.168
2013-2018,Revenu par habitant,,Décile inférieur,Nouvelle-Écosse,12,0.97
2013-2018,Revenu par habitant,,Deuxième décile,Nouvelle-Écosse,12,-0.01
2013-2018,Revenu par habitant,,Troisième décile,Nouvelle-Écosse,12,0.076
2013-2018,Revenu par habitant,,Quatrième décile,Nouvelle-Écosse,12,0.141
2013-2018,Revenu par habitant,,Total des déciles,Nouveau-Brunswick,13,0.988
2013-2018,Revenu par habitant,,Décile inférieur,Nouveau-Brunswick,13,2.446
2013-2018,Revenu par habitant,,Deuxième décile,Nouveau-Brunswick,13,0.801
2013-2018,Revenu par habitant,,Troisième décile,Nouveau-Brunswick,13,1.015
2013-2018,Revenu par habitant,,Quatrième décile,Nouveau-Brunswick,13,0.874
2013-2018,Revenu par habitant,,Total des déciles,Québec,24,0.45
2013-2018,Revenu par habitant,,Décile inférieur,Québec,24,2.084
2013-2018,Revenu par habitant,,Deuxième décile,Québec,24,0.657
2013-2018,Revenu par habitant,,Troisième décile,Québec,24,0.882
2013-2018,Revenu par habitant,,Quatrième décile,Québec,24,0.792
2013-2018,Revenu par habitant,,Total des déciles,Ontario,35,0.118
2013-2018,Revenu par habitant,,Décile inférieur,Ontario,35,0.492
2013-2018,Revenu par habitant,,Deuxième décile,Ontario,35,1.423
2013-2018,Revenu par habitant,,Troisième décile,Ontario,35,1.366
2013-2018,Revenu par habitant,,Quatrième décile,Ontario,35,0.72
2013-2018,Revenu par habitant,,Total des déciles,Manitoba,46,-0.671
2013-2018,Revenu par habitant,,Décile inférieur,Manitoba,46,-0.836
2013-2018,Revenu par habitant,,Deuxième décile,Manitoba,46,-0.26
2013-2018,Revenu par habitant,,Troisième décile,Manitoba,46,-0.426
2013-2018,Revenu par habitant,,Quatrième décile,Manitoba,46,-0.234
2013-2018,Revenu par habitant,,Total des déciles,Saskatchewan,47,-1.207
2013-2018,Revenu par habitant,,Décile inférieur,Saskatchewan,47,-1.291
2013-2018,Revenu par habitant,,Deuxième décile,Saskatchewan,47,-0.038
2013-2018,Revenu par habitant,,Troisième décile,Saskatchewan,47,-0.313
2013-2018,Revenu par habitant,,Quatrième décile,Saskatchewan,47,-0.572
2013-2018,Revenu par habitant,,Total des déciles,Alberta,48,-2.224
2013-2018,Revenu par habitant,,Décile inférieur,Alberta,48,-0.189
2013-2018,Revenu par habitant,,Deuxième décile,Alberta,48,-1.677
2013-2018,Revenu par habitant,,Troisième décile,Alberta,48,-2.096
2013-2018,Revenu par habitant,,Quatrième décile,Alberta,48,-1.622
2013-2018,Revenu par habitant,,Total des déciles,Colombie-Britannique,59,-0.592
2013-2018,Revenu par habitant,,Décile inférieur,Colombie-Britannique,59,4.068
2013-2018,Revenu par habitant,,Deuxième décile,Colombie-Britannique,59,1.105
2013-2018,Revenu par habitant,,Troisième décile,Colombie-Britannique,59,0.479
2013-2018,Revenu par habitant,,Quatrième décile,Colombie-Britannique,59,-0.294
2014-2019,Revenu par habitant,,Total des déciles,Canada,,-0.34
2014-2019,Revenu par habitant,,Décile inférieur,Canada,,0.979
2014-2019,Revenu par habitant,,Deuxième décile,Canada,,0.389
2014-2019,Revenu par habitant,,Troisième décile,Canada,,-0.053
2014-2019,Revenu par habitant,,Quatrième décile,Canada,,-0.1
2014-2019,Revenu par habitant,,Total des déciles,Terre-Neuve-et-Labrador,10,-0.507
2014-2019,Revenu par habitant,,Décile inférieur,Terre-Neuve-et-Labrador,10,-0.106
2014-2019,Revenu par habitant,,Deuxième décile,Terre-Neuve-et-Labrador,10,0.528
2014-2019,Revenu par habitant,,Troisième décile,Terre-Neuve-et-Labrador,10,0.012
2014-2019,Revenu par habitant,,Quatrième décile,Terre-Neuve-et-Labrador,10,-1.335
2014-2019,Revenu par habitant,,Total des déciles,Île-du-Prince-Édouard,11,-1.244
2014-2019,Revenu par habitant,,Décile inférieur,Île-du-Prince-Édouard,11,-4.224
2014-2019,Revenu par habitant,,Deuxième décile,Île-du-Prince-Édouard,11,-1.404
2014-2019,Revenu par habitant,,Troisième décile,Île-du-Prince-Édouard,11,-0.654
2014-2019,Revenu par habitant,,Quatrième décile,Île-du-Prince-Édouard,11,-0.947
2014-2019,Revenu par habitant,,Total des déciles,Nouvelle-Écosse,12,-0.494
2014-2019,Revenu par habitant,,Décile inférieur,Nouvelle-Écosse,12,0.307
2014-2019,Revenu par habitant,,Deuxième décile,Nouvelle-Écosse,12,0.55
2014-2019,Revenu par habitant,,Troisième décile,Nouvelle-Écosse,12,0.219
2014-2019,Revenu par habitant,,Quatrième décile,Nouvelle-Écosse,12,0.11
2014-2019,Revenu par habitant,,Total des déciles,Nouveau-Brunswick,13,0.631
2014-2019,Revenu par habitant,,Décile inférieur,Nouveau-Brunswick,13,0.879
2014-2019,Revenu par habitant,,Deuxième décile,Nouveau-Brunswick,13,1.228
2014-2019,Revenu par habitant,,Troisième décile,Nouveau-Brunswick,13,1.504
2014-2019,Revenu par habitant,,Quatrième décile,Nouveau-Brunswick,13,0.839
2014-2019,Revenu par habitant,,Total des déciles,Québec,24,0.808
2014-2019,Revenu par habitant,,Décile inférieur,Québec,24,-0.101
2014-2019,Revenu par habitant,,Deuxième décile,Québec,24,0.54
2014-2019,Revenu par habitant,,Troisième décile,Québec,24,0.626
2014-2019,Revenu par habitant,,Quatrième décile,Québec,24,0.618
2014-2019,Revenu par habitant,,Total des déciles,Ontario,35,-0.263
2014-2019,Revenu par habitant,,Décile inférieur,Ontario,35,1.061
2014-2019,Revenu par habitant,,Deuxième décile,Ontario,35,0.384
2014-2019,Revenu par habitant,,Troisième décile,Ontario,35,-0.048
2014-2019,Revenu par habitant,,Quatrième décile,Ontario,35,0.263
2014-2019,Revenu par habitant,,Total des déciles,Manitoba,46,-1.066
2014-2019,Revenu par habitant,,Décile inférieur,Manitoba,46,-0.859
2014-2019,Revenu par habitant,,Deuxième décile,Manitoba,46,-0.362
2014-2019,Revenu par habitant,,Troisième décile,Manitoba,46,-0.693
2014-2019,Revenu par habitant,,Quatrième décile,Manitoba,46,-0.907
2014-2019,Revenu par habitant,,Total des déciles,Saskatchewan,47,-2.289
2014-2019,Revenu par habitant,,Décile inférieur,Saskatchewan,47,-4.096
2014-2019,Revenu par habitant,,Deuxième décile,Saskatchewan,47,-0.981
2014-2019,Revenu par habitant,,Troisième décile,Saskatchewan,47,-1.121
2014-2019,Revenu par habitant,,Quatrième décile,Saskatchewan,47,-1.783
2014-2019,Revenu par habitant,,Total des déciles,Alberta,48,-2.108
2014-2019,Revenu par habitant,,Décile inférieur,Alberta,48,2.027
2014-2019,Revenu par habitant,,Deuxième décile,Alberta,48,-0.837
2014-2019,Revenu par habitant,,Troisième décile,Alberta,48,-1.74
2014-2019,Revenu par habitant,,Quatrième décile,Alberta,48,-1.254
2014-2019,Revenu par habitant,,Total des déciles,Colombie-Britannique,59,-0.271
2014-2019,Revenu par habitant,,Décile inférieur,Colombie-Britannique,59,3.059
2014-2019,Revenu par habitant,,Deuxième décile,Colombie-Britannique,59,0.711
2014-2019,Revenu par habitant,,Troisième décile,Colombie-Britannique,59,-0.195
2014-2019,Revenu par habitant,,Quatrième décile,Colombie-Britannique,59,-0.383
2015-2020,Revenu par habitant,,Total des déciles,Canada,,0.463
2015-2020,Revenu par habitant,,Décile inférieur,Canada,,5.216
2015-2020,Revenu par habitant,,Deuxième décile,Canada,,3.223
2015-2020,Revenu par habitant,,Troisième décile,Canada,,1.995
2015-2020,Revenu par habitant,,Quatrième décile,Canada,,1.258
2015-2020,Revenu par habitant,,Total des déciles,Terre-Neuve-et-Labrador,10,0.123
2015-2020,Revenu par habitant,,Décile inférieur,Terre-Neuve-et-Labrador,10,5.171
2015-2020,Revenu par habitant,,Deuxième décile,Terre-Neuve-et-Labrador,10,3.377
2015-2020,Revenu par habitant,,Troisième décile,Terre-Neuve-et-Labrador,10,2.556
2015-2020,Revenu par habitant,,Quatrième décile,Terre-Neuve-et-Labrador,10,1.712
2015-2020,Revenu par habitant,,Total des déciles,Île-du-Prince-Édouard,11,-0.008
2015-2020,Revenu par habitant,,Décile inférieur,Île-du-Prince-Édouard,11,5.96
2015-2020,Revenu par habitant,,Deuxième décile,Île-du-Prince-Édouard,11,1.876
2015-2020,Revenu par habitant,,Troisième décile,Île-du-Prince-Édouard,11,1.091
2015-2020,Revenu par habitant,,Quatrième décile,Île-du-Prince-Édouard,11,-0.114
2015-2020,Revenu par habitant,,Total des déciles,Nouvelle-Écosse,12,0.338
2015-2020,Revenu par habitant,,Décile inférieur,Nouvelle-Écosse,12,3.032
2015-2020,Revenu par habitant,,Deuxième décile,Nouvelle-Écosse,12,3.495
2015-2020,Revenu par habitant,,Troisième décile,Nouvelle-Écosse,12,2.712
2015-2020,Revenu par habitant,,Quatrième décile,Nouvelle-Écosse,12,1.387
2015-2020,Revenu par habitant,,Total des déciles,Nouveau-Brunswick,13,1.841
2015-2020,Revenu par habitant,,Décile inférieur,Nouveau-Brunswick,13,6.209
2015-2020,Revenu par habitant,,Deuxième décile,Nouveau-Brunswick,13,3.213
2015-2020,Revenu par habitant,,Troisième décile,Nouveau-Brunswick,13,2.205
2015-2020,Revenu par habitant,,Quatrième décile,Nouveau-Brunswick,13,1.361
2015-2020,Revenu par habitant,,Total des déciles,Québec,24,1.926
2015-2020,Revenu par habitant,,Décile inférieur,Québec,24,6.1
2015-2020,Revenu par habitant,,Deuxième décile,Québec,24,3.804
2015-2020,Revenu par habitant,,Troisième décile,Québec,24,3.165
2015-2020,Revenu par habitant,,Quatrième décile,Québec,24,2.436
2015-2020,Revenu par habitant,,Total des déciles,Ontario,35,0.49
2015-2020,Revenu par habitant,,Décile inférieur,Ontario,35,5.313
2015-2020,Revenu par habitant,,Deuxième décile,Ontario,35,2.969
2015-2020,Revenu par habitant,,Troisième décile,Ontario,35,1.827
2015-2020,Revenu par habitant,,Quatrième décile,Ontario,35,0.875
2015-2020,Revenu par habitant,,Total des déciles,Manitoba,46,0.213
2015-2020,Revenu par habitant,,Décile inférieur,Manitoba,46,4.871
2015-2020,Revenu par habitant,,Deuxième décile,Manitoba,46,2.741
2015-2020,Revenu par habitant,,Troisième décile,Manitoba,46,1.514
2015-2020,Revenu par habitant,,Quatrième décile,Manitoba,46,0.998
2015-2020,Revenu par habitant,,Total des déciles,Saskatchewan,47,-0.881
2015-2020,Revenu par habitant,,Décile inférieur,Saskatchewan,47,4.653
2015-2020,Revenu par habitant,,Deuxième décile,Saskatchewan,47,1.969
2015-2020,Revenu par habitant,,Troisième décile,Saskatchewan,47,0.378
2015-2020,Revenu par habitant,,Quatrième décile,Saskatchewan,47,-0.227
2015-2020,Revenu par habitant,,Total des déciles,Alberta,48,-2.195
2015-2020,Revenu par habitant,,Décile inférieur,Alberta,48,0.622
2015-2020,Revenu par habitant,,Deuxième décile,Alberta,48,-0.044
2015-2020,Revenu par habitant,,Troisième décile,Alberta,48,-0.296
2015-2020,Revenu par habitant,,Quatrième décile,Alberta,48,-0.932
2015-2020,Revenu par habitant,,Total des déciles,Colombie-Britannique,59,0.951
2015-2020,Revenu par habitant,,Décile inférieur,Colombie-Britannique,59,7.712
2015-2020,Revenu par habitant,,Deuxième décile,Colombie-Britannique,59,5.325
2015-2020,Revenu par habitant,,Troisième décile,Colombie-Britannique,59,3.132
2015-2020,Revenu par habitant,,Quatrième décile,Colombie-Britannique,59,1.807
2016-2021,Revenu par habitant,,Total des déciles,Canada,,0.652
2016-2021,Revenu par habitant,,Décile inférieur,Canada,,2.851
2016-2021,Revenu par habitant,,Deuxième décile,Canada,,2.069
2016-2021,Revenu par habitant,,Troisième décile,Canada,,1.572
2016-2021,Revenu par habitant,,Quatrième décile,Canada,,1.244
2016-2021,Revenu par habitant,,Total des déciles,Terre-Neuve-et-Labrador,10,1.028
2016-2021,Revenu par habitant,,Décile inférieur,Terre-Neuve-et-Labrador,10,3.086
2016-2021,Revenu par habitant,,Deuxième décile,Terre-Neuve-et-Labrador,10,2.396
2016-2021,Revenu par habitant,,Troisième décile,Terre-Neuve-et-Labrador,10,2.666
2016-2021,Revenu par habitant,,Quatrième décile,Terre-Neuve-et-Labrador,10,1.89
2016-2021,Revenu par habitant,,Total des déciles,Île-du-Prince-Édouard,11,0.109
2016-2021,Revenu par habitant,,Décile inférieur,Île-du-Prince-Édouard,11,1.749
2016-2021,Revenu par habitant,,Deuxième décile,Île-du-Prince-Édouard,11,1.647
2016-2021,Revenu par habitant,,Troisième décile,Île-du-Prince-Édouard,11,1.589
2016-2021,Revenu par habitant,,Quatrième décile,Île-du-Prince-Édouard,11,0.764
2016-2021,Revenu par habitant,,Total des déciles,Nouvelle-Écosse,12,0.027
2016-2021,Revenu par habitant,,Décile inférieur,Nouvelle-Écosse,12,4.464
2016-2021,Revenu par habitant,,Deuxième décile,Nouvelle-Écosse,12,2.266
2016-2021,Revenu par habitant,,Troisième décile,Nouvelle-Écosse,12,1.424
2016-2021,Revenu par habitant,,Quatrième décile,Nouvelle-Écosse,12,0.488
2016-2021,Revenu par habitant,,Total des déciles,Nouveau-Brunswick,13,1.178
2016-2021,Revenu par habitant,,Décile inférieur,Nouveau-Brunswick,13,2.319
2016-2021,Revenu par habitant,,Deuxième décile,Nouveau-Brunswick,13,2.734
2016-2021,Revenu par habitant,,Troisième décile,Nouveau-Brunswick,13,2.35
2016-2021,Revenu par habitant,,Quatrième décile,Nouveau-Brunswick,13,1.674
2016-2021,Revenu par habitant,,Total des déciles,Québec,24,1.558
2016-2021,Revenu par habitant,,Décile inférieur,Québec,24,4.985
2016-2021,Revenu par habitant,,Deuxième décile,Québec,24,2.357
2016-2021,Revenu par habitant,,Troisième décile,Québec,24,2.438
2016-2021,Revenu par habitant,,Quatrième décile,Québec,24,2.208
2016-2021,Revenu par habitant,,Total des déciles,Ontario,35,0.384
2016-2021,Revenu par habitant,,Décile inférieur,Ontario,35,1.789
2016-2021,Revenu par habitant,,Deuxième décile,Ontario,35,2.461
2016-2021,Revenu par habitant,,Troisième décile,Ontario,35,1.591
2016-2021,Revenu par habitant,,Quatrième décile,Ontario,35,1.123
2016-2021,Revenu par habitant,,Total des déciles,Manitoba,46,-0.295
2016-2021,Revenu par habitant,,Décile inférieur,Manitoba,46,1.0
2016-2021,Revenu par habitant,,Deuxième décile,Manitoba,46,0.646
2016-2021,Revenu par habitant,,Troisième décile,Manitoba,46,0.257
2016-2021,Revenu par habitant,,Quatrième décile,Manitoba,46,-0.001
2016-2021,Revenu par habitant,,Total des déciles,Saskatchewan,47,-0.59
2016-2021,Revenu par habitant,,Décile inférieur,Saskatchewan,47,-3.437
2016-2021,Revenu par habitant,,Deuxième décile,Saskatchewan,47,0.411
2016-2021,Revenu par habitant,,Troisième décile,Saskatchewan,47,0.465
2016-2021,Revenu par habitant,,Quatrième décile,Saskatchewan,47,0.093
2016-2021,Revenu par habitant,,Total des déciles,Alberta,48,-0.324
2016-2021,Revenu par habitant,,Décile inférieur,Alberta,48,0.507
2016-2021,Revenu par habitant,,Deuxième décile,Alberta,48,0.125
2016-2021,Revenu par habitant,,Troisième décile,Alberta,48,-0.081
2016-2021,Revenu par habitant,,Quatrième décile,Alberta,48,-0.586
2016-2021,Revenu par habitant,,Total des déciles,Colombie-Britannique,59,1.157
2016-2021,Revenu par habitant,,Décile inférieur,Colombie-Britannique,59,4.985
2016-2021,Revenu par habitant,,Deuxième décile,Colombie-Britannique,59,2.986
2016-2021,Revenu par habitant,,Troisième décile,Colombie-Britannique,59,1.875
2016-2021,Revenu par habitant,,Quatrième décile,Colombie-Britannique,59,1.309
2017-2022,Revenu par habitant,,Total des déciles,Canada,,-0.186
2017-2022,Revenu par habitant,,Décile inférieur,Canada,,-0.675
2017-2022,Revenu par habitant,,Deuxième décile,Canada,,0.52
2017-2022,Revenu par habitant,,Troisième décile,Canada,,0.52
2017-2022,Revenu par habitant,,Quatrième décile,Canada,,0.327
2017-2022,Revenu par habitant,,Total des déciles,Terre-Neuve-et-Labrador,10,0.289
2017-2022,Revenu par habitant,,Décile inférieur,Terre-Neuve-et-Labrador,10,1.083
2017-2022,Revenu par habitant,,Deuxième décile,Terre-Neuve-et-Labrador,10,1.098
2017-2022,Revenu par habitant,,Troisième décile,Terre-Neuve-et-Labrador,10,1.386
2017-2022,Revenu par habitant,,Quatrième décile,Terre-Neuve-et-Labrador,10,1.437
2017-2022,Revenu par habitant,,Total des déciles,Île-du-Prince-Édouard,11,-1.228
2017-2022,Revenu par habitant,,Décile inférieur,Île-du-Prince-Édouard,11,3.012
2017-2022,Revenu par habitant,,Deuxième décile,Île-du-Prince-Édouard,11,0.812
2017-2022,Revenu par habitant,,Troisième décile,Île-du-Prince-Édouard,11,0.365
2017-2022,Revenu par habitant,,Quatrième décile,Île-du-Prince-Édouard,11,-0.043
2017-2022,Revenu par habitant,,Total des déciles,Nouvelle-Écosse,12,-1.065
2017-2022,Revenu par habitant,,Décile inférieur,Nouvelle-Écosse,12,1.145
2017-2022,Revenu par habitant,,Deuxième décile,Nouvelle-Écosse,12,0.248
2017-2022,Revenu par habitant,,Troisième décile,Nouvelle-Écosse,12,-0.346
2017-2022,Revenu par habitant,,Quatrième décile,Nouvelle-Écosse,12,-0.924
2017-2022,Revenu par habitant,,Total des déciles,Nouveau-Brunswick,13,-0.52
2017-2022,Revenu par habitant,,Décile inférieur,Nouveau-Brunswick,13,0.464
2017-2022,Revenu par habitant,,Deuxième décile,Nouveau-Brunswick,13,-0.204
2017-2022,Revenu par habitant,,Troisième décile,Nouveau-Brunswick,13,-0.667
2017-2022,Revenu par habitant,,Quatrième décile,Nouveau-Brunswick,13,-0.333
2017-2022,Revenu par habitant,,Total des déciles,Québec,24,1.214
2017-2022,Revenu par habitant,,Décile inférieur,Québec,24,4.201
2017-2022,Revenu par habitant,,Deuxième décile,Québec,24,2.337
2017-2022,Revenu par habitant,,Troisième décile,Québec,24,1.953
2017-2022,Revenu par habitant,,Quatrième décile,Québec,24,1.7
2017-2022,Revenu par habitant,,Total des déciles,Ontario,35,-0.324
2017-2022,Revenu par habitant,,Décile inférieur,Ontario,35,-2.796
2017-2022,Revenu par habitant,,Deuxième décile,Ontario,35,0.407
2017-2022,Revenu par habitant,,Troisième décile,Ontario,35,0.476
2017-2022,Revenu par habitant,,Quatrième décile,Ontario,35,0.236
2017-2022,Revenu par habitant,,Total des déciles,Manitoba,46,-1.549
2017-2022,Revenu par habitant,,Décile inférieur,Manitoba,46,-2.553
2017-2022,Revenu par habitant,,Deuxième décile,Manitoba,46,-0.416
2017-2022,Revenu par habitant,,Troisième décile,Manitoba,46,-0.503
2017-2022,Revenu par habitant,,Quatrième décile,Manitoba,46,-0.356
2017-2022,Revenu par habitant,,Total des déciles,Saskatchewan,47,-0.858
2017-2022,Revenu par habitant,,Décile inférieur,Saskatchewan,47,-2.377
2017-2022,Revenu par habitant,,Deuxième décile,Saskatchewan,47,0.145
2017-2022,Revenu par habitant,,Troisième décile,Saskatchewan,47,0.205
2017-2022,Revenu par habitant,,Quatrième décile,Saskatchewan,47,-0.315
2017-2022,Revenu par habitant,,Total des déciles,Alberta,48,-1.608
2017-2022,Revenu par habitant,,Décile inférieur,Alberta,48,-3.223
2017-2022,Revenu par habitant,,Deuxième décile,Alberta,48,-1.642
2017-2022,Revenu par habitant,,Troisième décile,Alberta,48,-1.15
2017-2022,Revenu par habitant,,Quatrième décile,Alberta,48,-1.321
2017-2022,Revenu par habitant,,Total des déciles,Colombie-Britannique,59,-0.053
2017-2022,Revenu par habitant,,Décile inférieur,Colombie-Britannique,59,-1.397
2017-2022,Revenu par habitant,,Deuxième décile,Colombie-Britannique,59,0.23
2017-2022,Revenu par habitant,,Troisième décile,Colombie-Britannique,59,-0.037
2017-2022,Revenu par habitant,,Quatrième décile,Colombie-Britannique,59,-0.086
